 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,S28,H29,C30,O31,O32,H33
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9014414683324796,1.7900954582715722,2.1750570417531536,0.0205337597112627,0.008848602875617395,0.0003686622771335024,0.0019425158709267532,0.026066265252087967,0.006061831231954459,0.01184331681392238,0.002520611153123964,0.0010305874753199357,0.0003350752394473133,0.0003956970109643132,5.469928932166912e-05,2.851918613211435e-05,0.00011035566711613959,3.2205195937606845e-05,0.0001326605496502209,0.0001648705112258786,3.1648302982495435e-05,4.5887348801842975e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023159573903722253,0.024772364767582378,0.002388424948450263,0.0006034407765216354,6.614236841429033e-05,1.0518161365213885e-05,0.014646915334480148,0.0012506929991169535,0.0054759800438894946,0.0003973460329107503,0.00044365720854977475,0.00023879606845111923,0.0001311734838402856,1.326702746617947e-05,1.5774919792210795e-05,0.00016236671893765653,1.415109737346043e-05,0.00010635336829967201,0.00013909749852558662,4.060229431135376e-05,5.88757872455048e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02383740425061287,0.00772325542366481,0.008697270292748804,5.456269673387304e-05,0.0004748113498898032,0.0010738401329470904,0.0004270294316259804,0.0009356913196749694,0.0014926399495949205,0.00012013664841981075,1.7743266549796743e-05,5.2879394390137335e-05,8.217887693007242e-06,9.26936726708405e-07,3.8209955937063e-06,1.2409354452902477e-06,2.7764527586349175e-05,0.00010862407246059469,9.906379788260367e-06,1.3526011750641942e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000676328782002189,9.142304332576678e-05,0.00013677190396754746,9.539462502416995e-05,0.00187835528405067,0.00033441424344671233,0.001269452903389201,0.0004270386926659153,0.00011906745047007838,5.278915936401951e-05,5.056651914703281e-05,1.5642796765913403e-05,2.1774005334318502e-06,1.100986526414438e-05,5.584166710148608e-06,8.240106672552372e-06,1.2608671415170747e-05,9.302547978595754e-07,8.220625358212885e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0170408128788146,2.1592538681917874,1.8744719362133584,0.002922204751201002,0.0017763271440522782,0.00041645827630323873,4.89983158051821e-05,6.226910327999935e-05,1.0246117777334973e-05,1.358046025785875e-05,4.163173545901344e-07,9.06041618753406e-06,2.5822442034986737e-06,3.6542385806193067e-07,1.0791751218514056e-05,2.1526796835091844e-06,4.004900492834973e-06,8.694499177286374e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02325093380652521,0.02328103212198296,4.7793241168658795e-05,4.234233982658431e-05,7.847824374573875e-06,1.304665849355402e-06,1.8750186381311096e-06,2.767688884741659e-07,4.1871254663483626e-07,6.5187688580437e-09,8.538581197647943e-08,9.066227690812667e-08,1.705795193984727e-08,5.686236699276037e-07,5.490867591717574e-07,1.8330075102213073e-07,2.027582346464385e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02363211842420454,0.0006385527508550037,0.0008153125410111928,9.765576674802823e-05,1.5363669948476044e-05,1.0380101259865882e-05,5.253346004652215e-06,3.606920903065358e-06,1.5347096748996591e-07,2.262894154725359e-06,7.88149725150511e-07,6.344465841578995e-08,9.787645789405275e-07,1.4295213435211451e-06,2.80695291010602e-07,1.2627169154733053e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004089649540599538,0.00031799699218681976,3.950613529468683e-05,5.384067724323316e-06,1.1225626689315149e-05,1.1746415573554714e-07,3.649015397066968e-06,1.4574826456836831e-08,3.5384114931424904e-06,5.929706063945162e-07,7.374940746984748e-08,1.5264239643375532e-06,1.929370632147709e-07,6.456875132343498e-07,3.097679153185595e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.720018819051793,3.524402731605612,0.13363775931526534,0.26771124929066603,0.026400464065996943,0.03020553136677262,0.0026558855501825906,0.006517752654212394,0.0048432043186174,0.0015088660442237334,0.028676442997125046,0.006812436251894455,0.0056371320808662195,0.0011767800316375698
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5465504021606495,0.026811172319070153,0.06959229557626585,0.03174414930751579,0.023398550716613765,0.0008568769004936305,0.023696269581554907,0.0035031667147210413,0.0008646440077924034,0.008324001475140064,0.004252666212404624,0.001280950520190463,0.00023519004082173112
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8400993294729602,2.7446087581651972,0.09585823074237165,0.174203913658843,0.025808465052402196,0.006959228691146735,0.03140797003403818,0.01293369605372141,0.18838017796497813,0.05965649943697858,0.026272438945856194,0.005114338192411139
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09836143854260138,0.014450914339824594,0.011242255387451161,0.0006668988205447146,0.00019686286523579177,0.0017807240492114795,0.00031384940819423335,0.03652023522842529,0.08643820104779554,0.00584371648215487,0.00019470704493063096
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9192975103259067,2.706254689336764,0.09145357419238465,0.09816084659083124,0.1873286939623041,0.005302492740876019,2.661296558981403,0.2833846920340666,0.21607576259290187,0.053115685108128585
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08942146646158433,0.004819915439728151,0.005251829627491045,0.04136927757505682,0.00041976527259968144,0.11578298392772668,0.030957971301981524,0.010374607687240078,0.0004171504618566413
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9408092370441565,1.9648960563906819,2.7661998210992262,0.05252046406653177,0.18046247555754344,0.04417155691673756,0.032177197130255034,0.002381814562782081
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028110384704383762,0.08414704398211414,0.025861889080913913,0.00700685320456107,0.0011155599293612983,0.013830854479109256,0.0003505463649804419
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09117502701902358,0.004754793672047342,0.02619211867922533,0.00453979122731929,0.003917056818935394,0.00030175013698707787
S28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9545506791074982,0.04579343724835683,0.008391826503054457,0.008729893469250502,0.0006028933305874951
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006344830288345094,2.2955605823549163e-05,0.0008310437312084584,6.067531942210991e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.025888186641032,3.43542830373936,0.17124717315470495
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5087428906542883,0.06460206711925232
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7075111057016659
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
