 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,C17,H18,C19,H20,H21,C22,H23,H24,C25,H26,H27,C28,O29,O30,H31
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02621161529799454,0.02418378995277015,0.001600375952002464,0.00026852056250448175,0.0002158445015465471,2.2973851256269384e-05,3.985057551947335e-06,6.874337052265034e-05,2.008778628193042e-05,1.4628238174108077e-06,0.00012157475667740059,3.3910474124931866e-05,3.338143580888797e-06,0.0017253682403566284,0.0012569126747852266,7.72911381863306e-05,6.141517478219782e-05,0.00017187794429551762,8.090848148345486e-06,5.799438764997333e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024523828718680418,0.0073900202285330785,0.0005015202565948895,0.0036811399631329067,0.00046102634036038204,0.00011792172984437244,0.00012551857679299339,1.1473084841950865e-05,4.680909746923589e-06,9.912444105086848e-05,0.0001167171386913246,2.7916052960375026e-06,0.001974987069086831,0.0015057134902316527,0.00010553414752845214,0.00458402451045159,0.02973233565637745,0.0019664604914212402,7.016464232334485e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008352738909753743,0.0004442194546689926,0.0004925119322769511,8.635555990998967e-05,1.4173484091051236e-05,0.00015324311254261147,2.09188329780563e-05,2.5790958368965278e-06,0.00035974788952009007,4.6569484472014366e-05,1.1169289517498626e-05,0.00450751700321117,0.010966461992316434,0.00030945672848425865,5.165735240364455e-05,0.00014670664624305552,9.48343091744519e-06,1.4250564013273959e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.649153097115663,3.349919450011246,0.2747320153005385,0.02013272220614115,0.030088197046608117,0.003470733697428674,0.00022868948655974108,0.02732889507198144,0.0001841950554521965,0.003064368596796818,0.24115344540620035,0.015077164642815166,0.021513902161636622,0.04490784504338849,0.009958302051583878,0.006856264335380835,0.0008067580201404079
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5363321376563205,0.08614807331872913,0.028375894730270468,0.010535768578919483,0.0010872619324125976,0.00027834001229831706,0.007882370897138322,0.0001795685335793662,0.0021696100035915045,0.056334958075644856,0.005887158885065635,0.010896153090555027,0.035919730701915065,0.00689001671810012,0.003906819530403519,0.0005783135298447206
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.785739594291617,0.0910203675472292,0.20206635162881903,0.022032650306907597,0.003197562134087617,0.20596940398352687,0.003061936522012587,0.02269448932645135,2.7546173046785745,0.08716294634619948,0.09663040433248216,0.183469783309174,0.03038649670411532,0.02690465407996552,0.004699544552393742
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9796052725586433,2.437375907138617,0.08092510953653509,0.09073192135030062,0.19723259668262288,0.00482057984736084,0.026061165589648105,0.2170881505304432,0.01831151050910096,0.00918702789471415,2.549770226872627,0.2726277232221516,0.22104202591695984,0.054670224211132545
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0792267544149241,0.0016271455017393688,0.010181876131567513,0.022023432108839947,0.0005384918583464238,0.0005563376221193739,0.0187122763658899,0.000821481975829208,0.00024438137366544765,0.10551023158940143,0.025552115483496896,0.013280668279973429,0.0009328491555746776
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1341701191982327,1.9476671628379298,2.4457661209496497,0.08436918694613538,0.07922160855552907,0.19579719372841053,0.0225647688441315,0.004296535258798695,0.19334120737217986,0.04158278004475974,0.023782542519134628,0.0018348618761991897
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026561889639613367,0.07877429407877212,0.007745075353230435,0.0010538351276048186,0.026740751701228582,0.0006577253953328199,6.412630587071533e-05,0.016299578111059976,0.0023707551391450865,0.0046568739802791415,0.0001359495571395808
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08285429354873353,0.03125148758623464,0.007671462400874018,0.005628452081773316,0.0003043905426718396,0.0009046344056686806,0.02412953642706217,0.0059846386767152815,0.0018481476426912558,0.0005679645783700504
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7728447673813017,2.003596863249452,2.7992516046794544,0.08037165100871402,0.07765212244299136,0.015180539572949514,0.009030886752156117,0.003715394387649215,0.00020790802763714922
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026177956545180736,0.08254284229207087,0.010359618638339674,0.026365126238148795,0.0051421880665489805,0.010137902348899663,0.0009621928542073999,1.891395855713185e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08416749097515708,0.0014526704385617872,0.00798702921115324,0.002136100018134579,0.0006155646074537113,0.0006390874149901915,8.038555532552394e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0537942653344574,1.8228439916982486,0.01627225076179961,0.0033801736041895736,0.0044389365302839184,0.0009945350301375777
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024780763617546997,0.0004926321199605344,0.00024181184799620947,0.0001646157273802462,4.783309665068458e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030610097241705603,0.00041170176419813576,0.0006408281392930038,8.543943265526543e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.334589128984647,3.2648293881383252,0.16494249584619114
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5154330348133054,0.06634430011017634
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5896371057428964
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
