,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17C,18H,19C,20H,21H,22C,23H,24H,25C,26H,27H,28C,29O,30O,31H
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4604689725062012,2.1121680717723215,2.3592504003092536,3.3027889353626194,2.8212164228489454,2.3619953730482792,2.8351898415684205,3.300752309590222,1.4733934294077256,2.130520115095109,2.1248410638921653,2.4612996707209605,2.8334146667415596,3.609237933011573,4.307450051520473
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092435926871387,1.5468309476144457,2.210414327065877,2.166661725773397,2.415876127537875,2.809424569898704,3.3896243741496117,2.4453484416808267,3.2564658050652926,3.1037477974033236,1.5295209082082146,2.443983700568233,2.3749874759616354,3.211823968686137
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2125797565373055,2.7628335681242286,2.3955394027571866,3.354812102871793,3.866864135162509,4.2151205092308315,3.265710281020092,4.143735844229014,3.6800618153968725,2.137648922276211,3.2275965363625185,2.4603503347085596,3.3995811151375896
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0937492123219643,1.0962415984407516,1.5377431431320883,2.171697928801573,2.2096576056045016,2.4152235334316114,3.3458717032293657,2.9147356014611203,2.535802476997746,3.275794999367611,3.194744621281632,3.983808446813931
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769547675340958,2.215462677511785,2.463094088467923,2.721836787732209,3.390940215331888,4.206594900826286,3.959841690024203,2.6474616862679956,3.38983370398772,2.950463105159022,3.632683391271226
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.182188495054579,3.0712159525727194,2.4697805678545093,2.814940100788615,3.8693407669559856,2.9031955891902057,3.432963921978,4.288349917528361,3.921639761569483,4.801649647358481
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095072574253001,1.0940792393625196,1.5374744763719377,2.1948463083256757,2.1902714710718816,3.1819771729725472,3.402301319744908,4.212493764058607,4.828768345745103
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7739727461725212,2.1662291232932747,2.384010353535636,3.052053146489016,3.0252557923697894,2.905120451532728,4.093151587695406,4.508146073844651
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19903424834823,2.748971202524351,2.4220819842136425,4.230079237408553,4.453362945563567,5.166369107308982,5.789991781922939
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0920787023945007,1.0995983323474616,3.409659585596541,3.5419183942431207,4.6219427330137,5.2708401768382815
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7762948560962208,3.8831097644653725,3.6699090609510914,5.197847474667122,5.7045307056103125
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31657796382913,4.587457243758383,5.432891590236601,6.169984414418113
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2109702070881863,1.351411040208244,1.877534948784012
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2550356895928347,2.2916616004567274
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976542071879835
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
