,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0132790702183812,1.4496631845540644,2.045782659918802,2.507233574635822,3.400101010615923,3.0310096401783206,3.3621501765235027,2.7518185972608604,4.045066545941081,3.07239260215175,2.833909765864019,3.411599930289789,4.08317601085709,2.4529566833793175,2.7956754727617876,3.6355455520251234,4.320811236918255
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1175562313416934,2.956641762648434,2.8153053410396702,3.789232047462126,3.426969410266451,4.005041551623892,3.0098310456794777,4.301916160649523,2.8378576290103372,2.3159674739905123,3.0958827276620497,3.8580994266310222,2.806819323060258,2.83575386197066,4.08583141547158,4.6577146936241105
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942023167345916,1.5554185525321775,2.1306006866110914,2.541179213688236,2.772273819809799,2.8258877462118615,3.4982300174742678,2.575382870028876,2.889268318568378,2.8239718171100403,3.5205046045325474,1.5310510541670672,2.4512214467883253,2.382883948479528,3.2177616615605547
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168299863303873,2.4494478090138103,2.7201498976450855,2.495940032009841,3.1059189343921494,3.7202907070079254,3.503004410017493,3.867299856192921,3.8200424735748366,4.323605063458281,2.119428633602993,3.132076360313025,2.56650947280541,3.4600882957851864
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973054513680567,1.5349361440638345,2.1870607186426856,2.1842188515005754,2.1751537080292938,1.5377019215268195,2.1962248227944494,2.1988402029020837,2.174256276797743,2.5497257995632676,3.493667477362928,2.963609580685143,3.8295228637692147
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147958054623345,2.491138794317637,3.0707562559339796,2.494516035772661,2.146696204475282,3.0771771609352823,2.509594149574034,2.478760660220318,2.686420540626166,3.7692799915689994,2.5570894550870875,3.4197663043710858
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096451183403383,1.0956899688170294,1.096286246014292,2.538808966131092,2.812551965559227,3.504498834261848,2.777856900108063,3.8982913174672538,4.8406925248373645,4.3034852321729415,5.2337394483480715
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771631266619558,1.7734201362206612,3.4987341347932364,3.8329190704942917,4.356059336447334,3.7750614787920798,4.154218219708828,5.203198417895218,4.3963930061548675,5.369676264309125
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7734343733816014,2.8211474908712093,2.6522225791073697,3.832818556618065,3.1677972663178973,4.275065074351925,5.034702467021308,4.953577977743284,5.851003783863788
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.767471597535815,3.1261682485519233,3.779007173209422,2.554996519166122,4.70782545446827,5.650709790520502,4.958878003988457,5.856478691587467
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097174906936272,1.0966229112871828,1.0959488381811138,3.086306310758906,3.622410469064679,3.661194573242306,4.28898752997764
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7723567258299175,1.7645966882431725,3.5501775479822397,3.857242375332106,4.410189944029195,5.013905303743532
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7694642439008677,2.7461035229725135,3.0584920982134793,3.262561436933001,3.674508256336336
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.047931751182327,4.637441544323071,4.392845565281444,5.0070989811912705
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212123879295257,1.353664890844477,1.8785783081640182
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2505430544156413,2.2810219928950115
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765222052076186
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
