 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,O22,N23,H24,H25,C26,O27,O28,H29
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014601108267852297,0.0037018777318041304,0.14940354199300473,0.34725049784561546,0.013424990634638242,0.0018656289390879266,0.005141088983115667,0.005232535585996678,0.0002647896983010156,0.011861195983543793,0.004071215517135275,0.11179348406465273,0.29488213926518714,0.0019016259685629144,0.0010425858757529965,0.00012091487170166892,0.00039474662843480557,0.00018300451657482508
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5898843390342865,3.7457903167560467,0.13250256977717534,0.29260351970569953,0.023591384101538493,0.030867867503004964,0.001322180411510221,0.00421188425300989,0.002002496553647093,0.0007524481219437495,0.0009920826365651947,0.000360078495456051,3.4453400065359574e-05,0.04253531854200143,0.007177029971470281,0.00694797206149661,0.0009793430594761121
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5407202786454884,0.020279120461984212,0.07468175040693117,0.027536866592992038,0.00961676162898742,0.0008700309568080433,0.0012294728224363505,0.001488126467147105,0.00027813928294784934,0.0007613704912223102,0.00037779182857689,1.6965038486360662e-05,0.02594620691858042,0.004247206048531585,0.003073069935034936,0.0005596660212755511
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5326510701091087,2.728122790411117,0.09664086317991505,0.18629590279883013,0.010668952635786266,0.02473199342736143,0.01654591390666474,0.004189742994036211,0.006648834431433326,0.0030508289762025687,0.00019663396385072307,0.20175209503534483,0.028484849440377977,0.02933598604463901,0.005151375043513595
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09812343842598714,0.015177711078384615,0.018313258030190016,0.006798610583444109,0.0009130244934401066,0.0013198937917495712,0.0005113733670397691,0.00476739935124848,0.006869598024561441,6.870317599960707e-05,0.0052319696535780835,0.0007769823714550705,0.0014580099646012146,0.0005164649385036579
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8583007221297339,2.7501901901822037,0.08126457121917774,0.0894110817489071,0.17296592572952615,0.03964744892274327,0.028523546928362453,0.000542834460587116,0.0023995252223824037,2.611166397326333,0.26148465502172663,0.21310526446305122,0.05495299866554737
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07821908488525553,0.03296373228672733,0.0028763258072941333,0.014609527320368354,0.010484060258270422,0.0021008073617660994,3.866293891152672e-05,7.002217392493293e-05,0.11249339825062687,0.026966744348854044,0.013778459123601872,0.0009049081649454838
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8929364888180622,1.6706138649658855,2.5535679199953254,0.2953504338334616,0.22362267541794312,0.010795693404146989,0.046814944444656836,0.1977653845766122,0.04151647778770133,0.026275933152133127,0.001975494570220948
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026325114878434697,0.08690710512170563,0.025316271502344945,0.01032849115844292,0.0032939065903871967,0.0013458855174277584,0.007034046141558559,0.0018265910556178877,0.000861528339363371,8.235150261159951e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1017565361022803,0.020397278809497044,0.022438809668514748,0.0010753072859996937,0.000953358587508335,0.014468203976964356,0.0025570871315161448,0.009738332415661133,0.00018618146212023845
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.035216152167978,3.686297752074429,0.13644745617576204,0.15474247443536082,0.029890175186075424,0.008734103737613103,0.004053087838447378,0.0005319701574548752
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5788478381318112,0.026961715537875186,0.03224646577111967,0.007435428706758118,0.0025987612603102644,0.0008049518690917135,0.00015498807780167656
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784519775227226,1.821790764186917,0.005743040608520544,0.0017608498125080835,0.0010658959021500325,0.0001161360309324122
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03939518992438007,0.00015830407413996994,2.026594650050839e-05,3.746060507625604e-05,1.0861989958588225e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013059322892164937,0.00035839711657070783,0.0002352824317702895,1.2539027776981015e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203791127670663,3.3781569022632407,0.1660823148369458
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5182040201524907,0.07815035930785397
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6973437560459246
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
