,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22O,23N,24H,25H,26C,27O,28O,29H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4590362742887453,4.675954509267476,2.689402932092905,1.6707132807798395,3.6822469328593925,4.443828158096433,3.5260640294182566,3.006188831556038,4.578810801717243,3.5860593497010074,4.745391140310253,2.7926657299503654,1.7722834825395126,3.402788125318395,4.674728215238037,4.755591281265468,5.8853883229089226,6.508236342355259
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2378044418504068,1.3504105339178403,2.0696960127390156,2.4424872721737008,2.6530205165047493,3.708959271489912,3.970510501135548,4.564373588537411,4.164307802587256,4.851055815594918,4.367809557676901,3.97103702512965,4.91362042059172,3.1707660868255623,3.430950360839117,4.226121266833676,4.834634675874618
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.276310038495521,3.195873027235407,2.800220774037422,2.629694312969185,4.277576451030725,4.73766894624661,4.9338433390193535,4.783175680885105,5.233322939931367,5.237205149513081,5.007366716492869,5.737153399537784,3.224086905520361,3.584717789066411,3.9817188434542885,4.538197416549883
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0424572326864607,1.4398686078427334,2.0898440344451834,2.4409408092028544,2.6216959943910747,3.371809790016993,3.066217484350993,3.933542836931316,3.327503587898753,2.946192250578492,4.053745403198516,2.4598905225733447,2.8591363825102794,3.6177337845861475,4.302518052114872
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1444108253234755,2.939540694151623,2.536422364891415,2.3401290620873363,3.5839914965902335,3.026010784346472,4.098496711547319,2.895977684231603,2.24322356149308,3.668113478073724,3.130248808704914,3.3378867517646085,4.354343911998501,4.997926435344805
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958429895557453,1.550787821907375,2.170265382381719,2.168354499710644,2.5555157037823326,3.2088418739269766,3.3724962425413203,3.3630944964376632,4.165986010484566,1.530556341364313,2.457832758926794,2.3871392247438603,3.2106601607495233
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171576836834753,3.0669259687033126,2.5452698634145974,2.7030472018990253,2.9421562347444032,3.694716876849089,3.904090422055307,4.297041827730215,2.1252700108736615,3.2144650207961183,2.462060133424538,3.390535943667296
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096074493685303,1.093624330374748,1.5378606975428573,2.4044455474653956,2.45579536883144,2.6664407650128186,3.358809154165847,2.5156075946822445,3.336929594071682,3.0951742636744064,3.892827849818023
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7827949321176426,2.1928187593801125,3.268443168944626,2.5846531344381245,2.457558913234074,3.5911659752718,2.8291647342066213,3.278428756559425,3.6502581903104647,4.275803493351065
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126266594065125,2.5506412945622197,3.2560353903184085,3.635740507838838,4.077537131805424,2.6449074572551945,3.554838267951459,2.748806419591971,3.499281025692552
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2314622874575665,1.3576084002062356,2.1056871562711024,2.002475891314263,3.8766918834426063,4.766057560563498,4.338073044301733,5.231096138922475
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.286719181832121,3.204538388903655,2.4745288242633214,4.459152656528293,5.508620975513863,4.5894950213058605,5.526953160754249
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0398077094182816,1.013023359279969,4.7420548946972385,5.425468864209565,5.450547240485215,6.299816165381319
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7416419722303764,4.649686754256095,5.12575119917769,5.578701049358413,6.355875404472967
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.609306364951661,6.347078680612702,6.250573204797607,7.1414770857312115
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2097002301037654,1.363641054342424,1.8710129944428058
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2501168839252244,2.2560919744258046
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755871841692396
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
