 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,C31,H32,H33,H34,C35,H36,H37,H38,C39,O40,O41,H42
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028432474896664894,0.0015493661137726544,0.1214060268751953,0.008340949258974995,0.0038104945711492366,0.0005263296130118,0.026836142616703307,0.001231225407561709,0.0003828695425853734,9.152124492217695e-05,0.0001028209090654375,3.393170161514192e-06,2.2179236554453752e-05,3.3113570907516987e-07,2.808605042314838e-06,9.619336038824144e-08,6.658188058672465e-07,4.5958730687800653e-07,2.598881232440675e-07,5.7580552215164005e-08,2.439794744013568e-08,1.7810242614046956e-08,2.4674373655386717e-09,1.4470275089273343e-07,1.012232342390007e-08,2.952189055438481e-07,1.0931424210269824e-08,4.888891328880263e-06,4.192123106427914e-07,1.5558931594217285e-06,4.625589471451974e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9687563231343508,0.3094333576286772,0.0034850610184440356,3.3575299440705977,0.12322107001335125,0.32619590154476963,0.026873827378474213,0.005998702071453976,0.001724996552096264,0.0016278298373239297,0.00011669516631529486,0.0003718953377005313,3.2518119532864986e-05,7.420528447898977e-05,2.2117481968120245e-06,2.128607509988001e-05,7.38382259980741e-06,7.071108222733713e-06,1.2238710930950747e-06,4.939632913814052e-07,2.1791964988082668e-07,1.0719103005207842e-07,9.456238222863012e-06,2.396151463912588e-07,1.2144468098829186e-05,1.0976750397517776e-07,2.6685013390731482e-05,3.452188600580608e-06,9.334678926858908e-06,2.1029199092081896e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003785492144311453,0.0005306928634210006,0.12068457571391855,0.008189205190688886,0.026653703871094003,0.001239518068377965,0.00019906903447020063,5.418483425678744e-05,5.3961823299752965e-05,1.3024792542060126e-05,1.179907508741529e-05,1.3954599060728157e-06,2.269237000085411e-06,1.0853806031718705e-07,6.606813804932443e-07,4.783595772828164e-07,4.268787734407198e-07,8.128627504433439e-08,2.0566667480181877e-08,5.507143407967874e-09,1.4866012865155653e-09,7.671357549199342e-08,1.582359332452654e-08,1.649917988899574e-07,6.878926317455125e-10,7.85516295565003e-07,1.7166613419661303e-07,2.658135012101326e-07,6.634707383490479e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9706781663875084,0.34810622270014846,0.027435541471235947,3.637876138015239,0.12380941344043461,0.0009163548454843851,0.0003336296610016304,0.0002760316788035927,4.624128560082319e-05,5.3628407019251645e-05,5.069301680094007e-06,1.2784950238126092e-05,2.154425051692499e-07,2.684349283965659e-06,1.4749348179465827e-06,1.353802980164076e-06,2.750400311113399e-07,7.750988539889647e-08,4.008109444342267e-08,1.4065562270459964e-08,1.1379483861179152e-06,3.7949041242768544e-08,1.5378179268887848e-06,1.4605675335843671e-08,9.185702653929928e-06,6.644373445052754e-07,2.6779599983928204e-06,5.062636018182687e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02726472250323786,0.001361848147342748,0.12545174852010843,0.007988557538877838,5.2485526619072687e-05,1.2336324120898468e-05,9.643605610509809e-06,4.6838566913898205e-07,2.5506735297220473e-06,7.918873801138204e-08,5.949468895316556e-07,2.439982660362716e-09,1.673228555709727e-07,1.1867617843996925e-07,1.6141735659225276e-07,1.767735191560149e-08,6.4183041104115546e-09,9.384715227156448e-10,5.860285590131298e-10,5.17824654266974e-08,4.8151305165333724e-09,1.0273804007532306e-07,3.2619551504353694e-10,2.1850697251579732e-07,2.372055019073116e-08,7.423267467387973e-08,1.626074697114177e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9296774367661014,3.6767758900688756,0.12495328622976898,0.0011468780093853992,0.0002910002832664238,0.0002892214590682618,2.9819416695109346e-05,6.48656765692146e-05,6.891480753501433e-06,1.5505780533400793e-05,2.4063204273616634e-07,3.1386055715509897e-06,1.299662447065697e-06,8.03894739997979e-07,2.396630910533881e-07,7.819267455744239e-08,4.370822259680551e-08,1.2903182744494757e-08,9.993801672325553e-07,3.814929638856768e-08,1.3612898799308937e-06,1.764136592363741e-08,7.93804427326461e-06,8.476095735981959e-07,2.3778459571077715e-06,5.138910234014915e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12595522670426218,0.008045968905421752,0.0001072228690577326,2.7392231285672253e-05,1.786170115081198e-05,2.8083831362657463e-06,5.807568794313767e-06,4.239520150495224e-07,1.0897263069686858e-06,2.314475056053311e-09,2.448876059713001e-07,9.567903824780899e-08,4.913226714364782e-08,9.859312144477883e-09,3.1925886379013946e-09,2.0801611544385423e-09,4.6291237509876737e-10,1.053215203938862e-08,2.167888091264558e-09,4.3950421080296564e-09,1.504160129783827e-09,6.635330744853007e-07,1.0185246135385739e-07,1.9376120130587537e-07,4.9155095993569375e-08
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7181917957237651,0.0016584534265336182,0.0004429608665662832,0.0006403340637481103,2.6425183911049643e-05,0.0001683097686765722,1.1258851495776767e-05,3.445666893017729e-05,1.1810259995526096e-06,1.2089544165094779e-05,3.1338061902280723e-06,3.7216596979749994e-06,6.504508559546096e-07,2.8138049068537896e-07,1.2544694105720566e-07,6.352795767217145e-08,5.145650279078651e-06,1.1353045437090259e-07,6.448937381886566e-06,3.9043132171734385e-08,9.449090276170136e-06,1.2494511963251353e-06,3.660350281334268e-06,9.213816009046027e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.003206021234277e-06,2.3433739876344006e-06,1.7086488719453286e-06,5.380683920641616e-08,2.2230117546762074e-07,1.847764741214064e-08,9.419491320272755e-08,1.6132801761159499e-09,9.142422818797513e-09,9.856019778098357e-09,5.707929462417383e-09,1.9434206466328874e-09,6.340343805533166e-10,7.457223727413975e-10,1.8470847074070207e-10,2.1757007306888454e-09,1.3392664754974248e-10,3.0167810471937173e-09,1.522182380142567e-11,5.26823333846238e-08,7.037345040039611e-09,1.1524892151726362e-08,3.130913306392813e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.034604789762685,3.6393190563205198,0.14125469009660752,0.2723823490708492,0.026955383145781386,0.03446759935576765,0.0007524938448715268,0.00391947678732274,0.004344866800582575,0.004207228090252313,0.0007546903372379066,0.000292728088599592,0.00011208080413105392,4.362936343027535e-05,0.004908139469335132,0.00017151410268145817,0.008452977446065102,0.0001718656607239133,0.03225058549378898,0.004781913518248665,0.006024386278935728,0.0014427250880255649
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55263421923004,0.0230686085769225,0.06500404236768204,0.04639924086152403,0.010628991212338082,0.0009788210630479188,0.0014829636610834696,0.001338455801366295,0.00033758695463959043,0.00040662538738527043,6.1063018536478e-05,6.449497534366522e-05,6.458247859097987e-05,0.0170926652537996,0.00032052851464325904,0.04326108984955024,0.000310119442877399,0.011196489610163535,0.002987883854268014,0.0018238242508659408,0.0004615129038957333
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8758774901851336,2.7034166436105185,0.0988680405335296,0.17870116306082637,0.006768337305411931,0.026256203540911516,0.02100850401727325,0.014849625087795193,0.0032557610665016473,0.0006318862250687118,0.0003347991768472003,7.322753432581486e-05,0.0018334987881285236,0.00023840494077376206,0.0011190050787992512,0.00015599843995728335,0.19543367154108326,0.04158120202470193,0.02836377985302843,0.0051408321438446425
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09823585133242496,0.028003143865212188,0.004249549267585251,0.0017705327286134942,6.925299105775551e-05,0.00028966654404938286,0.00011045838778622752,4.2965044593779034e-05,2.7940323093611497e-05,1.0643448817848622e-06,7.188950315484277e-06,0.00025241704092682227,4.722157004577454e-05,0.00011650143453834083,2.996669013177744e-05,0.016992233640629184,0.03725439221883453,0.002920536711741195,0.00010279946621127856
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0154218221172346,2.6815049049479547,0.08496722645909172,0.09159878565318058,0.14961342891802687,0.006849683417737618,0.03263182096089812,0.0006605558174710424,0.004640578143571883,0.0010624763711086782,0.02044592450396336,0.0008757385021995745,0.006988963565981665,0.0022872552345796215,2.5835290595950315,0.27765718911591986,0.21971045043065923,0.05361192991736363
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07887647737025694,0.03192964647688257,0.004248984774604558,0.007008645410424674,8.266572727344546e-05,0.0010726830880148919,1.6161709113005074e-05,7.141512710084896e-05,0.00020235829272574613,0.009711257223791403,0.0002729114156101442,0.009413264637408991,0.0006614660279957718,0.10897347414497371,0.025573562979752218,0.011668731419606115,0.0009637482589650581
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0849481833051557,1.881445231386447,2.687283675711598,0.08519203794895103,0.1861353799736053,0.009557792309304869,0.030545441809196605,0.010735042275442863,0.16265551830284244,0.010562301634780669,0.004927612049771435,0.030807161764767166,0.2095276938520396,0.043593115408593466,0.029410169131421277,0.0019476914385742061
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022807697093306434,0.0854808656398589,0.0045197855789429475,0.012050798865396839,0.00020972748349779025,0.0007689248186617537,0.005763532632899748,0.029843079819574347,0.0005567368980192722,0.00025301924032961054,0.0015605650279966188,0.012467107524928078,0.002962402451408108,0.0010311832765446116,0.00012409216622577546
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08193721081816974,0.03565303981275947,0.00995426051904058,0.004583291775629217,0.0006145796668335368,0.00021098524104656846,0.008564558366261688,0.004609604454471006,0.00010524990772498022,0.0003809714760945049,0.01044127431222619,0.0018572605322765279,0.010893530945897512,0.00019275656341255498
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8517645598801005,2.7856672197134307,0.0805750209043492,0.08461621737531466,0.08151801223264399,2.8603094781924643,0.08177379230574977,0.08795268846919901,0.08814063615812406,0.03093031004288363,0.008265142026874811,0.005155446226105753,0.00044617323605111725
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08029504624591055,0.03509638960856498,0.004792421415779069,0.004288487092147353,0.08143644010704021,0.03482495518273754,0.00568716961630944,0.003365267053181409,0.0009390325156877211,0.0001340816605410744,0.000370044829298255,0.00012091662137336812
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8733647597007816,2.0004817945490814,2.118838963598715,0.16944534532879646,0.007266494213367558,0.029612842243509685,0.012559911070646912,0.005969123041464686,0.0019819919199040165,0.0007975961992255087,0.00010202893683730618
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022988916709938412,0.022741456431400797,0.009161449709324643,0.0037429041542362818,0.0005610832881959293,0.00019622809841179922,8.497379740068922e-05,2.6833462851927337e-05,4.7793888214187064e-05,2.9616442938085186e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02389098656484334,0.009642586133644881,0.00013043310169358335,0.0005956008779053334,0.005076606856520227,0.0014222077422003654,0.0004892619286029909,0.0002055032939547452,2.5762525533101766e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031707163146653894,0.00033880562085353283,0.002705936267350273,0.0009752300853707041,9.223517313960983e-05,4.898303129552417e-05,1.8173145528432855e-05,1.0731913573369667e-06
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9697654993885454,2.0611541404450744,2.0240506829021823,0.003338845291185888,0.0013919399982483122,0.000446593160546932,4.33474295004066e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024865956934984723,0.022847672833590016,0.00010993321643315568,3.892826671658689e-05,4.356684925466148e-05,2.501276978872369e-07
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026028300890183598,0.0007825277673279007,0.00042114009345772807,0.00013082721458057556,1.1203719248342736e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005095641828900543,0.0003069721279216342,8.599710330225996e-05,1.247374721735639e-06
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.062015132084463,3.417236385785423,0.1716280927456736
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5132822679158775,0.06891772323287904
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6092758335554223
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
