,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31C,32H,33H,34H,35C,36H,37H,38H,39C,40O,41O,42H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39552920660135,4.2975598420543255,2.152229922642266,2.4729340625074636,3.8743982188585657,4.961671550978015,3.4041155746598863,4.301599195925879,4.323029436508328,4.456863063145822,5.474005494719173,5.573181222314892,6.664750951668754,6.5422987995522845,7.869051613657666,8.201137723293826,8.728729240703336,7.887117431901502,7.181396227127541,9.300774291780476,10.07156778273488,9.533987670604294,9.565596028468626,7.810913556742203,8.600948799888055,6.867136635989215,8.170837521020776,7.274712792637468,7.2189734192541355,8.248396659515276,8.740825477995747
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088418551500378,2.784832101147368,3.8720646215277528,1.39759173174988,2.155140981103348,2.4201280333223116,3.406748352484776,4.865501167999752,5.369670731703515,5.750086627856267,5.61612268956898,7.143416869637698,7.346976021057048,7.8094269137141685,7.879004115028618,8.86240945851844,7.427503397514019,6.41879123820552,8.486279871633394,9.48157553378022,8.470231530525842,8.543440551775696,7.704856026488757,8.734570384131487,7.082449586232933,7.777583448149565,8.058925941116197,7.95565601571376,9.263854063474689,9.854622745423196
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8731895926175444,4.960409428933886,2.1541673431731354,2.475037366270294,3.40319581029695,4.301770005913997,4.855182108628644,5.394557783464549,5.614423556220559,5.483072699201409,6.967102556945533,7.2325402788413085,7.425747629988708,7.448927251174848,8.496957761951727,6.900907297095735,5.843839620755056,7.822178695278267,8.856972760596301,7.723415067884085,7.842201998427552,7.259013165829167,8.327797726785978,6.763915387605711,7.241128679746711,7.987815012246516,7.939563980534739,9.202024784592549,9.8370841814037
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872659266842248,2.4130016934493277,3.401102676376774,1.39778803932795,2.1598579925292913,5.912386749296533,6.256076238838502,6.936571833531136,6.815674086504745,8.280128001072523,8.329629675730766,9.33379150067149,9.495083632952646,10.29550791683223,9.249739701507986,8.38331584600829,10.52767976544934,11.417343791076423,10.664295419135996,10.655009369885082,9.352363401801153,10.25314722289861,8.512027145707263,9.595598178027778,8.895448034588735,8.674223263621686,10.00258474074189,10.45801985753907
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4002916698890173,4.302748451774761,2.1584353777994356,2.4897232218650416,6.596661433497807,6.8769682970973305,7.625947294829349,7.5138386066797285,8.91901296040399,8.917434137343852,10.07295463846382,10.260638004621041,10.992921962018372,10.07752521933902,9.261858976314755,11.407075794046925,12.258499801113835,11.586564813044834,11.55471710411018,10.126423832729458,10.976122523289364,9.233873684826117,10.416681504725169,9.424314197525034,9.16958702964424,10.47565052072898,10.876274162187684
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087317646638068,1.3955158916236676,2.158276144356108,6.14218172652322,6.65986263651396,7.001617203526688,6.776806094259838,8.421023210997744,8.646406430222092,9.12993133727713,9.142740538745064,10.188406644034083,8.798289018719146,7.780356851526424,9.831662925615952,10.839602321772222,9.809528141276326,9.835116313908387,9.101524011806163,10.12799318105737,8.467706634266062,9.168973901588076,9.23480202302654,9.023008542363753,10.46146515760943,10.993349426257916
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1570675320339183,2.4891734192189325,6.959458931390886,7.521385388531785,7.729513063901736,7.449141358015711,9.149469039846808,9.438137397908841,9.732274696172906,9.671331091200337,10.811693220433156,9.327123855280036,8.268917855456355,10.238020467224402,11.282784574297835,10.149311539807796,10.174379673735624,9.70870784692832,10.765293615260124,9.159386414402704,9.705811634004048,9.987654886901563,9.749531970131383,11.244740406933849,11.778298974007996
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869576643297985,6.590015074517472,7.0408663080437845,7.52415838466455,7.310140737616552,8.930622495358897,9.085349240850213,9.823877498335426,9.88487136866874,10.84558270157595,9.627894359568787,8.669260078718581,10.77822661725552,11.74031219505106,10.831538627072216,10.821046869328312,9.848202155820788,10.821289390449905,9.10714612525424,9.998245748076432,9.614860429047472,9.35156720864031,10.800055876167304,11.272162544630618
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.654005270094333,8.115521223810966,8.559160842785651,8.298542469463179,9.972708026413482,10.145519300508832,10.869559929461694,10.89454288253304,11.895972765661757,10.688118023968103,9.717743417430581,11.814720059743548,12.7885609337443,11.858035061411261,11.82440768388366,10.930335616262644,11.906688626696107,10.193923824419246,11.069448201338,10.606433958249676,10.285255910704878,11.800219603666504,12.237585279613674
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229550061729201,1.3607842794483354,2.0268197054212185,2.465416114386428,2.5107100644435056,3.553009178515149,4.003944392866334,4.427420542159791,3.709549442170495,3.213092919361003,5.187548508288979,5.859551838496223,5.645591953355086,5.494018321046568,3.8780247736872795,4.629790014051312,3.114922361134684,4.536916500186799,3.510754449924467,3.876178144838985,4.534458301443717,5.2538501432267015
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2896625172218914,3.155771742847656,2.8441404286578926,2.384980798529129,3.8900230791716504,4.603905224435008,4.588130129143815,3.843065143846184,3.5341035681366155,5.363694145587901,5.923126659937728,5.727507555990843,5.89135071910258,3.509033288308622,4.177986658747266,2.5216910115309417,4.105219804283053,3.992521631948952,4.61314963867027,4.726531139758927,5.534586928156756
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0163041454040742,1.4489647784152357,2.0575162729268315,2.506461893171943,2.7741649199193152,3.4210938982436576,3.0890805663693803,2.7511913195890028,4.472153661353904,5.088081861124651,5.1378032326732415,4.615201073357683,3.69223098840847,4.327447095603449,3.2340442208850395,4.523110425926777,2.4198822446229595,2.756894120313677,3.594994177388073,4.278017854901795
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139029306773475,2.9608976103611724,2.98174110929642,2.8665785820117438,3.922641841001585,3.678989185668986,3.2261392817615313,4.88165161863409,5.554406075315374,5.576908111227082,4.798244361204265,4.536639401771407,5.184025727952554,4.186759878587102,5.326709177816125,2.6313615869992946,2.515288879924704,3.9565108232317017,4.466473611120789
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092908037492634,1.5518728969430284,2.162482424256261,2.159069753415237,2.6125986582693717,2.8324934159354154,3.938253477973162,4.268320818398647,4.776518151725283,4.205422598284832,3.1235704043024253,3.4244408873599292,2.8557079980461184,4.1501862047296205,1.5247746995087625,2.434338278880137,2.3832135545043127,3.2150787801740344
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1786135651579763,3.068133727127992,2.4959410724832054,2.871851711135893,3.20912099336138,4.284648638855909,4.503485640439419,5.0140967309265845,4.787721766894292,2.8004696035791548,2.971485406498815,2.2867172724378353,3.8404684897103016,2.1447797584767,3.19934120509982,2.534998117236729,3.460699522527806
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0995560127464963,1.098425852699352,1.541107905416405,2.1466714024198157,2.513601130819635,2.7950731433319227,3.478589631995224,2.7486210031382927,2.561762118755434,2.795498291783955,2.8765924943065486,3.5085458432454915,2.5007340381599756,3.3379685951972053,3.034523721581451,3.8422394319140527
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7636075205014923,2.167686029533304,2.4799884451008953,2.698761503309463,3.081567632715708,3.7055255783878347,2.4715655451877825,3.501499322060168,3.796996439066125,3.867141009770628,4.325392678635622,2.6917402142812032,3.168114092537522,3.4104045707027564,4.021324759214983
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168649089850407,3.0577058923776286,2.7541117901354517,2.5829633076528395,3.7729306068729693,3.086095634506652,2.82235390522629,2.611337381060146,3.2687464272335656,3.792801399507034,2.684321624666468,3.660909242035481,2.698575848052733,3.487101467259774
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0994350352584155,1.5374438640852808,2.1865778475260367,2.1843913535670896,2.1940526367847513,1.537253990742069,2.185546772393716,2.19313189832443,2.1777690417737823,3.9166488610572188,4.738264086275124,4.439033249318474,5.312823671590668
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1465238755506797,3.0718247529265787,2.4926176724130538,2.5035219608029724,2.149809415100141,3.0725029621452857,2.4669993531617997,2.528729956329099,4.211556565828964,4.842635373670032,4.999818209370785,5.841722296475585
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982572246195157,1.0965783249400938,1.0973460094569234,2.534282561786176,2.8493182295200197,3.4934069227553466,2.7208962129453345,5.007529821691391,5.754203508103481,5.391576097393796,6.178269833780365
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703997931594528,1.7725582463950922,2.8050954475174508,2.679329188858775,3.8406079849169594,3.0618978304303193,5.1640505215439285,6.0100998232273195,5.27332830647989,6.029096011013022
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729303274545523,2.7763057711489396,3.2111553512116067,3.750296055097443,2.508412473994298,5.9740641353659685,6.723233974299372,6.387751672890961,7.210766405147576
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.499303758733978,3.853063306227679,4.351348715916289,3.741968740953844,5.087982644444904,5.636749525534212,5.594938114415709,6.271906003637842
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989958622711613,1.094487033949499,1.0969710648054298,4.505923204867475,5.518235490556316,4.770228900448641,5.731216517044843
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7804951512545806,1.7698034562314588,4.579400212527753,5.699877766679182,4.52523047619227,5.468847718496108
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7689823197963774,4.283762769586868,5.280532029189583,4.623117009731456,5.593946038794814
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5720108532078685,6.543118306043941,5.865631883141283,6.824694888829263
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2116634160282265,1.3529281586509647,1.877680982096473
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2549834710249055,2.2885015347084194
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976660912885186
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
