 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,N34,C35,H36,C37,H38,N39,H40,C41,O42,O43,H44
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08927606131774035,0.031820842726409504,0.006528704161120613,0.0056816988024641635,0.004080489031797807,0.0006485595343013184,0.0008792290216788068,0.0009219080359887943,6.214928297154643e-05,0.0001597415062165597,7.095105995613693e-06,1.3104725289592167e-05,0.0017927069881176205,0.0002128340033856757,0.000593047035534866,1.238418050109047e-05,9.103856402803423e-05,1.402523170224157e-05,1.5815443742406288e-05,6.329202102417497e-07,4.90673547037801e-06,2.4556689057764203e-06,7.341017455697596e-06,4.3332932242456934e-07,6.360559567930579e-08,2.3597726759305715e-06,1.577202652924825e-07,5.5571683899025e-07,4.177906531843689e-08,2.847091028046478e-05,1.0876891530564592e-05,7.1461427693098045e-06,4.767820414031121e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8186731511782956,1.9836251369588518,2.5622497139758913,0.09353064744197137,0.26571968389699085,0.04763539347248717,0.015876044375692677,0.0013868386793547405,0.04549747610815247,0.0014374335192692822,0.004284028586463151,0.0023163913341764097,0.0007521089002333059,0.0008189854402509966,2.8311057052254895e-05,0.000133985086537447,3.982296336046964e-05,1.652961318601709e-05,1.8534084966770337e-06,2.933412332151164e-06,3.0313719322216937e-06,7.300000064547341e-06,8.898405324808678e-07,4.0902163878087094e-08,1.6868328325536641e-06,9.034482029157687e-08,7.164936676462563e-07,4.4960681178096706e-08,0.00014164226306279115,0.0003018014140474812,3.3319709250051455e-05,2.680860446524491e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024772768642800314,0.09268537393029885,0.028449850277243227,0.02117720503271303,0.027515231066957302,0.0144367018970879,0.00015765289148217398,0.002122212529967693,0.00015436665126200566,6.856911852159975e-05,0.0013988611242865545,0.0003101636303615152,0.0010581577732151626,2.0603858961187882e-05,7.201429157088768e-05,6.150041884356305e-05,2.9622583328503538e-06,2.526689456550102e-06,5.078269815772529e-07,8.731890688284949e-07,2.105946582786622e-06,2.2635449337116142e-07,1.8424240577630258e-08,4.7039299366780085e-07,1.204511557162391e-08,4.1226665636884263e-07,9.778612808375442e-09,3.522925649446229e-05,3.458127710787018e-05,6.697157336144066e-06,3.513443549429951e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10058921251074338,0.002383586749855171,0.027542659476696096,0.004455011259710928,9.821280719135572e-05,0.00010101775179749417,0.006343945406427243,0.000631099588468631,0.000662648861400994,0.00019947601138814441,9.091060911026183e-05,6.725068074275864e-05,1.2388633008342254e-06,1.0741565562799593e-05,6.839960595694805e-06,1.3704814241233265e-06,2.2240450547883484e-07,3.1253851107138075e-07,5.59054949667015e-07,2.43663446319875e-06,1.1393860899211461e-07,1.3874575932604216e-08,5.259171931282225e-07,3.560660566392926e-08,1.7064264323796152e-07,1.593358689433444e-08,1.2498981403208376e-05,2.344067491166779e-05,3.4035496809803334e-06,4.7288816773516373e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7439201641604494,3.658135815344679,0.39047462665913546,0.009132264105062626,0.02890545916627596,0.36862872706853766,0.01759642765632008,0.02898568018976988,0.003459295563499609,0.004954076250572752,0.00048180312520285096,1.0067736617824785e-05,0.00010059402815024154,1.9377265133679877e-05,2.1129538355535438e-05,1.9767229937350805e-06,1.6213753135652098e-06,3.707152913950962e-06,2.9346766272780878e-06,7.378229483628873e-07,1.5440628220453334e-08,5.982525546760487e-07,1.7085524994797652e-08,4.08313910085778e-07,5.7648832374468384e-08,0.0008002913709082016,0.0025904214044982117,0.0001794996664305215,2.3577327821877603e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642340165245102,0.030033177447795545,0.0010076788151842653,0.0012698258611938407,0.018345513864803098,0.004722724981004678,0.0013425720796753637,0.00020208986768466275,0.0004310085271005404,0.00010838342288632674,3.427007437828422e-07,1.438747178372779e-05,8.005826273471683e-06,1.977586074786153e-06,4.033274656478625e-07,3.9903757231840586e-07,3.5257587882586705e-07,2.8096256587950563e-07,1.1579640968317761e-07,1.955258843722163e-09,3.440469653614997e-08,5.150018189681305e-10,3.4629698553168e-08,3.295629324995275e-09,4.970564698614233e-05,0.00021652990485732104,1.554348511745296e-05,7.070101357697922e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6109584969090163,0.15114638936008518,0.15414773726856557,3.4662605256832224,0.15470423206414674,0.15332655738555867,0.01560554452480964,0.02214758490420922,0.0017156791718663245,3.386028274798836e-05,0.00038419739255352026,7.46577555861272e-05,6.026655035568096e-05,8.932734201438919e-06,2.6655883260673363e-06,1.6440330694728056e-05,1.5546819548517554e-05,4.025330959001039e-06,1.872312260786657e-08,3.717999523228377e-06,3.01978291261662e-08,1.7144774179245204e-06,1.3848050051112892e-07,0.0025240805868782523,0.010542689622005455,0.0007412655386452027,5.3133138210648134e-05
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8038217499493394,1.8467502771820583,0.37528002839688923,0.037500205408776854,0.015309033443139164,0.004438358979317519,0.0026045141041446673,0.004129492882085695,5.514048308108421e-05,0.0005227459036028365,0.00015520811910407772,6.573511086024886e-05,2.762701969094561e-05,3.1349454988616188e-06,2.500432478591552e-05,1.7106122357113396e-05,5.131949172357264e-06,2.4511937701809927e-08,5.438799121793014e-06,2.6562915644845475e-08,2.5840102457486136e-06,1.4112306434554966e-07,0.010127199637547962,0.07149730837372814,0.00346815391539837,0.0002292884065204781
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04107029933291506,0.03226956110507129,0.0013996095297219568,0.0014152815762669135,4.8810765983064996e-05,5.623915490093889e-05,0.00012628696744154677,4.2557620605343516e-07,2.7243911515650865e-05,8.436552386470453e-06,4.743786879646272e-06,6.234117777559334e-07,2.3687111072590028e-07,1.3902108096930377e-06,6.556832143900237e-07,5.080532249346348e-07,1.790758430431083e-09,2.4132438158908087e-07,5.623035592705605e-09,1.794396423671074e-07,5.338987252301308e-09,0.00047920302928083913,0.0020673174391279137,0.0001570076996714187,1.5479225917935935e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013829920471685964,0.00028332683360976496,0.006649436222181393,0.0009235758393716376,9.196434713354407e-05,0.003693461780255647,2.3074932018030125e-05,0.000576401539662097,0.0003367864826531175,4.8327053701502365e-05,0.00010121635540327745,8.453245201600623e-07,2.646526319260989e-05,1.3670822185507525e-05,4.571230669547788e-06,1.9644688986630854e-08,2.7105562494522673e-06,2.0406505152337218e-08,5.460679908031452e-06,1.5068549297225786e-08,0.02052480337242424,0.20592609021683872,0.006214882829496227,0.0001394156538869762
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8585272154358914,1.8698759062511,0.01026018308988047,0.03129356746415766,0.0023665914288474033,2.9285213350549455e-05,0.0007721196797348812,0.0003044484320475771,0.0001678337514662842,2.054006280438614e-05,7.446569978086792e-06,2.060056309810543e-05,7.972268193046084e-06,4.786768016629139e-06,5.3336082772581506e-08,2.8870399169100835e-06,4.51233201914647e-08,2.485743578445332e-06,3.667250054739668e-07,0.007970254647043984,0.022566073240511436,0.001235960786762219,6.927327547878726e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036837589004888205,0.009786968972279597,0.06713657711886822,0.0030605218163046732,5.0871117289297274e-05,0.00021735324218674634,0.00011675322318893677,2.628097252366235e-05,4.630311180253699e-06,1.678180685527053e-07,3.0410062660246595e-06,7.890046904268644e-06,9.404182829131358e-07,1.4572013595781641e-08,2.8482127952811354e-06,2.0672047851277853e-08,8.861420932593234e-07,4.895079164235483e-08,0.0003040536513131409,0.0004461905181986081,1.6570353270739524e-05,1.1215829980315561e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022920613867016826,0.0011899224670329778,0.00031804052011652484,2.4942155247620335e-05,0.0023132020917501217,0.0003569051477116947,0.0002480062369704106,2.2757510240278833e-05,5.1851973261740625e-06,9.792297186894672e-06,2.6569241425855594e-06,5.001301456752927e-06,1.7180458167231905e-08,5.212763817263877e-07,4.69527485780219e-08,9.343285822804859e-07,2.666308329679623e-07,0.012033077138859372,0.0604787766286673,0.001577117765499736,0.00042046889993851977
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.601511993956596,3.250797130918456,0.13458244369716565,0.2687358161893964,0.02852645056757286,0.02920426062379075,0.0012997981988107643,0.004016206725217186,0.0021808372558980993,0.01019677523696147,0.0005265797593392574,2.1592931222169653e-05,0.0019310169011922396,1.45748138229429e-05,0.0008185192409944642,9.066452198447372e-05,0.0332916233740434,0.005921069956784986,0.004242229909256406,0.0003244285844837824
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5127403001043943,0.024469628316820646,0.06832154241802865,0.017030621492673537,0.008677323391168057,0.0007007070074067645,0.0008721779217643055,0.0014159646404962728,0.003976525538896117,0.00030809357175205776,1.0336011998735017e-05,0.000972508527427085,1.0112694787012266e-05,0.0004242976468158549,6.946791868078783e-05,0.05297577553729574,0.010941835560513924,0.004212059546295457,0.00017492466684088104
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.721134915290996,2.8608072859422315,0.095882438760999,0.17284440448589813,0.009014658861235203,0.024737769490209116,0.019860863181619948,0.08737888239525216,0.0034448582207183553,0.00020393597476220382,0.012055530380842922,0.00017671770777771822,0.004753586823962347,0.0006441147521030199,0.18025821662507424,0.02371652319093532,0.028568055152449368,0.004876494100770956
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10046959759644414,0.0057236495436117085,0.016661024255036128,0.002313888020434973,0.0013620011457442516,0.02408554793537976,0.23511697499609108,0.004670453847451128,5.906237696917671e-05,0.01751664715132839,0.00015747791293518887,0.007029334922180164,0.0006658564382369114,0.015840222313412533,0.0008240360024119875,0.002775408339246943,0.0011676610348867467
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9984044388438713,2.530233302405339,0.0861584444218082,0.09262039177760895,0.17879648967210657,0.023557508055936482,0.04142650604799902,0.0002699436975481806,0.006608345131018073,0.00016104578474718245,0.009486019403725204,0.00047967288276218323,2.657401483308899,0.250867990489695,0.23299418110486214,0.05401269964995459
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08072586529213055,0.03383701879204026,0.0038564551896818067,0.009872511589161803,0.0007457904304783991,0.0016524806201310138,1.5835491310456362e-05,0.000323340089334323,3.631615860033577e-06,0.0005302374612234928,3.3523836050930456e-05,0.11971774366222498,0.024450065696322465,0.017270692827715206,0.0014023566527257003
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006901534218904,2.006839021893991,2.8099708664812297,0.18777494786717736,0.24934538646913723,0.004140293973206255,0.049821917216783584,0.0024562430067049945,0.04451112834698259,0.0023594192970193273,0.20905419130258732,0.03977164654203297,0.030035368434169027,0.0017869284396928586
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02545562654377531,0.0959586589207988,0.011460821221234596,0.040572611967794714,0.00013771109016125216,0.005129249071262443,4.512501207543096e-05,0.007222811973569776,0.00031270806208327784,0.01111304981947625,0.003917563536479651,0.001160002597635268,5.8320569308545345e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11045942635106276,0.021620999093817872,0.011254243883474624,0.001829505044717017,0.00323995140966149,0.0008400095018197273,0.0015343697187985006,0.00015327145346355486,0.01193279534494307,0.0017233358988160141,0.008012902576778336,0.00013879036365249675
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4511771697687834,4.018132421588707,0.11989293604938189,0.5485237511482297,0.03562606621523612,0.49007724599886543,0.028814194896314094,0.030696473010814296,0.007628595840587726,0.0045660566100141076,0.0005515047533286577
N34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4223780093096817,0.026032967445617228,4.258195188369467,0.11183777022973829,0.5234396624513893,0.02814782952612771,0.004618048776190403,0.0008330335494597385,0.000893936979861551,0.00011674116270377066
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1233749584023567,0.6105382375618458,0.0294086968031404,3.3717958532878627,0.11100346155367369,0.007422052888625658,0.0022711808534362776,0.0010665949868493146,0.00014973921657579492
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02980596507007882,0.0008478205962521024,0.09987487622088143,0.004555647218716485,2.7099588206125347e-05,9.9583404523651e-06,6.182748393590565e-06,6.815330364506877e-07
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9270713391084497,3.6610756770089035,0.12043745853799992,0.0015527326461571012,0.00030435667978646885,0.00025882619557553166,3.25419588184106e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10491595729294767,0.0045964769691204665,4.828823904667878e-05,7.6247296377784934e-06,1.5497754554782972e-05,1.5336437340085496e-06
N39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829755735164913,0.0019820759106349006,0.0006315560870817222,0.00029706545952855323,4.250598572119735e-05
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011207182386063774,5.380603228732905e-05,1.561358927681944e-05,1.0748123924209096e-06
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242758749744843,3.463877296774826,0.16437351844847226
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4950670741799325,0.05874159575501625
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7612771774116993
