,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34N,35C,36H,37C,38H,39N,40H,41C,42O,43O,44H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158357254896194,3.0650746725049247,2.452952537731245,2.804420707467527,2.6122044024254527,4.072995955949058,4.914808510062647,4.854199822751599,5.708080904791521,4.835011128134641,4.613200043160228,5.790774160259126,4.433488333889546,4.607121824773154,5.52908371577992,5.775180321912106,6.80915879605468,7.103661543309699,7.9754674048823135,7.95020040362337,8.895041686918926,8.264247410470992,7.489954760900422,9.491854688912985,10.407694044218399,8.369825725877732,8.35150073787068,9.533527174346034,10.38970305268316,7.091723860942546,6.800216860598282,8.123353206855079,8.500844247899249
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941551803130003,1.0960425272821908,1.471760811110962,2.134370966010919,2.494501522417601,2.9445379890101036,2.7231728932899486,3.7958019378807095,3.668766559586951,3.8546747669580155,4.463737023312174,3.6173571974390715,3.98855173613874,4.33846494599058,4.605715396829952,5.595418701413155,6.179762157595196,6.598009700331475,6.344819620193385,7.52030249792279,7.087926757381419,6.439899917432886,8.417074779514099,9.304150519644447,7.502108101575014,7.646506795381734,8.625081874971231,9.560764614868084,5.716787700960334,5.200066024261174,6.9053629694703345,7.209533299144384
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7675588230762063,2.078595337358518,2.9631627357374066,2.5690882617824915,2.5449171232149252,2.1715098409657645,3.250510185966105,3.8365567858487775,4.119145303149438,4.4425500107274685,3.24766731166648,3.8809498205954145,3.6560896466357287,3.7955370940142723,4.944610521218994,5.647411629545519,5.770267682691485,5.430360120600897,6.731862053713979,6.226027228272857,5.565558233264154,7.562408895884718,8.4617710794682,6.649884786332452,6.82562739645931,7.770784012252471,8.714488829640949,5.175125325752668,4.677103206154909,6.445303617563874,6.8030682461864185
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1108913662240454,2.6414004744163155,3.1519783218583677,3.453886902109799,2.997275534540966,4.403936912656577,4.363373432121038,4.6735537244297465,5.149283268584645,4.699075127450027,5.06493573512941,5.335586655953556,5.5337811863623045,6.585266192716732,7.226558600603239,7.500271009179973,7.142669856145697,8.428575976072043,7.98810984861314,7.295487480480385,9.320680810747387,10.22198422292759,8.328940563861082,8.411561047069602,9.490767520825267,10.416453336424556,6.641152817436615,6.007008763716038,7.8490723988046,8.089114639158915
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013706095889382,1.3375384018585559,2.3345734506480476,2.575916301564886,3.1894030791591637,2.3167095951825716,2.5723222515417143,3.204061686299778,3.521018380189507,3.4472666502046803,4.330098660678459,4.895315188346277,5.320223501914003,5.857420621550519,6.502144415489907,6.300653013156077,7.281637873562308,7.2514648326984785,6.862719619214022,8.59685639542445,9.373171961590913,8.033557623448946,8.345652361619699,9.0128797575259,9.985652701370345,5.090146804423447,4.4660671692137415,6.152492048199884,6.311849835167632
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000640551288493,3.210218996815681,3.548129157957391,4.0012528443493185,2.4579156627965557,2.4495650832759406,3.4585649104661016,3.961894346871762,3.639850468938147,4.96390891931473,5.592936874029913,5.888923031465217,6.281912504152336,7.190411178583516,7.092469931235948,7.922785569763821,7.9355407846952435,7.564236900545083,9.250638305431398,10.00557358883352,8.703775487227398,9.000927112221667,9.66536735816899,10.623151537856033,5.613357792312795,5.063270407358614,6.541395705243643,6.668149588121483
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3364525871047055,2.0457356900652686,2.0200672336103747,1.3522820427994107,2.0026154479598155,2.0048400894988467,3.297666876754094,3.1047768194510894,3.8219469751613726,4.5337315606625035,4.533939471255505,5.163708644656528,5.683500817596529,5.4329405351312685,6.3510112985518274,6.646366716289423,6.493005603392113,7.994792095977054,8.673577937379324,7.752139260487364,8.223641654225709,8.59090108480745,9.590814047722851,4.022759300757127,3.247094125993904,5.068334855532449,5.128594381835863
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009800926617044,1.0218895010185687,2.3215208187987795,3.1082769484575095,2.4503924446352214,3.612154590200906,3.7392810337264946,3.6579070069753863,4.227700274627805,4.302478848710983,5.154854428225161,5.143721823494516,4.662736457479893,5.822917910386144,6.15841826054016,6.051756898623908,7.518484292308777,8.186733570870228,7.3389844284096695,7.851777288812936,8.15050281926894,9.158577180598934,3.7789415533027717,2.81839330036779,4.9582055819560225,5.003942820551193
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7510083782035892,3.23426986774463,3.9855595290778547,3.445840734180252,4.084341443619306,4.437292345953571,4.054985062353489,4.410358919762072,4.871783359914663,5.786518041636119,5.531933745959688,4.927371951515663,6.299671144686708,6.40503364800928,6.139933559655835,7.768011599475677,8.502623646958687,7.37876092332746,7.7949926315057,8.283770681923341,9.276853971982888,4.546500184254184,3.6263723009434736,5.79129672548546,5.884115039572546
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5531193768964617,3.2867550167377044,2.3007509674299547,3.524953541202924,3.6428019353528196,3.2675209105612093,3.892392967997764,3.615257163566828,4.529598603775617,4.3523629800641,3.8476531143113517,4.93647481390887,5.503341303774712,5.595181367367178,6.830885335114692,7.417498555926842,6.908395894500559,7.536503273025839,7.586670176100884,8.596104409058535,2.9395446434913293,1.9016760755464839,4.115589649704165,4.14787587775586
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0165244911038913,1.0147053869103706,3.5895492512249123,2.933873809347267,4.180414696752288,5.074022378114603,4.536168566995642,4.982565740172718,5.833255702446257,5.741634716036312,6.315287726216737,6.932305931987818,6.99241817334588,8.213891784157775,8.771725714094682,8.257454364004406,8.831186576839773,8.94764700045446,9.938839356231382,3.7273993514230543,3.0344199625249026,4.481372442418385,4.401108926020704
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6911135578291183,3.254473493585686,2.3462284998383423,4.0838291376062985,5.01624288072849,4.434794724598041,4.668756333426196,5.875573138386907,5.967263735888688,6.350213718562729,6.874344202880251,6.914805461990463,8.104428895101412,8.661639651446931,8.12249740617165,8.675780417313693,8.797138368643019,9.761520461648376,3.788864420959353,3.4077117117976945,4.408663406857704,4.4452285895861
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.906975622261419,3.255633604029649,4.212768959226824,5.143568133879715,4.26397999905358,4.755764461336119,5.457229648968855,5.334902602090927,5.799503660377924,6.701650527353717,6.950512088586471,7.943452220552739,8.40293112674594,8.240628613243668,8.915161438142274,8.805806318984889,9.797534607388737,3.175218937464799,2.366271413273862,3.814223276128293,3.5829477380309616
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2354161346557984,1.3672029030710746,2.051146803862378,2.4503918173000203,2.690843700611206,3.7507643346199457,4.049348112208893,4.581122159587708,4.188557513323062,3.882573288049564,5.414087170809558,6.193569060701104,4.992247631039373,5.458359786458398,5.817262241444641,6.759362653599997,3.123916025773573,3.4330159707274146,4.111075450485017,4.774860552775366
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2733380091872037,3.1574581517116678,2.7913955718869823,2.7957350167393433,4.3073129591388435,4.68667152011658,4.926513934473985,4.9689617281065885,4.904118005337794,6.128036914909344,6.770812129376444,6.004095074388882,6.538635684839407,6.679914994815578,7.605559133103729,2.980963096031684,3.2860833052129927,3.7167088307167298,4.262982756915775
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0238793714056722,1.459007683642155,2.1075790813865094,2.4649984046598727,2.708856068042686,3.3964841225715814,2.978049093170628,2.8360339186265575,4.2886846219892325,5.06962527495998,4.081437068191217,4.716159761665633,4.8175220623102675,5.807117954456371,2.48958968278393,2.927809107940817,3.596769141476234,4.337330302011813
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0823323209379994,2.67816537015885,2.483370616198709,2.6500356636724067,3.5445256392709945,2.5151977621571118,1.9878504719518164,3.815190538538803,4.731732355713415,3.2224887711390915,3.78301601843016,4.1225394985088695,5.1051386308809,3.3226387836401017,3.7467761387946923,4.398702864548815,5.177146111970172
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097045867767969,1.5548764247347402,2.162340968239979,2.1648625765712275,2.5552252272505376,3.10361063845654,3.7215687426013124,4.248469576596043,4.2896120571197995,5.158257156815937,4.616487039136188,5.58348307692161,1.5248812072817484,2.465714058944761,2.352484723322645,3.2051899996331987
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1753112577025084,3.065340406968407,2.4896842869853013,2.80819309524713,3.4112203733664237,3.705427333951364,4.131970095606265,4.397498548829199,5.259421148283567,4.577043987765937,5.464407349679571,2.1131661615751187,3.238602306852626,2.3906485723701194,3.3484157350607933
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985065041857995,1.0942638509055407,1.502144058704329,2.5177856710546584,2.596525601660911,3.0686771495801897,3.5921330810799255,4.593742581628959,3.6675297614060867,4.618826838287872,2.4977571347280962,3.278650371164134,3.0977824930782294,3.8780347048426282
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7656903069141574,2.1438146463689165,2.8578851119808055,3.2577244271872083,3.7521324041490973,3.991517405580794,4.913553216571665,4.211468983412324,5.162573448384732,2.7162044202558833,3.0935091926791314,3.5481249353853297,4.142442931269092
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1348788618360226,3.4075439665974057,2.735824312881199,2.8005874588399626,4.289152522197404,5.348828317830434,4.032432892073473,4.87188409119584,2.662388561631725,3.5438574048693274,2.791843080160813,3.5092942404823155
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3866939511282814,1.373703596062636,2.247202371332464,2.160196896900134,3.214064878379512,2.190814531063412,3.172350483002009,3.860794587886867,4.669729653640221,4.405036681473144,5.266677171920042
34N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257396171079338,3.320139998044926,1.3188971178101196,2.1415377721675695,2.2098240285531685,3.1788859867020927,4.532778290993906,5.183271317782756,5.316472286138579,6.1839935520365605
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0797178847863549,2.212501275574041,3.2466433886709436,1.3790046940433967,2.1367026956363437,4.952196136467176,5.857434824677568,5.226813078144081,6.088851551353336
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.239186974961076,4.225511287853258,2.15742715948266,2.551439015904715,5.282768717891033,6.242189239319697,5.309951616895706,6.115450658763653
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0814699490972484,1.3603125193057426,2.1206866841337573,5.749975738670128,6.470674745416833,6.403694356609422,7.303818910994892
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14862605107622,2.5459644972493134,6.635530050474719,7.29261308139526,7.3591474277533075,8.262220769031588
39N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011101752796904,5.998427143504838,6.851640819081555,6.404051287735367,7.301518112137703
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.951917841516794,7.834160767249008,7.274727456217799,8.171680815321505
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.221992770346631,1.3376984720392584,1.8873915175614804
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2410624679375064,2.2962511750286927
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772148577281272
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
