 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,O32,N33,H34,H35,C36,O37,O38,H39
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0384956450160203,2.042828522238355,2.0720816992180016,0.03414311516719935,0.0007823802564767002,0.0010122684680584637,0.002757689036264721,0.02076371771248514,0.003899465791137764,0.008781597622607579,0.0004690107824688594,0.0008839641193375825,0.0002702569046216796,0.0012244646016091043,0.000896267687350738,8.591121835654913e-05,0.00016333182950123426,1.63608748943167e-05,5.2445622836794215e-05,1.1274378735992574e-05,1.362361013613339e-05,2.189978705913198e-05,3.323015423328801e-05,1.2277177253716687e-06,0.00010144110518775507,1.4004307889205203e-05,3.4976844489123526e-05,8.135192217095799e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024435125060488172,0.02370028995723117,0.0013572871891200933,0.0003008129183530439,4.390427161826693e-05,4.1997188133802155e-05,0.0019537719915736496,0.0004919833269756424,0.0005700918200308713,3.40910479137424e-05,6.531883559635077e-05,2.4009747279007954e-05,7.183267812505001e-05,0.00010394465649943285,7.222606746015714e-06,8.453890926407581e-06,1.1065076228611304e-06,1.5850787835614e-06,5.012077617383426e-07,2.312762855671835e-07,2.3646683744438235e-06,4.601795174474788e-06,1.4089081457058228e-08,9.849699431629944e-06,5.494399930583427e-07,2.896627719128908e-06,1.2803979188014125e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023742793937064244,0.00450972945793815,4.5645232376489986e-05,3.401730441621176e-05,0.000857078909918485,0.0005410970787536051,0.0002812198419852585,0.0002890833106246049,0.00010738149936528885,2.3463427223591182e-05,1.4662912637186665e-05,2.4721250727388622e-05,7.238952335275606e-05,1.9830195290282404e-06,2.2584312275863994e-06,2.1226103719129696e-07,2.5863863650776864e-07,2.4773927020937947e-07,1.1421813816969717e-07,9.114024066558812e-07,1.2266997078125286e-06,1.669061711062625e-08,9.54686231180446e-07,1.0516042381336632e-06,3.0459335409460664e-07,3.472857179609434e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008365312542648606,2.2482266330614564e-05,0.00038074431205936676,2.7210457222093254e-05,0.008854721518698705,0.00038205471954633197,0.005484344994015844,0.0001789493957695676,0.0007304286325169329,0.0002241282748354223,0.0017029116891569274,0.0017170120513310128,0.0001155317534289324,0.00028942837049950043,1.3145691191374098e-05,0.00012207447941148253,2.8298144250094026e-05,3.89679874868154e-05,9.674899519307445e-06,4.465013529797446e-06,2.6992672230718995e-06,8.088549904061715e-05,1.390157953362614e-05,2.2064731792781345e-05,3.6128239238042426e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1289399376347697,2.052536183130498,1.9414208421736052,0.0032532591431287117,0.008987176911386868,0.0010554824377827787,6.981102363479152e-05,0.00012961521734208836,1.2355329752411492e-05,2.7688984596443977e-05,1.9301842465124786e-05,1.5980886940436534e-06,2.4983596131900043e-06,1.9311899390750398e-07,3.1359614449666395e-07,3.5511537980759122e-06,2.4294373059535745e-06,3.060813003891161e-05,3.1019385918540365e-05,1.8474031081572306e-06,2.7745897410585973e-05,1.137637225099436e-05,7.01023872343165e-06,1.43405426167309e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022920050949378323,0.02459288499098955,0.002856154228649155,0.014940483090367218,0.001098662531715311,2.6850530454813892e-05,6.551179679248342e-05,8.244676839685994e-06,2.243437485938138e-05,8.036594004057207e-06,1.7760498522978452e-06,1.8951034377323595e-06,8.729533118589927e-08,5.439163612841469e-07,3.5657112167353233e-06,2.764882487626963e-06,3.055048561373397e-05,1.4800199064302078e-05,2.3824859938237353e-06,1.5516610073262882e-05,1.1191981194924594e-05,2.5018793727848987e-06,3.6199814723580914e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328867662004086,0.00021872024740976492,0.00029147109803395743,3.520365384424018e-05,4.436280751862753e-06,8.897863973178488e-06,9.376176226538746e-07,5.239660783695754e-06,5.5725507903670035e-06,1.711961452599553e-07,6.793261657644933e-07,9.655071853131858e-09,1.337364978759581e-07,1.0450184650956373e-07,4.587141633205505e-08,2.6443379241847254e-07,1.1139645406110787e-07,2.369671969759679e-08,1.956755117271669e-06,5.241507590181271e-07,4.487339870795637e-07,1.5881419024310617e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003013202103978596,0.00016984354107763,0.00011307962057172105,3.289219858482184e-06,2.4471884191967774e-05,9.900194397616247e-07,1.7951193780341157e-06,3.484599042646863e-07,1.8952248659331872e-08,1.4897356259702121e-07,2.0940252198897724e-08,8.178425492388897e-09,2.4527328168488793e-07,8.297925802036588e-08,1.7389253410549088e-06,4.558545278143811e-06,4.8326188162306494e-08,5.934784403471838e-06,2.662358884464311e-07,1.838403937970412e-06,4.939069533360652e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.646166027580577,3.56181620885495,0.14278672556142902,0.27291665494871875,0.021880634069301408,0.03717570747519999,0.011361080876367335,0.0006995947409844661,0.004204722147318568,0.0004547781157127062,0.0004324423528727639,0.001418571484940373,0.0006988298765425588,0.007997723071241053,0.02043470645684886,0.0002849484221155718,0.029191092273654268,0.007519977580711573,0.005885991716555822,0.0012311377690004122
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5395183254222387,0.02499312728041736,0.06050648624401091,0.019980485793697267,0.02589033363400342,0.019033743262257707,0.0010431391025810255,0.003093123638325021,0.00034975302505757533,0.0003797995929296638,0.006524527951857831,0.002685789297825293,0.060031441514741865,0.1923783932151817,0.0011203452998894692,0.006780788880377364,0.003934249232563539,0.0010995888859260464,0.00022273739232991918
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7692375805134206,2.8612436206221243,0.09845052039020308,0.1807522200766185,0.012958069509944936,0.003586573967869766,0.028322330998966472,0.0030247992669807378,0.0005111288291546057,0.0018442005599771383,0.0005362121498028588,0.0022405387743981847,0.0017005484121600523,4.842461629817052e-05,0.19432128316328762,0.06313346565419684,0.027065735471780122,0.005329747817751973
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09327116710288608,0.014525802548014166,0.00886609192061294,0.0004087394869287664,0.0002802326688042811,0.0016229737891182427,0.0004934183290374872,3.0450553276217818e-05,0.00017491626226562307,3.5184524799225514e-05,0.00026979131605020523,0.0001541600637999796,4.185342858731289e-06,0.03598439942504972,0.08948212002670053,0.005798800065581533,0.00018084056182177122
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9415345341032206,2.691033817663251,0.09247150353234668,0.08151610217660843,0.1539802762009607,0.028630584330330944,0.007111790361920445,0.011749937392235538,0.003523135956378251,0.01612656054758624,0.007314252827859136,0.00033227933104973406,2.5988878474788697,0.27452180703866247,0.21583941904879125,0.05387174316696619
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07549683646163041,0.001751718512659206,0.0295929052406414,0.011352557037492716,0.0012889307030041763,0.000296644271670754,0.006958379489603983,0.002299823510448884,0.023678829834092308,0.005596089773371116,9.47492111695869e-05,0.11422828391888218,0.029663338933077932,0.010144456383472833,0.0006116176101829129
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7736537641382355,2.0496072591521752,2.6554669319774096,0.09955936536615251,0.08928225816420332,0.14750894628745415,0.041756594356674906,0.021945531359922596,0.012103116846219342,0.002329100913309179,0.19262844991544809,0.04326050860331156,0.023312925085076402,0.0014274489560166526
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026674364680849383,0.08884102183818743,0.0036607324503974414,0.03333296973349875,0.007960670130314984,0.0013201800275509656,0.008964012206513772,0.009512759089283618,0.000256370283046925,0.02514320326500319,0.004667125430385832,0.0038598315266070715,0.0005035736882901265
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09340931726730561,0.006081644751658732,0.0035625738397806472,0.026273494688746624,0.004377610641834173,0.002621255333279393,0.00029175573037143465,0.00019995905043024287,0.017248595526218047,0.0023784087417150213,0.0014407332970882702,0.00017648135352787975
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92451631424438,1.7478088956125373,2.771450861378451,0.31671362695504446,0.21330113009641888,0.006383050336632667,0.046677718817679126,0.011002948357684061,0.003312991858377662,0.017823849877397158,0.0012610511623865062
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027527107455884492,0.10544444783983109,0.02559475441383785,0.021367534940032074,0.0002558414741486992,0.00016794892273952478,0.0017256619757510805,0.0005939402102437263,0.0008039945812334803,0.0001742864383200704
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10806213567158451,0.02106552502052461,0.02416852596395247,0.0005965451817775413,0.0006643108207982085,0.0036739168439567926,0.0014312466145696146,0.030549697654852048,0.0009207474394015147
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794873930887573,3.6021822464032818,0.12921250212583568,0.14621802323536526,0.0010217415626870563,0.0005140837641623708,0.0011153545326932357,9.455272791092373e-05
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5756203163644413,0.027438256003294748,0.032100665598775224,0.0003221041560320659,0.0001394158280621019,0.00021782804058332467,4.9838823135028854e-05
N33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7016660345139458,1.9391965705853178,0.002200512229295487,0.0008422056517775334,0.0004544799947684558,3.516120938973355e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04040911793185176,0.0004191486047747661,0.00033662164655301474,0.00016513772136417249,4.945355192909062e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.583687866024146e-05,1.5960930161207365e-05,4.7718029347554314e-05,7.710254598114474e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83630201369207,3.6092917434778067,0.16965405420720425
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508198528150597,0.06366592434267793
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6458811719077617
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
