,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31C,32O,33N,34H,35H,36C,37O,38O,39H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959519568028147,1.0968160404265774,1.097052810137407,3.9311061074508604,4.352211446992244,4.2305394986447284,4.693011896546809,3.1073149461544327,3.7950025654134505,3.5357400096952265,3.554330357726007,4.6847732956144545,5.395323223750501,4.680623682932088,4.003645073579895,4.6085075429285105,6.112402275803242,6.363755504069889,6.858585615232264,6.779477300281117,7.996299511998061,6.209163833844856,5.271500380493965,6.956581253505929,5.5610746932510855,5.466786454640865,6.778680052045235,7.35561471473433
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7595260292028765,1.767565560786436,4.166883085694913,4.813253806496557,4.40295428669403,4.7590611179811875,4.115846744682565,4.649822912308771,4.601526743200839,4.63404614829164,5.678360726427557,6.390560603355526,5.48935002398914,4.7302042199771615,5.347670290895383,6.852947662201475,6.965524293752,7.653306435106589,7.516572322907188,8.71192185929337,6.943578282349278,6.037320741722227,7.662540237558706,6.568710522614426,6.476373183496595,7.751559089213297,8.327252336632398
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7741540880669286,4.785145396147525,5.12995355222975,4.935030993618566,5.637747491723237,3.4682233688049378,4.40184153379822,3.571717878075527,3.2797607156692,4.77428697496414,5.591347450296569,4.94692099020807,4.481930239958675,4.717905680224695,6.454036011082389,6.758728859148243,7.063706841018474,7.271600693324892,8.486984493284103,6.815600677015412,5.889113911627377,7.616616481011404,5.367930149762336,5.041836990492918,6.641741688284572,7.091045889270019
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.275277650912985,4.556475251135397,4.806923909903669,4.941950505625712,2.833305825694549,3.376652712812322,3.0892591820319657,3.297853983347325,3.9856835665192567,4.742916286355884,3.724561821518491,3.0170012267144015,3.6280905554293748,5.116004472346538,5.299244828129716,5.892277586438676,5.853331166785482,7.055463432360222,5.4013125487055,4.531292733331836,6.213500447382245,4.9398612456560285,5.020386759365281,6.059267940480051,6.689402137590112
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094778788323736,1.0979537970439075,1.0962069376178367,3.760811659289716,3.478253065363395,5.085408624817735,5.577752349173623,6.108545706344194,6.119142208045287,6.32991360383053,5.430605979957112,6.902705510346058,7.322446935805039,7.7366960540664,8.228546675064361,7.133656830647414,8.205466287777734,5.957091081095388,5.051903609725534,6.162260158780281,7.423664943457178,7.692462227050109,8.47169436627401,9.261603804961071
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7786986896897663,1.7643747880281746,3.313847322691359,2.879553859165229,4.666523974319002,5.238225243897376,5.595649411350706,5.44167367190861,5.9745580404458964,5.1673484744023295,6.675532800378495,6.876576981561655,7.408497868576935,7.728267017740187,6.550027344111357,7.583238836556082,5.312339773421137,4.428062550684383,5.437937516111811,6.919107940576426,7.264277458966365,7.900021518349346,8.705845580061814
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770267999799459,4.3443963476562235,4.289023313009044,5.623445589203552,5.958274546184938,6.786186195255754,6.832384130821495,7.149639283606468,6.303623722965504,7.662457474756201,8.234131467748757,8.688692789014723,9.095057203506832,8.104157980738396,9.193270142348284,6.9367978323388515,6.005185458251784,7.146272171401909,7.993516830367593,8.121874426899321,9.115240824797581,9.846739027164318
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62479792202554,4.127400223413991,5.948684930432165,6.523729341450011,6.841473740218365,6.795362639932677,6.891519419854538,5.9209117457680485,7.497030407196365,7.7415414497366015,8.059930014517022,8.70893524623306,7.425588942716707,8.423988930263008,6.212038051164574,5.40483707194933,6.303674587147774,8.231897870484019,8.593395892872094,9.205718289765683,10.040887916875914
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2384692417508683,1.3545947698383485,2.0615044494811916,2.4627102615763166,2.6899235520988714,3.175286020971441,2.7508301930949406,3.7585115700507954,4.414409366005117,5.124345396682665,5.056704259932896,4.663413134612542,5.850272321024441,3.907301309915821,2.9273311151625303,4.562771157566088,3.6709076159485536,3.991080504394421,4.775936482234848,5.518269240060572
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2704331645663323,3.173105526011601,2.8014633819170665,2.6727855206079303,3.187948844155834,2.5752206846748704,4.013899768873492,4.1022925938011365,4.775844149774719,4.8834574862907285,3.9864991348585734,5.132598149824819,2.984644325906587,1.974150735446621,3.512806304634374,4.2400355492780655,4.8329735461100904,5.110505297736859,5.971542968965589
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012428021387187,1.4536327829307352,2.089179172591585,2.498311385738105,2.5376252078612707,2.898207675811254,3.8488773012504383,4.629754824252196,4.269749584223884,4.4408096428616615,5.599463877325831,4.063673715728288,3.249761654273741,4.872133034227332,2.3854773280009236,2.659538919031717,3.5926280206740264,4.259619012630634
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110615232582537,2.8472386427622234,3.194953038409637,3.3537090327294337,3.3086107253408565,4.588528386175237,5.338403343835845,4.867246945603612,5.331442450138952,6.459253424216714,5.049359144078579,4.259054389350914,5.861375895160452,2.4106180009338463,2.1876080323233342,3.7453068509432765,4.208867150282212
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971159762664726,1.558898953863688,2.144642876083514,2.176635642458155,2.6150949062403908,3.5333327287395093,2.870784011953706,3.309229291904579,4.3842744463302115,3.2955273133793623,2.782276454813111,4.17889474466309,1.5219201687414017,2.425700167805466,2.3833239753281976,3.218289784210922
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173957445939963,2.6350544509310683,3.0521918926965954,2.699417087406534,3.749512742357387,2.923342061933474,2.870317652780068,3.859814435626794,2.698922438349181,2.308914224022265,3.4340368730511606,2.1354782753826016,3.1362387804890384,2.5992536706222498,3.5000094478270722
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094094029177281,1.0974902245876978,1.5339627905104618,2.149678722063633,2.182457826833125,2.646286211196005,3.753330508075795,2.9315045788669933,2.6023122285641382,3.9397691957470973,2.5573559650576767,3.4764971433081806,3.003557987668971,3.859270961092937
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7527304582850662,2.1649131232150087,2.5183613447048345,3.0803593997337755,2.8771024288773077,4.063955996240756,2.7559577124985357,2.2071446794414573,3.7265038365256187,3.427218145078269,4.218249459907574,4.040337997852781,4.904196451267293
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1647397081133843,2.414682048517307,2.552822023489491,3.553590388631349,4.549311717189549,3.989689197590159,3.6667838666731156,5.000269478116572,2.65317357583147,3.3211447891366457,3.1320927365522673,3.797526447688691
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977622914723655,1.0938678909764115,1.5372270798387195,2.392063102085348,2.4860497320207062,2.734152240678812,3.393514899891894,3.349696742031895,4.466884682581597,3.1597235225248945,4.038731650434263
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7474941835528117,2.114804001453688,2.702231444921487,3.095279567165839,3.3985189382170575,3.936257271601868,4.222282554265223,5.250746563390819,4.0215369827672784,4.80862777384234
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11905421387775,2.5749092008119243,3.247500280273725,3.5765588120861027,4.053813501158319,3.1040641615736435,4.2354263729828965,2.501023596088036,3.2810875318775037
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2255376705600125,1.362971482002516,2.12555984944057,2.0212807716697974,4.272103922223712,5.455657401860669,4.024949620704516,4.95682521970661
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2709991125028304,3.2092945930340693,2.4679380320948208,5.138958741299297,6.349772449618743,4.612976128835278,5.459634992291365
33N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018657217010078,1.0113932421461735,4.569470074174732,5.66730773047435,4.650652040566741,5.623877039739555
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7378291521455684,4.219648470078124,5.1987285331562605,4.593687037293449,5.562674245982687
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.417389663808257,6.5154110053971035,5.428531804459625,6.386121166980599
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21452902884224,1.3450661548997214,1.877954223646618
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2524151186315495,2.2952221510423434
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977012081761933
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
