 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,C14,H15,C16,H17,H18,C19,H20,H21,C22,H23,H24,C25,O26,O27,H28
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4211364167015645,3.537773708297587,0.2819874085767997,0.02071272999258622,0.030123527742811435,0.003514771321604382,0.0002053465764884077,0.029390428981777628,0.00020478318931593797,0.0030689304094708714,0.23751690803298603,0.015427539481506658,0.021334759326116393,0.040168826287276915,0.007570278137017106,0.006073987930836661,0.0007788632591766431
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5288224597737984,0.08235427424241175,0.030355637045051398,0.009947821834590281,0.0010467057083242137,0.0002739892320875459,0.008129492330824682,0.00014917742545028645,0.002080492408493173,0.054124308502679755,0.006342197925574333,0.01081765626327591,0.026351944122802395,0.004460016548603594,0.003287550709019385,0.0005079866916645193
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83502018681336,0.0905247670048065,0.2059491586747148,0.022244390523945556,0.003125695465165279,0.2066251873040949,0.002978940976223754,0.02291057398373253,2.596145738137071,0.09142309550011984,0.09518583309725814,0.19180219939618898,0.030545792260849733,0.02745850287303138,0.0046008275256176345
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10019352154094,2.7834048980353954,0.08078096074165408,0.08956597886214146,0.2015095912463326,0.004945970495937813,0.02606981491829652,0.21981187491081267,0.018528834385107107,0.009781613817450685,2.751913591642991,0.2725408984781953,0.22118930704763667,0.05503856581662103
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07860156794138795,0.0015639261705002738,0.010023405129744534,0.02215337576004983,0.0005353808119157311,0.0005541668531248156,0.019105933673660758,0.0008818804095056532,0.0002274926451495407,0.10499083534003373,0.024525704966515294,0.013331742178929296,0.000965267470777631
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8969332224778095,1.9612300899478339,2.7404606213749303,0.08516433453869166,0.07842164127382834,0.19860014840110554,0.02267770336091801,0.004283525824818835,0.19119511475885692,0.04151761067223231,0.02371269374042266,0.0019077657734812847
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026547714229587127,0.07834547611135279,0.007738784872979965,0.001062906096936267,0.02674215907900379,0.0006253760369223649,5.878026950312254e-05,0.01606229645498991,0.002380751005971571,0.0039830902937958435,0.0001342600124338844
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0815729678782755,0.031127485823070122,0.00765121674185365,0.005602538557856196,0.00029891782810897993,0.0008652645776034973,0.02501084014293542,0.006133095942212119,0.0018670564767117037,0.000605346304834331
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03060986568002,2.019867042446868,2.620504476203945,0.07933485580781874,0.07899031894835273,0.015872815713270816,0.010589211122354114,0.0038870503836652692,0.00021105815659161475
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624901476258823,0.08424768334186306,0.010332715329482989,0.025955606758789163,0.005439724383444755,0.012271504831866342,0.0011242675895656307,2.3004943913385034e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08409143659309604,0.0014477356206596959,0.008021669464215675,0.002195807833540453,0.0007668060275187738,0.0006874552597385675,1.161157964357784e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9028696143239665,2.164301858816703,0.01623832500201433,0.0038903515773785202,0.004227247661567679,0.0009718434579590873
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024064211343952424,0.0005412631090770947,0.00033170933860493523,0.00015140576196659428,3.729896461912574e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032659515425790264,0.0005018089945924009,0.0006830700709044013,9.139886045161916e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169602563539978,3.5087141935288715,0.1692942319235886
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518698374907673,0.06646033138800289
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8365020697283887
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
