 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,O32,O33,C34,O35,O36,H37
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8465569798959494,2.1522499206804024,1.9790145605999505,0.0034181564841891943,0.00221322456636798,0.0006430767592897901,3.371862976009332e-05,8.68881266205268e-05,2.574732388072043e-05,2.770355683581749e-05,1.8020013421438108e-06,2.0184536715373014e-06,6.395286044361126e-05,8.809198143611141e-06,3.6717543170805556e-05,0.0010951332298360095,0.0007613909324297452,0.0039539525319339935,3.0166504483175594e-05,4.595332632140181e-06,3.854627641824981e-06,5.41142696652841e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02162496761019428,0.024199942522411755,0.00018795438684304777,0.00017050894107684123,1.2950052001636791e-05,1.9930539905121947e-06,3.760984373935017e-06,2.2109181263552102e-07,8.525107215717753e-07,4.027396283134976e-08,3.1067954808783327e-07,1.1444115128877996e-06,1.145973038685355e-07,2.7637454040885245e-06,1.959668068574061e-05,1.4166671558735189e-05,4.911609171509568e-05,9.594484502439826e-07,2.3047062436276633e-07,6.445684297418097e-08,1.2549862038468973e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02333713703678253,0.0009576589990678563,0.0005948159179003376,5.3962555163433734e-05,2.5856886602948492e-06,1.641085255088548e-05,7.525739649683061e-06,2.220060141056024e-06,2.330665405114729e-07,7.195404123638838e-07,1.7581219169393592e-06,7.589164907617629e-07,2.064654502920149e-07,1.744062003661284e-05,5.904688787028434e-06,4.3160169550970906e-05,4.42416336432494e-06,7.801504606774756e-07,2.0955696911073574e-07,8.74277650275701e-08
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.965865066867806e-05,9.899900296905795e-05,8.308790557753909e-05,3.558781725465643e-05,9.954538339185248e-06,3.297241732314049e-06,2.7532041701805454e-05,9.711873472095789e-07,1.3403294318869996e-06,9.555181002585122e-05,8.664304046668292e-06,4.895748472577566e-05,0.0023667943120844193,0.0017786014603946576,0.013462868215455281,1.9616376860653872e-06,8.506712108058423e-07,2.9309891069750904e-07,6.930012341754832e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.655131631781627,3.5273111272498654,0.13414925972183456,0.2907440360121375,0.028494778553744826,0.030569282858288277,0.001147821297525553,0.004233734728226635,0.0018874699322857513,0.00029171827416574203,0.00012985068507131992,0.004381361794813882,0.015530800909776127,0.0011274901892007888,0.035437079276214506,0.004855770401439308,0.006013517045633521,0.0007584993598748202
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5309220688639303,0.021741163279017428,0.07607149367042379,0.03645870850668198,0.009829517799649662,0.0008902259967173975,0.001196776284327461,0.0012301221129014939,0.0002543081612885745,5.283857015303539e-05,0.0022836197715064704,0.004887875317388858,0.0004092963069912345,0.016271980197658617,0.0024761414622458955,0.0021979426819644654,0.0003520362182611869
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6056750018401225,2.88701507954357,0.09524455062869008,0.1800421847039489,0.007897663827053591,0.025136866292516435,0.017860495112089203,0.003002818811795427,0.0007149164171960098,0.0377935853228738,0.1302520756144144,0.009349712321575485,0.20185193297405665,0.028809317748474464,0.03099726023268355,0.004940445353533551
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09750304238593732,0.013070140648981932,0.020921485736215883,0.004902579519767025,0.001448055471022558,0.0044808934200840644,0.00024644730641232293,4.795613844210678e-05,0.056374515226778055,0.2970464752937767,0.012443464149795136,0.00701221808381558,0.00043214076885889074,0.0017886118972491039,0.0006612637721277181
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8259848705499693,2.7381588140596884,0.0828237069259059,0.09060370402897222,0.16049243398831844,0.02727986324945375,0.012207345691949367,0.010005663062434833,0.01053337502015958,0.003533032338724068,2.4376356029845674,0.25917939492379916,0.22203304449991318,0.05451218448032369
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07896707197508523,0.03313038337014729,0.0037925275903472055,0.010121506269193947,0.0004051670814197994,0.005116567594148025,0.0009953248426464167,0.000914073101247137,0.0002597418739883617,0.11392833955592585,0.02786992614965622,0.013842340945717457,0.0008780089494757615
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8705158293321555,2.0223818559742526,2.457476621620353,0.09630054844634395,0.08285484218966466,0.14014978263162864,0.04582604925265445,0.04478394731138548,0.20223258421647683,0.04294170201498444,0.027858486066717564,0.001924929284921717
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023646290837556316,0.08153651579263443,0.002548102197561297,0.03468938909085573,0.012436155082167,0.02732890116681641,0.0025595756710847795,0.009205929634720222,0.002325034566893147,0.0009719902283131798,0.00011114486763674769
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08709721404787052,0.0075285069123187665,0.0022644931062254514,0.025532843211623524,0.004580943905276191,0.004872706469684074,0.011167738333307753,0.0017035821142512564,0.010314384566308288,0.00017620853742483789
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889457756549973,1.9282440444053424,2.6930845400665886,0.27247807497106213,0.3159371686892587,0.033604683622394466,0.00857877720093847,0.004647416034324267,0.0005480721096371433
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024036455922099798,0.08753785732644914,0.018959037283273306,0.020370789776897436,0.00405933387730073,0.0014040589236614665,0.00041347836679250793,9.824424502435924e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08340508534648894,0.022782230392901726,0.018555602373606983,0.0011978134736598811,0.00041692587051200825,0.00010536291483220772,1.5250573621505836e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.399649154841864,4.476436448880957,0.0025373414779215064,0.00029763365360499505,0.0006474053698318494,8.985173656439471e-05
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5623157881659518,0.0013403784662188167,0.00011648461997973425,0.00037964462194547965,0.00011911837126177272
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012236387270824212,0.0002958262346060697,0.0003375582003041708,1.3516484787534644e-05
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.310154602723673,3.3260807555815304,0.17011735626087132
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5075281563700962,0.08248920536780613
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5025138921939782
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
