,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31C,32O,33O,34C,35O,36O,37H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0945417464764862,1.1000836085239667,1.0989306871651938,2.5446045184415316,2.7919182716406397,2.8259190597897885,3.4959475032243748,3.6821397553171376,3.4486628035198827,4.882714260553302,5.278472107474347,5.709416492629356,5.259274345695525,6.719610038604428,7.313035325587993,7.481309657274051,6.358685021026821,7.362434853036075,5.838689895009874,5.896169667842144,6.124603964257654,5.746408812904343,6.706183650855582,7.1830048266657,7.390132315137804,8.102212999327605
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7829322681863629,1.77180758260805,3.4921096080774414,3.762676375651459,3.8516588343208524,4.32741982210802,3.2105100111779965,2.768618817680317,4.526096652623246,5.070492374629166,5.352566595418242,4.940990298858918,6.5497265107218725,7.105327659909996,7.287834170736958,6.443789585795839,7.504091322648015,5.996718026548928,6.096931739980968,6.1824888525960295,6.1655985958748545,6.144920393643577,6.519676120340817,6.838400081477198,7.463241657310669
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.774217032722395,2.865520330305385,3.2280229484456164,2.7081854924985307,3.860916866095552,4.3567722690687765,4.292196222798635,5.555674031431655,5.821665611627572,6.539592969314399,6.200231431222378,7.500868809716667,7.997777038842221,8.33600657119978,7.080987235468296,8.067300153751074,6.643086491004791,6.411802255855876,6.5339934887074405,6.177847954059971,7.53764058873135,7.910998831886144,8.321698336542248,9.01028860899691
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7499337962774275,2.5441725370405193,3.1047273601161534,3.7616773916627557,4.481139345408819,4.039628451191805,5.64055851106765,6.1069055187438535,6.2731244151835055,5.657465085372846,7.271341799386789,7.9754441195548145,7.9276533091322925,6.862621497679151,7.822586577571728,6.194961085926249,6.55555648042876,6.937695238571971,6.320570132893947,7.257971738878881,7.838638947476348,7.77421783528518,8.502708828969205
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0988365699059095,1.09979263110725,1.096436459973995,4.424176371562373,4.638949050254249,5.103518728471506,5.143735788846224,5.773634975558011,5.340918157643371,6.223399982971703,6.859674997072689,6.979761699641457,5.311768789335973,6.092814458208902,4.706573995680137,4.685137022982161,5.298746903250117,4.057384147955641,7.143244668216484,7.835720420740563,7.78698550940107,8.664113333412384
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7739626075194896,1.7820088522405135,5.076071975714972,5.057040860558856,5.792258134820684,5.955603786442592,6.27865897698797,5.67610036445061,6.761134119682802,7.5121277867825,7.396164590769101,5.85577658174454,6.591242070498816,5.087712501188636,5.457638063842786,6.191712474599389,4.811328794553959,7.609062608276374,8.391142180897406,8.091245904253528,8.979143576790927
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7747934513470844,5.073302964645592,5.3756673361479885,5.805728479200243,5.74229927802474,6.635333204231457,6.299409888720914,7.070699202645672,7.6059694124409045,7.894932776145465,6.13181140537014,6.885623648562528,5.632495681957441,5.288844039208395,5.770331320551796,4.574305752980662,7.98987842987533,8.586627158243445,8.727444567538582,9.581087943709674
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.525175775693647,4.9174814558267865,4.916720907529815,4.80641601700536,5.48678031662039,5.1255496042969915,5.670747429338567,6.289151073107709,6.415170685980133,4.570568459580807,5.238717020586445,3.996295894956666,3.9020119581617774,4.6706226066060905,3.1138512986652023,6.950630678041455,7.698087401064755,7.586096371408857,8.501547069963996
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2369345111497518,1.3568138146002433,2.0718924735075452,2.4444724945321736,2.574270596453857,3.668206804823929,4.02732153160287,4.520788653674429,3.9859006040213014,5.079281706933635,3.9720400372949496,3.8113454574653627,3.6028123762716664,4.470777630764099,3.2887938988682697,3.6207576357577915,4.322599348333563,4.968921869914653
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2835537669424326,3.1911749204091175,2.815715390118596,2.539132666130868,4.248009883116657,4.786223798651905,4.891398588248935,4.664066724686624,5.748427300098827,4.423847563262945,4.769708743757825,4.738009130647887,5.351716096655662,3.3874160185284956,3.8213869638114697,4.13107781907028,4.73971313201338
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036120183639786,1.4433934056399182,2.085124167249253,2.4470705116134255,2.679978419322292,3.3756327856651955,3.0026265775028858,4.040893987448995,3.2824913461283582,3.0092495208028516,2.703490924017082,3.96038225572537,2.4610647563225214,2.866053409120151,3.625223344759071,4.306644382659714
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087835918664182,2.8483820867744076,2.4365990679168354,2.3821145160047115,3.507595072564162,2.711372917301667,3.6639381153369786,3.246380874846182,2.3102838518432773,1.7218052589466033,3.3381121271431398,3.1535881694448396,3.4385689911340616,4.346492507126509,5.016040051847662
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976989971750368,1.552669539728078,2.16491376359371,2.1574661050168062,2.588486048615346,3.5066635526832375,2.78643165278678,3.330402880725589,3.3625450174632943,4.339362472875401,1.5262665895895848,2.4601012762116063,2.385723594611243,3.206547938785107
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1820576182303624,3.073248488214827,2.506598244795258,2.831083166536839,3.7523937195571864,2.585663611351146,3.7178868498350406,4.045138380554368,4.502334554084596,2.1176268079003036,3.204764727154058,2.4651261333226033,3.3892660813038797
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968522463870454,1.098046242877256,1.5384431520454445,2.1538849173401036,2.1826573592852654,2.6550817848641666,2.8731084505012072,3.7431464023131027,2.5185865378171655,3.3569188509454446,3.0841390746831934,3.8831103297112968
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7735799928441878,2.1575612265125605,2.5512988625000066,3.0725864735354493,2.813948708046169,2.6010544677627956,4.024956088838396,2.761411814620679,3.2329227258208255,3.5454897428255205,4.15797115120714
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1779524487966193,2.4036831106970213,2.5880127503892747,3.5732200489045356,3.913544335160626,4.554405698791383,2.6709818219929584,3.6188230594825206,2.735206005673183,3.506249807344437
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1002383763388708,1.0980248594061353,1.5704581147396341,2.427913773685835,2.3869888784370117,3.9123822984932404,4.7670518456481075,4.434067642244067,5.311813189769475
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.751924155891818,2.159284457702132,3.0250849871981793,2.7451144457696808,4.657276714672384,5.498016583534423,5.021611878388871,5.855870259569836
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172488716589941,3.2195448160714646,2.551470527411859,4.184525763863803,5.1877384385748515,4.515601142169016,5.46544580398167
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.278891562097616,1.244371422131496,4.717474269241059,5.328794785976,5.549597464091689,6.3804326350719585
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26781648027512,4.5280902373955865,4.855786367081622,5.588099453149351,6.297016616913834
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.805862184577615,6.478301474902703,6.5602141015247595,7.4400931470375635
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2103009467792536,1.3674037273484945,1.8712085479221647
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2486443037899506,2.2474495860820856
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755127872907245
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
