,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19S,20H,21C,22O,23O,24H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270190138541903,3.178232685290427,2.782550514600055,2.5761645879903163,3.228363861931081,3.9640444940160346,2.620935198795163,4.50399149931037,5.42582322117846,4.2116410372738855,4.809576402301951,5.076941297057634,5.932478812143782
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0122293206371686,1.445941403457848,2.077731285870767,2.5031164222934774,3.427552539184426,2.685473537596022,3.3177498605854385,3.9508297144316313,2.402870386676323,2.6956581106383863,3.6068362284459665,4.27903780182098
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1045758991145616,2.869970904138901,3.1718725656279303,4.090806369201845,3.5207428367108653,3.548840591757145,4.036422481266387,2.452688522027477,2.268735053473048,3.7862623388806504,4.263261498653711
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0997892153599833,1.5469883642059654,2.179305278158548,2.140001337663699,2.8651631668499133,3.186564100541527,1.5214503704112594,2.4296302208604508,2.3774796859032308,3.2119804148657214
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1299726832035066,2.409628024082899,2.443822809879215,3.7866632925088703,4.074442141582794,2.1352763465216684,3.0989561533904864,2.6479414480926975,3.5236552496431703
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924587900258407,1.0921009836964406,1.8384066164501467,2.4067981294792284,2.550801834594205,3.542723146601282,2.887688122935158,3.782266704861753
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769237890498975,2.435166270180039,2.554764117143735,2.8429829552049974,3.982530240520295,2.6480214679745218,3.5583610957995346
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3833074388802844,3.2969665738309826,3.463955545736596,4.401128126347441,3.8925257796692567,4.818243134590202
19S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351287640521411,3.3000735042295437,3.8920145333298386,3.6946937869711247,4.314712280784515
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0167049295269,3.5728539497353355,3.03663905470423,3.449211223692071
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211281100459418,1.3504181601113365,1.878260224362051
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2548539455288963,2.2936140285793525
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976675640529624
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
