 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,S19,H20,C21,O22,O23,H24
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394540128158262,0.025944299284453076,0.06947901928056428,0.030675749467150792,0.02557959044795631,0.0010329639500216148,0.026557403536582758,0.003385745482990858,0.00045677729999016314,0.008471507400275802,0.003958492626160812,0.001292405289107304,0.00021190916886082434
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8942103288001308,2.798815935936169,0.09933399706931278,0.18197197519351183,0.02620656540685462,0.008561393669150097,0.03243907925885796,0.0008594027997164133,0.18740424411493026,0.05293059871700305,0.0264826436586566,0.004862934961705978
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09854418132047404,0.01862304189056241,0.008770143998921953,0.0005673340479741551,0.00019287113875665618,0.0031934499815529094,3.0763850490389544e-05,0.03191479273043574,0.07101256820517077,0.005073074905438624,0.00016005124548335026
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8857380820398402,2.7467523399900924,0.09351225822182418,0.09950337928357889,0.18713454504653104,0.003367843934136916,2.4492933259732728,0.2749457285784285,0.22005316044122825,0.053211366743677546
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08857229835105462,0.005048106104690975,0.005427852757195595,0.041092333299669215,1.855239255665886e-05,0.11761732994554852,0.03192682882034814,0.010686096972133519,0.00038018610535628383
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9445859184914889,1.7219668051183936,2.741470911598976,0.05120380675500513,0.18533475889013887,0.04563816906736512,0.03290423432238815,0.0023685463320779476
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287971056862808,0.08795298110941274,0.007590904787890818,0.005661963180378482,0.0008206830231352047,0.011488343932657186,0.0003260542685230572
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08398643817506735,0.0231322535224876,0.025084524012787712,0.004324507057327787,0.0040215897650233146,0.0002994216671343697
S19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9749540773948588,0.034154159745045626,0.006540800199731772,0.007877054404760941,0.0004906223781613317
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244815451703188,0.0009104981232230802,0.0051109662299673175,0.00013758032272814802
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0584178546256116,3.4810672507366207,0.16838662928677905
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5129786907915215,0.06586971338199188
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.509549124584078
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
