 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,O24,O25,C26,O27,O28,H29
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.881006092350105,3.6180232922213236,0.14628162387040033,0.2587960309301416,0.02080911873438218,0.02894886618708986,0.0016772799561934892,0.0006720692104356107,0.005717615742675902,0.0009964473341745883,0.00027542224512022706,0.0005351538963596081,0.0007824032666723102,0.00035300412678082593,0.04359157728114943,0.011575082538712506,0.005412115335973411,0.00045964390850172787
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5645009100844445,0.027980105189513882,0.05470996509271735,0.013202359988037315,0.008355654793654826,0.0009641707957999124,0.00047353481106360285,0.0009976753551634299,9.050176171543356e-05,0.00011520862792391284,0.0002624352569801369,0.0004302866969503466,0.00013643519863362763,0.04463213556689641,0.00874871944103113,0.003925032271048526,0.0003202302682600022
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8699263741798746,2.8521880606855468,0.09476202971794045,0.19130972792799308,0.017958043873177232,0.005810806103873745,0.031884126125918205,0.004021683188536018,0.0008621198395646346,0.00254370074427665,0.003970961753667665,0.0010508705872991075,0.1898367711622274,0.03301240148695482,0.026663202715836914,0.004858520239904407
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09416595393095484,0.010892136120461027,0.03216772448362848,0.012161759864658617,0.003194419443853569,0.0031577209992832422,8.327180172651438e-05,0.0012871377328462774,0.0003412732448986322,0.00038039692569669104,0.000332296459321646,0.013310111650073786,0.0006987864664858012,0.0024856816777436563,0.0011943277944643782
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706746392437993,2.6722686477231976,0.09629911805274882,0.08302724554975227,0.16467232668831375,0.029418439028491727,0.009776990694116972,0.01828277726229119,0.057876224377747865,0.006626804798144703,2.535871739345641,0.26958290817827546,0.2119237178730371,0.05651009016417474
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08334378167164425,0.004279815515053187,0.03269232056537574,0.009878004887202363,0.001900283711566697,0.0002461206230042201,0.017086967140327536,0.08104780009329093,0.007190526594306412,0.106387710221725,0.02220201734079308,0.012537608267824352,0.0011032331759628367
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6910868742628553,1.9078875049407622,2.837630820105837,0.09973050955375062,0.08671066790673754,0.14653057279472032,0.06802068090249762,0.046607520793893645,0.19927398890036052,0.04375459076302811,0.023739670972357255,0.0023470882679058613
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02324641440758346,0.08755616907612951,0.003164530907926899,0.03511137422182098,0.016741970491523483,0.0345094512931432,0.0037646082260855973,0.029533949176357988,0.006256936728441631,0.0029056604178065992,0.0011733800193836075
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07777381755538637,0.005878177009006613,0.0021332350137346356,0.02620411806964329,0.007733018651628676,0.005789125899670289,0.014581820463481332,0.006937609971472192,0.0014698564756512322,5.7557688655451855e-05
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0072989502980523,1.7839878358886587,2.60003140381367,0.2990618270164568,0.31666092870213347,0.014855302609533827,0.0030393934115787447,0.010838353432811837,0.0006877549877717382
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024037054905232003,0.07569732628922043,0.023116302363290986,0.016800704603947114,0.0017465167478181165,0.0006809497808235587,0.000506364016975791,0.00012061942334540277
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07454006257256829,0.0210317129083033,0.016072559243615947,0.006832343173573285,0.0005581470404527611,0.015572018418774425,0.0006205157533161199
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565474060412949,4.760949279227608,0.0022673160120087743,0.00061747860065553,0.0005649598710915915,3.177211457494611e-05
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5955836192990727,0.009065034156650914,0.002309033694821841,0.0006626681133638929,9.785856417054983e-05
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007734822478127346,0.00024193186704736525,0.000169187056901679,4.219792482307305e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.244392366743724,3.5202308333046592,0.17071125355531236
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5179009701165885,0.07579401864730428
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.586294027894036
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
