,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28H,29C,30O,31O,32H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098677135623576,1.0968686625814197,1.0970244614895175,2.525404539147525,2.735681802844578,2.8228197225023957,3.4924090033626194,5.0225123391972435,5.6508656805038555,5.617265932835166,5.359155380655357,6.779966144449427,6.7239834790212685,8.05409155593477,8.361581816627552,8.906947698138243,8.011765751496311,7.167439689085571,6.786608046238631,8.298410454503623,8.64024257219375
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7708724978954709,1.7726331455396862,2.7969949254828914,3.0890905841771295,2.648815300345309,3.828653997176269,5.189397605307466,5.916523317168997,5.534109076725552,5.15421300136879,6.597861179856474,6.565250559480824,7.974278704923323,8.265137568299872,8.770700215837712,8.078190648093,6.758134337582209,6.2687986962150894,7.844859428825282,8.080162855670233
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772683866064409,2.768829780448942,2.523777408471497,3.1766188067387926,3.7598475725791944,5.988036177650441,6.625046765443724,6.6007031566993435,6.290196636064828,7.814683123182804,7.798960544519893,9.056031727201358,9.309052931835527,9.938735273548646,8.993658935239193,8.182709628502698,7.733857008200988,9.33797638301405,9.649616129058082
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.490279449674216,3.7513590205887732,3.8311582344509483,4.351342217588367,5.094578201501045,5.499952583248994,5.824576004780837,5.7377774684763,6.869960968095145,6.641231325701584,8.147406337483103,8.586912640764638,8.938548187306324,8.032109065561837,7.364102503757981,7.140463490074102,8.403608118861762,8.808768008917129
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968062806952736,1.099166812423788,1.0958659815265224,4.528939708875067,5.502421599046702,4.908491131785535,4.402820204037387,6.299005999288978,6.642949396845123,7.334209655308625,7.318786454575622,8.329969240401532,7.336643937266335,6.656256954495131,6.0890956328128905,7.963401707635141,8.276434140366794
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7704505004215025,1.7648968968185035,5.5858808413181,6.510340467214695,6.0044690927765645,5.485997576010826,7.395302022046764,7.725095782414389,8.422150754107168,8.383470258752629,9.423745573633903,8.404525566297671,7.72284311446083,7.106567810537855,9.02543321479979,9.30412153052927
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7762615336045786,4.6479403460935185,5.7269205354351245,4.732742509990148,4.055830523382702,6.0337958585246,6.434660303291082,7.164430886715806,7.1098627357750726,8.1092398646022,7.330053548745681,6.145322480943408,5.430450741265739,7.431363125906039,7.632801977521864
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.279484913536967,5.282408463386267,4.6591589693431485,4.17747449552943,6.099178069704547,6.564727672884573,6.943151054225452,6.816697813646846,7.989329930097488,6.890504631413603,6.559185368851097,6.034849141041437,7.8989884879564505,8.259566148126654
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2298133584955675,1.3637731030297102,2.073312861231381,2.4594508215389643,2.6194976972843373,3.253745556780978,3.6789746145991784,4.200359179018966,3.0118937389975926,3.658083218461108,3.9902407370191604,4.7566200226242685,5.495482662182519
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272791785723447,3.1738152854323,2.7931682258481034,2.5626150437188695,3.3103440594429747,3.984986286601363,4.097789675558304,2.7663848280622343,4.204352294975478,4.805592051175533,5.061500369821467,5.914838318716733
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136171724188157,1.4533518347205598,2.0849183113362564,2.4928716348617193,2.7748518807526326,3.4319255142417457,2.7226899179425335,2.399650769402761,2.686899688642157,3.6053002507555303,4.273003724939648
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1032924332767777,2.8509310276898963,3.1700051005283836,3.1834252873365214,4.075606482046417,3.575501350058373,2.4233802297739384,2.2189494017945397,3.7612683949578063,4.22731107421237
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972555104350021,1.5422894602424033,2.183821359839484,2.183100419806898,2.154068341187539,1.5209241621700063,2.429673439431373,2.379921143133891,3.212975316148541
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1519164634779213,3.069567869320871,2.4783914204496815,2.4699432959372083,2.137388793068884,3.130926564938999,2.614609001809737,3.5070176230725276
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954587854369129,1.0939708945031859,1.0927112328745887,2.5295017023958994,3.47482397981605,2.9376000576881727,3.803399074956376
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7832341404960395,1.7816988240648244,2.78581710427815,3.448495069414937,3.3120923031796687,4.003100743140579
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7797877680534102,2.794478451089934,3.887730363366287,2.6655562050821815,3.5367807980425825
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4611127877914836,4.371180957805212,3.9237671313881184,4.832064729273393
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2139923318108432,1.3481120535771765,1.876123850225026
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2532733806933636,2.2897136155828934
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976525977631287
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
