 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,H28,C29,O30,O31,H32
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0586670316767757,2.186673663516329,1.9897594999969168,0.17256661786188715,0.011485023685890994,0.00816105360176489,0.031096904711912732,0.005597533105213243,0.001726726427416947,0.0009532095693123438,3.3828841368488405e-05,0.00016883025963973508,1.026713434515436e-05,3.319788702926818e-05,9.831505562996057e-07,1.8207619464361002e-06,2.39328028794894e-06,3.6563116259519246e-05,3.0811686818343897e-06,1.3018712790482945e-05,3.4783592441911537e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022613851691299036,0.02267352997788996,0.009489524793727,0.00019306549483233404,0.004166614885446673,0.0005324232260472961,0.00010146016269008129,2.269055924020158e-05,4.091912101245043e-05,8.329379899585376e-06,5.66270612178954e-06,2.219372754463933e-07,1.551529912990901e-06,6.676964048324407e-08,3.1151466961532037e-07,5.6990292485181726e-08,1.3460560133182753e-06,3.214306740773054e-07,3.7764464067002734e-07,1.682464423335972e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023971538551674332,0.00957981602458191,0.00475739170213485,0.00015470820851049005,0.0006221735153211227,0.0013567632627284887,0.0004024755555678272,0.00026329157996274333,9.267961254444401e-06,4.7798701896084594e-05,2.6630816365447174e-06,1.0403111274870369e-05,3.0399137673775556e-07,6.648433676925691e-07,4.747912820679545e-07,1.0691667910567304e-05,5.066703794298633e-07,3.6085244841110864e-06,1.1472080205798818e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03174474015827533,0.0008736182882762566,0.00042239059926019173,0.0028282847633684938,8.156597319319836e-05,5.296794327813714e-05,2.988369344714137e-05,1.2628442813689134e-06,3.4235954300410043e-06,6.09993454636637e-07,1.3058973098445392e-06,4.2471728356474614e-08,1.2201602661576771e-07,6.205869329534153e-08,6.367867784184966e-07,4.26830271127443e-08,2.181456213445898e-07,6.371634864166253e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1915426201690864,1.9931622604783938,1.997966253433383,0.0033685358713093916,0.0017571559328252717,0.00037809485951847965,0.00013613638723297683,5.035977457262808e-05,1.0418188274963214e-05,1.640428900268054e-05,4.6083999216683935e-07,1.8015490472755857e-06,7.974507037600276e-06,8.977442944091418e-06,3.967812197205878e-06,2.963574167846872e-06,5.641423318492045e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022747084193211364,0.02414598031221349,0.000455349617406009,0.00029634243345566524,6.705349911895198e-05,1.3799908945344441e-05,8.246564689562419e-06,9.69654055937852e-07,5.18952321160171e-06,1.5893858229532043e-07,7.252061449136704e-07,2.7659861414619513e-06,1.940441111791813e-06,7.160245689696865e-07,6.919752695289105e-07,2.8520692429978567e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022942894485652676,9.74625342031743e-05,3.4568930858291935e-05,4.0028816509218856e-05,0.00011209146772062084,5.506339005645344e-06,5.578111146320452e-07,1.1503644170574034e-06,2.1707919239943863e-08,1.0253784865632554e-07,1.0053129528841964e-07,1.5408012088435896e-06,9.127968312316881e-07,3.8406698688042695e-07,3.829534422905567e-08
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000824660092652918,0.0009516225818311241,0.00012008826452380994,1.0420048069503807e-05,8.767624426919696e-06,9.109645772831243e-06,4.1023571188958385e-06,4.4032219492784463e-07,3.7670668473488433e-07,2.6279889668856526e-06,7.597879243537164e-07,1.0249783901628007e-06,1.5046489609815694e-07,6.061289714587303e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944394513937134,3.340149202264188,0.13643158229650199,0.26213824711242184,0.02458579918049253,0.0318953243357612,0.0007429662164148976,0.0034733846786270117,0.0057016672828351656,0.028312324466742284,0.0066992759788946366,0.005571099010092784,0.0011701360137782446
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5435266782322747,0.02610608681994242,0.06834133272649741,0.031730472997988035,0.019976339687781272,0.0006217990652923611,0.0012256970619338725,0.01661553937112692,0.008577850670973691,0.0041287330707859005,0.0012854508513367308,0.0002567014055206984
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8953050327670118,2.865842926337363,0.0982365198856805,0.18464257224428304,0.00828368273804303,0.029005499958774217,0.00687200047429215,0.1930693026076375,0.05869978416152184,0.02727337624216969,0.0051340642858398455
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09747258583088225,0.017208038547153137,0.009962972670525483,0.0007169701194584821,0.0005106143584499012,0.0001791294319943848,0.03566133295991425,0.08240091019602935,0.005612292224318471,0.00018320955959660878
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8795097399178493,2.565399024143334,0.08527230450352996,0.09462954979068217,0.09489415536920309,2.7096082567586963,0.27849859091163764,0.21955172725164004,0.05364838233694191
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08355336774310396,0.03228526559695277,0.004325603886273788,0.006288617012313313,0.1156604361403426,0.031709736383285225,0.01082111997272095,0.0005249755553924373
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9787518296349662,2.080568020128613,2.013664762314503,0.19519977812210976,0.044333887427876834,0.03095029152085345,0.0020559940456686965
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024932275594082842,0.025173272494820154,0.009814976456816504,0.0014450459387091996,0.0007262078934489047,0.00015789145920908076
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02648848652521041,0.007334156572954553,0.0011123035087412525,0.011018578991936367,0.0002773023991129442
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028911571172600015,0.005242233290672194,0.004696552093906958,0.00024193065433486538
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.994569948554964,3.5147523703639805,0.17360445313205974
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5165292725860834,0.06593789094250835
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.743162693778802
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
