 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,O17,N18,H19,H20,C21,O22,O23,H24
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.917278554169493,2.7378924869720875,0.1011897155440824,0.08505812845152594,0.1770251061917241,0.04174483947936121,0.02646538500676708,0.0007736158456358444,0.002313366204436007,2.561684756260084,0.2627768015534622,0.21133578921949897,0.0554663171297729
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0806339502139819,0.003334890726722106,0.03224361124206032,0.013047149607936515,0.009034849181643101,0.0017605755933527423,5.243061148663131e-05,2.9518412367535163e-05,0.10968612686602885,0.027015137091952357,0.010011263697326966,0.0006067205767397166
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.701934224967797,1.993974332886501,2.5993874351723614,0.2958365308651078,0.22472069054293375,0.014190193750127422,0.04398580016549358,0.17233575489635797,0.03624625741198437,0.026974944435040185,0.004606994043569013
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026339948337666952,0.10531434653274574,0.020688945847980422,0.021131240308887578,0.001236760365865841,0.001029443023047083,0.026849113188631035,0.004373988356824565,0.0033593849459579994,0.0011581799579909458
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0877671986515236,0.025692312509695725,0.011270874666936326,0.00444113980985783,0.001432946322489359,0.012924481855664416,0.012345490424772398,0.0015692312692656696,4.796768329184964e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.181462973767227,3.476098263473948,0.14157398857498538,0.1467516952897162,0.010625783693431423,0.007360361804690213,0.002045069719553816,0.00022764527267815637
O17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5650084719129934,0.032280751582212885,0.030186568134469183,0.003196913359341441,0.001869126852201676,0.0005280210389565082,7.665582883742417e-05
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8515720801515285,1.8599546383917775,0.01198167951806528,0.03627984100417385,0.0024498289311031957,0.00033459524827150755
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03815904205124632,0.01384587681750693,0.09568310832205318,0.004230859775778528,0.00010667422421217765
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003228277629512277,0.0009160708942859142,8.104832453748045e-05,1.978837246396914e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.838932168703839,3.5788913733622514,0.1690972290446745
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143589058535492,0.06591550301288474
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6195980376035175
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
