 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,H27,C28,H29,C30,H31,C32,H33,C34,O35,O36,H37
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03623871304184445,0.00014879446986015843,4.2207219851930766e-05,0.0005153973646715437,0.00031836475286484145,6.292413893849158e-05,2.6818353579871612e-05,3.087370575416415e-06,2.3769870916012792e-07,1.9447465127164776e-07,8.025319280680066e-06,1.1560359610141013e-05,3.100984313775257e-06,9.123768134333687e-07,2.9739762208436105e-08,5.491713752969751e-06,4.160580302503547e-08,3.075488229975498e-06,4.57454740754315e-10,6.062433088871444e-07,1.340729305354671e-09,4.935584318332964e-05,0.0002857586568800752,1.6016838047416826e-05,3.441639566670318e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025345508635443714,8.420130573394413e-05,9.60663514206761e-05,1.2911722495179134e-05,1.5873741158856092e-05,1.13149025793291e-05,2.2708027059836766e-06,1.3320063030342055e-07,7.135358837118133e-08,9.354364320923736e-07,2.7340587593904786e-06,2.0900896702258365e-07,9.117362801402962e-07,7.066481733097874e-08,4.239394521321493e-06,8.279829977198006e-08,2.3116427395608596e-06,1.0805718542172826e-09,1.5314540974253887e-06,2.646295849118019e-09,5.48426913198341e-05,0.00024099481232309206,1.809010863429439e-05,4.1225273439415844e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.464308967758737,3.5724022303173877,0.139322206157808,0.284643874227656,0.0243850178308318,0.034146853450334386,0.0035771773405377516,0.0010750546348203827,0.0028984423842911555,0.0019144440662876017,0.0006007278805992833,0.0006580170619990833,3.0405040569725372e-05,0.0004080902124543595,6.18772718796734e-06,0.0003299397465333087,2.5678916355520442e-06,0.00031478633231135644,7.91968458169201e-06,0.04093291120576387,0.012551087107310038,0.008092364709930966,0.0013500206857913755
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5275463694997732,0.02313786624206382,0.0745982726082416,0.04999993383101076,0.00793147018772538,0.001031661940709916,0.0004982189345271726,0.002496796173722296,0.001355768488685155,0.0006118208777556866,0.0006145749199500533,2.27824091647566e-05,0.00029518242156090224,8.66451703640525e-06,0.0001352104234807333,3.976637573788189e-06,0.00026252697560072424,5.3576259337884125e-06,0.013372419537323321,0.002711550642346343,0.0025391159612383266,0.0007075953157904546
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6351532550294567,2.93590083618234,0.10125182791439336,0.17234038730776347,0.024795280063152014,0.009972134368949392,0.016280973572538146,0.011232648268744913,0.005252005434852602,0.0026206301404977234,0.0001738226030341128,0.0020567921967088315,4.054671444531088e-05,0.001569098983469186,6.385863841940065e-06,0.0012460012557232725,2.33101084921028e-05,0.2004014039897265,0.03408052205574817,0.029983081153219016,0.005079999991397521
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09828097805330749,0.028919470804393388,0.006043108883468151,0.00044993204629317773,0.00016836875552561636,0.009144849220902751,0.01722701408534355,0.0029270959482843306,0.0005855178006886064,1.0760472165971535e-05,0.0018198712974383247,4.850530150868337e-06,0.0016257743656105106,2.0734149994705575e-06,0.001252695874202514,5.339044591545772e-06,0.006430278322436145,0.005483120350329274,0.000888754095923372,0.00010937092219087674
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8587888747795338,2.58978092507957,0.09649730620635255,0.09681157480989655,0.16706083897462712,0.03538046966751876,0.0008475699717476193,0.03494191186665924,0.0005205862681381124,0.0038258512504014963,0.00018847310114344928,0.003764197408811537,0.0001819891210770308,0.013168736947518273,3.098559891889785e-05,2.505706796727226,0.26774354245301735,0.2119375295133536,0.053993356336838993
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09170168926462952,0.005529389951772545,0.005596569883800306,0.023484713056110773,0.003279010562978857,0.0001610515799879142,0.0031132301018297337,6.388502287957287e-05,0.0005639256132271564,3.9732456315277886e-05,0.000444126890663199,3.62430467986119e-05,0.001002330998805756,1.87573825183307e-06,0.11633342139406389,0.03213890075170167,0.01083951281538753,0.00022227582539779966
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.081054295060983,1.696109480049099,2.721191059007441,0.23550327812704702,0.014450101095018875,0.23506534081665634,0.014222591723243028,0.03517696730254956,0.0025807191075764013,0.03476405326036641,0.0026173414414880636,0.0212144134230864,0.0005118784311166635,0.1760607690206145,0.04142087863199466,0.030463929176155452,0.0025839028988061674
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02607675985929858,0.09911149319371337,0.025868123743415183,0.000658683462634535,0.017264150234776787,0.005517445971127577,0.0028430956500641313,0.0006472659402110281,0.0016589009281317013,6.079030215100367e-05,0.0031010912997433415,2.6464191792641145e-05,0.006412057028377882,0.0010564419827191474,0.013776332992761708,0.00044836574664031126
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09411633986282775,0.017285281260189134,0.005657524148309223,0.026768694081082955,0.0006639054404335987,0.0017108730539741046,5.395738684255136e-05,0.0029565478363994258,0.0006693973456082247,0.0032956752639416997,2.7955667409207408e-05,0.02788938079652481,0.004351015665655433,0.0037680432590353474,0.0003169972212164751
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.683977912218219,0.12597217058248833,3.5960371065943857,0.12198512915017212,0.33660189666899176,0.026219994984439277,0.3271848177104094,0.026301190919799655,0.29841757693758175,0.0039804359003365875,0.019355444320455384,0.0032031157627714912,0.003820282621802701,0.0004549923943081291
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8564371282089647,0.32545106219899256,0.028141285683378925,3.7499641297193738,0.1315521109007738,0.3116795498058367,0.0036100723857031003,0.330652832358288,0.027122031320844675,0.0027135403225239663,0.00041876643750424214,0.0005448430532338788,8.680547011929995e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028364851221852616,0.001540101201356725,0.12819050666539966,0.008257062363060674,0.003891386639012895,0.000517974043634073,0.026723266616107022,0.0012140329113992099,0.00045575143189835465,5.903998982348391e-05,8.764297603636173e-05,1.0313452967869452e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9643352143224655,0.315297368223311,0.0035577550879566378,3.7635312781893018,0.13064893732123473,0.33973546175352737,0.02707501029965087,0.010396148153704987,0.0013503122970080217,0.009140300192416184,0.0006510471145391161
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038110240446602717,0.0005043834384477197,0.1286129655663728,0.00826013100834655,0.02676627987566338,0.0012291095953469444,0.0030508591648561456,0.0010390991381123982,0.014216466518626403,0.0005220428467738181
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9705136213684025,0.3332857393079996,0.02729083869168103,3.6961435003226946,0.12344440228055764,0.0014895857771941856,0.0004012537673565436,0.00040904630651739105,4.867385252882439e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02740905135043592,0.0013636158254384245,0.12367820594582346,0.00804760636451718,9.358260627312376e-06,2.568078487308334e-06,1.0079105934757138e-05,6.510389820579832e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8754039700854126,3.776399273880141,0.12777144426718445,0.0012169118473990548,0.000447210184749261,0.001396290842589451,0.0001336174444036553
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12693236409280062,0.008020346635102094,7.794967516439044e-05,2.8808409897718157e-05,3.33440132449514e-05,2.8917778980286357e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9640283710215887,0.0012182401936066678,0.00019417822204803592,0.00028575594949101224,4.9888013774812556e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273350808173035e-05,1.5358074106908148e-06,4.037205960538692e-05,7.1564920394173726e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.251880811320569,3.505390903759954,0.1705069817440631
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5084795259790829,0.06936691140250884
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.595112550607905
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
