,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33H,34C,35O,36O,37H
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101409730424724,1.0118381203940239,4.372967137245243,5.25456703523535,4.339696811969956,3.7208061936827233,5.168033993331469,5.927225590094244,6.124345721586759,6.913215484327518,6.697329799539251,5.773316021872903,5.665882612858876,5.817021178723449,6.054107737724443,6.475894526156357,5.842265132355523,6.111377576233195,6.223753020822863,6.755525850864872,6.121608661249234,6.583332704678207,4.6878536894948555,3.6709296340904025,5.875583497598629,5.824387124073689
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7254465380041253,4.6268605569927574,5.318045341234386,4.7887241893607,4.342407858712024,5.520154928322204,6.161758934390422,6.6331286003158505,7.339426473631702,7.2507236024409725,6.430733942587922,6.4758050850814675,6.633509678040023,6.656203740388287,6.943402138697079,6.734284516634815,7.067927885127153,6.912011148920531,7.373817993291987,6.949838073663171,7.433127444187209,4.868512766441692,3.7439169632264417,5.9876202078281375,5.8224781417427245
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.019626511701983,5.952714848260073,4.7315677896998185,3.9984072746907477,5.415648457685049,6.288548676849961,6.174700280849065,6.928389968117903,6.822680298536577,5.595790919888848,5.4643219623554415,5.772975419097337,5.688682019432759,6.146578538238718,5.428688378191588,5.70603678104477,5.65872141719551,6.097576152281296,5.528910328842564,5.8777417747562515,4.842641506378938,3.8505739879752916,5.929669539215206,5.824162689298535
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2287658752138702,1.36840666278732,2.0329793314520814,2.433997554850056,2.516322122127808,3.7176870876671786,4.50825415284457,3.7832317241059865,4.46368794942502,4.649893157545957,4.252201629155015,5.486083477332423,5.759101377184848,5.762739116776146,6.209855066401819,6.4589539855184785,7.334245768440064,6.581355112614417,7.523095405009072,3.1786392740880918,3.254265608024011,4.375552312925264,4.953614085529899
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2869574973139692,3.149619639559105,2.7843375341732015,2.369631416245991,4.162158758271756,4.7273983196021785,4.202541813134527,5.193281060506249,5.590278335604864,5.211785807082121,6.157383760937404,6.245780175027902,6.7896472572369415,7.308721273112291,7.265821529578686,8.087871300790619,7.5456380906230365,8.529819253443867,3.4245900781517604,3.6293107461287297,4.390614231646678,4.9581502724030155
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0199297554283548,1.4465684144702984,2.0492201003031107,2.495431603888605,3.405015606098741,2.697086682109384,3.0980250763738657,3.34626642852996,3.088484954853133,4.1577296884231005,4.513941399433212,4.505680603470961,5.062810478715975,5.139362327391237,6.047464715775767,5.2874014723124105,6.26849669732555,2.4456449604220456,2.7716957937364692,3.6421989524222718,4.319743928313978
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125115872361412,2.9685567151354615,2.810729451804105,3.817792319872129,3.082530698721907,2.8810512450854584,2.822241787291453,2.6372966656213332,3.8870228918689014,4.435892918506762,3.785132557423199,4.265020098383115,4.636531401819476,5.569183736846891,4.597017582163237,5.507981185202044,2.8169739955131146,2.8831217169589665,4.067738778336066,4.645723069593578
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955104912428235,1.5516301891138118,2.15353220626474,2.138972783319159,2.587012208818365,3.415965278238004,3.459822947030812,3.4458646756032874,3.5094210142423496,4.651928797686519,5.441429625137875,4.674799320940117,5.4794241546313724,5.175077918161135,6.227647938553121,1.5337297548543842,2.4494198279651322,2.3904936252074998,3.2224121312029315
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159760339239734,2.429096649411835,2.4332279610751524,3.4995775530235775,4.342027367139861,4.246163121618914,4.350210386907161,4.258112990288938,5.64495339264769,6.407535194148577,5.6517965806332695,6.421156982442964,6.202307054409329,7.268907312170433,2.115083427061874,3.0686258990350472,2.6370591638262297,3.498534436956011
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947821328301544,1.0956770627413133,1.5161212941702897,2.539364017410995,2.738344223393757,2.5379685329117025,2.7333068879084554,3.8263148709403256,4.691052927778141,3.8248557838848405,4.69034416142726,4.332830252723683,5.419863092568306,2.5709105227370768,3.5778517938196477,2.9104725105739866,3.8115438754567896
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7647356420030134,2.1521209616026447,3.386820329039066,3.7132757115262143,2.676119055888118,2.4677706226299985,4.55258227466679,5.494063588399861,4.049983816334522,4.741734544004195,4.82038186026103,5.887053079417998,2.7940050564716024,3.9419323612689725,2.5925970973218835,3.507868939324221
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153202605777538,2.688671126185003,2.49205032922598,3.3800795723964345,3.6980419907708435,4.060436634713323,4.755567768764583,4.547506228162181,5.486130406315158,4.822780229881724,5.889593944583278,3.479935741064079,4.452332334395867,3.882172577218984,4.819803293871589
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.402533731953214,2.156349239408199,1.4032809689491852,2.15545067404464,2.4344457043799865,3.414603816072959,2.4342252255961867,3.415439438411927,2.816755835069412,3.9037881514552404,3.1356437092481864,3.8242742690006524,3.5505335646777745,4.239900560393819
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087668411277201,2.4101333863516636,3.3963890086058206,1.396072356997379,2.152660656871661,2.786218745585661,3.873558435594159,2.419523757315244,3.4055173477842695,4.151777371017212,4.614540458509243,4.820657572284103,5.477923659989284
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397556256007557,4.297101489816712,2.1529636409938657,2.4729828579446402,3.8738447679799286,4.961167452488509,3.402476406409822,4.3003889737009855,4.499813456794492,4.9783236221765135,5.300673423848369,6.040277242501998
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874981697243398,2.787022640534939,3.8738672973337804,1.3957275283713584,2.1532823091460664,2.4202023306543707,3.406104968781285,3.4001444409490054,3.9687446459896374,3.4603616240606874,3.909484830560747
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87450065967092,4.961345653015111,2.1544302962918214,2.4765363712214543,3.404209587609283,4.302517599980436,3.1793452225690224,3.8576872181398376,2.827166028981016,3.195907323024652
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086868064679537,2.4134465032956984,3.400877218807966,1.3959843783750392,2.158033650124043,5.118684899479257,5.378691615543665,5.750301493766517,6.259484164883269
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4010370620344075,4.302842710113056,2.1575902061955037,2.4890624045120737,6.007230444150616,6.185049366226254,6.743312055682839,7.258901247928047
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873834601044567,1.3967072336483763,2.158833799271917,4.531277127479647,4.837906845219355,4.668587518704675,4.9449751003044025
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1578504293946894,2.4890135670903186,5.1015383051828564,5.335061975939622,5.041475048178334,5.145687321719956
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870338008725897,5.281326572978131,5.479600162028597,5.691156429705716,6.037021029895122
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.254233979194972,6.3425175795206865,6.653916380644993,6.9156725820760325
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105622252926358,1.3563580794354133,1.878381102003113
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2519504403400132,2.2799449535306984
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764033693328845
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
