 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,H17,C18,H19,H20,H21,C22,H23,H24,H25,C26,O27,O28,H29
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.901225560171078,2.768272735997879,0.08302679480587072,0.10162750976356927,0.1565997283574826,0.018081819564573554,0.010084699314283074,0.0005628437545528442,0.0013522949220745595,0.0014167627405738958,0.02632978127158367,0.000608667097102833,0.0038478725662092206,0.0010893442134758402,2.635889987150352,0.2770377776220362,0.21794449002639976,0.05321056065896412
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07900141298030583,0.03184571492033195,0.004919411676955754,0.009410424989465094,0.005367883582510391,0.000629439566776191,0.00026354662401884,1.6849262364893036e-05,0.00024452892108906,0.0006714725249555853,5.553585183348808e-05,0.00011312316699396696,0.00013880496124829556,0.11511738439654473,0.028082915904941164,0.010524751972778246,0.0007639044256595451
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9326865410194665,1.7425352083434675,2.5981408173109877,0.07786131515525985,0.16517608646348786,0.009137102562255528,0.031135690459634713,0.007166756258099705,0.1806937354387922,0.009802367759514707,0.031995528324586964,0.009692844867460693,0.20669530292506436,0.04312784790811451,0.03265966652815808,0.0020595902043292202
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024411184996736335,0.07694194219327666,0.026372192541537,0.01985737288721867,0.006256311586989138,0.0015593188384450674,0.0007458077390127826,0.00392753279299507,9.754679523021892e-05,8.951378354482564e-05,0.0012843402379010271,0.010898894296354822,0.0018219300886099798,0.000919101315337012,0.0001410869277200799
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07710017178810014,0.0012427509540047232,0.023032022423676635,0.00024887661274686224,0.0015340254817584054,0.0005865933878357321,0.024879014346313677,0.006895105216941699,0.0022458349948069056,0.000942331750990899,0.0110047600613421,0.0018932363164509969,0.01527568800193524,0.0003154374568108409
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6391146392177043,2.7520249012668545,0.08338286000958828,0.08525162558201016,0.08185677946599834,2.867596621258657,0.0802831315795407,0.08355390549038155,0.08378427042291214,0.03252118183242825,0.008069839673209095,0.005489027711025593,0.0004195977494947378
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08510737338853658,0.03395669285775238,0.0046890509951629245,0.004174446825977451,0.08677455357374042,0.005096697617299251,0.004052986702164141,0.03441366934818357,0.0019103842483214617,0.0004290426223013677,0.00017307149607015404,4.934681568635746e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7144527614318346,1.9133960926185398,2.1025275326222217,0.16871892204205696,0.03113376945536439,0.010481834982071225,0.009376957250385232,0.0022578335613917533,0.0005257993163000352,0.0009008821504461334,6.393655401237819e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02279659667513312,0.02378447821395424,0.01088800543602475,0.0007141364732077271,0.0001831590522318738,0.004692554441432462,6.664613712903389e-05,2.173937017091454e-05,2.2753507156636488e-05,1.5086963434107759e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02541536727685223,0.009457844263482507,0.0006476779561086499,0.0044648018591595395,0.00012866573588654617,0.0005978971808862088,0.00011312201377911002,0.00022215164994998648,3.3778595600608696e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030739006133063018,0.002886389633599773,0.0008823304996823378,0.0004003777977594769,0.00025137077369041805,9.31261460597188e-05,4.7718216439007755e-05,8.190002507513228e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9649668932094484,1.8645495965296424,1.6873343015845508,0.005557916109429822,0.0018066277114738988,0.0006771907016300954,0.00014230048579266796
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024291450825757455,0.0225929891748895,7.524014151827352e-05,4.285086065936028e-05,4.342952033820069e-05,2.981493414822012e-06
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022921483161679523,0.0013737925333203727,0.0005082269388108074,0.00013454829872316942,3.169433785688014e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001603034103654366,4.606108904581241e-05,1.6777842792858877e-05,3.0006185052222634e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.266632052799494,3.1843376756171775,0.17022467412926146
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5020829651113797,0.0668831775130031
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6688413482513376
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
