 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,S21,H22,C23,O24,O25,H26
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015122255344393792,0.0037508023297739557,0.14961559315728157,0.33521405531375137,0.012239031380980411,0.002796481740777401,0.0061868359033479675,0.001486139181205659,0.0003615816807378547,0.13056437055236758,0.21020247340976694,0.0005929299067526372,0.000325214994337672,0.0001765684540987883,3.7610170685820066e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.694957529253337,3.596420949069801,0.13217261722050866,0.3019820897589801,0.03200411633975553,0.038910293405313545,0.004267092055390442,0.0020049815570337692,0.003592498544382622,0.00045144294445575994,0.03688306122678631,0.003989310780037669,0.006691355920687453,0.0014181454029787988
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5495515051921555,0.018851051258360063,0.08158728922480978,0.07273446987601118,0.01257191837232606,0.002222972824671543,0.0003860298258273609,0.0034504620547700336,0.0003757324471973522,0.011960907798896941,0.002987223754535001,0.0017504014888759453,0.00025861529700443864
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5450671606199777,2.914179254603103,0.0949695578541373,0.18254294269150462,0.025185104654759316,0.009267293878548521,0.01943310082163925,0.004157110127234187,0.19629190788496223,0.029650661081641078,0.029503621451292816,0.004736167948243608
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09433203593978445,0.024628865674200195,0.006352840173344587,0.00020331040163767966,8.763677916867607e-05,0.011044558653366399,0.008943172893697726,0.0053771549628796045,0.003963033055169651,0.0011050087095502148,5.521701048483152e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9126010997039318,2.5158663004275685,0.08846796901948029,0.09760621659137958,0.18043643630440023,0.0044212446616929135,2.4849789302022125,0.2649292930201248,0.21291410874957367,0.053865702855144026
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08655567873274295,0.004886265586989902,0.004854278773126719,0.03891324339052382,5.572706635437186e-05,0.11722629029977583,0.03217370957483712,0.010364133835736533,0.00032685833568502076
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035432301246892,1.7267471118429876,2.9008253502314787,0.04951862687426689,0.1797635071390722,0.04346033067305831,0.0342917253287708,0.002750733700498942
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02592820570645249,0.0859897059654422,0.02217475556415316,0.006378110172701179,0.0010479635010347543,0.01673037814899081,0.000511704306742411
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09233184939298356,0.00373053282588387,0.026634663646572854,0.004248441655485102,0.004125300981373203,0.0003376952381344278
S21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9425340812648533,0.0410556411729074,0.007045446490915715,0.009283593665480372,0.0007089096933928785
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000457672024576139,2.01571048650262e-05,0.0005809456747729591,8.251228649669429e-06
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.321550956649476,3.3994767705697013,0.16890409533639483
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042065945969127,0.07983136605591645
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5423031410444064
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
