 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,N27,H28,C29,C30,H31,C32,H33,C34,H35,C36,H37,C38,O39,O40,H41
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6229200494551503,1.8770134164075833,0.011354168847801105,0.07694446775303114,0.0033922538162145383,0.000421723507664562,0.0005400838977316635,0.0002992434134800881,5.196524857883911e-05,2.472715860291075e-06,4.055326168095341e-06,4.537755189805426e-05,2.7899491494204343e-05,4.07689917147902e-06,8.020874462430494e-06,2.683349587973005e-06,1.2177217012521169e-08,4.6095719750810504e-06,2.10524531560341e-06,5.7320180602005166e-08,7.884041549471865e-07,5.930238355933426e-08,3.8837447247780377e-07,1.3216120531289732e-08,1.8264483454405456e-06,5.152387960727367e-09,3.426653385707468e-05,9.682771553574943e-06,7.0951345999825666e-06,2.055246220988849e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04209214124646343,0.025718265047805056,0.19909763401386193,0.006515597191405931,0.00021292201429545798,0.00043238222438668483,5.820388588273495e-05,3.371493140913451e-05,5.195364376486822e-07,3.915668205012324e-06,4.9881649090699476e-05,3.0032452265515985e-05,3.912667161820593e-06,9.027705941910824e-06,3.7353774704484977e-06,9.439661941001987e-09,6.063399446309958e-06,2.8747657473404686e-06,8.441617116439204e-08,1.0943849791944515e-06,7.734488560728892e-08,5.598505615767024e-07,1.7138410246531066e-08,2.467357518076696e-06,8.583276311924237e-09,2.808729802072918e-05,9.646463799639626e-06,6.0335910107012225e-06,2.620669883546256e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006908740401958546,0.0028580976988805684,0.0001525424131536557,5.8113285382077606e-05,4.205170655913193e-05,2.5537669739339464e-05,5.059708035881627e-06,9.537981715546096e-08,4.230582022479723e-07,4.120451749911602e-06,2.1703757180357997e-06,3.8170684080185424e-07,7.050898964688912e-07,2.1853784948344668e-07,1.5655847729334482e-09,4.1685806317914853e-07,1.9189758981852378e-07,4.642063178295075e-09,7.719514927284621e-08,6.634803817462398e-09,3.393814018703978e-08,9.946814483186017e-10,1.7612774305675316e-07,3.270146375911054e-10,1.8651370209399332e-06,7.504213275222327e-07,2.866153827607576e-07,6.569879928974842e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.459996869883742,3.572328055653219,0.14170523319583017,0.2771815657139943,0.02502799855300286,0.03337699743870723,0.004219456372232866,0.0007659474077243988,0.003723372215490406,0.001936947803047373,0.00022229275440599494,0.0004388572869657992,0.00025301660978038765,3.1426620686891837e-06,0.00033671527802542345,0.00017330005771087897,1.3821268909364193e-05,5.052143573658352e-05,2.1665776970269945e-06,2.8367598141898487e-05,7.721170514063402e-07,0.0001393154442330402,4.120084806658042e-07,0.03829695171595815,0.0056251838975497626,0.00671226469147615,0.0013270376622240843
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530627127472258,0.02188210317093786,0.06871966466654494,0.04679126491546015,0.008255237604229623,0.0013254568653836563,0.0004642975514590475,0.0025211123186742873,0.0012983917011047813,0.00022262758296853757,0.0003691369613083584,0.00012926562703727273,1.4626288615815497e-06,0.00016272769699832157,6.344109782208118e-05,3.843652311985579e-06,3.109658899459744e-05,2.718568911763697e-06,1.3424943781280285e-05,5.853208943085164e-07,4.918108784669056e-05,1.6428727755979367e-07,0.012787906215687761,0.0017113281854930357,0.002298148946989563,0.0005872055303434154
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6877079161652622,2.673406882442803,0.1017169086880303,0.17674092948837722,0.025182913085266434,0.007094419799162477,0.023839095787081502,0.01278618828212158,0.0019125878387827866,0.0024082839782214732,0.0015128110756715968,2.0560954465898007e-05,0.0019094761332269644,0.0009546878561839528,4.4629921055472366e-05,0.0002827797637877244,1.1120933894659402e-05,0.00015139458574361941,2.4012268740047915e-06,0.0007430944880424256,1.7780940769762665e-06,0.1964406509965929,0.03140057095007337,0.029530157260001383,0.005263546990439738
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10013300785702905,0.027120787491031084,0.008713847638570416,0.0012748428813618151,0.00020490720825261377,0.024414178297492595,0.02801774949347391,0.003301598996092947,0.0011647983575036047,0.001981372093877165,2.0530038834287723e-05,0.00306919923033111,0.0012556624040493958,2.8532678344461715e-06,0.00035613331593820075,1.5075439483425157e-06,0.00016839103727483984,1.4006811654976303e-06,0.0012783141354946181,3.8640395327860233e-07,0.004337944308705821,0.003103036556320715,0.0010322196328491628,0.0002171974148963418
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8776435303744279,2.7953863411792135,0.09739507265818625,0.09725129227333129,0.16570941311728282,0.020134458401772526,0.0015892180639622833,0.02733939136503369,0.003646394089817706,0.00017515930103573218,0.004959041762181621,0.0022710904850651303,0.000671104993836158,0.0009958994448328318,0.00020125470468457252,0.0004891679297700513,3.3904087072489375e-05,0.00029327440476169253,1.4510898804109829e-05,2.6046537743305898,0.26537748904064284,0.2191848278846189,0.05446463834798598
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09331157109584276,0.003985802317287401,0.007579467485031133,0.022536726598536783,0.001767752185480309,0.0004765131226449615,0.0020945332507059655,0.0002993260207784232,1.5194986836775115e-05,0.0006350677147783923,0.00014359680531284003,4.7891444961312146e-05,0.00012325160605719532,3.859551838547581e-05,3.160001688395919e-05,6.335366731002878e-06,1.0933950442493234e-05,9.226689754449069e-07,0.1132040088010906,0.029552508101067465,0.012735712779803676,0.0006998916340603678
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7564862325531163,1.858353000785557,2.692878288233103,0.240684564995112,0.00521569720452697,0.19810808811395234,0.047566328814726055,0.0025504270816801844,0.03281222393836475,0.016757294088796365,0.004136017407113446,0.005178154452112088,0.0010518659126153018,0.003975466684057155,0.0001462921544332918,0.0024065131988704053,8.10585071973069e-05,0.18011575168913962,0.0392567022258159,0.02761117352221658,0.0019468944490671491
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023807354351606413,0.0956875653417506,0.04271010044220103,0.00014345342546806528,0.012038590106475677,0.010316274955745719,0.00012879261376186335,0.002246546584666387,0.0012277712817038156,9.508861226237286e-05,0.00045219468943114016,1.3494019908133481e-06,0.0011619649472490723,1.660761472566108e-06,0.0005190504738734614,9.053927325641808e-07,0.009393359724994,0.001593155844727856,0.013165895884564072,0.00025383886973107117
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1036486514458983,0.03462246980313233,0.00022798926343403636,0.012091983379177274,0.00616312736011293,0.0006005504414521301,0.0019083526101779658,0.005545356794206535,0.0047774828897004795,0.0006056814391253162,4.660331232408943e-05,0.0011304282629126527,4.057548683578105e-05,0.0009092437172214529,3.208093429329928e-05,0.028547672146563174,0.004511281851572457,0.003217920219524273,0.00037113309037306585
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.783545251450215,0.11625268087661622,3.1345337885665354,0.4797101170248782,0.025563297933251516,0.347470727585534,0.22819745438303968,0.008133274352948305,0.04121659994461069,0.0037699826430845906,0.07151446510930276,0.0028726528897278225,0.026612591377665987,0.000357462156981736,0.015051138367372485,0.004130347026073747,0.0023788398267165084,0.00020922458916472486
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9903688749307533,0.3962800872306693,3.005372235482589,0.10924872997533153,0.4524366438016376,0.10967210980875998,0.0008322809217131688,0.07532397222258497,0.0006809570731174386,0.032114579181413555,0.0009355131133488293,0.07665707179397073,0.0008875179724423532,0.016887508441215004,0.024709411935739847,0.0020966025902761365,0.0001430806019311337
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299150753457349,0.09810181150931774,0.004965978820968608,0.026428179128857643,0.0028975441575775918,5.928340652139319e-05,0.0025691751662271223,4.7389424221000453e-05,0.0009471335750309562,0.00011427066090785587,0.000855117224848323,9.98323923782074e-05,0.017267294114577725,0.038719061585666736,0.0031705150183380937,2.255621572988531e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39034443082866194,0.031061876126526555,3.286629011516262,3.300756785890353,0.12421757645486164,0.29446884246283456,0.026711408602397624,0.33365653404750784,0.027369893892091657,0.23197588933957908,0.003923514600550071,0.0018619027234803853,0.0006641560874953573,0.00040252995069672837,2.5262023367278452e-05
N27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.892625534552679,3.1911408146618463,0.047810053706942204,0.004108629629836491,0.25530310252726246,0.007180027267372546,0.05012987450778589,0.0004497210870710866,0.06593742199480507,0.0030229165824671167,0.0022697864464069073,0.0026296303672897897,0.0002793915433058347,2.5297601743745624e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11456376162245452,0.003357067612667519,0.0014267853837908184,0.0068831407166258796,0.003332583210797102,0.0005185736807931107,4.044075236975253e-05,0.0005668512033524253,7.01070524493641e-05,0.00010678580526690684,6.384239059198382e-05,1.1175063934332208e-05,1.2841565897314666e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2987242233558477,0.02728194501332215,3.3804589023754694,0.13188741661027192,0.22846110083048649,0.004071365758865797,0.35148685953166403,0.02790205903303722,0.0014434296693177917,0.0007667648188466464,0.00020107630981730518,8.531794884247823e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.009254661630186,0.30298000628085436,0.0034695967591740207,3.6600775978427906,0.12715487488778532,0.33172389515782785,0.025773851389810032,0.0008355420470962382,0.00029352445340062594,0.00011569293605905029,1.4346887210248127e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033957316548225425,0.0007822230026364174,0.12613247542739525,0.008476989410490132,0.02740310580126637,0.0011216050728248828,0.00021722609448837638,0.00010509605159259028,2.510570806879553e-05,8.31815434865213e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007196879768437,0.31940360645443944,0.02581719683391559,3.5915172662267008,0.1254629380769261,0.00025868021279759623,0.000146957267999695,3.4770213684087725e-05,1.8075798327021886e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027199612060685996,0.001046395151201418,0.12137284159533834,0.008415647855477326,1.1160158439604828e-05,7.979821681991517e-06,2.5739438318517216e-06,1.0010023165918369e-07
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7915302865124492,3.5964815582341525,0.12332232766819073,0.0001235562273129709,4.998506752617454e-05,2.33509730252629e-05,4.522702230724818e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12262670985040536,0.008126124097429965,7.1631809974714855e-06,1.4677122547324117e-06,1.8389573641641732e-07,2.387494713040894e-08
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8663900717092765,0.0003372879022991715,0.00015789536071792593,4.1078097258798185e-05,1.5097009565812058e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0789152081969178e-05,9.163487541985482e-06,6.033090739210323e-07,5.993438723095323e-08
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.998269571478751,3.4549920835179337,0.16383678282361147
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5166393421647749,0.06675796469933659
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6805502167557638
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
