 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,O29,N30,H31,H32,C33,O34,O35,H36
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6972167963001379,1.9867990800284636,1.8106824027509607,0.1717638687015206,0.03169786525809304,0.009680301202266262,0.00911631652761491,0.003558441139274504,0.009881526426523068,0.0010263540870464466,5.689777073547564e-05,0.00016366096358583215,5.768150574048114e-05,1.4491166369284825e-05,6.196658883905748e-06,1.4433044024375619e-06,4.457578326316769e-06,1.1683824501784734e-06,6.719701318227966e-07,8.69061596020515e-08,3.336368958883895e-08,2.8919677103028674e-05,9.806764266900858e-06,5.8458834146513095e-06,1.322040864781826e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023416710398236784,0.02515829120283808,0.03053081011489156,0.0027213834923711655,0.0005975383864949002,0.0005270375901378355,0.0032875508217908855,0.01771823913566406,0.0012588526613039885,2.0033762009541434e-05,0.0001297602713494772,4.1434122131311923e-05,8.985898947155846e-06,1.7092391315642885e-06,1.561002753946994e-06,3.821824464234069e-06,1.122949808252116e-06,5.255556493333202e-07,7.701531812287499e-08,2.017750411198449e-08,1.7003917876623476e-05,1.1379930311639086e-05,2.199255734858241e-06,4.1637373882075224e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022844959760994987,0.007110021697375846,0.00031997689799490026,0.00012575567933192922,0.0036597203226351738,0.0003193155816294535,0.00028443789751764204,4.4248004814395614e-05,4.312232794401183e-06,1.040941843766241e-05,9.793474580188644e-07,1.9488278690804606e-06,3.6111457026866134e-06,1.6816576597911137e-07,1.4330247788407746e-07,5.887318543784659e-08,7.935269441539106e-08,1.1813108269365102e-09,5.816311876571945e-09,2.9668572765206846e-06,3.897542530939546e-07,5.379972156660529e-07,1.645759575286121e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012537884481424788,0.0009882463981649714,0.005050265553865119,0.00020184350886998104,0.00021657933957897058,0.00015059885494606018,9.511836204123547e-05,2.1668328502588707e-06,2.5606044645964943e-05,4.1265558299308225e-06,1.3934641944768345e-06,4.512960496416696e-07,1.012574535330657e-08,5.082793805843977e-07,1.147599790751741e-07,7.531303003460721e-08,1.4155253413861146e-08,2.5674611325854357e-09,6.222849826764687e-06,2.783283838958539e-07,1.7812597471467129e-06,4.919098517408571e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1174120917379473,1.8097887051967585,2.0492987461900993,0.003359548964914999,0.002180734509178231,0.0006890711588347226,1.4755189966297877e-05,8.86130258683504e-05,1.7799528258422015e-05,3.706457054462875e-05,1.7190050877413654e-05,6.321822757504592e-07,7.236050087899848e-06,2.6978756586804042e-06,9.90248529453286e-07,1.4704350626004725e-08,1.2580383423888009e-07,1.689267748741785e-05,5.345483029481346e-06,2.4469665658721773e-06,5.080788434419503e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023999194744951824,0.022591233215087714,7.049931132296905e-05,0.00010418368603748451,2.0887327691454516e-05,3.6958308347045943e-07,2.0353139114082097e-06,5.248472476626631e-07,4.847508112693077e-07,3.031560456001614e-07,1.008392502832578e-08,1.1875084759971344e-07,5.188440965753216e-08,1.588769815707991e-08,3.2718294740163856e-10,2.59842924954512e-09,2.879847922354628e-07,1.3201357984549134e-07,3.698562300868957e-08,1.53556281023981e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022902766564206978,0.00021338798864301012,0.0001457623760102722,2.297294236663916e-05,2.349230322495899e-06,5.940471522025703e-06,1.1896182281478929e-06,2.7918928877657123e-06,1.897639736458956e-07,1.8535096057981093e-07,4.692218336099785e-07,2.479973735258767e-07,3.8423584758362495e-08,1.0965035546206536e-09,9.080417084916803e-09,5.315796809401974e-07,4.463635165929958e-07,9.576579274028774e-08,5.934395419515681e-09
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008151807967888836,0.0005258766452275188,5.518837275442223e-05,7.634239873377524e-06,1.6798046928334642e-05,7.885931962992032e-06,4.843562242395905e-06,2.8734990658030313e-06,2.3032844054249324e-07,9.647712850835433e-07,4.304902525564813e-07,1.389923757200151e-07,7.925911038597633e-10,2.5464526265395193e-08,1.1043028365076424e-06,4.062905787360904e-07,2.408185080238212e-07,4.142804232998287e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84124213840052,3.496559653204848,0.13386147387110314,0.2687323741387466,0.032408944660020866,0.032281002098194345,0.002834346492484041,0.0009257224935648178,0.0034766821511990065,0.0016138544612748495,0.000577445637630486,7.834162555819812e-05,6.200122505672923e-05,0.030775558599831387,0.005768660047934027,0.005767768396545969,0.0012862568214386805
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5401295260982016,0.025115768632024138,0.07660398500195525,0.06534587280035198,0.010358225844336072,0.00047138055679507573,0.0004094205377088711,0.002389331910136863,0.0008271586132697697,0.0003942575325356773,6.246517627173098e-05,4.238808593060028e-05,0.011185655255830318,0.0042450065369926265,0.0016003541790693687,0.00030825441995085967
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7139289759067342,2.8255777009719476,0.1007352748498117,0.18791597107579397,0.024924713321397562,0.0030501382271559407,0.024120390811414122,0.005984899638833779,0.004538310343380286,0.0006334866411762397,0.0002948747090509851,0.20432742100620585,0.051988095150929364,0.028414423625025137,0.005211180372376556
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09766274603845793,0.025576948724959303,0.0039872123586933705,0.0005323131494523459,0.0003484092515557702,0.0008773340333778634,0.00019626797631144832,0.000548234692825611,0.00013501782706204501,2.9101048760082904e-05,0.02564470387969109,0.05724535705054379,0.004023877226030481,0.00013662225889632396
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8587125573309748,2.5991361095735046,0.09112535222325391,0.08089073258341428,0.1528766364762351,0.04114407492042088,0.026481752972199332,0.005198862007732119,0.0017385862611436487,2.6829115918397077,0.2741964688903787,0.2098169451406665,0.05228962338968701
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07451911151512525,0.0020974564614870683,0.02269807365830867,0.016059017960492916,0.002913264009968608,0.014770250269064089,0.002127295211434621,0.00014504969004014434,0.10832151720306382,0.02791104209581019,0.009009825309345798,0.0008154502564723387
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7672216169055308,1.8308565235664336,2.811958950155951,0.3172267819625497,0.21480247888414683,0.009394298330241746,0.04512098297427547,0.20003192108676549,0.04525846559755352,0.02349746580331409,0.0014643509588190273
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029806303410541135,0.11153727221308007,0.02328451880426785,0.021898166033991195,0.0011629635161132246,0.0012077868814557302,0.020796516769261197,0.0036586768050885787,0.004540165311083699,0.00025524606282667506
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10456552821770004,0.030333394801182578,0.013783910397112464,0.0004135538571794495,2.406353629513802e-05,0.02274479649316352,0.0032134277862503335,0.0019366619272577212,0.00011246834450329146
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.170377024428465,3.3118761263412275,0.13190694841118045,0.14447873757156116,0.008751356269563249,0.00325379934143577,0.003919814320435172,0.00022740220476602513
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5667471367584388,0.0302001127783994,0.0303849214687284,0.00566608561224316,0.002147025881852796,0.0018223945318313894,0.00040536329908247293
N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9451838218975548,1.9513652577449654,0.003964976617301483,0.0021044020007982,0.04272287575755118,0.0025253034707902744
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04045374366778276,0.011301572332498844,0.00356615084314027,0.12589488311376695,0.002087057493780353
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022254014255163046,6.951444012959218e-05,0.0017749579836920937,0.00028209302390624913
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.072016680001519,3.3977233003977507,0.16505893434127816
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5088119086708737,0.06635332315926057
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7275019886157503
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
