,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29O,30N,31H,32H,33C,34O,35O,36H
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7201010083750723,3.740663058402418,2.507994708376358,3.0625867153309954,4.555513708772376,4.09420342786357,5.826869237458524,6.415497705813692,6.703828064770212,6.3297027277290505,7.230900537243036,6.59049186380982,8.163617931573885,7.719151396489701,7.83048952768208,8.34163999007429,8.627994076286372,8.901795216721323,7.983196299242271,8.397693249759126,8.864060522183868,9.676238164850112
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097325623304424,1.0964330499066388,1.0985280110193305,4.501689977483579,4.607016316916199,5.359029530036557,5.729168094493105,6.394698490135072,6.435332611781634,6.514222122513644,5.5966783780658025,7.228139031599459,7.229145311871037,7.160846279068657,8.219600296805966,8.597464824290949,8.863990001511608,7.719682756495163,8.004445905680251,8.780089436810748,9.573793551708734
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7717562688297128,1.772880678120067,4.639158970368232,4.889375852813541,5.238356375944021,5.546513996165493,6.220338460663227,6.404930620643292,6.116357796012001,5.114139992807469,6.7264322016268006,6.858371930421307,6.699311282120071,7.96954998533026,8.39409790078764,8.61615465174937,7.544230198299688,7.819890855982893,8.613437927233097,9.399816925094537
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7714044585717423,5.166571133030448,5.034140859804767,6.078819498843336,6.567469001981286,6.971494782772145,6.8826070778150745,7.010639457497184,6.09402624156207,7.80082239562857,7.521897956923774,7.33273764568806,8.480304230751686,8.944234463958587,9.024996050270524,8.37353691368612,8.774223517261456,9.337488612006858,10.182008918943218
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1196977289246375,5.3430208791653175,6.002444997785256,6.237601607937979,7.165462995192986,7.256698289995107,7.3834027024446565,6.479861731912691,8.036791783383709,8.205261719447584,8.18640155063379,9.189119568128993,9.508676021877593,9.873019724245372,8.39863292747712,8.555204370340729,9.530322107689745,10.27325340473282
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2270465197642029,1.3733699304594453,2.0527151622118343,2.4598285928750587,2.4838836900496064,3.5037447659983556,3.293275491263398,4.257320568392484,4.544489279405307,5.240940736717094,5.069387022914819,4.9937829593512895,5.954861817594692,3.516042053660579,3.8445870074341784,4.591272019769007,5.3053863583287475
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2798432162287967,3.152392736522951,2.7952775167166406,2.317295445585975,3.759963505243782,3.608815638236112,4.705228166660992,4.413862962559285,5.046555898128094,4.781627953932027,4.8001558722425335,5.545036231786906,3.982471002271088,4.572900635616656,4.783562555154407,5.593016713199918
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01189897535628,1.4489609405473547,2.0519332964772974,2.500566309479106,2.493387752743284,3.0456322240498115,3.807005873970187,4.6347839313655355,4.383419394908154,4.219059578658203,5.354841746961034,2.399230187426304,2.709453884425464,3.605116954967872,4.279829443906793
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1064430252275503,2.907389586653065,3.0368502895237186,3.0395484417912484,3.2559753260018303,4.489828081152297,5.326288015804678,5.079514495076715,4.817350983071912,6.078925661290913,2.500767253084035,2.340150056835416,3.843470343116307,4.330126893668483
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955472923937075,1.564404170143551,2.1568877868549174,2.206649949529575,2.6617629937513465,3.7039643675308502,3.0148692273062836,2.776542842036007,4.0103371650661845,1.5233831045570572,2.432795758517095,2.396530713581862,3.2297098013765093
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1832547920308443,2.724350911004623,3.046278701715355,2.709803052794072,3.7348436612159803,2.7568298990342384,2.5562607540485636,3.655783964524666,2.157125007098866,3.1812061717294036,2.609747298218033,3.523870684842326
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091597953536158,1.098855120429984,1.5359067111979077,2.3966000419296893,2.475974802642594,2.661643031754078,3.390073158074266,2.551521930209334,3.431658729773784,3.0519311648468146,3.88265173923768
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7548032435256826,2.1044613709670204,2.475816213593383,3.302095497540755,3.6586357637568687,4.1111867444252965,3.3807444111229015,4.093007451722803,4.0806965186521165,4.900306005823627
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149601238121896,2.9012574901046935,2.970533475865463,3.0087129681089793,3.8360625934008086,2.601315522250153,3.2517479128548055,3.059257983811578,3.6910557064021723
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2221062717965137,1.3657959116723524,2.087082674875267,2.0324427741428006,3.540388937951576,4.616916811442545,3.484768449227741,4.36463614370631
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272426246130334,3.1752752563747313,2.4861044784849895,4.706122635946874,5.728574683828335,4.696574878408453,5.554633359453097
30N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0108407918029565,1.0111253660918211,3.507237912755483,4.685011195962299,2.9654370980013995,3.8093066126692467
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7405544464537777,2.8572969119703955,4.019671706989695,2.0602599322950588,2.863916867182486
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.480248334931455,5.655069104557464,3.79530120055693,4.5590478859107195
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2107182886468473,1.357414056613725,1.8895331957964623
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2494909368728324,2.2892719311915415
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977097404326967
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
