 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,S29,C30,H31,H32,H33,C34,O35,O36,H37
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09413522601992663,0.025373710931470783,0.012165894800918675,0.005712981476274415,0.0015896685950549383,0.01763834868745695,0.00962143391388659,0.0006013618962327216,4.054111579265829e-05,0.00016152225782528618,4.3466735606623175e-05,6.557513542793103e-05,1.02324332318382e-06,2.247843885028189e-06,1.1629406406754583e-05,1.1575640568306511e-06,4.677047319434635e-06,4.467003043684414e-06,3.400134426234658e-07,1.673099925270094e-08,1.0832258157122965e-07,3.998679831695995e-09,0.0019901170237830446,0.0069634121852467645,0.0006754520787930485,8.023098156062503e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741383621509575,3.4248414337688073,0.1269777326602416,0.14070636107890655,0.0026981650832677284,0.001231483163891961,0.00042497138217301167,0.00010032739957932524,0.00010579110353253762,1.2101051121371498e-05,2.3050391203705e-05,1.7399658307493127e-06,1.1875566579000463e-06,2.8557751358126993e-06,4.2248275855527595e-07,7.767078313847264e-07,1.0503954460117093e-06,2.369021205872457e-07,4.870941872070489e-09,1.3120365238705745e-08,2.988142910886893e-08,0.000666693060853929,0.0035543133114274705,0.00014261856935518513,5.412359072920481e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5524035675000855,0.028801991013809314,0.02986943464871228,0.002118605143136415,0.0007414109890830078,0.00013817984814938622,7.009086485776361e-05,4.103999401752767e-05,9.028028327917603e-06,5.9022585481155465e-06,1.7240812022478735e-07,1.1462860384225948e-06,1.1025072373382905e-06,6.69659550034396e-08,4.208856099197078e-07,2.848073488576075e-07,5.987307132027109e-08,3.977728257886781e-09,3.945843873864874e-09,1.0006428352582475e-08,0.00035102366225733816,0.0014733501487400671,4.145684814504946e-05,5.080620768760369e-06
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8572731846720243,1.6599122918412914,0.00040039973909188065,0.00016443338466583246,0.00010080135969747078,3.2517142073196226e-05,0.00043992986811079715,8.893145669919278e-05,2.732531926685766e-05,1.7253158750563102e-06,1.0572129257480078e-05,9.739469417804902e-06,4.142343641433399e-07,3.593260795908826e-06,1.7802004075341549e-06,2.46373400569766e-07,1.4087634947479444e-08,1.0201095113071545e-07,2.0777114251302464e-08,0.005116287642508446,0.03065888051326148,0.0009027484997211968,6.927214215968203e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03941001878073491,6.032800597599586e-05,2.9591596583999902e-05,8.097145604746281e-05,3.0319704019232674e-05,0.0019625941604470842,0.00010675134002946507,9.647501213716492e-05,2.7964203559438516e-06,5.364583984324156e-05,1.6724535114476247e-05,2.273357424531497e-07,5.644404646343304e-06,2.2189234432090643e-06,2.0845000558988858e-07,1.3073352844727992e-08,1.2557096096266207e-07,3.6211319054402225e-08,0.012611213224775653,0.11817305171326198,0.0018567464737943018,0.00026996807389556565
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.742964769377522e-05,1.4165491476592074e-05,9.360030765126481e-06,3.978412006055976e-06,1.1791685995965473e-05,3.330804575485402e-06,8.65440094477421e-07,2.4305235823973703e-08,1.0138215356114699e-07,4.4879346217108207e-07,1.0587551280138996e-08,2.6598471847272265e-07,1.3592895675706984e-07,1.181741016154092e-08,9.150138424729448e-10,5.367339239725766e-09,1.5708390144197892e-10,0.00023332452246260793,0.0010513397462622587,4.4113403325662937e-05,2.5446252787109103e-06
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.620695294010357,3.4811373999367845,0.13763291090068708,0.2663179243117476,0.027433249768889834,0.03251433458165651,0.003356436174498434,0.0008810792909936804,0.003194173197772432,0.0010627330215520203,0.00011525862429051514,0.0009304412002948403,0.00018571836760483684,1.0811654198361609e-05,4.296461329822421e-06,1.6004675452263584e-05,0.033408854695723134,0.005817985773424905,0.00633547751984892,0.001245639409292787
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5307151216774525,0.026074523524163506,0.07595110751230792,0.06015322332258621,0.00801053054868811,0.0010507273805953066,0.0004376041362490479,0.0034028161841925253,0.001041536926294273,0.00016022777310520375,0.0008302244538541947,9.73192038243309e-05,9.436043858723764e-06,2.3860252439389384e-06,2.464235056764963e-05,0.012013466028172215,0.0023063147363458214,0.0022478307524385205,0.0005528557391057953
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8267453904078907,2.8286165628590294,0.10216921930149203,0.17606569375010106,0.025750089448281166,0.00908567596854648,0.019155510776664983,0.008381837160283068,0.0006400448509923384,0.005145010765237712,0.0006085676823579522,6.601925119287255e-05,1.4752673431872587e-05,7.064835754511112e-05,0.2055201921161051,0.03699045921589243,0.03027864896269973,0.005201110938316877
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09742442444922028,0.03280936173483284,0.004895424211574406,0.00033784626605237733,7.901578210289806e-05,0.00898683101329345,0.009421789593665464,6.279771818240576e-05,0.003273974326835183,0.00011791288842211145,5.4696789675734436e-05,5.498707991158369e-07,2.2945262931228783e-05,0.009030979435188824,0.013713509843080507,0.0012250022263379234,0.00010076483876009235
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.897733905791687,2.745629398266608,0.09619709502314366,0.0939354699917112,0.1597611596217957,0.00594525130202217,0.00792843328947268,0.04109992884596335,0.007313969258154682,0.0001115805612348364,9.19783667001628e-05,0.0012845698976475806,2.6927314762334107,0.2752357174170217,0.21623098110657313,0.0534015174395267
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09261326303129114,0.005078230740156675,0.005626004848365396,0.02450877692322706,0.0003805778287127026,0.0007431634390411279,0.002764667033067769,0.0006858006884250534,2.0467588666583936e-05,3.37846653430951e-05,0.00018726873339436345,0.11604947223233164,0.03030310604227482,0.011340804599191845,0.0003584163177736688
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9940968786261937,2.0261072105681737,2.8164531694818855,0.08316029363501665,0.08569839828498949,0.18195220791557254,0.03317572531128675,0.0007979202881913672,0.0008252885359256723,0.004148039559779715,0.18095572918531683,0.04102159754706258,0.03063708477891075,0.0022637947457277985
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025075419253763442,0.08372369765209564,0.0341988032338536,0.0044207011681112185,0.019287909766294686,0.0015967464586861269,0.00048349311899009706,1.8465126071287585e-05,9.673825174405515e-05,0.007061452771495835,0.001209652199607003,0.014089204824740964,0.00037907812541893016
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086671341874063,0.005475721851484927,0.03493541786411836,0.016549284951079324,0.0012170428015179091,1.9594120862498343e-05,0.0004299645439198585,7.789286573389731e-05,0.02848917167569165,0.00438159335865973,0.003888845903680216,0.00032802237751261565
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0282201606678996,2.0189216172633384,2.764154823264898,0.11951239520504768,0.008731786336625635,0.008449680182024188,0.027254118094906188,0.023427694271148825,0.005117452915801568,0.004451895762218883,0.000345499160905538
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02320717955435181,0.08981629728557894,0.008889298972127313,0.004520822864439777,0.0008713526001005167,0.00044285096745566577,0.0009715223942923235,7.446302790081738e-05,0.00041345422334460036,2.1899361804855744e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09051330235874255,0.00716389148154517,0.0009032253328116191,0.003909520830094548,0.00029621208394181586,0.012609596839823878,0.0020877670484338307,0.0016115144021525696,8.293029468253721e-05
S29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7915987965753564,0.09752942120552188,0.09879131791235318,0.09062103898676432,0.006585675599401375,0.00128526582065569,0.0006212607911810428,5.631984450349403e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9744354138321203,2.0592372507281884,2.051267184943658,0.0005557257952899519,0.00028312280925021915,9.141544803206725e-05,3.0335792381430693e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023613668787616726,0.02543714206898251,2.134671096509777e-05,1.1572868907627765e-05,7.080136589343589e-06,6.094929441147201e-07
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02536184266254171,7.659809512938764e-05,3.0320753130697042e-05,1.1580710084779788e-05,9.723578726639204e-07
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.020945109810107e-05,1.481834827909978e-05,1.1024757445965427e-05,1.4864270738712548e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010386319451735,3.499520242399114,0.17119363562588397
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511777028908864,0.06517762401822325
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7515785209294314
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
