 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,H27,C28,H29,C30,H31,C32,H33,C34,O35,O36,H37
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02426448050873531,0.024443456076777226,0.0009245834124980146,0.0003339024173618643,0.0005767381119423654,0.0015578074761313232,0.00011233642031927005,1.940518540366476e-05,9.549591785784628e-06,2.3382786507042397e-06,2.8048084412812813e-06,1.8620100401545159e-06,1.8402346757540045e-07,3.7673731689835677e-08,9.130813336533095e-07,4.239743645051419e-08,6.907128824451547e-08,9.045808546659373e-10,7.706442017862969e-08,1.577124653096007e-09,2.065452009425428e-08,1.7493424486758613e-09,4.848998491158163e-05,0.00010188876023553561,7.796871131171557e-06,1.7038759636545109e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025920716290757984,0.0016442301140480176,0.0006311601759725338,0.001095502108573787,0.0009202949376023728,0.00014251496676020992,1.1768267123901666e-05,3.8993935123299295e-05,1.9669202246941353e-06,1.2089936090919906e-05,3.744629320845405e-06,1.1484864010924412e-06,3.217962984969347e-08,2.2709894442751732e-06,2.518003763274379e-07,1.8321212231775519e-06,3.264220005405605e-10,1.3207128981562732e-06,3.5704299516936544e-09,1.906532374196246e-07,1.0888825396904167e-09,7.242523630179853e-05,0.00013312407010834804,9.658737867956901e-06,3.385129593302949e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005283578436402037,0.0006438390997414167,0.011457792976622638,0.004385036125912789,0.0007531533485725106,3.748748484722064e-05,0.0005609340177148425,6.623990752574471e-06,1.576759130816896e-05,7.807155824379741e-05,5.284026803664688e-06,3.037323426102745e-07,1.5021367004486308e-05,1.5586836534797754e-06,7.865931490158573e-06,6.025489351912938e-08,4.769468339382854e-06,3.913598738414237e-07,1.1479190444863008e-06,9.201789330504084e-09,0.003862974669195385,0.01565370508557118,0.0014802569840792756,3.0226595251647836e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.064749759290881,3.3860332370358988,0.13563226437355425,0.2676872704149029,0.02856627553468738,0.03338168174168679,0.0007726109805119563,0.0038241984898770287,0.00491525699559045,0.0016805162089515158,4.937443813735065e-05,0.0035013793985965436,0.0002599938743808039,0.0003332812498949844,4.715208191452547e-06,0.00034258945802007057,6.69953815712887e-06,0.00042882072921773817,3.3927124156729604e-06,0.030792025149073227,0.004878273386216575,0.005725088308418225,0.0013021838485168802
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5373108552806255,0.0259653356851145,0.07072965359248373,0.05868987365790801,0.010218210169545522,0.0010847649283118876,0.001550553891427553,0.0019269936993385611,0.002741562734643127,0.00012863001645002647,0.0014992866880954026,0.0002036625208823306,0.0004988187839536085,2.0479753817248536e-06,0.00030785213603644335,1.433958355501197e-06,0.00014862962333876684,1.7682339369384792e-06,0.01115412221762413,0.003425042258272601,0.0017021384831882869,0.0003706989916624215
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9538271725729244,2.889212955251769,0.09960959692152727,0.18315382870221547,0.007171791023629748,0.026011924734206437,0.019049976932094606,0.003139132752998819,0.0001538179763187486,0.01085744874812565,0.001850433983809019,0.001311438604695403,4.209792568543591e-06,0.001736348567997953,2.509136628492392e-05,0.0009896730381890873,1.0577523986254889e-05,0.2011791737681608,0.044541840856249904,0.029169081547546105,0.005299332553814096
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09827679100930475,0.030597611547096504,0.004646981451842058,0.0019006842909199406,8.672023586320243e-05,0.00029975019991179686,0.0002066237524760428,5.781126971848849e-05,0.0002605535198698661,0.00020769327188929765,9.843732277681205e-05,4.081046286685819e-06,5.098740343401076e-05,5.821805593164697e-07,3.1892885355544465e-05,3.2679707429039695e-06,0.019346119930799488,0.0426123056748966,0.0030481746842332402,0.00010760623626882015
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9742779056107582,2.6750245847022107,0.08182313520719231,0.09300332741948147,0.17166570978640147,0.03414189381706631,0.0013757140089785125,0.03701089469193203,0.0007613182096923854,0.003942640155623317,0.00011702006748892657,0.004738703959485252,0.00023840672922914585,0.012957663569143324,4.602766909278522e-05,2.751895826308178,0.2762569368150186,0.21812254114267143,0.05357568422526093
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07829057807976114,0.030641796415525002,0.0045990327132001685,0.008742066700276996,0.004207887553936751,0.001881068204180547,0.0008045484349091803,0.00025749017429821386,0.0005564103474048343,2.8906971057285347e-05,0.00042352005593671027,1.625506825586598e-05,0.000358271488341777,1.4860524382376283e-05,0.10952223076680934,0.02748497908800196,0.010590937736212891,0.0007154862352505287
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039210512096423,2.088571573104389,2.8491395134341824,0.23777210687270717,0.013840295809832925,0.241065971578128,0.01544963729131954,0.03702288822157648,0.0026742459604307545,0.034599484096800054,0.0026233275369087483,0.022316240654347536,0.0005268564873228687,0.1955666370499002,0.04260091450681883,0.031492105219800864,0.0019703478805994656
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02475623934682547,0.09807682291184161,0.02449613524236205,0.0008013235496555637,0.01848566614700342,0.008028011815482738,0.002865334189188662,0.0007645682427224187,0.0016205244094833482,6.351649331581832e-05,0.0016094357568394724,4.658670958423983e-05,0.011026503434016677,0.002037461469426738,0.0008855410911575712,0.00015751086135451509
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09397910661387066,0.01635445635836552,0.0036830818647790586,0.027409445753699524,0.0004906247965517085,0.0017583057256036483,4.440723693277526e-05,0.0027383715636857264,0.0005038110379533833,0.004979539893820828,1.962414285161529e-05,0.009633111612528333,0.0017165158543044345,0.01347345289721813,0.0002783990717019069
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8037942566457716,0.12767544591952262,3.464777190112866,0.12379827279936073,0.33593212856910404,0.02664425039744711,0.32440805699030617,0.025967692315993718,0.3005804079364828,0.004030920885590428,0.028875756239897965,0.007360240145354607,0.005131075616452485,0.0004015859733556004
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7242336577514643,0.3244671962057636,0.02867204744000107,3.9177109143233815,0.13224771116596945,0.31459186532346506,0.0036048815386326982,0.32692280215171965,0.02718429679798362,0.0051527025377366975,0.0020509886531963617,0.0006571137365973673,0.00017033977740599227
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028183403586865108,0.0015466567173458845,0.1291549588363341,0.008326497150426881,0.0038863773670592128,0.0005226571039234074,0.026780302041158777,0.0012117801989919297,0.00030696256569151537,0.0001784815872371004,5.2372167092196165e-05,1.8659953568977983e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.134738485372325,0.31207340849086684,0.003566991071388248,3.892395856600625,0.1315120101704217,0.3368028641503807,0.02750946466223403,0.00661657121606693,0.0019699582522225423,0.0012361634413815964,0.00023021165255332487
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003862802076041838,0.0005170661889970507,0.12809213091734373,0.008193284437611581,0.027281713648583228,0.0012400489080153232,0.00018495328925238752,7.248908511825469e-05,4.437342611129935e-05,1.2743891628641535e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1409047845056524,0.33065344056549145,0.027219389786859338,3.531553627029141,0.12454429128458933,0.000986992086869365,0.00037810325245384024,0.00014511723207540073,2.840937840575819e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027467483937717363,0.001351830367116058,0.12505321042870876,0.00801763243714837,7.866370510956067e-05,2.646448727561257e-05,1.1047269609765209e-05,1.0328380843915852e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726530941755446,3.9223579967231736,0.12866292965160087,0.001163535029993945,0.0003132630917559026,0.00023803678036467268,3.08135526846387e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12878649542423082,0.008044050797652469,0.00010590679123811952,3.582603948437679e-05,3.1931248980487936e-05,3.177502796436471e-07
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108867382769773,0.0019656104748810577,0.0008550417783609182,0.00020601669889509788,0.00011263491466506625
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0681528709977073e-05,3.8534959004854485e-06,1.887222040641845e-06,1.146033179466599e-08
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18944793338909,3.5212998117481225,0.17362214782187968
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5161365612648526,0.06587078998227847
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7803093392804952
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
