,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33H,34C,35O,36O,37H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7679723947421095,1.783963324610949,3.5974738084806157,4.658869261891175,3.568913688369438,2.9006050724782093,4.75702570353796,5.302989120557717,5.867880698239802,5.697726114343891,6.73230025776491,6.46180166994209,7.417012042479863,7.7228932885976915,6.437118995558699,5.954484078028409,8.230279852961303,9.0656275180849,7.3600763809498675,7.617936617301139,8.207982428131293,9.03009582927819,4.735083646548984,4.007194139999211,6.0144339401361435,6.207616626232456
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7746239447541308,4.161908879830508,4.898687405465209,4.426355013580618,4.03951304915356,5.420519442281105,5.690433214090628,6.790417846682385,6.825528277216852,7.523228952625198,7.445008310033664,8.19028649190676,8.308522294250949,7.6527231656309604,7.340301219580766,9.03348615047373,9.73484311545747,8.550675348648987,8.925981501577288,9.202450183293562,10.013487264098519,5.234113953226708,4.554952883043972,6.328073436705438,6.435593395333204
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9252307345923083,3.744508159126043,2.847394395823322,2.5119792612060476,3.6898770579919766,4.042740317102474,5.07772168852106,5.14902709413477,5.765832211875689,5.860968919199931,6.641344538488575,6.7147840578125635,6.221310818878287,5.9562209091307965,7.613830305428218,8.345939021047178,7.252197489377471,7.752349238165345,7.891596221244894,8.794095133249604,3.474822970051311,2.892506538081447,4.617206282771259,4.811812381605297
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2279225888763594,1.3689368883203707,2.057640213533856,2.4618013333224273,2.4905382755582735,3.5444301406423904,4.002523386347196,4.413532545281691,3.627806769269152,4.160497698221553,4.435873657601893,3.949038106172504,4.079596834242591,4.882821039251049,5.590364094332029,4.706131566751556,5.315660635765179,5.12831550506445,5.969843350237654,3.5125568602136292,3.8334870553430775,4.576820173899553,5.287273099636645
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2821431647203045,3.162741125971513,2.8093318822660884,2.326848656725507,3.8498951192595925,4.572681331993537,4.536426912251188,3.7376162056256064,3.8375851123917752,3.93680572574208,4.290565209965305,4.700585278703855,4.461701866273317,4.968103172808109,4.859988562957842,5.596998196058444,4.938663043434277,5.71658461331244,3.9556789761338758,4.5278049428643525,4.743630654886342,5.536659397776166
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125560922426078,1.44848675998397,2.0526955503938455,2.505828872597816,2.7760665804328193,3.417053292951391,3.027628981608937,3.905410487315149,4.177186970604339,3.4437189244130946,3.3775409446691143,4.891275944167052,5.728365333859948,4.532951396591501,5.177739186623343,5.159180672263269,6.133112204793262,2.4235360182088117,2.7392217761734066,3.61148238556515,4.29271562848735
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1062697094211402,2.929075081808273,2.979667839287192,2.8744074408325635,3.9045492523204084,3.6541633236506983,4.719753126392924,5.053616368115643,3.8363734302906205,3.4735492435457576,5.693886075608303,6.59614249782713,4.987117964469181,5.483268925027329,5.8108066630859,6.7756092557736975,2.5743844782727376,2.4449097929085486,3.8995415746205544,4.406670974472498
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938101473123063,1.5593808225807326,2.1720170796986857,2.160330488092906,2.563929283941509,3.302716014631039,3.286816002182351,3.4956612823971445,3.6254978181411555,4.555171381205725,5.3145347164765955,4.699539659697223,5.534610945206578,5.137133990663138,6.188181549119938,1.5241484938854595,2.4322531905160214,2.3814271738566126,3.216066910521239
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1761774896734347,3.0694566126138687,2.4931052025988794,2.8004586999566863,3.05422702169184,2.7848081433623477,3.916592486988418,4.299446795878627,4.265714499492565,4.8451799580317605,4.923628585634807,5.853387406207767,5.069972730525126,6.070765827444924,2.1494505035358005,3.1736405682394033,2.585889075296947,3.496907752225719
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097549404609418,1.0960628937603565,1.5130977864021922,2.5327252297640945,2.732213187970794,2.5349612008995672,2.733885080110676,3.8190695277653184,4.6841134748232705,3.8224002986413677,4.688540837584866,4.3275162579270114,5.4144996608112095,2.521119842498453,3.4118207517144947,2.982744851786909,3.8201270775308487
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7639534684178726,2.1512215968925017,3.409270896626495,3.7532746903670287,2.642851918573854,2.4074929255573263,4.567071064590121,5.51764904346856,4.027899897884724,4.7091829802432565,4.816980086055406,5.88364619150392,2.727829000874029,3.292870671916324,3.3469768468688508,3.9959069062812054
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156627724955098,2.7340383196484632,2.5788933108982492,3.3460391256908038,3.6427945965780495,4.0893444908509,4.7998556563476,4.523822306833417,5.449726353103797,4.82367294878778,5.890072212738393,2.7005000291191292,3.735600631757078,2.6275839130854175,3.4550238717862145
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4020105293710152,2.157512287929015,1.4006230502377697,2.154489510577063,2.432163329438706,3.4131484718620824,2.4330229672091024,3.4140721832614807,2.814452998356686,3.9014333871934035,3.886104398232476,4.752463300639191,4.361785131822771,5.259537314214155
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088213482796499,2.408966356584452,3.396089534005913,1.3948201049692501,2.1522771407879877,2.7868276959687197,3.874089489449151,2.4195011092734013,3.4050963255524445,4.647607647430035,5.674020118055324,4.858761825592394,5.81801346103492
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397088562133092,4.297654531857058,2.1517692369269676,2.472245065504083,3.8750257510940322,4.962291978637947,3.4028803512115524,4.300179528560351,4.454248647675558,5.592612356572742,4.396640257406193,5.356161401182268
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879482085564234,2.7859315980645887,3.8728941097089886,1.3967940735635727,2.1545610361018137,2.4193183917242767,3.40567217942853,4.789935514434435,5.4219052916464525,5.486159611673485,6.317995581006155
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8738640325315084,4.96082769521031,2.1545482349193956,2.476519363859752,3.403146805818554,4.301809174912498,4.715048795317411,5.126761545116881,5.558424824031853,6.28463025122721
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869813646481958,2.4141627675390502,3.401971755393131,1.3973086276310955,2.158910123610528,5.973921992108633,6.950427385541222,6.242926797394077,7.206162996191959
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401252359217661,4.3033975500459185,2.158306422421867,2.4891127768928927,6.693795209903341,7.735124869650958,6.824096674012216,7.793226951882966
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087292788942892,1.395905989477437,2.158121422405256,6.087785025531689,6.748089811027337,6.745749004183648,7.618398308757294
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1576372004579523,2.4891178305356183,6.8744126888387305,7.409188978022943,7.629320860240721,8.462993462684768
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869844289439954,6.594335578040863,7.419670214950096,7.070902797908092,8.006775060826245
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.661386849380643,8.476088001691735,8.136515975260117,9.078953920410873
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2128011302509112,1.3499148648598305,1.8788683561903197
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254963122310023,2.2940539763949457
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768509181386494
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
