,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0217904079435314,1.0117407457653214,3.2668957400947596,2.821291810736719,4.46318292538533,5.184244967881624,5.2953284479324,5.4360861832879515,6.730420469804402,6.863788658414345,7.401933962403167,7.444879551709894,8.511884847751164,7.31961682802838,7.471611802746739,6.589829683899128,8.54591606453327,5.1489540248083605,4.857045302803142,5.963456261251782,6.127178350301389
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7517050589177532,2.5875750856338047,1.892879176377474,3.7683727403030667,4.6100345288859765,4.441044272652127,4.492714904910904,5.930362035075679,6.168499190331312,6.541177591781233,6.673426802383974,7.724916712076372,6.494950278182949,6.858097924024418,6.095277824331088,7.95371587120971,4.30682620116636,4.178879855579571,5.04321581148627,5.270417356362637
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.029040775246245,3.579757025261909,5.10108500366021,5.8305249486729895,5.8497315023212995,6.075691712687131,7.265750494170239,7.3070225372861115,7.882351745026988,8.11805789917104,9.16056731471347,8.070349714857107,8.18231866680387,7.259351601621937,9.297706849887208,5.464628176187178,4.981745827539204,6.247716741993199,6.256439807765808
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2477764808722929,1.3425754926632614,2.104860972139676,2.430001761150378,2.674307888830629,3.70881969464913,3.9929798307881774,4.541203080931906,4.20215441136992,5.284838314682275,4.112014303985133,4.271962720819824,3.5738253388815187,5.3716604155541745,3.100582128338117,3.3692408776527776,4.142531440910657,4.74314581247434
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2709987547721315,3.2203450551570247,2.7730528750218446,2.6687591581882804,4.271483524068034,4.713401360039609,4.885507524605243,4.901558417374249,5.942071784038884,4.636109927382163,5.254209974026213,4.716838854720564,6.338914413424931,3.075617249587836,3.4271929039526206,3.810633000873245,4.341084010634861
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0595422319764878,1.4435105813007916,2.0998907236151565,2.4407384279840443,2.6651564473374196,3.365557980494895,3.0394757247080775,4.091969184894562,3.194021146176277,3.224639791845475,2.625629908489257,4.417117866707868,2.4558648594954264,2.870327347488825,3.606592336877484,4.2931357903779475
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1049695998144364,2.8102087121120007,2.431992404959996,2.439542618830869,3.507537527658033,2.6547413992881026,3.6817301792483237,3.0243090630263176,2.3907708519360327,1.5903183149909101,3.573905836403752,3.2468772925920333,3.5783390787589755,4.408990231097179,5.107173634940743
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986158726547794,1.5489337282984919,2.161051258756716,2.1478948799118722,2.6012220937226527,3.4927616887145394,2.7171484270847,3.469189580236303,3.344250110951882,4.632842649627228,1.5267746177545298,2.457879918829621,2.3835525230033823,3.2056730817593513
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1732758821414713,3.0667753540948643,2.494833660246821,2.825800372582208,3.6723836548831166,2.5034005782624904,3.8590128050270893,3.9486931748044163,4.891096225445809,2.1180845835633204,3.2218752728101037,2.4331095523438955,3.3684335373393104
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974541000019506,1.097894546100304,1.543023748520862,2.1645774211523063,2.1737140685250447,2.680206233765529,2.9483265503489147,3.74267573750684,2.5162207000875125,3.313614194585516,3.12672713913914,3.910597890489872
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7677983506942936,2.175612644455514,2.6460180664010813,3.066643865605676,2.8132923438294584,2.8002920239466498,3.895821149154844,2.759509790681061,3.1713424469168396,3.601387480894228,4.1989079552758
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170631835337565,2.351820024323881,2.630514860531524,3.562228267364884,4.003189911584008,4.469641825462045,2.6519209676522446,3.5495338192728547,2.7833968062175045,3.527634782745773
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963152829376175,1.1011660686020368,1.5694820901387896,2.4432690471726937,2.378642481934659,3.9204481024151656,4.751623338110968,4.458455891025523,5.327624647933899
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.747706394195467,2.1478484161730935,3.2287211677072487,2.4981275079819127,4.638877087992059,5.474835058611162,4.993081890363991,5.823557795367439
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1686953259307304,3.0273199499235086,2.76563314732446,4.132135525965191,5.115339755750802,4.497382367221048,5.4432806889772944
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.285078378983461,1.2380798347810253,4.837864379803744,5.430481055066773,5.662567256039029,6.4859973169746
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2610935667777015,4.5860140828747955,4.9384599944613905,5.650597851183747,6.3871161772537475
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.024961757516687,6.654967483336991,6.75961156122537,7.608212163608475
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2097926040512104,1.365671962975461,1.870941965001274
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249610044768046,2.2518156547675914
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755613886586585
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
