 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,O21,H22,C23,O24,O25,H26
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004294679131686144,0.0015304447775482816,0.008871159865454767,0.01162590589532042,0.00109997465740104,0.00016499465972219518,0.0003742239630942501,3.9966646358746694e-05,0.00020106818768816925,4.132736164666473e-05,4.94602279077494e-06,0.0001412183738207229,2.3483899401530173e-05,5.471095696888556e-05,2.764826184786795e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.844751741343244,3.586766247286203,0.1316750806733501,0.31122429123651885,0.026010611884786927,0.03450892508888592,0.001415582027307627,0.0008045017914555253,0.00688204635977438,0.00043113441105513406,0.04443910676005261,0.00895610669626179,0.00810917126373023,0.001197403317561907
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5395756993810824,0.01776002564674284,0.08434117851033887,0.04052475089993335,0.011284644212509048,0.0009272340610715357,0.0009045649100745123,0.0017396374637899115,7.147900059500945e-05,0.01895281296428636,0.003108910277382179,0.0028932805149516766,0.0007301144208335941
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5431331419484198,2.869391955842965,0.1027357662693289,0.18899113503196063,0.014091176882168988,0.003777949782317158,0.033416584803890315,0.0011016109931386575,0.20919381650904187,0.02740069301780082,0.031219460786923295,0.005013659396443937
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08922558044259477,0.01786286697084405,0.01200114573363098,0.0012680209048778757,0.0023382642072524717,0.0018484826777080965,0.00035199498834392884,0.00429947015261023,0.0007788163986776064,0.0011218181358307877,0.00029467198949650886
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9398404226615058,2.576085150490901,0.09292448361477668,0.08564215502129091,0.20130855402188197,0.013758657539955865,2.6857658500341635,0.25989741970944197,0.20499428478384701,0.052634361318098954
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08231371218297157,0.004426545645178859,0.03292281719063639,0.015018990281426725,0.001649116589366395,0.11920854936050485,0.032679719704525434,0.009940822315940512,0.00033594352626487023
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0596152541859767,2.0560216348129416,2.965835844898726,0.11083430962746876,0.19176377922446408,0.042130008166604865,0.024841402101812335,0.0018853088015032826
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02530630815200907,0.10407543619467241,0.031684959196732976,0.030441598036144768,0.00513385478804651,0.003121426481039302,0.0009967107894035543
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11518868004796456,0.006776014295913679,0.012470406264408318,0.0017676662659564801,0.0009969304875938612,0.00010847564730109838
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754275724054561,0.017432368688298783,0.005456760652775561,0.05735344425736168,0.005014306388190004
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015382605813837436,0.005007439848878414,0.1592197772680639,0.002605729949106239
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.224233601636452,3.1942445100905004,0.16719839200320097
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5058235983562235,0.08282053571882109
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7431836206976397
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
