,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30S,31H,32C,33O,34O,35H
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9702690268038342,6.937625677423961,8.135657710640487,6.143121342064876,5.203772764951059,6.949523205953066,7.969858293675899,7.137520403037612,7.976231536051857,7.563247156877964,5.895951201091737,5.053400546478134,6.805778435257953,6.158176534938241,7.825449791028702,7.891030055765311
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.281951335876044,8.470969578118853,6.363144197274669,5.400340957375256,7.023705350571005,8.064033501013478,7.238832844349993,7.988249891255357,7.789154910714904,5.95302497030078,5.299858944190079,6.674345483935174,5.953130396978958,7.60355528750273,7.556462435898811
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2287935149764133,1.368770873916095,2.0688298756893246,2.4488835931354846,2.483795441076478,3.4159208476991605,4.3033619044501235,3.2592986885164628,4.463241333661225,3.8531742486227456,3.576056685504495,3.8731495777111142,4.685289678992611,5.4035791584948845
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2705980422348424,3.166308989328567,2.7666505309998843,2.3081247179812494,3.6001526570064843,4.295131696802005,3.242873234162124,5.0108183911243716,4.602496403541767,4.0243859319170605,4.55848322382773,4.8885187962034315,5.692152340118375
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013538350542401,1.447925832985804,2.0531879714951455,2.49657908059301,3.423905469279287,2.7323300182014885,3.3178827525030465,2.8560913475589844,2.431683867211358,2.7465210950765173,3.624406659058773,4.305382332002005
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117023943867703,2.9192455326908493,3.0583433255925536,3.995322213464653,3.4490265773612596,3.3482634262954667,2.7242778885831367,2.5703669598715,2.468469704409052,3.8788911738624487,4.387172813241018
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978402693682936,1.5429851088228261,2.171716259088527,2.1572678138430907,2.8556112611223847,3.028935978002299,1.5247816109757575,2.4382242953639266,2.37462078548979,3.2104111305055087
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.134231291295944,2.4562875806103146,2.430427006964369,3.7846126563099753,3.9935750150523,2.1368580655155758,3.0891812411951056,2.6564643136416968,3.531645848050057
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092768490485684,1.0927167065618004,1.8394418842020428,2.404581776753606,2.547579330328765,3.5558149910681816,2.868841154566945,3.76277107099334
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706833398050272,2.372820884290542,3.3063736425389427,2.7804787225991983,3.9241384594041695,2.55541628403837,3.4535336047427796
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.438079494301875,2.643872348035526,3.4761319013321974,4.448689352734291,3.855427581377435,4.7868424655159165
30S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3502736928318937,3.28637600199252,3.906004134909012,3.6653117915489983,4.280000675359879
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063103151986105,4.09028139892956,4.471359860972134,5.089959742112173
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2108627390349784,1.3504367033185296,1.8774036723474867
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2529636374259296,2.290017324898473
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762678498397954
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
