 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,S30,H31,C32,O33,O34,H35
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028580476782685382,0.001764265590610048,0.13326282822938906,0.008704437741216431,0.0034902238417006126,0.00041138954872521616,0.026813208905628327,0.0030645712117041146,0.0012962760778705285,0.00039849755121856845,0.0002746272800502325,0.00011672073301638441,0.00011007202417889772,1.6076517094898435e-05,3.7783257946788495e-06,8.668015378021643e-06,1.469757138217176e-06,4.5710284557465286e-07,9.129660508699899e-07,1.9240056770009062e-07,6.912282452198326e-06,2.8513261488449793e-05,1.5881188146771308e-06,3.2874759092749173e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.929025688939935,0.2965620517115968,0.003926490767663715,3.6883905513876036,0.12699240243439913,0.34105231705366734,0.04456959775570632,0.002699560320728711,0.0034059854846996973,0.0013091233654848877,0.021256818720459564,0.06470260727510369,0.00245468063187107,0.00042296426745447313,0.0002679192126947838,3.958061539188762e-05,5.383867229924455e-06,0.0003992822054503242,5.12231606766278e-05,0.0022261081235216695,0.012471379863799703,0.0008289428254930342,6.810194239648126e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034975432067579915,0.0004061414316050005,0.13224702165383428,0.008595436727611094,0.025847284635461154,0.003113089188010343,0.0002017252048127638,0.00024957971576333726,0.00013023758345287462,0.0023466822439777157,0.006005191249622399,0.00025625075524970953,3.2218736727873676e-05,6.572684870009837e-05,9.696491466870683e-06,4.100662041039982e-07,1.1041769664377199e-05,2.050843637579902e-06,0.002671751014688528,0.021095908488543924,0.0010838971647152418,3.545335463739363e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9490462470070447,0.3292995433176771,0.02800613788331119,3.744515873038694,0.2981021955270342,0.03430054934261739,0.000898573153299359,0.0005784861779704192,0.0035440027765799575,0.005899009590656146,0.00039733957448545576,0.0001065928692367546,3.205947169311607e-05,1.3898101242193484e-05,6.872121840473255e-07,9.642253860153716e-05,0.00018023143051904,0.00015982617761067797,0.00042714198129775727,5.2460512657129255e-05,9.755339655304063e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027902886997447807,0.0019338387025402692,0.1340044467501329,0.012450749386266668,0.0012583960198360167,7.2528206522815e-06,2.1666534690822914e-06,3.7144244138254123e-06,1.2618221610249947e-05,1.4234785188360632e-06,1.6643942002403378e-08,1.9024960440372496e-07,6.665722773746552e-08,8.082658320418545e-09,2.88027050987516e-07,4.187824615975444e-07,5.161077505366762e-07,2.0492453659537446e-06,1.1833546720296795e-07,2.6241605333154894e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117877036694437,3.7095774022710213,0.3185389800964028,0.030540059030411126,0.0007065173242187806,0.00041304621977510114,0.004405052830290648,0.005492441695208683,0.00046326531302809393,0.00012607204889314438,0.00010326199561322413,1.296195027389313e-05,3.0635242177501354e-06,0.0006256740534396274,7.32821697286834e-05,0.0004317618298529946,0.0015728888376235761,0.0001476054039894134,2.5282055475694953e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13035407518376285,0.012669471287097944,0.016730466995008353,6.3269538612686915e-06,4.042865095033044e-06,1.0936644119774463e-05,6.277050341640944e-05,3.864142265053161e-06,9.254665391811301e-07,3.0374957055157026e-06,1.232944901730093e-07,6.593129717735735e-07,2.135864298680179e-05,2.7031044402825444e-07,3.2958532108606775e-05,0.00013183091475132969,1.2817725735358998e-05,6.664174199144668e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1746903882871695,0.1374328858096847,0.0007490229322815734,0.0003436013225231599,0.0023434593945297066,0.0030165142277542856,0.0004194186215785156,5.51615007848838e-05,3.362337001469595e-05,9.862658147508085e-06,3.7943014241648143e-07,0.00017698983080485786,8.339400387824547e-05,8.735633307915824e-05,0.00020741709153834775,3.0913805126403515e-05,4.3638879964058575e-06
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8996276586332002,0.00019218612897636822,8.145934988380149e-05,0.000532487093696854,0.0006238807483541775,0.0001094203013278644,1.1793231152301686e-05,8.094494803212449e-06,2.0939718612389413e-06,5.5108082541721615e-08,3.0291121313794078e-05,1.9409020480809502e-05,1.3664824808523601e-05,2.8948042657850337e-05,5.217507479476913e-06,7.902796186343153e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.689039416026162e-06,1.0663747335160068e-06,1.540151116863342e-06,2.930956448210509e-06,1.6602999663994922e-07,1.311570008155627e-08,7.183814298983293e-08,2.5306314377360195e-08,9.82722370146405e-09,4.6212895132846654e-07,2.28010090808084e-08,3.6222782784367524e-07,1.5358507573504099e-06,1.16804571015372e-07,1.6458311158373817e-08
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.522480646001676,3.427875907767668,0.13294973245486186,0.2705826016737076,0.03019074839918212,0.0332182345420447,0.0029652190349389596,0.0022127711059205524,0.004505528031276074,0.001042312902411302,0.03037393255664425,0.004427113689175088,0.005903837404688583,0.0012713097514240879
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537107637158254,0.024756540053945342,0.07858933004314539,0.061384499533228554,0.011840225248354395,0.0012733106382291082,0.002895816887170777,0.003580215984745054,0.0011485255607341927,0.011813122893492553,0.0038458200848403845,0.0017266337595137835,0.0002451397598028926
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7345504102068943,2.60014492539716,0.09399293514707574,0.18135240612642547,0.026383684524000195,0.007011735095597049,0.03039652292022916,0.010835370342409778,0.19226631830783739,0.040177288252824406,0.02780411930358998,0.00494777393204604
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10197772919997972,0.024529441418401632,0.004583989134883004,0.0002988288623049229,7.492280312315636e-05,0.00637384340220204,0.0015170694334478707,0.018601748179078448,0.030609392214449582,0.0026290264956969622,7.740796214217305e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7712707872678264,2.706226743365564,0.08987102349149279,0.09587094075223135,0.1858023066617364,0.004774392625600532,2.7233731157346135,0.2779526473601837,0.21899252021086602,0.05304765014993473
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08802391986032754,0.004462949510250613,0.00545940294947167,0.03912508628884348,0.00022278524068242156,0.11759074953634685,0.030369341677989103,0.010638603803065472,0.0004315086154935699
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7631237530758774,2.0692260481622244,2.6754146625939503,0.05426858248833599,0.1803693607207554,0.04325783784081606,0.0340158592211908,0.002457156270239791
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027624932042279005,0.08881757082581387,0.025664860313377558,0.007277939947845535,0.001203028602349776,0.016291559590383198,0.00042607038328745794
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09009491286467752,0.005081772180863586,0.026863283900890877,0.004467061712811526,0.004083552274171232,0.00028993438469226973
S30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547322022687388,0.041243151717257065,0.007845712425600379,0.008374268725674275,0.0005620402544034286
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000626161538757275,3.391600803848149e-05,0.0008602069561873815,1.3385025094514447e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.314525924447849,3.21722256925187,0.1701623090083506
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510550050262117,0.06666101558679949
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.758836764715043
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
