,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22H,23C,24H,25H,26H,27C,28H,29H,30H,31C,32O,33O,34H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3037109205799013,4.5349827023753715,2.609590249076438,1.5563258860883125,3.7038283010205255,4.409391176150934,3.698721837167727,3.474303061448497,4.793697182295541,3.4172497821178425,2.4174501832320754,4.274948936657719,4.555761953215768,4.0978229252125,5.273176267355051,4.395884184427237,5.36727575137401,4.29802986462529,4.698572028451474,4.7919488137251,5.953581064321808,4.65929344505316,5.6148182792023995
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2415424027172446,1.3464617697602557,2.0597956507081947,2.4213092195629566,2.6806649351233864,3.725115214992458,4.027099261842004,4.547623361113471,4.235182962991812,3.8450540546776377,5.688342236014061,6.278446212437545,5.882681712991922,6.295963866090512,4.54079794338729,5.200136710210793,3.8143493128808457,5.282677152068286,3.0863338976671635,4.076917186925571,3.1971033548043204,4.011926649602152
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278496146472586,3.202963697968794,2.770194451520664,2.6901408529221156,4.2808139606778575,4.7164037715906595,4.880997261263272,4.963193255148715,4.780624271731023,6.45029384289602,7.097355560411316,6.7344874544319335,6.904047902676903,5.032247123955295,5.49891378986757,4.193247587138953,5.855159368721278,3.0326798755231987,3.7363349762162934,3.30858462923072,3.90725945545968
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0698739743997963,1.4406160935860362,2.093036493816743,2.453860739135257,2.7180690476049474,3.381321344456146,3.01457991294785,2.690075167769253,4.406422773373951,5.070542957467546,4.555075369879192,5.0222630541379125,3.6120783331528994,4.280661358912099,3.1490398787911973,4.4161012481682045,2.494595460529953,3.601978663488415,2.749794701806426,3.6936009996288615
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.211199625741663,2.949184277188192,2.618985673677416,2.6250449689491706,3.692335924547114,2.8190666319194433,2.1638150535957723,4.047576524160806,4.602097456223711,4.0555661108103855,4.8459935813782575,3.6855898206908906,4.514497312384049,3.41492001649406,4.310291926446239,3.312519046143321,4.462731327308135,3.3586929235685283,4.333821385841095
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974964573107129,1.5464015628151797,2.158479493989563,2.153788852801586,2.608770373274721,2.846676414698316,3.933756030214076,4.773764943753258,4.205048488507223,4.255940638100087,3.1071368133266373,3.4345596891844896,2.8110148913628947,4.124701664595031,1.5294538758699128,2.430367448226884,2.418894502170675,3.22808216217086
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1758652534720677,3.0663221901576785,2.4714490002268246,2.891734818329641,3.2658260952137805,4.286610484835876,5.024695524973396,4.792873798023901,4.4836542370309145,2.80775101654199,2.9834173738088277,2.273302327960034,3.8411694768963534,2.0817861580950145,2.544518814400094,3.2273611752484364,3.9002587952270518
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098453472830315,1.0995226718519482,1.5441798330193754,2.152431665336196,2.514932333376989,3.4813092097482317,2.749110902882271,2.793386887347914,2.5602084795695235,2.815301100765374,2.8521573851516915,3.511834372871402,2.4938804058434836,3.172019712513139,3.2401733553569003,3.9915908376776175
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7693108840657303,2.1609567355955983,2.4630947813008777,2.7050909860377996,3.7099993733699455,2.4783163920398525,3.091386808744541,3.4937510619150105,3.8139255306299553,3.838293397998546,4.321903185578745,2.7197136241200446,3.5301666090651826,3.0139038252294714,3.753822172825124
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176314422119903,3.0647201838149862,2.7479381744190734,3.769402018607272,3.0782702786691525,2.571760217557589,2.833639868925414,2.6454493188695687,3.250478484389611,3.818698712047714,2.6431127824897813,2.8896885659935374,3.59147518355141,4.137074026987421
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968979188289971,1.5371016047825685,2.184602863324095,2.1864495350214033,2.191776194852227,1.5359229497966487,2.1904501060928747,2.1914259153366813,2.179759959100375,3.9135346631519337,4.585083518672306,4.639300177356433,5.465224013675278
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1416435054949794,2.4894075504941786,2.485136347955377,3.0718218109530206,2.1523422200880438,3.0789734815121372,2.489945945774019,2.512813580616801,4.241304522241081,5.117966691537923,4.736525684597725,5.651635544854095
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973498932635721,1.096834733465945,1.1000960731455187,2.528150880798569,2.8277710511851093,3.491373053971249,2.74199717921902,5.001959384519354,5.558330624683447,5.630930453094292,6.375454344035921
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7709573231130173,1.7747246211126726,2.769616198876811,3.1776007543587825,3.760439576728376,2.528001143937259,5.971224549477028,6.552947160016858,6.602918101588539,7.390282695238005
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763794040639413,3.489477944598798,3.8372106333954084,4.34405750022342,3.7516539769499957,5.102603639568199,5.751783711438546,5.487024734122912,6.2093166458871085
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8072012317373027,2.661616500788323,3.8342578939899243,3.106923585533813,5.132801912409765,5.457144587659818,5.8966159844596024,6.526229049376267
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000255043961544,1.0954488988958777,1.0975548352467206,4.470856886640948,4.916715105478242,5.464157549025322,6.244668143618342
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77579077658903,1.7742492294651058,4.55515643839909,4.731331701584935,5.69634378014155,6.357327906608174
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7671520996764347,4.215557549516547,4.692773428415939,5.226709452864932,6.017973695046479
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5367483485050935,6.013926237260042,6.470499363388883,7.284523395893178
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2156756012891483,1.3542885053826852,1.859510415484643
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.246594961718574,2.245365872992987
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755606108125217
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
