 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,O20,H21,C22,O23,O24,H25
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.777291743267908,3.4803611479052936,0.13513093363755868,0.26137713782175376,0.02628711945607587,0.03255417470450181,0.0044523116613552904,0.0007426672321477756,0.006097084237653039,0.00024219372990064159,0.03565910868640168,0.008975153811522862,0.005163762626162027,0.0007182302826449494
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5425365100007143,0.025703955448722615,0.06696406031893,0.050738157024808994,0.01021876333662794,0.001494546665733898,0.00020960323651231239,0.0035814998409940124,0.00034879339639115603,0.01386499142165859,0.004390146778836881,0.0026662513247529204,0.0006628250149210979
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.883134813715369,2.791524160600208,0.09604416534001581,0.18811444785465883,0.026460149480694417,0.008426700558501365,0.045157945172987574,0.0008062774932758865,0.2288519317554838,0.045125831209058914,0.027496738188391046,0.0029062889000956993
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09613315844709847,0.028778383504668215,0.01664831946142864,0.0035317446153346754,0.0006341001533769486,0.06758816821541813,0.0005906279507157386,0.005727153932003515,0.0008043173215176447,0.0005833161628621131,8.944985742553868e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9692821869678783,2.714444751168192,0.09681129337169803,0.09810699760317765,0.21648807689836047,0.010848391293080462,2.397502099933433,0.2582446263807479,0.20624260376851794,0.05598780180475804
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09093708435119652,0.0023518697133737554,0.004128830638293612,0.02458009097662972,0.000578695641242355,0.10587488057615935,0.023343531146332808,0.011240539613717182,0.0010292636228974583
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.052787612570602,1.7606190992003965,3.025938648355419,0.11730245838312059,0.17794704915702433,0.03592739262922387,0.02603145618395998,0.004663808196678887
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027315480055260855,0.10833648507605209,0.009728143475806528,0.010222948900187268,0.003838658981337395,0.0009384828136155265,6.101813289371982e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10311368919767139,0.031274397596597225,0.02739359372506467,0.004284367284507762,0.003605254834311844,0.0015840223293994704
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5002689027744887,0.022441579258844657,0.054103688524004774,0.004516197072073923,0.0014999373866638743
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02769885674636785,0.14941368476403805,0.0059765889500648095,0.0003041680437372296
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.910437768370418,3.419080445290144,0.16682899821100472
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5151162875252782,0.06395720146844364
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5322250347309554
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
