 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,O31,C32,O33,O34,H35
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09505184779925102,0.025956974751980888,0.0005153356127001185,0.0013126179446174557,0.0002520923160314048,0.0004694176818351714,0.0009578639080355389,0.00013620493906629783,4.744136594680981e-06,2.0792268641711686e-05,1.4331925294763792e-05,1.9378686824111924e-06,2.879044642689621e-07,1.5599506864028e-07,3.886613584302978e-07,6.677745689742665e-08,1.7842108013255142e-08,4.3317964171230017e-07,1.4717244412043584e-06,2.173020912099588e-07,5.603147231747485e-06,1.1279186228341231e-06,1.0020709512170711e-06,1.1856461679116137e-07
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85544160769738,0.09442761298648394,0.08767883645446761,0.0956342033931552,0.0035555648401854323,0.0031466435983315832,0.0006665989451451609,3.0175708891744257e-05,0.00015032782891412355,2.198393879948579e-05,1.8224863795837654e-05,2.771896722375544e-06,5.188133152422836e-06,5.6514595390619315e-06,1.7605391500197243e-07,1.6790007109079852e-06,3.3891649390077605e-05,9.737527323289835e-05,1.4408346480303258e-05,1.4419442814106453e-05,4.348337595496202e-06,3.9787723149636856e-06,9.060439164487732e-07
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.894511596099059,1.723983528653593,1.9812656593328746,0.00035098932499699753,0.001014536899876406,0.00010968646998865683,1.1382457318576122e-05,1.699533104228268e-05,4.2759726028851475e-06,3.119522055561319e-06,2.875472920882416e-07,8.154834849616321e-07,3.97367331136933e-07,1.9077229462816092e-08,6.424877163624387e-08,1.7781193069610346e-06,6.5714201712141485e-06,6.680596274094563e-07,2.8306578686299044e-06,1.173378886269727e-06,4.901587989936118e-07,4.3180594433422925e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251267619452078,0.024478829371749944,0.00025031307802225733,0.0014694598061053554,8.763016593094086e-05,8.968221398619747e-06,5.846483090543586e-06,2.032444465838168e-06,7.96115388723706e-07,2.0705307113288995e-07,1.6841722061400333e-07,1.0552914309069905e-07,1.075902922309524e-09,1.0019542084904742e-08,5.719125333314423e-07,3.7834637297562423e-06,2.2939656174614242e-07,1.2285697181813049e-06,5.260519908567574e-07,1.1528102916713578e-07,4.848800694290389e-09
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02420657706247198,7.112020491351068e-05,0.00018085759109820465,2.7478317402573893e-05,1.1522429057553296e-06,3.0715530423552906e-06,8.507009048308589e-07,5.030562322261289e-07,1.1956258427758826e-07,3.274477147208188e-07,8.823234909360878e-08,4.0310510485142e-09,1.9197886835797817e-08,2.587476148896428e-07,1.1535524268024844e-06,9.343842066744656e-08,9.938762055572425e-07,4.7505346612020105e-07,1.5708427325566987e-07,1.254227499636329e-08
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.144394058971159e-05,7.268464125054219e-05,2.681310326280162e-05,2.257232722513436e-06,4.583399054736148e-06,6.162664150100028e-07,6.290890028903817e-07,5.1222058816691174e-08,2.002063930195419e-07,1.1609117012145731e-07,9.965059000194287e-09,1.3898620032648523e-08,6.334804569796404e-07,1.6836548362153536e-06,2.1301561958786408e-07,4.2372222353037614e-07,1.4729856490092175e-07,9.35947858105024e-08,2.136908294758655e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794060213789759,3.4024943051496273,0.12900305124511013,0.28766992273051606,0.028647241635633147,0.03062590296443507,0.0012760889847900359,0.004230350345511891,0.0016147205994576364,0.0002915270985444085,0.00013360076011892374,0.0031914412959074823,0.020308783218974544,0.001156181609913015,0.039856875030018446,0.0066763453310071524,0.005761669799469599,0.0006291627204916272
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5435023380186337,0.02182510200630039,0.07679109797000849,0.029159093768643674,0.009401906885199249,0.0008319393970473987,0.0009491074490590723,0.0013349439906252536,0.0003011078198784656,0.00010864090377604718,0.0012369012487338238,0.006437565710413762,0.0003787398227002581,0.03047343538482991,0.00535272563768692,0.003155982522767331,0.0003552435154701161
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6244399941184637,2.8642232801409278,0.0976601930000256,0.180082806281252,0.009200313226625179,0.025378861108630968,0.0158593024437452,0.0024704316792985015,0.0009383016697110946,0.022699393094936376,0.17423903508930927,0.007850607701633316,0.19755593653573028,0.02762955120288728,0.029125575487383357,0.004884028283454134
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09674192104352664,0.008657696442684548,0.020553959136241917,0.003813174113064699,0.0014733384467153776,0.005108098981993603,0.00020483086079203794,0.0002664260772482496,0.04632516254282604,0.40113196611537316,0.009706803306388179,0.009701536331660154,0.00045530918503533524,0.002105705621533671,0.0008324591281791971
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9482980083985657,2.465154144151768,0.08536272637213571,0.0951644065828352,0.1608152012680517,0.02376030336668644,0.017367520443110518,0.008375853449768406,0.013252831981749078,0.0034509346341884684,2.657550234384502,0.25556017492834976,0.21699076394925357,0.05511131258941038
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07875266827518468,0.034442158521867716,0.0037050241840823617,0.01130718078019255,0.00038768550789769485,0.0066341688009703415,0.0008286435806934556,0.0008096568467020893,0.00032864292333145695,0.11514184450279163,0.0265303108234638,0.015003136994560018,0.0010728416021918985
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.998852115714968,1.9298768970573055,2.7895942336306585,0.09563934734827062,0.08280372518104917,0.1325236166666126,0.03087115176742798,0.04464822064794084,0.2089590992560937,0.04285466340254068,0.02703322681940154,0.002045476466231988
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023737286048672424,0.07868407198798344,0.0013624011611217401,0.03160670749837324,0.0129253951486068,0.010703049988455615,0.0024522128922100928,0.009208634002093596,0.002824541528112845,0.0010574079802211367,7.095271243540147e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08277373562700507,0.010156530942478481,0.0014885325339231148,0.022438677707474985,0.003924726520930677,0.003910395854643811,0.012819533628857904,0.0019017693498674104,0.0086688473932931,0.00015655724576890684
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9846872276577836,2.004470311723698,2.4720639609705994,0.2588011723362032,0.32296823701807387,0.0342244365154295,0.008722718795206898,0.004183002489450333,0.0005946918082460062
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024566500807347014,0.09112923702696563,0.023961375007754526,0.021507526632342566,0.0036167630115164773,0.0011535772875284067,0.0004071409679347049,0.00010655958303629198
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08587707966523861,0.016746459285240434,0.022414093427002735,0.0016254681575604835,0.0005592844158270882,0.00016406357224607593,3.11123544336489e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24346802376558,4.98491326935982,0.0024750441727356687,0.0003746967177807453,0.0005865721999726292,4.508185088647476e-05
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701792200351179,0.0017641946224252747,0.0002317945359716564,0.0005144194210211228,0.00017821760888225846
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018705110025147575,0.00045362777749469174,0.0003986400372979204,1.838929263653366e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.337498669567785,3.296865208936744,0.16445781456370467
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5022370079784155,0.07768012623848553
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760308887926092
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
