 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,O29,O30,C31,O32,O33,H34
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022204977783990554,0.00034211126196659336,0.0002553667006963689,6.20585768884574e-05,1.7855541592171065e-05,7.93116680508632e-06,2.0452970910245227e-06,5.184466822516498e-07,8.213248126054395e-08,4.362398753343655e-08,1.8264397660949783e-07,5.23133087959593e-08,8.576279031391465e-08,7.209442555389245e-06,4.461317199888626e-06,1.8753226809220536e-06,4.582720605217361e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78407670206849e-05,2.8897117051895904e-05,3.947178813801244e-05,0.00013187796581770606,7.2687401533322316e-06,1.1527904717478776e-06,9.800636675549868e-07,4.2576232051061424e-07,6.291179066586494e-08,8.397287021288946e-08,4.184787383287869e-08,4.0007461010738155e-08,4.496565352729576e-06,1.2776891085586328e-05,1.969158568426721e-06,3.369169081501866e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8970805479971045,3.6799927439476017,0.1483038291606258,0.2637275980823216,0.01643026019084637,0.03034057666761225,0.0022266815699409914,0.0029697047923618047,0.002040887379628542,0.0011874325750157455,0.0011674934284297972,0.04301147628823679,0.012729705872869757,0.007183553309132867,0.0010133757631807239
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5469815225573375,0.027986404685740873,0.05556300959982864,0.019557586114878345,0.006774235183295313,0.0011374101995484942,0.0007412513817213195,0.000676054617507138,0.00017593171575538968,0.0008223476400512908,0.018160084069952315,0.0032311570170922427,0.0025809105771642388,0.0006496146599780372
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9291912943887297,2.5576182060478962,0.09428307915911815,0.18176460113483622,0.025201323857687363,0.014753884173958287,0.012120138092128557,0.005778095172116013,0.007127983908503707,0.20596421123832492,0.0343219092091573,0.02834118986479782,0.004774511222202071
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0958776506257818,0.026216565640762024,0.0239587109644378,0.017809862404813526,0.0003081398208497621,0.0014298938856643906,0.0007091658962401493,0.0012758877537523139,0.005830312231157819,0.003292137388381411,0.001077364214039589,0.00039524091319220744
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6508374747042855,2.581785704424885,0.08327643154920361,0.08373686502259559,0.15070117705254513,0.04978561949183291,0.09777024073648398,2.8157608321556933,0.26739437023948387,0.2132342408007312,0.05426000066575942
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08601265268857561,0.011763918594129397,0.008207568762294226,0.04604696839871503,0.009620354720831892,0.1290368359340136,0.1130912115651388,0.028863183785888147,0.009932742301643982,0.0006313536457969171
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0939681577389075,2.001022347217017,2.5075838339610708,0.33121837964447226,0.3070167705981214,0.21883218811329266,0.04589049396791692,0.028546452715725243,0.0016341167887662378
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267216796067975,0.07427126949835472,0.015528977953867096,0.021982822697470872,0.0105623269557642,0.001723316764865368,0.003536374762354688,5.103945200102267e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0749838755549812,0.015961478686536745,0.023900720351762605,0.02718765791664257,0.0029424457241011837,0.006970581859543801,9.031167683204444e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6519668535962655,4.487354281090414,0.0204955921572737,0.0061156862225150155,0.0016801495345995787,0.00036086600801965574
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5961051437434766,0.01067183211536138,0.003991925557847394,0.0011691902357585243,0.0002540847037619809
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017327446561950052,0.005319590113927672,0.0014228880468570015,0.00011840520838579671
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.123909249086278,3.271554192286911,0.1714483986060249
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094036831035964,0.08044045505051434
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333175405904663
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
