 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,H25,H26,C27,H28,H29,N30,H31,C32,N33,H34,H35,N36,H37,H38,C39,O40,O41,H42
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7213888330616705,3.967827356628552,0.002177419047222129,0.0008821256062201133,0.014778197542973548,0.02730431018009838,0.00173119005911207,0.0002890608345296197,0.0008282828707760204,0.000701249460080211,6.990515643989781e-05,0.001138916523583361,9.189743588833288e-05,0.0008556203886012081,0.0026425024376211803,0.00028814478272276567,0.0001475132917323485,0.019473402895335612,0.04367985437647082,0.006295838309991586,0.0017193318505170085,0.00025224752358465885,0.0002972446041878962,0.022818079618881534,0.05296106940381207,0.0008121950881992968,0.00016548293454848872,6.235493427483862e-05,6.223730843243902e-05,2.5717603259534094e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5407657396534024,0.0008918304537702537,0.00048345668480503923,0.006689875270027845,0.008453830353680192,0.0006441059574225361,0.00011774780387030503,0.0004052276450302733,0.000280833556803195,5.1231344414204294e-05,0.0003314826568416446,1.977184974355506e-05,0.00037002807295916096,0.00038136140866094903,4.5375930992630487e-05,6.643727764066298e-05,0.003767603528332865,0.005138444797220032,0.017043629651995573,0.005856249359110902,0.0013012345081589993,0.0006547413030678628,0.17672012037367976,0.4266970916321433,0.003190387437965736,5.5254818720124055e-05,1.578102531049619e-05,2.5552324106448143e-05,1.4763639240578108e-05
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010655572645317343,0.002955282755876927,0.10629501814134211,0.28371519228931663,0.009908078331185788,0.0012828588099227378,0.004412420446846449,0.004304924346212768,0.00030682389590452885,0.005901094929994258,0.00031386235027330844,0.005890300455704822,0.013428818495083567,0.0019482902285224979,0.0007224066335150825,0.16759228644741167,0.41645294029065816,0.017811928963159154,0.0046160431697511925,0.00018401929941358475,0.000867009861748369,0.006017935555869186,0.009033913631683932,0.0002400389461496566,0.0007486446641520456,0.00011923163215570021,0.00031259378842418,0.00012457764127959958
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820260426746942,3.512444368122746,0.1406084612644216,0.268670580652468,0.01730413092861327,0.030901831650835987,0.0010513651342922703,0.004510968791896941,0.004315594043565046,0.00022645065700910294,0.0019756174054088582,0.0005256343509093819,0.00016577193747790986,2.1965431455051032e-05,8.867602374364181e-05,7.180518150040616e-05,1.56312688626703e-05,7.172741384953163e-06,8.37941066955672e-06,8.855256453665916e-07,1.91055583682459e-05,2.174699197332597e-05,1.528719774102072e-06,0.05368814226942609,0.014174405648811977,0.006939339279635415,0.000690482036263429
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5301856689502855,0.021401993489381432,0.06524502034299845,0.013026502615334667,0.008789559814997724,0.0006560799699447672,0.001198947262467276,0.002839879752124297,0.00011920602286019655,0.001783938986899325,0.0004983360222204775,7.553283509742492e-05,2.7262884699563728e-05,6.250046889914873e-05,4.421017968769814e-05,6.031648286941582e-06,6.498237087912417e-06,9.993106290018261e-06,4.2845549041992115e-07,7.603383384936768e-06,7.413576606718486e-06,7.856471861966696e-07,0.0544163030042015,0.01186588899889457,0.005285228102310649,0.0005214927744144893
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6936909135853724,2.854657458702519,0.10049283333241232,0.18402468545330364,0.010957649925414481,0.02423415212451463,0.026973178707535128,0.0007571171839559909,0.022601538025572077,0.0030896728794263806,0.0005916655042241814,0.00014952443504978596,0.0005814611889165544,0.0004792212721845823,8.053007364969278e-05,4.586178446071287e-05,4.3983806150782456e-05,6.552129842463117e-06,3.8429907773585015e-05,6.59079068595636e-05,3.0098374488307655e-06,0.19863949072911272,0.02989886680509868,0.027121892026142347,0.004797977131220099
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0958561053983834,0.012902566792712511,0.01933576932522385,0.004696895744291663,0.0010918074794590282,0.006642307651470447,0.0001386085795564984,0.007172547710986743,0.0006806309984207504,0.0001172060558747301,4.145952682121923e-05,0.00033519577177221205,0.003161216392529864,6.066876189791959e-05,1.048798436675824e-05,3.870638930258963e-06,2.0570195877755992e-06,2.2250030516812735e-05,1.696883664736859e-05,1.3139481431778677e-06,0.006894950423441348,0.0006895508746649348,0.0017033005816942115,0.0007037904274178608
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7818568503234922,2.738524282263531,0.08782337572330134,0.08809808605648617,0.15876423932699363,0.003160800349774062,0.014848794753725691,0.029711708395539965,0.00108012321123363,0.0031845220179258504,0.0021673065120766943,0.0005049723378234283,0.0003867702332785439,0.00020069815884170283,0.0001272683687594256,2.4286599421108335e-05,0.00011560816192672518,1.3770976103888444e-05,4.6542696828799635e-06,2.653568488977826,0.27034653261541053,0.217518099536817,0.05507861017378213
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08140420639387258,0.03455091224842444,0.003398504907650146,0.008177230703145022,0.0014289777993463648,0.000322107184038245,0.000811782887268464,0.0001573270072117161,3.5395790085601675e-05,0.000431209524572429,0.00011010149355761278,0.0001460770849828208,2.6474856928082602e-05,1.5206194512451532e-06,3.6736336321840923e-06,4.595199575163633e-05,3.1392447754630126e-06,1.0752108492440016e-06,0.10415710263660416,0.022039308422532433,0.015579692141779344,0.0011490713460635682
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7817416998107758,1.9741240242528426,2.746187475493236,0.08585479564333642,0.07782522842578588,0.1649044790563647,0.012146825507620473,0.02673689192464357,0.01863313261039752,0.0024647904184935676,0.003179337242235264,0.0011237211710419942,0.0003886036659901393,0.00010508252100493998,0.0010209174059441078,1.3649809322724415e-05,4.7213116798894283e-05,0.21492947729738246,0.04455256306311947,0.025224632582740547,0.0022631331428543122
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024920041980130758,0.08098594003535009,0.028400127265981734,0.0013171561460385561,0.015317835605740626,0.0006225106256196877,0.0021883907078286136,0.013284431178726352,0.0023204155659930503,0.0014871261313005313,0.0006284403214514844,4.5659453927981986e-05,3.213590109951703e-05,0.0005678053002013961,4.056278724684503e-06,1.3621222394011312e-05,0.012195823277705298,0.007665172428154232,0.001562066102392734,5.4861616253898404e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08461800538009956,0.00988955025395688,0.027735158504073265,0.0041128577430737945,0.002136520293986921,6.249008223480068e-05,0.000706160763210506,4.770928634445504e-05,0.0002905049192925002,7.038644585855014e-05,3.486768604954449e-06,7.999928627544506e-06,0.00010194275605723835,1.475856006294407e-07,3.246917374521985e-06,0.012024409241694123,0.0017182503338667443,0.004662930715627622,0.00013064733321965782
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7670811784433251,1.7549274518987872,2.880836320042523,0.08103492456454808,0.08778716857269919,0.17911939804496563,0.015461485188597801,0.027981342661863723,0.0063208923510641585,0.004118024417150812,0.0002549061043490841,0.00462083626784375,0.0001315165556984299,0.000686630404716615,0.032417643394367285,0.00914356792471023,0.003991674981194966,0.0007040260334166826
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02595305211038612,0.09887860128785175,0.002610134039454648,0.006188537785950299,0.02673908756136567,0.0007226012212355748,0.00407950186135575,0.0002077167628453669,8.753818661744184e-05,1.9828512828334866e-05,0.0009516082649903002,4.2365206192940263e-05,0.00016762275789883319,0.000537657196596264,0.0003027879820189927,6.157209580381906e-05,3.139248830219543e-06
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09144750894815545,0.032747129542488373,0.0034443253310676436,0.010558674300945592,0.004612629122275669,0.000881211717297381,0.000797698331278518,0.0012847032234339917,7.227944733267933e-05,0.000336055533143198,1.218899015098529e-05,3.538278680603746e-05,0.0023933918311429547,0.00026683275101446746,0.0002171651593847468,0.00010284855010822547
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7068993756178268,1.9635142940739583,2.6439954740087748,0.08412938150135896,0.28039436821143615,0.04313490919763835,0.030902230165697042,0.0025566151061897635,0.049249067911806985,0.0013486827091984122,0.004606936608206991,0.005768517145520208,0.0015827849101681946,0.0009327241118938095,0.00013421510351507848
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02122192746624063,0.09300034178855288,0.013436880760113734,0.021131977041586758,0.016587806792904836,0.016710919682254133,0.00039322957799248215,0.005296669019376643,8.357987771234754e-05,8.561418475649951e-05,0.00017534047912715067,4.1878476294998634e-05,4.466985324602657e-05,2.6733270022116784e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095254978816254,0.004588663480731503,0.026785472501199115,0.009252589619048068,0.0033646990935618515,0.00017853638855558351,0.008503640858775974,9.288564998088944e-05,0.0005187746012342842,0.0011491269323005149,0.0003267841369466451,0.00021132148752867064,2.8780418867446755e-05
N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.598385788320937,3.9475639375695204,0.34387076255012883,0.009395215700183202,0.030689701613060394,0.4314006775768183,0.008970963564509549,0.03094164612001693,0.0003432987593753878,8.35003133174625e-05,7.760294027021886e-05,8.128191878453705e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1523622175069348,0.022198880393890508,0.0014920991192222122,0.0014213532861080402,0.011787839916731158,0.009157230606759104,0.0011882350499172745,4.941307103012438e-05,1.4364684517098603e-05,2.1179644091207095e-05,2.0470729646948627e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4076645756068924,0.13931016254823414,0.14389463199750963,3.67349590872429,0.13809572823010763,0.15825649469544645,6.54146333622374e-05,1.9773789388666252e-05,9.678948429542311e-06,1.2917922611599408e-06
N33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.747798505928932,1.9558445037011492,0.35113672952585406,0.023383141399496488,0.01398180504102886,3.479596573288668e-05,1.3443155779516158e-05,7.200100189189151e-06,1.278452163022692e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348144526334746,0.02682196311075158,0.0025089005928398134,0.001305793509468467,2.940419662267324e-05,1.5184813624835591e-05,4.749875984533247e-06,1.488668443849761e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014987344394388424,0.0008833042945368685,0.006646148237311467,2.7463993288456834e-06,1.182842177871457e-06,8.452069082398594e-07,2.2042228375873663e-07
N36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5913193649122939,1.9426289752576005,1.7582063800147818e-05,4.091652035069504e-06,2.8277673237361856e-06,2.9403471080158283e-07
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03863976531216262,9.57821983837981e-07,3.615516551702669e-07,4.6987640167639455e-07,1.7879834834921837e-07
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.419950155933662e-07,2.119504078912371e-07,1.496495199981851e-07,8.942467877304239e-09
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.182065108639862,3.416581961929807,0.17000378223485502
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061816423374942,0.06977945011828057
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7463479671601503
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
