 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,H31,H32,C33,O34,O35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027516708710811688,0.001659843986933529,0.1395885518812463,0.008877069763711054,0.0034127490552691153,0.00037388020797579635,0.02559624870981425,0.0030888028716160587,0.0012293655125266145,0.0022613325655473915,0.00023242540090495645,0.00524027557481177,0.0007475691644305282,0.0006723323763500044,0.0003014015752622612,0.00010913076098262309,3.403343669194925e-05,0.00017033604323346552,1.1169622903817178e-05,2.7056783946655116e-07,4.0797221809718565e-06,1.3895555728282716e-06,8.498595025496769e-07,1.1325754298296964e-05,0.009400870898278013,0.07342978708418224,0.0033937898170139924,0.00012599123591727768
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039846381568915,0.30557274254626554,0.003987405392959387,3.7545849747430395,0.12796043700437076,0.33565266107067615,0.04206046460700111,0.002866355691403588,0.0027090708024888333,0.0014349044827062507,0.0009425987940542835,0.0008152593962014176,0.00021574508075272725,4.396543652174234e-05,7.43881321225992e-05,2.387945521986623e-06,0.00015050130373772674,6.949324431432258e-06,4.85331624666685e-07,4.133926379878972e-06,1.2330807352134432e-06,9.638858723542976e-07,1.5294656979664145e-06,0.00014572561645181947,0.0006262049768337302,4.789063910617952e-05,1.1389765674274521e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036319604651915416,0.0004367371477203008,0.13311537449495225,0.008452491016802233,0.026850418378260077,0.003310650532453163,0.00020940185552520418,0.00010653191174525567,9.872919187403628e-05,2.1760250452640406e-05,1.670006256460077e-05,5.502736797335928e-06,5.137510679098511e-07,7.691639014595353e-07,1.4927576774681484e-07,3.654520734919231e-07,7.219702280458762e-08,1.5058093660869076e-08,1.866396837080231e-08,1.351055467502249e-08,1.11785199985448e-08,5.0958601116590785e-08,2.2043662405435427e-05,9.26583300338013e-05,7.438471037790606e-06,2.2172747566884254e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0324205562439697,0.32286729164726813,0.027943629678936377,3.7725697833818614,0.30134665271146177,0.033845354581123366,0.0008435957653863679,0.0004009611063166274,0.0031531847947240538,0.0021153192465687143,0.00029654616746638274,0.00014639527658655282,0.000411897565071373,8.22618368734318e-06,0.0009365713070828008,5.155370876426535e-05,3.1394742816548415e-06,2.3840183499990175e-05,1.7301986305895412e-06,3.7018915738373792e-06,1.9888360544978445e-06,0.0006066819280419189,0.0025529372197174854,0.00019504349519064434,3.347325529667877e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02836279923349827,0.001988011273261092,0.13969371994179602,0.012312801916819271,0.0012574200468342678,1.0305716288128153e-05,2.706292512977271e-06,1.955871265146847e-05,1.0729705752110519e-05,2.2258723439971817e-05,7.006858865121757e-06,8.555370677743035e-05,6.293642288435208e-06,0.00013176736274345124,1.3230664512198231e-05,1.346798097490165e-06,7.582690506824363e-06,6.95893261015712e-07,1.541207733879446e-06,1.9226327843124835e-06,6.168975893983131e-05,0.0002620594660945885,2.6363681566055064e-05,4.453235042056747e-06
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.053302508967505,3.5607150319536327,0.3077697793153076,0.03173089775152216,0.0010250928855285446,0.0004822060519699689,0.0014107056708526355,0.0013636944963856257,0.00011900737954875784,6.230886506819466e-05,6.234160221943452e-05,3.960932533075834e-07,7.4273555692006e-05,5.096626424921924e-06,8.783985783189507e-08,3.9255726587139605e-06,3.298177341237718e-07,2.211524760542538e-07,3.788748902527894e-07,4.962026288210519e-05,0.00016286615630704826,1.5761337428227273e-05,3.955818862477756e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12749550611261462,0.012972322114370272,0.01786887061944631,1.3648563810253478e-05,1.0435166034827859e-05,1.3845464887918268e-06,4.419871868277525e-06,4.5900243539342966e-07,2.844425481818291e-07,3.068159570851492e-07,3.797790748549801e-09,6.364799347569061e-07,3.837779094517657e-08,1.3084022754128455e-09,1.0370313274776777e-08,4.952374066391485e-09,9.896803154774148e-09,3.0782805193751983e-09,1.223796967986246e-06,5.3089921201454615e-06,2.314655564994439e-07,3.495506639694668e-08
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1838377541593608,0.13870044935442272,0.0007724800875277271,0.0002737255317636911,0.0007218267228178143,0.0005135607150570376,0.00012626723581174448,1.6780219954215525e-05,8.741796213249109e-05,3.7038872666705913e-06,7.829030398109893e-05,9.414745974767325e-06,7.04899068892928e-07,5.9112594268384555e-06,1.0264360818523777e-06,1.1596197389412977e-06,1.7761366527396794e-06,0.00013171166524164613,0.00045324333392354754,4.338840829314072e-05,9.421931283837282e-06
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889981901859728,0.00018019229271246107,5.7436024833941446e-05,0.0001322792807473966,6.613993493898018e-05,2.5886932592991685e-05,1.284114064747932e-06,1.9894582472076983e-05,5.965463260038106e-07,3.453806050845998e-05,1.5775235917836472e-06,1.2405924376679422e-07,9.231599016334968e-07,2.36722979524151e-07,1.8694217723130846e-07,3.7884467153637136e-07,2.8164095345450946e-05,9.125394590607516e-05,9.443589781693573e-06,2.2005421163040495e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.742008044957615e-06,2.2891075590614207e-06,4.48432979782698e-06,4.864875748911146e-07,7.17760319735028e-07,7.979511162936603e-08,1.1461211746333078e-07,4.6024162925206724e-08,1.5854294632688948e-07,1.3719071989548581e-08,3.7491305615589e-09,2.952260880206836e-09,3.9695139397721846e-09,2.5073626508387292e-09,1.669188809394484e-08,6.050688869496668e-06,2.417953235589465e-05,2.2688053701314104e-06,5.161499556649574e-07
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.475447944128489,3.6209502563993476,0.14345847202469686,0.2681451712388184,0.019798748909882535,0.02897466173320748,0.0012179925936148805,0.0008717448411081907,0.006270756772089492,0.0003180064974046548,0.00032519763958882564,0.001176817473375058,0.0007343525585579991,0.00017938964598449014,0.04634167637178013,0.01119180608583678,0.006428040249375433,0.0005889947425735675
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5506255714817704,0.028482426646884607,0.061688056122656224,0.016433925080906575,0.009117734861259844,0.0008701054426275556,0.0006684078708809604,0.001083499664223067,0.00015283751934924705,0.00013560266246859243,0.00017444986724021727,8.116571939374706e-05,0.0001239382440514497,0.04825224473082804,0.009152460133332332,0.004543327394928895,0.00041877133228374053
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.648378819768581,2.7861600863288114,0.09607783587036367,0.1859598683723413,0.012856052207971924,0.007937837174683882,0.0335029898224381,0.0008780149670681858,0.0012953120539902496,0.00531928390084499,0.002949750843022597,0.0015124624986470603,0.18665690080309777,0.029239019013958686,0.027977051347291684,0.004838486053277524
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09412821650484449,0.015100108266830947,0.028668856795293407,0.005589251850420807,0.006530700269284928,0.002515188661166845,0.0004019057394517578,0.0010090658373596018,0.00018138173592952,0.000148239905234826,0.0003195341512295391,0.009978054712213136,0.00047438848167458136,0.00212289464263149,0.0009972009142202864
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.054234282535897,2.6937966711100856,0.10054888722145194,0.08931284849408527,0.1724907387694164,0.0031464358586437147,0.015384451035733049,0.032543012173279345,0.012013064624979544,0.013442432273346072,2.5557864329810887,0.26082568336743733,0.21969012689267978,0.05492711711706133
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07957502013249862,0.004907480103424344,0.03557288947701931,0.009787224126235006,0.00011336247005111488,0.006558055565701215,0.0007555090857911395,0.0005410834532764142,0.0007455323900443789,0.10972142797924844,0.02371493788882517,0.014700597670331605,0.0011620563929348737
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7713662822867509,2.1154314003803547,2.6817029698959796,0.08746950061946612,0.08249537129129902,0.16942354293158418,0.04872291061682786,0.09810435929906403,0.20022812866928827,0.04112725640995636,0.024938718466567922,0.0022752219781753125
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024085990579438388,0.09232025343956196,0.033293150583385334,0.002484924102794217,0.03033626380756682,0.005849092842301951,0.09454399911843148,0.030905041386937615,0.006580638977018771,0.003238344805619797,0.0011562993405349609
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07955969848469446,0.008346707059349923,0.03280055274077642,0.003285067153890431,0.0009919432616100066,0.0014198405803526049,0.011591343195093806,0.00477511501692196,0.001344048492926353,4.020171983043497e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6765608881015401,1.9511118480859517,2.5936767932432776,0.315917867648605,0.30533304845407344,0.016787451753808524,0.0035643321982863074,0.010961087523248744,0.0008600475759558135
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02291574851334599,0.07313239591507203,0.018856341294478884,0.022969595372925644,0.004432711673497458,0.0001267200888135367,0.003649799191063785,0.0003399328111779454
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07613481258825128,0.01893087114020431,0.018176477506007815,0.0013366966642924805,0.000359981912277485,0.0026886613721681663,0.00011711271802861134
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.602144531465438,4.6143329919549645,0.0033356931136557244,0.0007715309572936535,0.001679454670977909,0.0003066426914586362
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009448864785151,0.0013564336958669376,0.0003578123958425661,0.0003569585150604848,0.00011613070650384749
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006870628695431313,0.0016261034215664244,0.001888338974981682,0.00017217263524160753
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.206073146572882,3.4655953561084245,0.1736978627787652
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5088386850530804,0.07514039755680757
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55731922025156
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
