,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31H,32H,33C,34O,35O,36C,37O,38O,39H
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3964788369427947,4.29701042452838,2.147086759257315,2.579577607598767,3.5225661868743408,5.332956569235138,6.157155247335641,4.681072714583305,4.149457217432437,5.043315148220128,6.136523004977556,4.806896829374015,5.2841430118456945,3.782573135548805,5.820171418494337,5.653621524943712,6.73522261805601,6.449278964938861,7.155165504248219,6.501173415025083,4.846519289826502,4.025965446341839,6.054164882609662,6.105598356178293
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0899069687596,1.3981325995496379,2.429028554975435,2.446683790620165,5.4679979338561,6.551322160779059,5.2518996525546235,4.468229908543604,6.352660915909712,7.271253912692896,6.375563654427302,6.346225473736665,5.6295087707309435,7.774078696179494,8.024616613758505,8.532988453802389,8.272489288165927,9.265040805923382,7.839250145452967,6.70780811836879,6.116211084596079,8.059197470281495,8.347506771480168
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16102843069876,2.690618736649728,2.28969161268751,6.391011271249303,7.500381455549692,6.183262559877689,5.350930432270898,7.31431820868914,8.202325296658735,7.258191886695843,7.123435311289492,6.520898062144529,8.646157085923761,8.943068812828091,9.418443887644539,9.017882606252014,10.00890904792143,8.483348147807314,7.754377780030541,7.195469058734018,9.106291899721356,9.419147129355695
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.372005200965436,1.9148919773696784,5.618616536443622,6.656215160356979,5.1644071148662505,4.390400200542866,6.002214100992532,7.020890729474186,5.83517707007154,5.956850661220142,4.930417592022938,7.0995398052907115,7.207968045571844,7.963534167001453,7.564712497970527,8.442567200787138,7.270189069179439,6.194679395088006,5.513209318997578,7.519716701567054,7.727906656178015
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9698066159740046,6.871190162753306,7.911522870388726,6.273793247157306,5.45501139470686,6.952417819113087,7.994721273083284,6.536135517518478,6.638079841651265,5.541654718325593,7.643846421422658,7.687714969945948,8.603639991161751,7.894317774249505,8.647258002870789,7.594170515751915,7.128145212685904,6.440806236526525,8.406591485074902,8.57779565966727
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.404924609463566,8.496292591397673,6.852454780326838,5.9776266710430095,7.633082848584312,8.640648725423723,7.206025824916291,7.189342558923529,6.257492582092929,8.352681887748874,8.475918257980828,9.298906663182967,8.514109545317162,9.298472825892025,8.096921118105529,7.923324312856373,7.283601287106663,9.223269857767193,9.44090726796902
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2333810362163735,1.3531945335552757,2.0515136004185095,2.4696989271532503,2.7649373138934017,3.746259551509511,3.937129534556291,3.989272899214126,5.0520810225755595,5.485302590089391,5.120018644991958,6.2625246589603805,7.368624425844665,6.1685047565102336,3.0082932421501147,3.271521897496126,3.9823202830473887,4.576747100828436
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270748502708938,3.16455429266492,2.815393217994335,2.798976574215613,4.31353366169665,4.65298731796916,4.695081155246764,5.3832963165574705,5.714594247641204,5.253130693900426,6.748143343766653,7.7685287472273075,6.818826639142808,2.963725161897823,3.3298421336707653,3.5896262075524294,4.114217267970957
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0114283006394154,1.4607261257451083,2.0911436828637164,2.4503565016866995,2.6373942437272246,2.6932125794732453,3.853025823818871,4.357667056599396,4.077289897413634,4.97401397742208,6.100503650465264,4.865302703451347,2.449369816966706,2.8777185462607733,3.561640167583764,4.261813773178851
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.122177488482268,2.8732735590826666,2.5006867044363594,2.4632992366715842,2.459419343926853,4.022154496764534,4.5723256189651496,4.44866879175536,4.89308612104093,6.058174660573602,4.605490613581657,3.1383499327691906,3.368061989901667,4.342986619608561,5.003537193703046
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095006633723071,1.5444888967952806,2.166651530668437,2.156407745433721,2.613993879086615,3.0553124371788494,2.7378838151037423,3.967763111729337,4.984080955167391,4.168937788378483,1.524594372937924,2.448653984334164,2.3842410199026873,3.207469548953277
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174398562735025,2.5345364836334565,3.0659855758022156,2.828102470573102,3.3993381314110787,2.5113956606072665,4.152952726562849,5.138879831910448,4.355785385495051,2.1288995851240546,3.249571048506653,2.423882409296318,3.3758008649731917
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983927034360006,1.1002510313598468,1.527408871033844,2.19678604436745,2.1618933016106245,2.5759199386771963,3.6610952496456424,2.751744620663188,2.529693442565238,3.2451417824965607,3.249490090984031,3.995539195722139
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766624056628552,2.104349976447399,3.031879044859276,2.574927197646662,2.568696356952613,3.8024251821849053,2.2345890135105977,3.470690143362318,4.194960747790377,4.184366490263346,5.001951768445852
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1722790860603864,2.4662445830097193,3.0662298919456403,2.9671651961455714,3.937180795403177,3.1210856684166415,2.743606155817045,3.0412112627706422,3.6954276682611664,4.2503899059615495
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963177762469822,1.1016905323953385,1.5875691059451855,2.3969012232306337,2.407054217597364,3.160492946390959,3.9923408472079567,3.300533901429854,3.9807741564457086
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7607950355859712,2.2050761223012985,2.5396964647205325,3.2521149445660456,3.061709464717641,3.7147983489370766,3.0444599917790103,3.4895206212360255
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1835301738872963,2.840932339947836,2.92927938414489,3.3149333987825447,4.35861798759854,3.105317886746808,3.8866753399473954
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2505769930512207,1.2596686537842636,4.6935162160934185,5.425520525741394,4.881760154299563,5.5290897519100906
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277868575974663,5.465086911541935,6.145910978675632,5.4517004831239575,5.968002093253056
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.201444695436379,5.916706088927685,5.599529018532257,6.337463140915679
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.215860706027947,1.3520203874755685,1.8668369478028934
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2451848837787116,2.2564538768310247
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975828654825545
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
