 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,O25,H26,C27,H28,H29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999079426343238,0.03187462563820542,0.01073802091023579,0.0010161166932547427,0.00042822715946821965,0.0018511151614934995,0.0007944609566380434,0.0002729841975843694,5.111638896604376e-06,4.158962960953971e-05,9.813315100970499e-06,1.0387536515388263e-05,1.7982522810822132e-06,9.952857238371138e-07,3.287095928783401e-08,1.1441811413881453e-06,2.0824667235075367e-07,1.0057154353759756e-07,1.0260531890793345e-07,7.421319817790817e-06,1.6800463464861082e-06,2.4603228933051113e-06,8.003960685343259e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95883618488162,3.613473964764832,0.1328057632698676,0.14784439720371467,0.0025692188373990232,0.0005237445282149644,0.000801334898177658,0.0001534026684553158,9.085652362542107e-05,5.16092027535997e-06,4.545496603181043e-05,1.25703461351101e-06,8.576718193875621e-06,1.4299973072340322e-07,4.225604035013042e-06,2.0089972463388506e-07,1.5639049055771181e-06,5.512322602818642e-07,1.5492066689465345e-05,1.9666037535392977e-06,4.695154134121138e-06,1.5026312185639767e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5691064417285712,0.025847471332541394,0.029233099141599994,0.0016526445938321865,0.00043984136325291023,0.0004169247269504017,5.780182000025835e-05,5.433319466985331e-05,2.5327617182435702e-06,2.4292278139215195e-05,1.7095824254020897e-06,2.8496064611027716e-06,1.742841195806477e-07,2.432573075500377e-06,1.122483709314892e-07,9.679042606292043e-07,2.40779084448306e-07,1.4802644890829497e-05,8.830269105225552e-07,4.670129441552984e-06,1.7620845322863232e-06
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999173833275179,1.8393984971456403,0.002957126853118164,0.0005500159009073635,0.0005466046277077113,7.278248825404177e-05,0.00014239604268452555,4.838592202127678e-06,1.0654674647711526e-05,2.2300019386634062e-07,4.650902269608126e-06,9.112179377712692e-08,8.171380510013648e-07,1.0037713327193387e-08,2.873999286334694e-07,9.045949189712132e-08,2.6947984457459384e-05,3.44716544080359e-06,7.91765756108509e-06,2.2816380316204032e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04215376483007449,0.005595379083769614,0.0008682084806749257,0.0008096436853068933,2.677030046882578e-05,0.00022503001216245266,5.206519281708566e-06,8.656489849379057e-06,6.262461125228214e-07,4.591216620886129e-06,1.0627637880844532e-07,2.468861297622027e-07,5.8506695044258095e-09,1.7240817062891267e-07,2.037315005587459e-08,4.1378125297253376e-05,4.698403460179357e-06,1.1375922235545843e-05,3.468876375256613e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012672860231988103,4.2017998238330634e-05,2.7604102523226537e-05,3.4731404725540926e-06,5.433693401002415e-06,4.925876859740441e-07,1.3331800400306903e-06,1.0385252435796133e-08,3.7796578489235344e-07,2.4284536603857987e-09,1.0849598008899619e-07,3.3595168869027248e-09,3.323926511811237e-08,2.1112082970731194e-08,7.233918113414006e-07,1.1718130576987562e-07,1.720045949005211e-07,3.1476183215417564e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.675096051712748,3.5628174670187365,0.13969942271442537,0.27071118925591797,0.023415396665461552,0.03400019310235167,0.0071453065010287364,0.0070658782363342,0.00020792630572641357,0.0035653608862671327,0.00012630923215484202,0.001362750495980114,0.00036205809231870667,0.029006546161462782,0.007076266461090608,0.005473982940687627,0.001321840793923279
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55031393986823,0.026058455217043974,0.06763506093229367,0.032685265457019,0.01849612609936402,0.014764717611955525,0.0031089735138657565,0.00010381881815890726,0.0026876324212204428,0.00010577369284792137,0.0011205422680979904,0.00039680070328695916,0.008775963340402426,0.004107335097501219,0.0013517396202169657,0.0003724067226090755
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8288000788047003,2.843838727849478,0.0966529996047738,0.1846740703968468,0.006158697746847075,0.03626132746237981,0.0013220377866491884,0.020964439113576233,0.0016186373202518034,0.01391763404901969,0.0006652412630177018,0.1977975857744103,0.059208423792762255,0.02830869690788275,0.005529159863155053
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09717579000966725,0.020610697695442104,0.006558251406722837,0.00013515363382299306,0.0015349632577872363,0.0005357207154679244,0.0016203890595326564,0.00014226305987041776,0.0015944422387783597,8.7089096914017e-06,0.03303820675145375,0.07316532996797698,0.005353821442424356,0.00016776434383225514
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6555260228619761,2.5369836290428585,0.0951335493972163,0.21171904658964869,0.013146138478326241,0.15179179472738624,0.03289526721530622,0.005944436692049138,0.008549841281274562,2.733467917220003,0.28559591939576595,0.22294785140783824,0.05458868381832904
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08362182029596421,0.0066493738156276905,0.010266163098191505,0.0076568798659193416,0.025334771936655454,0.0011120832060280694,0.0012259077410978758,0.00040813618286761333,0.10871106565266908,0.027010557399471447,0.011631926644603219,0.0011305127137644089
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0117055973952307,3.0279795673553602,0.11387790893478555,2.4736335800875016,0.10020241080816827,0.10003048428026706,0.09268623445858815,0.17579792653152626,0.04211362200755592,0.022007883679358034,0.0018942683612972466
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022099584660755,0.007369021147535237,0.08875264767776647,0.005779149000161521,0.0035649871883762785,0.03650709046969092,0.027051869156304642,0.004790061342112906,0.0030790876599446904,0.001234661539424975
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5414525604859834,0.20534212864884516,0.009179677572946021,0.028892351419411377,0.01025037836463405,0.020670238460459817,0.004237747346710993,0.015088239567260006,0.0020931832165674846
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03721567128141179,0.0006572540020974849,0.00339660033464928,0.0011446227896114713,0.0011585814518577653,0.00025388685004856804,0.004184817032388044,0.00010046228021987069
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.877998254835258,2.095851980803979,2.0180934553687937,0.02531381081828088,0.010432247761305441,0.0029412898912472285,0.00018753621347566973
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024870575570938414,0.024709506503593603,0.0024801130340739164,0.000553164141418816,0.0005690327632339454,1.3056163049807168e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025265265038025397,0.0007745541477419682,0.00036299481205093187,0.0002801501824047925,1.0257063606911032e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011696017888206178,0.005918309590187576,0.00027194631521909596,0.00013696034834942417
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.828464866370432,3.5556358311324505,0.17310900222551684
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5241033376777384,0.06277484543003975
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7954606652926468
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
