 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,C32,H33,H34,C35,H36,H37,H38,C39,H40,H41,H42,C43,O44,O45,H46
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08839671821802297,0.009648459701268486,0.03077034704515902,0.0037643877641115875,0.0002438990200137603,0.0005565549980390827,0.0005850729235793439,8.481456744235949e-05,1.093265690266243e-05,0.00019365332145182546,6.44967189011858e-06,5.42029964356594e-06,0.0011282059748887185,0.0024282514284496015,0.0001804045653159836,1.2316057700356708e-06,1.937003950636118e-05,3.3280904550014867e-06,3.6539267027624334e-06,1.0955265510315115e-06,5.688076329946057e-07,3.6178810169928965e-07,5.208991482597014e-08,7.185429991007908e-07,3.492232503177206e-08,7.372078170142515e-08,9.409154677619824e-08,3.3467954063670646e-07,2.8284722120019978e-08,2.89063133429579e-07,8.251196614850187e-09,4.040391068160787e-06,1.9800402637493164e-06,1.256133073002097e-06,1.607044084472875e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0586064388723186,1.7608978880941712,2.8652066470670055,0.08858601177610603,0.2610002548478632,0.039755169262788825,0.02086566033050241,0.0021168530419715115,0.04413543238935916,0.0016752980227495717,0.0042322374943851715,0.00452984255706107,0.020743947001149038,0.0015144058702974694,0.00012274558939784352,0.00013423723844963042,2.5694638560724847e-05,2.5436191871230918e-05,3.79153664153975e-06,7.0345885059830415e-06,2.9092005271458277e-06,1.5171878224862212e-06,4.4003518886726045e-06,4.2489576701498777e-07,4.927543575394822e-07,1.1549860379211907e-07,1.1677447876168312e-06,3.03030780246516e-07,1.052585469452083e-06,3.819123395309987e-08,0.00014064681667302903,0.00019707982928382495,2.6765683591639666e-05,2.917350010678277e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02924779156206614,0.10787817517813669,0.009420001883447382,0.021698771995983135,0.0028918816939962344,0.0004356191005032706,0.00015577999443161517,0.002635856729800712,8.093204542958254e-05,0.0007498978798230471,0.000539748398503459,0.000884509241448006,0.00022080746858532674,1.1006129572388446e-05,2.4423608247392536e-05,6.345387081774234e-06,3.7550257732110737e-06,3.1128981614614304e-07,4.503449929638137e-07,2.4744178928060023e-08,4.977227674451967e-08,4.114559017942554e-07,7.538439383836248e-08,1.0856550858306946e-07,2.8511498717520567e-08,1.0186794330291349e-07,2.5975547268686228e-08,5.4471022803426195e-08,3.58214236051424e-09,1.841590587892128e-05,1.3783205664363862e-05,3.269225914537266e-06,9.677328753898706e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10280819190933799,0.015787372382809695,0.017683562969957656,0.01404084881371348,0.016972383664403123,0.0003150022551574594,0.003085030966856306,0.0005181269999354754,0.00037135410373090316,0.0038226547363560126,0.03322318252299583,0.0014893527572321652,0.00012267428144663306,6.781514945619627e-05,1.0641673368061433e-05,1.7933269048420186e-05,3.4730131257543206e-06,9.037434171021985e-06,2.5141820494400946e-06,2.465940871498873e-06,3.4025329930242876e-06,4.988486457246921e-07,3.9324236555948744e-07,3.3594745874054865e-08,6.127746984274651e-07,2.6084163651241e-07,2.2760391971132776e-07,2.1073500722224026e-08,9.687554540271925e-05,7.366483479653851e-05,9.015531675538035e-06,8.245817855190296e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8451142937056817,3.5485857920353103,0.396668427713147,0.008383553955876755,0.029307385869109748,0.35794184471407975,0.011927646023277672,0.02933368781243717,0.0009296207720628225,0.002528705374839499,0.00019400330766325413,1.3403674199108373e-05,9.726666964048059e-05,1.942692594569806e-05,2.1269678242577528e-05,2.050367923001062e-06,2.948739586269844e-06,4.5233571066560785e-07,7.970320133887654e-07,2.8111736610630933e-06,5.404003017295267e-07,4.5571699869295657e-07,3.328208484365547e-07,1.3681738684281908e-06,6.902432159172633e-08,8.874509027645416e-07,3.563687702712315e-07,0.0007868897456328183,0.0019808714604463984,0.00019337619758090507,2.286896529857252e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15901312133516032,0.028111893278900513,0.001382064833681751,0.001832443091324354,0.013868145041466051,0.008212056242663968,0.0009012707250317664,9.533105855807911e-05,0.0003312139689509719,2.8593763046869114e-05,4.143053354166426e-06,1.556688581494381e-05,1.7866055745940912e-06,3.0958829018157275e-06,4.0536339129815246e-07,3.635033402060728e-07,7.919657418753445e-08,7.933243661994993e-08,3.0799705352801965e-07,9.3705176062997e-08,7.591046213839547e-08,2.012546662655268e-08,1.6079418263537093e-07,7.335585916479204e-09,5.751982490309615e-08,5.904066835427102e-08,9.484565721917804e-05,0.0002137040263405776,1.6606401102903234e-05,1.5578585872422224e-06
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8020842897776883,0.15143898569878234,0.15583118877286017,3.6780446538835085,0.14880363449247347,0.14850956131316972,0.002455562989199578,0.007996823664109642,0.000743945053102546,1.4034020667574865e-05,0.0003233739210401487,8.354134014787462e-05,5.9582730181112487e-05,8.130446408127767e-06,8.46350059130474e-06,3.7113531203836203e-07,3.1922161909392344e-06,9.24015065706385e-06,1.701563099087977e-06,1.2132138644815882e-06,1.1246621154370473e-06,3.0608622783451223e-06,2.2051684944734973e-07,1.573463332738001e-06,1.2411393588429576e-06,0.0026115482208581564,0.007613606354910804,0.0005505282859218363,7.192775023034947e-05
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8049936156877693,1.7452666403756827,0.3817194507215517,0.028116828635138646,0.013050928258628303,0.017740369554710644,0.06319234251668962,0.005180952839771408,9.66941402122945e-05,0.0019846606389352928,0.000551621603144814,0.0003434004344147201,3.886409111453215e-05,3.958240859458506e-05,2.4116061638768116e-06,1.7012127300208846e-05,5.578503163702897e-05,9.506982783014095e-06,5.918842082897058e-06,5.09583382468648e-06,1.8465381250859503e-05,1.2319644260294638e-06,7.91357557172745e-06,7.239422335825196e-06,0.01520800275465417,0.05764491585514986,0.002605334471629972,0.0004435496804218175
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04085399852488303,0.02677272853732371,0.0029470501582287145,0.0008967739358591853,0.032165137120325316,0.19792086056199398,0.007329615028539349,3.895160234312911e-05,0.0005811408118737704,0.0002316831699298305,0.00011831216197422112,7.790598929524606e-06,2.0881054035193358e-05,1.0784640678274116e-06,1.1942808348930356e-05,2.8773215959621012e-05,7.666738630840442e-06,6.958521008293417e-07,1.4411960675975166e-06,3.7711095672854356e-06,1.1183147521354186e-06,2.8753030081318798e-06,1.3924003314791378e-06,0.0037471898649975577,0.004535862249977263,0.00012248406301273995,1.5521373706306463e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012467046748365296,0.000928485714248195,0.004699944489968466,0.00023814582510162108,0.0012233498552353117,0.0003246782771106904,1.8499961591977865e-05,0.004734485905589003,0.0003675876603457251,0.00029539989026394764,2.46112535902121e-05,1.906592024558673e-05,5.66350085717815e-07,2.6709653178080828e-06,4.739573833301147e-05,5.93464849751868e-06,2.0620288492256833e-06,5.944535492519165e-06,2.201601588425195e-05,2.7310295847016164e-07,7.472347307579952e-06,7.39528137128076e-06,0.021291206606156132,0.1430512851815795,0.00152642630426425,0.001163032452924817
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8012204455155894,1.7222402955681484,0.0008050265872228124,0.002159199304228511,0.0002439140155712366,4.2166450140435074e-06,4.256089095168447e-05,1.3245293238650646e-05,6.328311492331817e-06,7.39624990031551e-07,1.8923255337977007e-06,9.495298725070711e-08,5.464552155221014e-07,1.1769127921529288e-06,1.72928135921957e-07,2.4442550639047766e-07,2.0558880897691978e-07,3.679192038252843e-07,5.063756913781248e-08,2.484101313537934e-07,9.484154850358806e-08,0.0003273311028084147,0.000630359733422868,9.524586331015328e-05,1.7017340418479243e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036643267262258084,0.00016690149849629687,0.0003903678722830817,6.0879064283203554e-05,7.721434884810918e-07,5.555127050582698e-06,3.5197194190317305e-06,4.2975032943370906e-07,1.7968701238046947e-07,2.7900713961415136e-07,3.682323845843882e-08,1.0604845024353438e-07,1.0631013735995509e-07,3.186683494860176e-08,1.899462431786958e-08,2.4712264679038753e-08,3.545291904494263e-08,8.451724431424168e-09,2.5979692397370968e-08,9.924221444634895e-09,1.5903252347126973e-05,1.4152935162936586e-05,8.423891646458515e-07,1.921290018191968e-07
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6829496322221544e-05,0.00010946228117425516,1.576879875531123e-05,3.1756433771512604e-07,4.9512433291099e-06,1.3702283965244533e-06,1.2952876614624742e-06,1.030986986894078e-07,2.073785682066287e-07,5.946733105943736e-09,4.557743582545015e-08,1.6806313019035457e-07,2.280628819129049e-08,2.750874683599136e-08,1.9413370466736524e-08,4.159749866783358e-08,2.281978828122533e-09,1.8586539862752716e-08,2.074271510110748e-08,3.744445443354394e-05,0.00014027938765781567,6.0568883093470305e-06,2.2448459802149046e-07
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.411496742857482,3.7146644765307295,0.14500948981887196,0.26726760570058133,0.024252337172150806,0.02828782062818097,0.000985071236889512,0.0038928528670916784,0.0014232265081972617,0.0005025572795525068,0.005830702182658382,0.00023419672444502382,0.00023049647173034593,0.0010363142523843738,0.0005122519105819068,9.761219216231076e-05,0.00020642035782802992,4.085948044219023e-05,0.04195293914087894,0.009467467033684326,0.0053084362354286485,0.0004106335833030661
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298082073382924,0.02695811705873341,0.0577338804133421,0.013449719307883301,0.007589186731582806,0.0006704243922662778,0.002597882111402841,0.0009621406253276232,0.0005861096378444453,0.001059071423384128,0.0003236356338971458,0.00010030902391389152,0.00012435465370597143,0.0002471376701584649,3.063223001786852e-05,0.00020164514324694238,1.780882104518433e-05,0.06403482371760977,0.014020196635511392,0.005707188110570638,0.00029434085503021734
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7188186975685804,2.780167094308653,0.09582881075650795,0.17330088253603312,0.00976576188388334,0.031443142436832425,0.01199121195551145,0.0032563063929780256,0.029810703765028673,0.0005088955217464886,0.000881545612720469,0.004270806802377347,0.003606742169023597,0.0005053623084525505,0.0015445515410548172,0.00023208285382625427,0.19141327943996922,0.027895452513971367,0.028221556796520234,0.0047720846352078405
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09434189914897984,0.009214063730272892,0.019024957765706563,0.0029302488824096695,0.030767929781028047,0.02836634243095304,0.0024143335309141367,0.0016128435522518858,3.278117462301999e-05,0.0005080190295096987,0.00011632761774449385,0.0014915521145110189,0.0008936019114655913,0.00017916207132073758,2.6636609111285736e-05,0.013848718376973546,0.0006666346540994406,0.0027656125639812235,0.0012200608958514714
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9329741598959314,2.5888438456241047,0.08723668588237965,0.1552671073965795,0.0050081414947362735,0.028081027410818526,0.16625050353574664,0.0051851274104501854,0.01025593457379137,0.03012011942393622,0.023271837979015372,0.0006441495689333276,0.008112565952874684,0.002498400028684067,2.772175468959104,0.26186586804843626,0.22689539526777752,0.05384750123987303
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07902468549717101,0.033859422824163765,0.008280317362123757,9.325008160687709e-05,0.0009249187205362386,0.006624108299900233,6.79866144741581e-05,0.003434981098215939,0.00022918113325531841,0.012230293897131927,0.00011614068174692349,0.009737094278183367,0.0009041057469820757,0.10967960712963265,0.021931663139580282,0.017637210626073596,0.0014812481536898847
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8910052606406866,2.826223427496838,0.0846921612899505,0.09703228003672093,2.7708146175279817,0.08793520329316862,0.08375031988787551,0.09388754228935903,0.1475845099551795,0.006710517302292773,0.0063107077990784965,0.03013668556975002,0.19102124823492,0.037183778873773235,0.026066796131998526,0.0024392893995032194
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08616364440739555,0.00600910233789409,0.004026440720059421,0.0840722135349048,0.006372150881266192,0.03270964435994106,0.0032174116620455884,0.027284394376597132,0.0005947822111673773,0.0003074193939729408,0.0007321433857145898,0.009317542392886402,0.004917617389874396,0.001418543593896815,2.725327731978311e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0492937291572373,1.9652703287428008,0.16600341042014632,0.03072470720316267,0.00506698863874,0.014055719560144064,2.814249768884808,0.08480619434854175,0.0826250647825193,0.09513871895655879,0.03296488711778872,0.007158523113627427,0.003966650666585428,0.0010924760345423223
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023707676462604743,0.029098498277869256,0.001997978659557198,0.0003234426461700135,0.0009227598295338257,0.08563010977169139,0.03328802273363962,0.005038161287500342,0.004559470386741982,0.0004777138352254351,5.365046406069496e-05,6.945458630402968e-05,1.730406589128819e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012835945849191344,0.0006450393253283337,8.394142808820781e-05,0.006858113759809603,0.08426110674128295,0.004324574832820227,0.03355174624596491,0.005323170024269297,0.004519908416163343,0.0012572137964435015,0.0007803296792089354,7.021471445534111e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1588018117110295,1.9834991561143536,1.9220110212267503,0.019416010166320816,0.00851743785701764,0.0003911837298000709,0.0017669008540184272,0.03012821833432336,0.005298131784263138,0.01912921890113499,0.0010409111728143516
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02406507217974263,0.025768552797981847,0.002298554007112097,0.000561088287021505,7.177704598615442e-05,1.5800802804610825e-05,0.015424449538668838,0.0008174951149816367,0.008409494275295248,0.0005896493136838821
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02514819733003848,0.007019131322213545,0.007952658802344859,6.676398693317154e-05,0.00039606487999743756,0.0015636173310038526,0.0005113346114871131,0.0031119842605613623,9.348689577715064e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00067270149368992,8.055661735784092e-05,0.00015094884229971406,0.00010172634098326583,0.0024312360330924765,0.000514433759896904,0.002077437040607477,0.0001925694709883352
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087546247147748,2.0284069606340953,2.095917723439596,0.0032772385169755197,0.0014922211672249996,0.00043446858294270835,5.6374107724188605e-05
