,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32C,33H,34H,35C,36H,37H,38H,39C,40H,41H,42H,43C,44O,45O,46H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164830712191435,2.433688614363767,3.059812039426277,2.8778073531949286,3.211182098279748,3.7232498161025456,4.151602230743464,3.9015747613148912,4.832031282464327,4.651264951906962,4.777267210530954,5.530988704522594,4.038039871034112,4.231110865963015,5.041880009143231,5.209832410364228,6.264345884421352,6.769499216983618,7.349687695797376,7.0717947089552355,7.838467147523638,7.175489732869677,8.69118258256455,8.644899012774136,8.63910435350332,9.061853546284796,9.440658967942117,8.488820014986285,9.287787245816084,7.8722037835110505,9.048318292716571,6.242330572695145,5.7486406630052995,7.243023037163595,7.473339711537784
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093031274389388,1.093810755893688,1.4738515230906475,2.1469502870623325,2.482113936534718,2.856739109386112,2.5353715081824086,3.806306465769758,3.6986610328809766,4.015821877821503,4.527234554517684,3.7331459844073804,3.2560215697830355,4.93711125781143,5.49735206355582,5.822051867110282,6.113159276160683,7.191010787863391,7.128287451654685,7.913140143328139,7.503563544510136,8.87438688058394,8.253134215925748,8.134170510037901,8.479517518468546,9.205193687770072,8.35268378627515,8.96654270092111,7.605584457540568,9.076505648274058,5.492258673713702,5.1213280994915396,6.171098771926179,6.286723860897082
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.753908533674045,2.068038482278699,2.2879677293987113,3.3135484415761383,3.863535051501624,3.56647038336349,4.841322732804912,4.390223576088993,4.511093738920029,5.2826105400380845,4.6054313155218445,4.133792236816526,5.8740562562099985,6.394638064099432,6.807555865462763,7.02293538316421,8.194348272698555,8.161016055199402,8.83241563334987,8.376833880930606,9.813866800892372,9.278742394389836,9.191277759906393,9.462453639959818,10.234566031251335,9.190500748882407,9.829680918347158,8.385871808506323,9.861131123222997,6.538782274352979,6.207912274419351,7.160530913493845,7.277743965811178
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1002780607736815,2.903398534778262,2.730137623971995,2.668249677308241,2.071981036144538,3.623893989954513,4.048736998439656,4.548803047316309,4.717089527763127,3.309194283106289,2.5457380592298477,4.55646734574927,5.259658659105815,5.283537652645904,5.41390210693946,6.752548285602702,6.844644397199744,7.485980619552013,7.1853887377519445,8.495164180462949,7.725189070851245,7.6337621749989095,7.829080775208822,8.726825500136966,7.7717803564973496,8.310146098533886,6.961734507453323,8.534340954666256,4.959425940265847,4.793771787180714,5.471345557190046,5.632509548759682
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0107289420481322,1.3395240077441823,2.3253523951778026,2.5778575290565313,3.2284624689458985,2.3244111012655657,2.5597771959012348,3.2290721144414407,4.5644021360344835,4.009562029301031,5.564504665593977,6.155823109101918,6.253947707528742,6.67003764526282,7.552732905400925,7.364648496726009,8.493878851913975,8.171179831136763,9.38322346588047,8.470349389642447,8.163933301743072,8.776848189612588,9.418496539384762,9.084152251837303,9.613642778960218,8.433758151246677,9.895762015288469,5.587385807860277,4.961172692647776,6.222218408900655,6.115646602782522
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019780497651989,3.2178689849554947,3.573890483415413,4.05465420105527,2.4989315050631675,2.322652307493874,3.475384248659238,5.528108595999156,5.0019058550791815,6.535645260709234,7.081436683724335,7.252088019507559,7.68068422223674,8.524650274333778,8.289808945944058,9.463476394703996,9.10787238284375,10.336996955833929,9.440067192334785,9.101048563297638,9.766875302765952,10.375524439791123,10.07735792913053,10.619882668916624,9.42582295947706,10.873732120222051,6.558404992737658,5.871395753195663,7.1763443981344075,7.0109633349019305
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3317717071538064,2.0644609432986654,2.0534956684633863,1.349450199064899,2.0656279152398906,2.0536231914949923,4.46283828194399,3.867914623321029,5.212113017225786,5.861769894128751,5.65378576600842,6.155534994099086,6.8713198295545865,6.633982020085886,7.990778376343037,7.797398040608828,8.815410686441089,7.632226957342314,7.1966319318254905,7.985166513521147,8.571870075082773,8.674940650657534,9.104350080464673,8.127665203813121,9.568094989765862,4.737384731191499,3.9701486979150364,5.33303672449283,5.092213396276986
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0245427957756374,1.0169511565854434,2.314183603961475,3.237724945265145,2.543042926236186,3.568679024777944,2.8880111361655953,4.177541004124713,4.937050613225827,4.426240910411814,4.895368995628564,5.684197456271493,5.551025406445399,6.857556614855377,6.775542710485105,7.696337928442432,6.376621939989533,5.959255766376073,6.679113231753699,7.350817515192265,7.489981634632395,7.853485615225041,6.962157054629241,8.42829767702657,3.444649631156194,2.7943589928437254,4.010379317432876,3.8313931780422483
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6971671469902299,3.2564796202717567,4.10926536686233,3.563856965084677,2.6963107864552827,1.8904311187130893,3.477101928964549,4.302832352294588,3.833552369849333,4.180177965524838,5.2284093048393885,5.239265989933234,6.267957784994184,6.156622299225396,7.1875166399658745,6.030966496636174,5.773749918983442,6.24256866990437,7.036830422262883,6.766885969136126,7.175628525283312,6.14872934324909,7.6755091856827375,3.1152686182206417,2.78755319257801,3.7053619527933153,3.7618752877706596
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5720625738381195,3.5639412390793086,2.4504721043507116,3.789723679300911,3.2633485157862254,4.06469201497758,4.7917333572330065,4.080235687933064,4.671889389018739,5.165648989029966,4.950246253844866,6.470110405608665,6.484019075940966,7.21744890085458,5.725618861058663,5.195841721874459,6.11327125911871,6.660549669533079,7.218416081695629,7.510634059526336,6.821674833521784,8.195524788573877,2.894120878257965,2.030946267949566,3.498473576866956,3.2133667437987135
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094649738836654,1.0099499158522256,5.645144739279485,5.109987166194403,6.227217165325138,6.821825344189858,6.547414284330879,7.1372115392454525,7.614974757451263,7.254451971009462,8.842316665312142,8.691163912555727,9.574108781411509,8.247125936056463,7.668496817873452,8.680565379157212,9.131219078660594,9.644745557758137,10.021931034010972,9.190003258079447,10.56562429621181,5.460515398024255,4.513132302222571,6.00771374998658,5.5867551729839
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.723154513186642,6.409023909571949,5.918199610226642,7.0541774425326835,7.59075211810911,7.474548214708454,8.077699786713941,8.52763821870048,8.120156363961454,9.714049515866861,9.498669171543822,10.438154450392819,9.207070501150163,8.634021736443879,9.665616551440229,10.070385989764983,10.542063226546524,10.960630258767608,10.075731893840809,11.434469898098966,6.439331775036479,5.471632025837221,7.014604026813501,6.593659722759752
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99462399426181,5.425991471644082,6.410088211063639,7.037397980908441,6.515176330054886,7.114828257190534,7.493222704874865,7.126181308707617,8.82763842011021,8.788906825052491,9.501631369266025,7.951019752713257,7.264312694012224,8.388981896056489,8.815113128482283,9.653892230069186,9.934945903978814,9.267980792703618,10.622014724081648,5.2686617344138185,4.28473839633596,5.69363826500994,5.139399778049439
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2423936815769043,1.3558272085026606,2.0415533186473582,2.485415578402857,2.785407560340756,3.7768849554691295,3.9657444824698938,4.242098544828906,3.8814880597298256,5.259495324558224,5.033438870267594,5.2750846316323905,5.238877690324765,5.907491584907699,4.640689008077014,5.331180528308163,3.96957854913191,5.365490957324062,3.0393972822106456,3.318274905569979,3.970666263564607,4.605663626091482
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.267229911586498,3.1584540498126037,2.830204688354661,2.891684825193283,4.342088260697658,4.635138310532719,5.033022867082494,4.875424149096581,6.069068899097607,5.3348065158124145,5.421009402838767,5.3911858744126135,6.327853580222965,5.265278674141124,5.772900423833743,4.501227120468313,6.092446840328576,2.8961934533581504,3.2128845744096672,3.51462291919571,4.031426896222845
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010901686358584,1.460365993765546,2.095156978966503,2.4733086616164393,2.6613909335540935,2.977069989788097,2.7001566852588224,3.9533133844281485,3.8404700447237516,4.185149930121649,4.1789669499065045,4.633348995030389,3.6285050364872475,4.31914534647232,3.208017064721422,4.412688749481352,2.4582667584669062,2.8908106122175212,3.5371000260238175,4.276180324937407
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.122476736372652,2.8023929265958603,2.5223391074115096,2.5056052619643268,2.6367172978680062,2.0377315745587565,3.5071023797988,4.042510424831267,4.508237431167039,4.513931347603141,4.637055650738393,3.5101746274553567,4.355941377818162,3.2778983907427186,4.115684693760996,3.2441989332073624,3.54497581389192,4.381079604401431,5.116703381208666
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095259090057169,1.559163367321052,2.143893828990391,2.581197566199816,2.8771059453146766,3.4993813948895505,2.5653205492107944,2.8794483079892355,2.806899453262108,3.5087471722141266,3.1427816472422645,3.4930597891225266,2.8854209500759898,4.148663209147726,1.528068515486887,2.446354676406765,2.366944271223527,3.21524447855724
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1854841818984494,3.057168514852656,2.835263215249945,3.266597479565259,3.8173868731022784,2.837031500854016,3.28648426595218,2.6410767978495095,3.804766807332225,2.817789790121427,3.026079485606991,2.314673041296401,3.8510995839192197,2.1198646843831233,3.244939638187925,2.3771339131993727,3.34072099540645
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0998978828324086,1.5510021812602617,2.1922364311439972,2.1410237549341864,1.5387458683645479,2.1974760030684237,2.199062793705818,2.166765455083119,2.6181811751526642,2.8864224254423827,2.94318174962554,3.5474304189023926,2.538232086278445,3.2342880305488597,3.255617494272213,4.017444270820874
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1536518391747825,2.4344396968416175,2.4492769378677717,2.146377165608561,2.4502639227476886,3.075167362596382,2.5238424671076864,3.5234542542845397,3.8854492586399347,3.8884782792391928,4.31673747913935,2.757201465174899,3.0279610475243603,3.7305069201258414,4.319930484056962
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999858756780045,1.0972460409235603,2.5494148578020672,3.506464521980969,2.90611579899357,2.7016351276376365,1.533976936286552,2.1924276578734916,2.1971467738546786,2.170165330923804,3.925814198443209,4.653814092794332,4.584114834199465,5.437078514884098
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7397679143790667,3.496488061578244,4.33705315415244,3.9319535405939288,3.674959048459486,2.1593149387983277,3.085473284043036,2.5336333579603294,2.481775915781858,4.275030670073668,4.836937556957261,5.146202035011019,5.985529588564358
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7038351018835245,3.660893589810099,3.1930224030833236,2.3970322070680083,2.1608311936799307,2.5458141932193077,3.088779391399654,2.470406375176328,4.676248357775418,5.307450215447617,5.298301482697693,6.08136619470318
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943148129600286,1.0949730050378772,1.0948997643088774,3.184446619196875,2.8856109508182097,3.671053700582412,4.128082645001831,2.96167780427269,3.736459078971904,3.1148978015223374,3.745368189495264
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7672889449990887,1.763197136823504,4.228305348078162,3.9281488462280434,4.597815518762158,5.202252308845337,2.680952279678133,3.2524766239314657,2.7222991005626045,3.099261925021724
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7711926688548736,2.98150384624908,2.3903567889874893,3.3523151105470337,3.956860098100243,3.2529045395051512,4.249227809633714,3.0201533507284197,3.732685779102411
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.409259554908314,3.0451040722107403,4.1561636293453645,4.151360512246829,3.990453894956592,4.638878783931139,4.185265978183703,4.7507552417983385
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0950571430246974,1.097039284460895,1.0950502733808964,4.5495844337386915,5.517646671990095,4.878421493607598,5.8207399697917
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7707073438191314,1.7643978587287916,4.688703091145084,5.74455242625669,4.741854078243484,5.648683625190177
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7648964027600194,4.310470781301556,5.3303483526204465,4.601605553624099,5.575945392642207
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.598909123816284,6.5186003593071264,5.970832256588556,6.914572988271841
43C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2180599975281254,1.3415042627824547,1.8882025441888253
44O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254321134032239,2.3166871001972904
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766270133663794
46H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
