,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30N,31H,32C,33C,34H,35C,36H,37C,38H,39C,40H,41C,42O,43O,44H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079926375280269,2.211038162072594,3.2458028995855837,1.3832978744410331,2.141223636830629,4.197994588147002,5.004624468713984,4.1437312614298305,3.7339207498660194,5.024033798038943,5.15623447484109,6.473293826771433,6.735496825355325,6.611095681444735,7.5932881336309626,8.411293256610126,8.488810819114818,8.288465948995176,9.447894307031314,10.245402726263496,9.410746261091463,8.318920084611257,7.645017691316586,10.428270674169276,11.3194194190057,9.433709077637412,9.68176904034959,10.419936243306786,11.317789447065511,4.889035010552621,4.739060196755945,5.529884561835585,5.7874585618727306
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.238070441613855,4.225452727052147,2.159871861211145,2.5553936825133294,4.771811159364729,5.379869539568913,4.885955878641619,4.630667580563927,5.664775846860598,5.608282492258606,7.167129285060598,7.383349065495576,7.425309897505403,8.211717803751235,8.907543351785538,8.907528003771096,8.946018188170472,9.928421020338684,10.663126273363646,9.978058023335253,9.065949636386469,8.468535018655643,11.000275197973112,11.836771171517471,10.160468779021716,10.452821658367027,11.065877567641985,11.957396167750698,5.569646951790972,5.563833587710316,6.024126602184553,6.299178021404507
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0814462774985962,1.3621068690829743,2.1235009711072625,4.47688561220597,5.574081004334788,3.853150873942802,3.0086515345399385,4.689461336671246,5.256427877639979,5.901317612591606,6.376743976752221,5.694036304460079,7.036959894288733,8.12757407790777,8.445960946728935,7.470009146420757,9.070408315821323,9.983456604906857,8.747608987500543,7.169078624027379,6.31475391333665,9.635596009648166,10.627813128000971,8.205956900438812,8.262593785454454,9.373419821761596,10.212246543884946,4.200529699096359,3.5303462005204436,5.112764119813974,5.155867831549506
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1494264108149004,2.5494845540335143,5.208561168776874,6.334337563313306,4.379597199740842,3.4507503811056885,5.056381595130949,5.754037059338811,6.1186314456572575,6.714476470846458,5.761332554415417,7.169595806734826,8.35597232111104,8.79634527763136,7.41013906276122,9.198477639154884,10.144549604108606,8.717529795856585,6.909905878328038,5.989942183144386,9.488801804555544,10.510181446822616,7.836818527676808,7.759514077235746,9.074985285298112,9.84708432365016,4.337126889962346,3.41560342349832,5.247087060997143,5.121904649874027
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009721733727776,4.90776257181866,5.8407741636307495,4.476516893546205,3.8431984628614364,5.206289625655449,5.52749940430793,6.604284253465632,7.057591460656239,6.588121148062925,7.6488837365670275,8.609477780227788,8.85564634405077,8.120281482630109,9.53052430033865,10.381939363986334,9.293093196393428,7.92481542000251,7.177890672727164,10.178902630069457,11.111822360206512,8.92558180101806,9.032494088976863,9.99354257242634,10.818692455925566,4.694584151218873,4.249952569279628,5.33573572415408,5.369476383763185
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82082827506583,6.697942588922078,5.322796477349787,4.707360251834775,5.889752289110515,6.167837894696171,7.306647882040432,7.841313453448296,7.302195283112781,8.235354950300891,9.186054523531604,9.482103553493952,8.587118567393853,10.012629682150504,10.847519316212834,9.709569047594629,8.31701950712906,7.599576053998487,10.50088147989635,11.412371967852042,9.207907137424902,9.252029612427592,10.253407676844954,11.014056244704811,5.184388809288401,4.703326813035801,5.642006191785956,5.529152986055061
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2323303054298762,1.360611927014052,2.0586079931885686,2.453775990683788,2.5719436587757043,3.2989555615314874,2.9975949033988587,3.669113567678609,4.637168477089332,5.257539640330306,5.084100197960536,5.824241062087712,6.5690508560699055,7.327814986360307,6.88487820731953,6.353500218105876,5.883488889531995,8.185847495441342,9.025469502328482,7.720396675941936,8.300295913096996,8.53217890023835,9.59346367392291,3.638879616435906,4.124635031780854,4.573158758993232,5.3655538447910915
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277714127083561,3.172754376687693,2.7937896387820755,2.4636980025941293,3.4520365483733704,2.917395240474142,4.103268456912415,4.561152636278613,4.8572522872587705,4.452993215767635,5.890851494099151,6.197231169092591,6.831711875615069,6.750450508446578,6.664631404601286,6.381043809665722,8.108109470910563,8.840989553442208,8.01427329592238,8.719909656191298,8.648098768424672,9.723752228291596,4.160660369220688,4.906045487793241,4.829155458311363,5.729939762632864
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018166538762125,1.4528199370042134,2.07899989765108,2.482183527787414,2.632804279069213,2.6902458013353523,3.845577744854279,4.741292308803689,4.851129909594536,4.828604345409858,5.942666531554046,6.805074713882659,6.015873000462946,5.170103172462514,4.620275471505149,7.2320515694588146,8.145288696630958,6.518499662812341,7.030278761040426,7.426613861617821,8.464044121523695,2.411967288193635,2.797064099310888,3.530370615682957,4.235735763629562
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1370475881497075,2.9267593562649687,3.0980345136723644,3.4071483137282312,2.9786182655305034,4.452078022799744,5.503803134158614,5.733512529819177,5.2248908628505735,6.623683026952792,7.536204976552224,6.51496951020897,5.299697567818596,4.574470921234637,7.633411076102941,8.60648586086833,6.599439670746719,6.961702745371358,7.648436800968877,8.642326145049411,2.521800469135317,2.435562002130191,3.784402591165752,4.296498230015178
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0923995100176431,1.5638378127779706,2.1300195594014153,2.164748726933023,2.5944345806436164,3.4926782016711306,3.7621020477975553,3.546857624182768,4.598488883879948,5.471509296966239,4.652634785766501,4.054300908350171,3.7312753975867845,5.869021460430632,6.752887895227799,5.377190663050079,6.01358095328797,6.1507497038360155,7.197491525596843,1.5187906882619344,2.424699993311605,2.3821843840065813,3.2113358454467593
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1711826556405343,2.452430286841683,3.0575468549861733,2.8254951867748215,3.310159650642615,3.356735533137332,3.903499883455529,4.4343535387340784,5.180148974267464,4.746576596762922,4.656189211174937,4.534341602044025,6.005274391284372,6.770276564982633,5.907219420764377,6.643739798870615,6.4821129611255905,7.524994421536695,2.1504938957714845,3.2528863525552674,2.4638102490240623,3.420044198724732
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952575083879694,1.09708157507957,1.5009354860393707,2.564800279768714,2.97079092391996,2.6424642344346077,3.712328313712896,4.630488679002542,3.7733980106478318,3.3417478274654826,3.1688499226619737,5.0569264004153975,5.9457161646839385,4.710976420723487,5.44771278526621,5.41549859981202,6.495317550628842,2.5371173872516466,3.2412310291593815,3.255145852738242,3.997870683785567
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635414618530987,2.1425900766679296,2.7434029865994383,2.7678448396122692,3.474633797431911,4.05524588310274,4.852733044709005,4.410945540347142,4.314880155082949,4.179750874768675,5.759780318203523,6.558303656839779,5.658418971361588,6.4290725848437225,6.26322155132054,7.346689197168315,3.4398402120388085,4.1573902159495955,4.154461806974277,4.975993715919319
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149235982427957,3.387017667127401,3.910657223684719,2.8422045330100647,4.366011960760912,5.3285525473556845,4.149499343493943,3.1168471958764554,2.6669285579735993,5.287860539983877,6.2614654750240195,4.488368445522336,5.0660270736046,5.4020450182931885,6.443518121777014,2.766988599363592,3.053962873360893,3.7216059589560215,4.279533504689973
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3737683561955674,2.2233369264386327,1.4451924337638216,2.2592874892031243,3.2250512698793385,2.3099275426239796,2.6260166498714086,2.9657286108718686,3.6513235235640953,4.479907697658873,3.8229158554992884,4.7488688942212836,4.219313705664286,5.30445893033958,3.1007233155948324,3.9248827747367505,3.2492426142907513,3.907691166346612
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821882241217589,2.255426706131058,1.3822924689726217,2.129361394883226,2.2526175863976943,3.6490926189567956,4.213920835652092,3.6259645640295988,4.1670438926922895,4.596041612791756,5.629487393471013,4.587097554594445,5.615387461742625,4.157192588963727,5.134651255002863,4.0116399027618455,4.731702530963662
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3196780242965556,2.1452599195483484,2.5160672284672088,3.2703997329667827,4.696300398392643,5.1777741029784945,4.5988189117006195,5.008408569713177,5.677475545998639,6.70644673776598,5.637975226844016,6.646264062672335,4.7011901894167405,5.753694905868569,4.59747188396571,5.42261407741722
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2554429069245123,3.2312550736631125,1.4232277940374387,1.4073905793328574,2.1720209957101333,2.473249703776811,3.4607084558562966,2.411778459247601,3.39866793488764,2.804458792930184,3.8912260678875628,3.4499130255260093,4.0325036048103815,3.3688481446165115,3.6936324174574957
30N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0079445834850216,1.380425888064561,3.57746565127392,4.427461019059824,2.524627415555149,2.8639997638240664,4.126632676788928,5.212567431915077,3.7213624408294628,4.645021952291063,4.92525680446521,5.8351513120339344,4.509710974555079,5.035014787456274
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130166370496624,4.49782756592943,5.397713417354174,2.8852051591352628,2.8391826204673474,4.87784287377034,5.960464185778674,4.230672084169386,5.016586483338027,5.837815510411745,6.790521069931489,5.317249929908502,5.835244310888567
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4352798898477537,3.429421247223081,1.3993921096624067,2.1732445793776978,2.767389578437356,3.854250104190695,2.385694792010892,3.3759264247447183,4.60626666307293,5.306460859044731,4.197654703589268,4.4916786046411055
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087335604024476,2.849117503417959,3.9365653807237626,1.3902030273958903,2.146461767352762,2.4396370745048492,3.4151465918877437,3.5211281736199176,3.6814778140732476,3.5757674894691482,3.5674941837260814
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9363647994828517,5.023806348649743,2.1548506493496418,2.476911049745171,3.4249525245648744,4.310088724881999,3.0969443056387442,2.9531343934816943,3.5039271680161574,3.4570486504535034
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874480307123597,2.440178327479714,3.4142522951898626,1.390807018135194,2.144565394647887,5.571655501538913,6.119615235985809,5.035799490269277,5.090964824593012
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.430786436760712,4.316092306912989,2.163733555732135,2.4867095588777026,6.514870633509885,7.131204116821603,5.86882030580747,5.936156378664745
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870313116059385,1.4108388044062974,2.1635619015544,4.681320768045847,4.746345772888983,4.498527398569559,4.264900206083861
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1612637484483,2.4768880334497148,5.153673724703105,4.970512069444205,5.05885082082629,4.660684340926611
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869439245525108,5.580909070164768,5.861713410040659,5.144045006412426,4.971823518146753
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5389635928520615,6.74328002603055,6.042401107298534,5.7602192908402845
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21520336732638,1.3472882911502355,1.8754232594454694
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253720124588906,2.290898346874016
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976941483513702
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
