 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,N30,H31,C32,C33,H34,C35,H36,C37,H38,C39,H40,C41,O42,O43,H44
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5414466139710126,0.02401019276859373,0.07036089017298167,0.03969152830112532,0.017189008070415818,0.009627862683844413,0.0006965456478760235,0.002494416824277229,0.0009199129703880565,6.0634363831413296e-05,0.0003667301567011061,0.00027434642267649967,1.3750503403686665e-05,7.982984401169735e-05,5.4825955171616814e-05,1.7994314351676977e-05,1.9480358971812883e-05,3.037358193069828e-06,3.343663427848864e-05,5.54012740461296e-07,1.1725777674220783e-05,2.266735806832898e-07,0.009639966450024046,0.0035088778257634304,0.00126539367032915,0.0004009411320606837
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7070860234034861,2.843084969904644,0.09833313361962182,0.19502009008248822,0.00837407602543927,0.009582704910141349,0.03080801229899878,0.006957761961849787,7.001887866842083e-05,0.003171083790203505,0.0020553485604920957,8.499301068509713e-05,0.0009112385223162545,0.0003249118490372821,0.00010226802741741814,0.0001843970050459387,2.4867949010021206e-05,0.00020753458724857843,7.263781633959354e-07,0.00013204117932036352,5.964975700045727e-07,0.1892228356261668,0.04209474061370155,0.026811966859767444,0.0052533049102588825
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09419270934893109,0.021337937631383586,0.004868116811536538,0.00014191881547831464,0.0010044574529362027,0.000744718886484419,0.00033029652565719214,9.937841350282639e-06,0.00013970113695738196,6.111925810370344e-05,1.971819938439978e-06,4.433477152032683e-05,3.4018775052269135e-05,1.481074653808534e-06,1.2530016647582798e-05,9.960510205520023e-07,1.462577553656974e-05,8.309426768882133e-08,1.786481411103491e-05,6.7073699927533426e-09,0.023476370715859507,0.03872876457363095,0.003517277955463749,9.429927058524079e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.985897334317515,2.5055790064669297,0.09871077086078506,0.07859928927365778,0.16869929393144628,0.049798803957474796,0.00022419116053207233,0.01926798564736612,0.013235796323538745,0.00016619203227852264,0.004475436856064607,0.002007596481109819,0.0006551756779737961,0.0007294433882511775,4.6379984636191196e-05,0.001574576633047109,2.7745533646150733e-06,0.0008947284576911879,4.349816055793099e-06,2.4819287203556,0.27001700925384825,0.22115915105021322,0.054530475715811155
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07478296077428837,0.00647361469361285,0.031086320514126742,0.007843611110329385,0.002939694502774093,0.00013158448049410687,0.0003031524666732288,0.0004606413976376844,2.5842403953868498e-05,0.00040501438954088087,0.00025297185780703835,0.0001404647574787532,3.953168466264145e-05,5.306179280406553e-07,3.563251007365764e-05,2.0408302991992144e-06,0.00014499615380170194,2.881070215732251e-07,0.10932374578622772,0.022628766883467044,0.013958325095775104,0.0016780215825935585
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.686212206192827,2.0204370148702218,2.846443476939058,0.25357123434467554,0.006207350554483293,0.19065920207985146,0.04866170317052505,0.0025158108279061953,0.033257233685130255,0.014773542410291204,0.003365689391024107,0.005042099480898676,0.0010681266445182747,0.003895800293095178,0.00014398841664542417,0.00221917317304976,6.535403994223365e-05,0.20028352728581392,0.042079653065904596,0.025621895934965527,0.002433871410334687
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024352906289525134,0.10574593950854094,0.017203004504840136,0.002327524130403935,0.023472446406319403,0.0027408839943812158,8.891276456401975e-05,0.0030448203675332852,0.0013289774232509988,7.993886586254995e-05,0.0006626912639950966,0.00010090560703801543,0.0005755595786199885,1.7845237997970997e-05,0.00020997687026835798,4.409207922551062e-06,0.02739790593580027,0.006290461970028471,0.0024892420961089012,0.000864621848602809
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10482036798407157,0.031776409382388904,0.00019337882238756876,0.010976869798058786,0.005297364256271475,0.0006812300868215271,0.0015405842435483041,0.003804367576468959,0.003604122763879891,0.0004604848961495822,4.4613263548543e-05,0.0008701315018508904,4.813416275184501e-05,0.0006296544581503305,2.4490247924058295e-05,0.010003950575849574,0.004401189878859735,0.0010185868189607206,3.707253129547894e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9272339675839945,0.11777273418610124,3.115032017717571,0.4916317485640851,0.025409784812948866,0.3417524184937922,0.22902743323010374,0.008043551366989199,0.0404266942980068,0.0037439926868676476,0.07285309085458813,0.0028937379847762124,0.026617334643074753,0.000363008054723446,0.015119994355859478,0.00307841100638416,0.009019277608991239,0.0004090508643640467
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034767702540688,0.3915099991225723,3.4462061725799273,0.11074473923513906,0.46187262649927374,0.11058953390264253,0.0008304322916237172,0.07602992582892591,0.0006739553585419777,0.031046006647696647,0.0009151887329408304,0.07896617955158201,0.0009138725586745888,0.00396009572580211,0.0016983376094232838,0.0014094070403958964,0.00025378459270608555
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030914558299963257,0.0980831814744978,0.004852601146396962,0.027730928942413913,0.002987501899617939,6.44752515115421e-05,0.002766894928246444,4.51754215220479e-05,0.0009819057597397762,0.00011247115281420861,0.000941779396677056,0.00010882390313238233,0.00010643070660298903,3.0562888082452666e-05,1.2661178302786347e-05,1.5048463408717794e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3905834857570065,0.030792737926871205,3.1568060753323275,3.6320981306289397,0.12755825119693065,0.2897236143789584,0.02663599994953314,0.34205450818308925,0.027730158516114045,0.23199743832457798,0.003908951816592676,0.006667196756226679,0.0010178827965748594,0.008428949116231932,0.0016136957589344414
N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6490439292019046,3.363188108190173,0.046427477371727574,0.004075178281031766,0.2502767908272587,0.007113432338150316,0.050461110872245474,0.00044801135617422716,0.06544996571400163,0.0030021146975260926,0.0015944840616571032,0.0003175370783339154,0.0007985344226442981,0.00011854956806123251
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1152144944990311,0.003399749954602016,0.0014126024041645202,0.007054938928187204,0.0033893604636654473,0.0005323448686342935,4.088538663027386e-05,0.0005751292568448862,7.031880984009753e-05,1.1159640910807234e-05,5.370968673812371e-06,3.588048295588564e-06,4.974180289885055e-07
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29661216196184437,0.02719127161698065,3.6228673467250077,0.1328952653145994,0.22955137797064512,0.004012685870691257,0.3561522277056771,0.02846373951357961,0.0006562436321463361,0.00021561708724780748,0.0009829101303814591,0.00010321565544224587
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7818671590430535,0.30696119353591256,0.0035605568898908757,3.947951135504187,0.12983170745046846,0.3200869014365401,0.026021029762123726,0.008274433733035103,0.005200678547671686,0.003498989427160412,0.002331300072285991
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034734463627295042,0.0007697538828992379,0.1262536128162126,0.008482418212856224,0.02703423407285621,0.0011148271130050347,0.006483839268518254,0.009754055019127517,0.0008412370114588841,0.000149311910492278
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.792400944456044,0.32036175539880063,0.026063312527066396,4.000467343323834,0.12828076172916658,0.00048819548942249935,0.0002246813885575516,0.00023799219655995518,0.0002604641186837453
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027199090463634557,0.0010638879440245663,0.12385556383639096,0.008399297266657113,7.3717259869710006e-06,3.6798797953263573e-06,5.297277580917914e-06,2.8142163399635933e-07
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0807635793385373,3.4659456347100464,0.12128705817461394,0.00085048234585966,0.0009475369400316763,0.0006232999713440407,0.0005458514488685395
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12317854488554558,0.008100906812936959,1.773805428273434e-05,2.151393594518325e-05,3.085719039397361e-06,2.6582739476310735e-07
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008873760682553,0.0007289811589332729,0.0002357560423680155,0.0003941591314723658,9.179506138567994e-05
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.245969590559561e-05,2.1618952142365977e-05,1.7595567430861436e-06,2.8709393085080137e-08
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95851854274482,3.563260961999625,0.16513907877324385
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5140125075976428,0.06538159033931357
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5479513232746644
