 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,H22,H23,C24,O25,O26,C27,O28,O29,H30
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.020722134267943,3.7244831291264893,0.14069907850086616,0.3045987441339953,0.025209371123765534,0.029067560330510694,0.0007682382369926799,0.0009167103396106047,0.005934322342148773,0.0003337862705485861,0.0003196677647305801,0.0011881819209848543,0.00016819627376862822,0.0006246121636306473,0.05193479329595599,0.009196220704168784,0.0065939763302542975,0.0007395150943552142
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326648071393164,0.02118149245510137,0.07693591679091669,0.026425598092017277,0.010049855552560397,0.0006276225797166024,0.0007858028233228564,0.001169463343624083,0.0001867099115018256,0.00015623206990911243,0.00016025547665041162,7.972378990608875e-05,6.377035077221541e-05,0.049104548066065096,0.008195536904391603,0.005720115597166897,0.000495453335045859
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4681252565561875,2.746509506484134,0.09835490180660533,0.17138303051828901,0.007703867160212319,0.007203380764023826,0.030488819434005485,0.0005932962378678575,0.0014710086524245547,0.0050105131412066795,0.0008741158591987347,0.00258994794996293,0.2012197911853489,0.030049392780319838,0.027655547407150982,0.004795360681414618
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09008618806608604,0.012468840210180687,0.013620400791549803,0.0012412573449260833,0.0031141552808600093,0.001193810346321822,0.0001396909309709926,0.0006127639688999764,8.46942133490014e-05,6.230099542769985e-05,9.298396688950383e-05,0.007435576785778775,0.0005929992644094773,0.0018224352037236047,0.0007961091679749011
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9676132785535871,2.7749099847406313,0.09598812045971394,0.08874625573813266,0.17611032051075642,0.0037319633677141972,0.016572566468952443,0.03146098324792698,0.008926393933442578,0.01069204069041714,2.644581323725602,0.2542433031264965,0.20537895810968,0.0557971836711908
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08099413835021352,0.005921580277680194,0.03482194527413607,0.00896790480141485,8.51615125101457e-05,0.0066817937377867676,0.0006205679141271236,0.0005656550544045347,0.00039867001900961707,0.10949691837277276,0.023341310931824566,0.016006589732453613,0.0013366968917325472
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9549481552134864,2.0182805326577355,2.6745895893320393,0.08470548208071627,0.08290223017915688,0.15473196428956051,0.06825329017867947,0.045612389450909785,0.193950397417126,0.03903732322754065,0.023650030292706042,0.0026565693748745733
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246450414841326,0.08658892279283514,0.03401979619987072,0.0023198403389914635,0.021649341537232303,0.059615763182417125,0.004371181007583824,0.03130885454657184,0.006270885066483545,0.002729822462477438,0.0013075905062580606
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999626352688338,0.007966395379135571,0.03305352457998123,0.0030954385674835105,0.000827653215738966,0.0009301589454866477,0.008908388985581661,0.0038652271780943437,0.0011526036332163425,3.258044654885772e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9569196316608468,1.8957691419612233,2.654339141791482,0.2991010226111141,0.31033312738277485,0.023867708230435852,0.004571491007504022,0.01419984186791734,0.001224475994402341
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021973193080115472,0.07650463554098308,0.02385728612599869,0.020462318647414324,0.008745836505300142,0.0004933423071080689,0.004030914899916249,0.00046146338864305747
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08104823194260091,0.018724614336244283,0.019901632597374652,0.0020060796899812328,0.00046882527428104837,0.005617343602937863,0.0002114525572551873
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.719170002903717,4.181437694479247,0.003510328153371517,0.0005918566449340107,0.002191207763877989,0.00033250093981052053
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5993118701782355,0.005713146536857394,0.0012094464868451782,0.001630820666372032,0.00019928841057625934
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010882370565812038,0.0002265315673330784,0.0003495684834955645,0.00010075505000961549
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.914426043188314,3.356894055492137,0.17105815568262106
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5087714803544227,0.0887211680325325
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000348515500177
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
