 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,O32,H33,C34,H35,H36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03078017802350108,0.09868170588219694,0.00485135502177414,0.027781171222604595,0.002967753996775513,6.371416494044269e-05,0.002708100668040503,4.5373326732489616e-05,0.000974556973812879,0.00011485131066768517,0.000929942658426608,0.00010883566627528651,9.773473505569896e-05,3.8942802521257924e-05,1.7908160339086265e-05,3.978349019151395e-05,1.9961170885096635e-06,2.372138196982121e-08,9.498100084215366e-07,2.9934876644155395e-07,1.4509743551105458e-07,8.511390925391993e-09,1.0402971173384401e-07,2.209824989662934e-09,5.645790968067388e-08,8.504904336348318e-09,2.213849168430926e-06,4.08215372005305e-06,4.674528475412387e-07,3.517261748520184e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3887264388829778,0.031072864850897886,3.2780327005166425,3.361401178861453,0.13104138709558666,0.2896645839187888,0.02689073101940931,0.3342671664214001,0.027543637278962585,0.23297751806521322,0.0039130652843457625,0.006191978589470654,0.0011503453793176993,0.008394734305232937,0.0020830270773779525,0.0023007923834865995,0.000564849827625391,0.0005770400250979246,3.245342579383248e-05,6.705280421485937e-05,4.421684217992272e-06,0.00010565625849537352,3.050329293552423e-05,2.0122242570197457e-05,1.4092412843336177e-05,0.002808448907939076,0.0013321745206456709,0.0002726509463507887,0.00016326642271780045
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.987140356322486,2.9902993432178175,0.044046868146308094,0.004023225152275822,0.24908717207945397,0.007191344689224444,0.04933039426560598,0.0004447757307326494,0.06525399937605558,0.0030129600719914773,0.0014136707607928511,0.00025141849290792606,0.0010818287642792856,0.0008331011952564804,0.0001565564726031532,0.0001007471246745606,4.573001441282587e-05,3.0352852729009783e-06,1.1861656456849112e-05,4.701678919527552e-07,8.286293987649906e-06,3.826398222717131e-07,3.8088319667117787e-06,1.5138246232115904e-06,0.00023066248554601265,0.00016072967971664243,4.624805115806263e-05,4.47691346076029e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171307268833437,0.0034621708944184704,0.0014007333679284528,0.007196672640798152,0.0033857828605388107,0.0005413779910666827,4.1275694165454624e-05,0.0005824884066192304,7.062146644476464e-05,1.1947212948837382e-05,7.634237670472999e-06,3.134591172404555e-06,2.471536485915138e-06,1.1621914806081435e-06,1.1902873859881424e-06,1.3284320554696194e-07,2.601746640351621e-08,2.6187432222712914e-08,1.2499351997874442e-08,5.034067385167873e-08,2.346990157775508e-09,1.0803303140960452e-08,3.951706739613314e-09,1.655672233979999e-06,3.2354675575385627e-06,1.9724813937749275e-07,4.1589720112256146e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29570392416402125,0.027021417380710178,3.7096056334798737,0.13232945779135985,0.22877648543139747,0.004015619139129845,0.3541700132142788,0.02814558408444423,0.0006172996409760934,0.0001915807095853178,0.00117383879492175,0.00023847938860777074,0.00033209608687811976,0.00014555042157904374,7.902050319791298e-05,4.864712340957311e-06,9.458807934861757e-06,1.899630717727696e-06,2.6376151367496492e-05,4.324289326396169e-06,5.921528757335537e-06,7.494521082618277e-06,0.0019647497124017366,0.002324361401083788,0.0002664019863054673,6.930032590013457e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0523058723148226,0.3052114980319018,0.003572396431470004,4.088042186617024,0.12753848349074337,0.32794822602743584,0.02601884587978076,0.007673477451550226,0.007310956032062929,0.002682995606338154,0.00020853050055258393,0.005287054615143935,0.005745642904675052,0.000632406022327503,4.410623560247018e-05,8.76097873240278e-05,7.218120802510164e-06,0.0002675329960693251,5.857876365078507e-05,2.2834453423214995e-05,2.0004975380905066e-05,0.002975609209421748,0.0004848469734883912,0.0010207245565422435,5.6308393722726e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034891107015903033,0.0007597880967946669,0.12746831436213113,0.008507042370126117,0.02732734364826528,0.0011122868494954918,0.006754854036095104,0.014290255468645152,0.0015837450104783102,1.1631783046972544e-05,0.0005797337076913767,0.001110460717630657,0.00015615374276256588,2.648415369677082e-06,2.2141152378640783e-05,2.358826370230105e-06,4.409600118560064e-05,1.0004104426641902e-05,7.314577376682507e-06,1.8392234819586406e-06,2.3440309707467577e-05,1.546821722597791e-05,1.0016507073218328e-05,2.513731258257934e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05490754819193,0.31616022879178085,0.025997307470400077,3.7651924788747375,0.12941360343919972,0.00038152132061211597,0.0002962838340488938,0.00020454904862092504,5.7626708748426125e-05,0.0010627436239684929,0.0006668328349578312,0.00020584304132313658,1.0866389061892079e-06,1.5104277094279972e-05,6.247780310997264e-06,4.067078894855192e-05,9.741459981116307e-06,2.2150104046492203e-06,3.32568963556934e-06,0.0009301189474471561,0.0008165234426925003,0.00035173293345280854,0.0011271885604933196
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027545318117768947,0.0010705528342100923,0.12476651958664897,0.008387714852680972,5.417716936628736e-06,3.981917832462933e-06,4.410309335955986e-06,1.905144846325868e-07,2.001305868803982e-06,3.457584301091998e-07,9.448916304943822e-07,9.703042813669072e-10,1.201932836591979e-07,9.66854241113424e-09,7.787222244814984e-08,3.107867518892249e-09,2.4473392645774084e-08,1.926463655266275e-08,9.582293108545414e-06,1.3388236299372025e-05,1.4297155513931514e-06,3.2053288601119334e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.781136458440739,3.6203020392663317,0.12344601403373923,0.0007986315956308443,0.0012472021368046537,0.0005764392007652497,0.00013585345741828903,0.0022677187971066604,0.0026536678565748373,0.00034658435092896345,3.1312573800512666e-06,3.9911799916581e-05,4.280582464821769e-06,9.233914833176038e-05,2.7709045452795067e-05,4.20173718707062e-06,6.974651194591175e-06,0.002234642818530197,0.00029967452795418015,0.002787146184632258,0.0004890870699736372
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12279563320430897,0.008091336970875052,2.1364191990835835e-05,2.3637918825980542e-05,7.648895649969845e-06,9.095059390062943e-07,1.5288803349999824e-05,2.1142354095671223e-05,2.5373877579060178e-06,7.530668355570924e-08,2.521802625610192e-07,3.418094502993796e-07,1.5815674978547634e-06,2.9907538579010406e-07,5.057257967955309e-08,3.46103121717789e-08,1.5573219806164218e-05,6.149724471882223e-06,7.481751151816596e-05,1.947545168246023e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.113205218591026,0.0006292914127498939,0.00023436235161780616,0.0006059411594291492,6.77557248996985e-05,0.0004670365329517978,0.00015068268457929523,6.311783993917519e-05,9.095315698370854e-07,1.2719098579819232e-05,1.4709306602744832e-06,1.9729860724293502e-05,2.626121281767979e-06,5.546749836549125e-06,1.5625409484076869e-06,0.0008275096659017545,0.00021139336714844081,0.0017866380151521088,0.001905169962820863
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9941008423017834e-05,2.716529320134775e-05,1.689670481308525e-06,7.508634634056932e-07,2.250643695411725e-06,1.2969855078814874e-07,1.6799087743102348e-07,9.327288297278358e-08,1.670127164343782e-07,7.1480137364687835e-09,6.102055438717002e-08,6.135139729579464e-09,1.199914612115549e-09,2.3305590346467397e-08,6.444875122690874e-06,2.932977671732395e-06,2.5536264687819887e-05,3.446590954814255e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8395268851300255,3.2242804352355146,0.13674889870629126,0.27180983905350753,0.027288936252445994,0.033309868140350696,0.004755243629295913,0.006589298353541773,0.00026435989310202856,0.00396356865795891,0.0001154279818411652,0.0015151439181637638,0.0003272558518658819,0.029045555407900797,0.00683006531576244,0.005463708933185943,0.0013809807970356358
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295204883163384,0.026160863830691494,0.07061208676027896,0.040843888543144025,0.014525557339355455,0.009119067413186133,0.0024701458928285125,0.00016746207404383373,0.002658569392532034,0.00013585280219285956,0.001244723872767084,0.00030187469922682286,0.01001195715764261,0.004259964335217921,0.001421308187558909,0.0004281945534350129
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8816646300452313,2.781556114968133,0.094633278392941,0.19023779963941498,0.005996870048551317,0.03722660099060221,0.0017075210658820117,0.023174210132345677,0.0018708900094470682,0.01515477564572909,0.0006371489496102001,0.19758285532231545,0.054785663033300264,0.02801682738094398,0.005554390688756294
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0962622634513951,0.019773333028378248,0.006911005277396742,0.00013254919842253798,0.001545860514773456,0.0006002647405189965,0.0013878502235605827,0.00012728432516828647,0.0013069046174831733,5.227900519821915e-06,0.032256353289034645,0.07117758179411404,0.005325939750456143,0.000157372182549409
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.003107921088727,2.3951228097268413,0.09733535705065588,0.21185015171711818,0.01579433187418089,0.15185345455998298,0.032420610033145,0.005664344114076014,0.008830917656578618,2.684424720402211,0.27736141645226214,0.2184503390273242,0.05381926515155766
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611601898252119,0.007236617815277846,0.00959342730088597,0.008309150489861583,0.025222078954500016,0.001073488929005606,0.0010882193717938193,0.0004760010562643302,0.11032027102428033,0.025676324212456025,0.012606102424966292,0.0012224985714208714
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9101386266761144,2.9838377219279266,0.11072234866804553,2.926552445436538,0.1004280015631307,0.09865850587375169,0.08972537847087914,0.18709450214952894,0.040089336280499974,0.0221607930409964,0.0021077153565569606
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10593080613240935,0.006228024097586271,0.08560567153432452,0.005474106678836632,0.00395560930654959,0.03659254302280668,0.028134529207381354,0.004544339455589741,0.002896089435129201,0.0012382187161548153
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8822803020945016,0.20288461000065727,0.009797015524431463,0.029309004507303782,0.009652203365746237,0.02471752463376331,0.003900831870939432,0.014992276854853832,0.0019348513055527095
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03680373375468926,0.0007981948262474337,0.0033932743734694792,0.0009560346340911074,0.0016779385144237713,0.0004265003813597179,0.007498439924365385,0.00018029594430690743
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7813159744992555,1.934682665879393,1.927510083254509,0.024968668059207583,0.010648268368946764,0.0027987354210279175,0.00017193953167693454
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02474536961465712,0.02457258362564807,0.002598000156766256,0.000563711582415638,0.0006239228886436576,1.2307751515727716e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025449229326745648,0.0007846563700026898,0.00022466764556172691,0.0002512538289217714,1.2380370617792735e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011571115680132804,0.007829886261090269,0.00035968841137878904,0.00011570838972740916
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.133060207595792,3.4575099462198025,0.17475701442075087
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5037994679835843,0.06628328754146406
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.719961163483195
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
