,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32O,33H,34C,35H,36H,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.319333454162839,2.1435987045095324,2.51418052426842,3.2684712320346283,4.696755337321455,5.176453329404134,4.596888936082848,5.005236379958117,5.676644600143836,6.705795490085105,5.63625301333302,6.64471493354796,4.680178761194085,5.711501496378308,4.688132250315684,3.993940681052959,5.817612363465499,6.1784354399365675,7.093545619278059,7.335586088110411,8.224348098075607,8.376308088444034,7.202373015846603,8.229133790139892,6.551873939176461,7.198546217644478,5.696147426584537,5.084055633177752,6.719835114825228,6.831586895948552
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254932032189175,3.230743080203018,1.4232133825807907,1.408115659064976,2.1711143868084726,2.473648167174621,3.4607738271171913,2.4116132182913894,3.3985657325462064,2.8043549146256597,3.891246459074925,3.4233585098101105,3.971010355036816,3.4579608290487047,3.3386030802908904,3.9647969709763142,3.806493748432808,5.5119761443648425,5.789118879942508,6.295323809071735,6.117006024206911,6.260391879567706,7.307421473137259,6.054576306668946,6.30250459704369,3.8822216124033693,3.932141486872527,4.450364853608286,4.738348024344308
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.007960483733237,1.3793435715691698,3.577757640836426,4.426040873362706,2.523708155244834,2.8625389323501413,4.125840200072313,5.211633186649717,3.7201842174619015,4.644294902726863,4.89280998189917,5.78382380956871,4.591405537353336,3.9618921477371214,5.251944494817397,5.47974041816311,6.710202004265838,7.174431982620547,7.5567337930080045,7.603607910649032,7.01725339025036,8.108851185288447,6.665911284476918,6.809525907630498,4.709136385042205,4.144038130028583,5.4165089326851925,5.350137322672511
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1290385233492723,4.49812244720739,5.396359486007313,2.8836947508830804,2.8368307498601224,4.876927720024101,5.95933678601497,4.229127947434738,5.015521420622246,5.7916328395296945,6.732169486843684,5.372683392213991,4.640794404546632,5.984086222152223,6.29599716210721,7.388640959314673,7.933314312334221,8.195645057222741,8.303037864633218,7.557237180548657,8.644054115068647,7.203483685577303,7.233249598519141,5.264252652206342,4.53144266913962,5.930218697231953,5.7130192873332275
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436446905738846,3.4292302525364304,1.3997968205968485,2.1732065299304533,2.7676432686488646,3.8543282530172083,2.3856843513472676,3.3763108171861167,4.572244278934502,5.249884043091367,4.27257821727572,3.8881548304908593,4.632876068463264,4.643465646943716,6.171216280759518,6.651289194336474,6.846618395529502,6.752502802169856,6.734510356699585,7.818398597391648,6.569444776068467,6.5469844919988205,4.069742112053736,3.812966306336907,4.52679726817277,4.513384695063623
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869506588576028,2.8507187766526236,3.938113080717102,1.3902595886835778,2.1462707464041095,2.4405645829451914,3.415765986018009,3.502010350940142,3.6182285629167077,3.6485838470782537,3.8846470040223893,3.756868530885935,3.224884958282755,5.255189453649567,5.462985372195761,5.821761714822209,5.441643690721681,6.294806388251222,7.268155147419385,6.2817143936210975,6.414328571963232,3.850721025322821,4.302568178727563,4.086799990227466,4.525674373602594
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93755905845123,5.024951154671071,2.156484627071921,2.479516462144519,3.4266371249007617,4.311844360100612,3.085754385864603,2.8834095549040084,3.568941703795755,4.040955702115075,3.7233731112493973,3.0174579289178767,5.082227861530161,5.076099282313207,5.688359969017361,5.228644520748674,6.248918711234178,7.142991774282806,6.220934878696069,6.546474736421328,4.2195964899428215,4.835850019381705,4.495550889462496,5.108436018891244
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087395646650082,2.4409073649691915,3.4145653143204093,1.390805869540796,2.1449105398310158,5.535898808329077,6.064512460759569,5.092054141903213,4.794404674140457,5.075068562040606,4.978389329485392,6.571421023861607,7.172486501921526,6.976894783913761,6.807132379476099,7.210803646492148,8.267008269181948,7.239021471293101,6.8909551359393015,4.24041611776528,4.091340123007342,4.287237461169473,4.077426684780332
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.431856123778743,4.316856515735673,2.1643413804228944,2.4881250524479834,6.476489230512456,7.078211773112515,5.918806138336923,5.503432136228658,5.873003188753878,5.879203198559583,7.309008713266833,7.998941968049229,7.656423470588049,7.5511639267068045,7.811335884856127,8.863883820871486,7.851117888263706,7.362588080382968,4.845571452866718,4.511900191164551,4.82893125051515,4.4105233513516335
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086863691006383,1.41143733475653,2.163794537850189,4.657718813195843,4.689517813438972,4.549378276012334,4.761999580542967,4.258721920935753,3.654092331774079,5.695378708198899,6.06207773661395,5.952557762311126,5.485687667947478,6.781300783580306,7.730092354026476,6.957781202427292,6.745800989088673,4.00064286085956,4.5250043856666,3.790707934220454,4.066098217955473
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161448520805754,2.4764994858299993,5.1356883262377115,4.918776791185062,5.097303350444556,5.472833099302188,4.595780556229845,3.7973958229734683,5.87707326765704,6.178578447218025,5.935068771833616,5.318605067198221,7.110350542674357,7.972455913910052,7.404275619767924,7.1287860017240146,4.473302286131575,5.197733691512659,4.01852994896965,4.378179894417037
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870854591593475,5.549403610224334,5.80681738378724,5.190703063551972,5.156170929482033,4.888731632495992,4.524700561859125,6.335825184076741,6.887799331349677,6.538340355411917,6.194418207042602,7.218686330554519,8.211883576110731,7.403936682349626,6.974506462334201,4.191036563664472,4.426828025756629,3.8984881392767785,3.823801001910057
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.508034082246382,6.691974755511508,6.07942520583997,6.0684521450985,5.590911545643453,5.190103401183228,6.935073515975132,7.547851003284821,6.9359309451796465,6.546275293171276,7.83201672463832,8.779682627474626,8.13014763700993,7.507781248487598,4.772199266472336,5.049630271984045,4.199308347739373,3.9807551049842584
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2310968563542468,1.3640925722223007,2.0622216378742184,2.4567847011301933,2.545314017027404,3.3576461871953214,3.091645959150005,4.574699529086552,4.569387197328963,4.0970738617999665,4.928336572253954,3.688103177804709,4.696320192721599,3.606295316303281,4.009724498200725,4.599149632175207,5.343996871066841
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2777715291967007,3.168031023843059,2.8007589071610366,2.448094673475618,3.490517524224291,2.9664731508546227,4.501408899023625,4.281053055430599,4.545120061105785,5.2273843688822765,4.332423856449862,5.258651435268915,4.140869877053778,4.814939764497975,4.869470548345498,5.727122198165146
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014118681553539,1.4530416459363675,2.0739610747883086,2.496170456756563,2.666685887140606,3.737723144687737,3.92501640410462,3.0509262661482,4.027652344827841,2.734213521998246,3.4616466637336702,2.4069513893423964,2.731584761333395,3.5668453077107887,4.244990142062579
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0985492339990124,2.8709702838223836,3.12897411656591,3.484630370672474,4.339679957320706,4.645347119460026,3.2875567110791053,4.332347029868437,2.816153329727527,3.4599498837042493,2.442937969969864,2.282029614484199,3.743374780407044,4.2204278955392756
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095347259681846,1.5635648617329303,2.1302062367078896,2.4618941966328918,2.583883859882387,2.5851813077998202,3.52084989432031,2.831166091887234,2.8680572038208285,1.5197922342352905,2.4210147843359713,2.3809735477337086,3.2132145026593992
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163133342955262,2.419707788010768,2.690505560965219,2.3959023659227996,3.4979153374904133,4.300599272039663,3.8109933916722056,3.841845440268519,2.1445715834589625,3.210068114481234,2.506703918487294,3.436520113735603
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1011652526187012,1.4196106149451426,1.9584003828264358,1.5233402482396925,2.1500851830958014,2.167115478525693,2.1725675057621725,2.559383522939218,3.361740648702967,3.1604870302257515,3.975873726134949
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0848127352162855,2.347214207909049,2.1549645043852097,2.4868205854546717,2.4865660526686373,3.074750260614863,3.4587217123497562,4.261128923820581,4.071813395885591,4.951615596730057
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9706596297110679,2.364915617583998,2.5959927206635083,3.3267444364792027,2.6370393926231843,2.984818572681277,3.9473620441169297,2.9721818562045694,3.752824650373966
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2200427406722474,3.494023912446092,4.080765056539127,3.5277580267768327,3.2011080867422805,4.321622175688157,2.942832157095625,3.8108789317642593
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0944396773768168,1.0941275118156806,1.0952234590766117,3.090930002025392,3.4000222735328394,3.906140350804947,4.4783789255520725
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778051986500464,1.7737396969182866,4.088496987868725,4.4443846019092925,4.734017187383319,5.306269466538343
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7798802986662459,3.441783096498507,3.507967793925182,4.508677370799262,5.05484566125745
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.792635461588288,2.8812724096264573,3.5238019885760568,3.8861336476011425
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2149828618684013,1.3439270488990773,1.873009428917188
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2545102248688997,2.2933591902717683
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767749014781355
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
