 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,O30,N31,H32,H33,C34,O35,O36,H37
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5324744638167687e-05,2.6505708977664355e-06,9.94391553121865e-06,2.0771784112749714e-06,1.5190978066570437e-06,2.380848340699515e-08,8.103669359993404e-07,1.8945542024084716e-08,1.436778254149118e-07,6.000528740557343e-08,3.402859083401211e-08,1.4487134358809328e-07,2.0074839968131641e-07,6.632272508966253e-09,5.850117264838417e-06,2.1261330293342873e-05,1.7383328205777815e-06,3.7145980158470593e-07
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9342115945608835,3.572520257579858,0.1418113591562964,0.27828948771809814,0.02567299338607576,0.03429150491227878,0.0008190205818279228,0.004359327224711107,0.003387725285128179,0.0015862114672296895,0.019488345012882907,0.03225641162819404,0.000520067915352751,0.030965038836750974,0.004479320799755687,0.005789505702322881,0.0013738383475074833
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5419835601914723,0.024842770097294187,0.06842086127469257,0.04721405958014946,0.010694022730796643,0.0010737547411385773,0.0016269727271306378,0.006343834173358487,0.0026944011276880953,0.06129184948505853,0.17590219539435425,0.0014187824855212972,0.011259175465331478,0.003368550069918985,0.0016262233660620865,0.0003657416225687493
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8935458561796945,2.675773162009404,0.09684317411818255,0.17758818039358915,0.008606913411193795,0.027361402953376968,0.010387885532101543,0.003211426289027222,0.00407440455917904,0.0023823669266914704,0.0001043947028317449,0.1895114242230617,0.04127209203245602,0.027899017543040305,0.0050613797445292485
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09653922684549165,0.02696786562038067,0.00419616410689172,0.0017921338119675223,6.0361744259163075e-05,0.0001528796955289069,8.808081948386004e-05,0.00031595782555293717,0.00028569994103722074,3.960386943724359e-06,0.016975253892940745,0.03182752840044645,0.0024799253032906643,7.597780074330984e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.991448518110177,2.690844505749604,0.08507383468845475,0.09379176488522045,0.14801542769068962,0.04209500327782137,0.022317298403729688,0.012430002735807522,0.0023490106271760736,2.3705188061170683,0.27122785217636475,0.21600954870177835,0.053095815299795346
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08047834746800442,0.03196137083538675,0.003001201093138617,0.008807192620172377,0.0015235529669286318,0.010680911322596964,0.010994648230321369,0.0003359167150915887,0.11702197750578236,0.028461921676335322,0.011627374441629756,0.0007788956056493657
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.046368208299043,1.8668251726201985,2.4163512405351057,0.3161370111754654,0.20774756401200278,0.007215859026990179,0.046187169804889905,0.2030330260414708,0.041399172610643103,0.03288615729077346,0.0022491727510426385
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027325649242213146,0.10495325327793026,0.019851789666155306,0.024095096070079425,0.00046811232730670227,0.0008764867284098976,0.00842926663780963,0.0012325182160187742,0.0007694169834836506,0.000153010171498158
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11133076608159809,0.026585008118123032,0.018445303969844673,0.00031032145167619873,6.787922242645905e-05,0.013409595655727413,0.0024966888656436925,0.017619100474656313,0.0003142885409119778
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.695360661146009,3.4956892642495805,0.13146564322588372,0.14503000524337484,0.029066219087661854,0.007724715948242505,0.0053283509604065,0.00039732834223082936
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666101267684904,0.02904518152704061,0.031939746174842965,0.01073322983015873,0.003484637829749386,0.0018407406385000519,0.00012610184611105968
N31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7837011944454773,1.616095322728361,0.00443776817198345,0.001418390344158034,0.0008632546344590972,0.0001272193245946962
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03990247911852096,0.0007507312157024604,0.0005567142387801205,0.0002710303137052339,2.129639075043599e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004929644709624759,0.00020603305691913043,0.00015120216604014303,5.1406761314432e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864743660241598,3.2105507070680663,0.1615238970226882
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5048479859542838,0.06431089124026435
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4661333221934978
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
