 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,H29,C30,O31,O32,H33
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028194869904918485,0.0015070345307561794,0.12308515254844798,0.008330359650713604,0.0037945012322149196,0.0005324411181548694,0.026999826445199826,0.0012346137019956238,0.0001737045227470091,0.00020990262879072574,4.93791981766023e-05,5.247392036555887e-05,6.434150915834991e-06,8.85073133005676e-07,7.093382875522636e-07,2.9187962558019365e-07,1.8948357416448403e-07,9.014356194825268e-08,1.5723823294733208e-05,4.4726744416467845e-05,4.288253875994741e-06,8.242273188407978e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.707868287956908,0.3059564031709426,0.0034346509387377377,3.7405563253316854,0.12441923348896788,0.32839997025591555,0.02695528061501562,0.0035328623677509663,0.0017319462386257006,0.022649979722116353,0.04584008334948397,0.001985007113322973,0.0006477097958875744,0.0007069269144605456,0.0013575219305317354,3.8111309337618415e-05,3.80453663940683e-05,0.0033703662225724462,0.01805075715543579,0.0013199888971413276,0.00014073621787513702
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036688822585868586,0.0004710344242824238,0.12622257932763636,0.008289852695709587,0.025662363850199266,0.0012004553995033085,0.00048780685452998185,0.00018672492717075606,0.0024105993380163504,0.001797453835441054,0.00030915154932920075,0.00017418922441381213,4.83842362049014e-05,8.042634284222139e-05,5.2585152616746456e-06,7.814467588573848e-06,0.00599827751867732,0.04667087253096902,0.0022352012305124624,6.902771219152726e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7305836035569597,0.33099527484845825,0.027445884411128163,3.7570128045890137,0.12310733825699727,0.0010184891176724942,0.0006079307158683295,0.002038420595179183,0.0024790209428947607,0.0001718839555215762,7.028472668568764e-05,0.00011210565705441211,0.00017562648162239292,2.895304211492089e-06,2.4669100376906172e-06,8.581595092982397e-05,0.0002268010834867093,2.4171523949262363e-05,7.670750818533634e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702061613107698,0.0013889116289209635,0.12316415424781768,0.007984475275157221,1.1914043229310778e-05,5.892497315862499e-06,2.6464363600542384e-06,1.714343671821439e-05,6.483673089530129e-07,1.1231594609917295e-07,1.7190203338568466e-07,4.1446993082061567e-07,2.4985447710790254e-08,1.101495872291025e-08,1.4846309794869228e-06,7.3514617684455885e-06,2.4949491128634094e-07,7.95583960933044e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9691942109818679,3.452915111148041,0.12265928103229917,0.0008500890499301417,0.0006586027091271957,0.004814549151813299,0.00616463269389067,0.0004111611913530655,0.00018594583307307566,0.0006169240855847802,0.0015257795809384689,2.727408718516955e-05,1.1172633503253593e-05,0.00041552450104473393,0.0019666493062325888,0.00015410482357165745,2.803322384303808e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12218864977734789,0.008020472596677708,5.45075929014871e-06,2.332613234123926e-06,1.4947935762066322e-05,4.8523266964917156e-05,1.1981387080917116e-05,3.556963484863118e-06,4.765965401953842e-05,9.012573473721197e-05,3.1432604983283596e-06,3.6046505762499237e-06,2.6242911380425227e-05,0.0001061946206253328,9.240744076599583e-06,1.8469557325762054e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0125994436447923,0.0009914344274886688,0.0006185920155770408,0.0018015532534520068,0.0020363971147744353,0.0003221279698423507,3.181233788085436e-05,0.00015470965611244503,0.00021796539561380612,3.862409572175096e-06,3.3027601623603076e-06,0.0001175844248461344,0.00039206610288883975,3.9189460092112216e-05,1.0139480055348926e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.769119866913755e-06,2.5658172313480776e-06,8.966078925531917e-06,1.0440476256201592e-05,1.6946564407316345e-06,2.363942122052265e-07,1.8876409202395195e-07,1.0566005581580384e-07,4.618148885526807e-08,1.458914984375781e-07,1.3409895044391718e-05,5.5485701724422576e-05,4.56167710261024e-06,1.2976486278848398e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.886167713103579,3.523171363131137,0.14044059835419043,0.27158472193398114,0.017474105553802133,0.03328674055456901,0.0009356496885450927,0.004569073838190274,0.0009340871478167312,0.04511401879569196,0.013186547603143958,0.007522082726338891,0.0009472822876405163
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5322054586595022,0.028480668565045275,0.07638365795592642,0.026325819533649097,0.010263112097005755,0.0008907581872696912,0.001125611911218849,0.0006571715190784033,0.033350329461771855,0.006985412292095684,0.0036944400006058697,0.0006860372479537968
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8938535509661913,2.9195494167553298,0.10204141132603106,0.18150977616305014,0.007726520727127317,0.026919340823400972,0.009251775691123454,0.19679906696560287,0.029232866801422508,0.030399237906702112,0.005218754982719065
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975996177934274,0.025038610097878333,0.016422163304907422,0.0060500231777458335,0.0007173192415750318,0.000696318595272194,0.004742209181930579,0.0013921197060249302,0.0010676843434159755,0.0004021016025688162
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0271520060027886,2.8707718175577366,0.08678034012766345,0.09375795921548558,0.09362385305648901,2.7221629829516014,0.26713368194879533,0.2269563216776255,0.05492516350755128
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888662253026512,0.033672759181237355,0.0042506363834386995,0.00552442488861038,0.1108536093534056,0.026483919544603052,0.013062458928956189,0.000774884503083495
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110076807725104,2.131992825768516,2.11446659239426,0.19526820538208092,0.04144507273320461,0.027898049116956217,0.0019298790794713971
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024662149361114327,0.02391866682249244,0.009741555662009072,0.002567118078809272,0.0008608297018033451,0.0001220048114372041
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026439812972202548,0.00870489081013126,0.001516649863421926,0.008075238144140795,0.00015231921765623824
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03219625108786639,0.006401418214793675,0.0038349710713098117,0.0005230085673093576
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930409885836687,3.4637303061823617,0.1732122879601461
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5117582663985906,0.06565964402207713
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8115542265929865
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
