 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,C32,H33,C34,N35,H36,C37,C38,H39,C40,H41,C42,H43,C44,H45,C46,O47,O48,H49
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08415033406416073,0.005050901315001077,0.03405241450637542,0.00937506026903212,0.00017133263386592823,0.0036855709266334635,0.0008457630365230617,0.0007249319558153555,7.532074818317192e-05,2.7891915496125463e-05,0.0008269540199929981,0.0007748878950684102,0.00023507883614637404,2.5727838244282708e-05,4.0653325794615114e-05,7.857027150226514e-06,8.441031312367286e-06,1.7699421155370487e-06,1.0154693752539856e-07,9.41801582721169e-07,9.542021046637927e-07,3.958268823822664e-09,1.980690704783683e-07,2.789974975492271e-07,7.37136196526933e-09,8.51949930602558e-08,1.0914438948184113e-06,3.2688545397174806e-06,5.856895213263158e-08,3.697306905081632e-10,2.3158192163919011e-07,7.26470594791806e-09,8.128901818338363e-08,3.8559235804314085e-09,8.345878824922437e-06,8.848012185147525e-07,1.9619511590907024e-06,6.397044074457625e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7219296939674034,2.060142103143293,2.671669151614168,0.08519020046277248,0.08394928822659731,0.16616421834242082,0.013166636183490343,0.023546164047284157,0.012795674381571698,0.0028397792121439835,0.006076004838642388,0.0008639699780821075,5.405617548859265e-05,0.00013220907331795706,2.440303534934074e-05,3.4347239990406564e-05,1.0597725841998695e-05,1.3405894305762445e-06,6.760484308171444e-06,2.3690803218207046e-06,4.132578057536307e-08,1.0300446351141357e-06,7.607975872903072e-07,1.2082027855964128e-07,2.520390870175415e-07,8.50276584775378e-06,1.2060869040153577e-05,1.3910818631723831e-07,4.591060864811425e-09,1.3721419720447159e-06,5.4951316386109283e-08,3.8894297429981073e-07,6.506755134694231e-08,1.8350797239219396e-05,7.92034107000017e-06,4.069447886279054e-06,9.006224852559086e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022451752637351552,0.09580082787819277,0.03489747442198832,0.005567028548468134,0.007378018642490214,0.00016274394562798555,0.0004978179673638117,0.006882638933698226,0.0004661414054172308,0.0010184050378436726,8.92902523187411e-05,1.9445850448551738e-05,2.800711590666971e-05,6.984353122962972e-06,5.223178908275727e-06,1.5767278904732507e-06,3.350014439185145e-07,1.1070687597758422e-06,4.211792248298707e-07,6.356080328728808e-09,1.6527997948045936e-07,1.3361168127445922e-07,1.8460920570007033e-08,4.477699877547536e-08,1.630661973006653e-06,2.8759235710662523e-06,2.9843089555114943e-08,1.027974816381061e-09,2.243138188529059e-07,1.009922367956051e-08,7.125109147132491e-08,1.0983377762840973e-08,3.66891581959905e-06,2.1322697324466233e-06,7.361644975834025e-07,2.5410631443456566e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09239126036471235,0.005156520051585067,0.034733259065859556,0.008562952773554788,0.007431198658332638,0.0006523687126218647,0.00017406597674618496,9.172913652943926e-05,0.00027221777096486655,4.881225067010497e-05,1.1663019856555934e-06,5.4420114854458745e-06,2.1056179240197537e-06,2.5636232146020177e-06,3.611600263297987e-07,1.3218888250676741e-07,3.314885677063728e-07,1.7991211742618418e-07,1.4934367076335775e-09,4.307664425162727e-08,5.1692547353709983e-08,6.894156356906933e-09,1.8054013617430087e-08,4.150414545378567e-07,4.442169110330241e-07,1.1801838950553645e-08,1.3681011878929894e-10,7.624506681569443e-08,2.8231039728154883e-09,2.568363655086614e-08,3.877575815991463e-09,6.489317132540862e-07,3.080782321474018e-07,1.2171916330405708e-07,7.05692404512348e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7292013899408145,2.142005086147055,2.643536558427712,0.07594879076269634,0.0730378691273409,0.07700337052868433,0.0003383228712885711,0.0003933972795447799,0.00010307216668727082,1.7826719478586384e-05,1.899664998564199e-05,3.3689289626881447e-06,5.009499067898382e-06,5.34260151896504e-07,1.2706663832240395e-07,1.0512524186157002e-06,4.97263996840358e-07,4.817894749820084e-09,1.5919834600586213e-07,1.6097467309128533e-07,9.434874215230593e-09,6.781904446362397e-08,3.8876385007047265e-07,6.136831673941856e-07,2.7385122836065534e-08,1.5730026170501787e-09,9.396621933333016e-08,2.6241475659105618e-09,4.2087114709987716e-08,2.4015553989897853e-09,2.516401090918441e-06,1.559186427788073e-06,8.496701214694147e-07,1.2291009054976598e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027068568344902122,0.0926762208362365,0.004777612756236671,0.004598811127660252,0.02743730433427305,3.0004964305052617e-05,0.00015737240729096769,8.603582991262293e-06,8.146101875272649e-07,1.5538726775288225e-06,4.866465226349703e-07,3.4738584364646385e-07,1.403699365631894e-07,1.842018670927814e-08,7.232910892440714e-08,2.889459205235312e-08,3.225066880219174e-10,2.003532528771501e-08,8.443184040807239e-09,5.392430946216109e-10,4.6311515733421516e-09,9.570085046650689e-08,4.255356729210291e-07,6.388932827228189e-09,2.0105428433225825e-10,1.9809535123371802e-08,8.712162102852972e-10,3.5432548006752995e-09,6.3999250343727e-11,2.433769277221387e-07,1.7670215157750135e-07,1.5742516401573425e-08,1.1087443185786583e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0897442761269146,0.02745676383249629,0.004684864968990787,0.004667854469194488,1.679404198506873e-05,6.267574934826214e-06,6.0095666651882595e-06,8.554901098634105e-08,1.3617294390977364e-06,7.505007038055567e-08,2.409598404140567e-07,1.4702744577377302e-08,3.69368424735228e-09,3.504538292897763e-08,2.784074981665441e-08,7.794076495315494e-11,4.914418982870927e-09,9.187751337513816e-09,2.8341418101263116e-10,2.8886066871791627e-09,1.0751383006102344e-08,1.8502095855410516e-08,2.1041925979403686e-09,1.7458479106835512e-11,4.0354505292938825e-09,3.862310471447472e-11,2.2961540446786444e-09,4.646061313451355e-11,2.4422767785914345e-07,2.6627866911432818e-08,8.212413538100094e-08,2.4026584943825924e-08
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.936806905997031,1.6648020619087052,1.619081577546123,0.00010460783985669075,0.00010858439590387403,3.787093548285325e-05,3.789829583378257e-06,6.6743491971554825e-06,1.3134860477048704e-06,1.9239492323186447e-06,3.0192159516939654e-07,7.626221876222417e-08,4.1715242760087534e-07,1.7341668309689418e-07,2.318489955577263e-09,5.7363950936584196e-08,5.610495619479128e-08,6.251210105112648e-09,1.77746178747773e-08,2.931499595709708e-07,4.2886934648045383e-07,1.1638843583350322e-08,2.2214496908645742e-10,5.475839186253051e-08,1.6555972148779574e-09,2.0218543200778427e-08,2.184684655404112e-09,8.22149983398246e-07,2.2451257893074672e-07,2.6859634122411435e-07,3.4493144340785875e-08
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029983636853534668,0.029136419060595387,8.56145356487037e-06,9.91834035191097e-06,2.7313540366113997e-06,1.0644817738381107e-07,6.832948237223135e-07,2.3365124057761477e-08,7.006885971438948e-08,2.4309043444858958e-08,1.7812558095187114e-09,1.4704274908794446e-08,2.72895683828267e-09,1.0230483127315892e-10,2.941674348555523e-09,1.0190291943601437e-09,3.9253134076489005e-10,4.1016934293480745e-10,3.146884142157802e-08,3.539985748979291e-08,1.3136081111753128e-10,1.368771762599863e-11,3.996882269596824e-09,1.9935386674774236e-10,1.1767657959182998e-09,2.487428041320072e-10,1.4568944961546038e-07,8.779465821007193e-09,4.622045202129499e-08,1.2961613782280779e-08
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029918101558102927,2.3049059922342074e-05,3.60778356720548e-05,1.0571654370572503e-05,4.047004316110048e-07,1.7762223548656308e-06,3.9092645853777697e-07,5.504451072724237e-07,1.085459753191742e-07,2.3979015439934415e-08,1.324993507134664e-07,4.865246605589846e-08,7.930531786826123e-10,1.498494628382474e-08,1.5771395966979185e-08,2.498935058881102e-09,4.325420022155413e-09,1.1881950268133323e-07,1.5137313535973362e-07,3.371890544556777e-09,2.9421132197171573e-11,1.954629369471661e-08,7.11911640749463e-10,6.903799198987315e-09,1.053837239695099e-09,2.02487242972893e-07,3.0926091465488526e-08,6.175623845638967e-08,8.77319794589937e-09
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8373334802257446e-05,9.515505467250218e-05,7.169253968486444e-06,3.85802073843422e-07,8.999274045962125e-07,3.016176126635628e-07,2.457591522508906e-07,7.752838437902199e-08,1.2685845263149531e-08,4.05258628877192e-08,1.355320722318254e-08,2.823250522254739e-10,1.1655415299571814e-08,4.700584144146092e-09,1.4064980291550455e-09,2.3881228106148455e-09,1.4864803743463995e-07,1.5429877420203297e-07,1.520814363331624e-09,1.125812776336943e-10,2.2401934862692485e-08,1.200202381923532e-09,6.559337073497318e-09,1.4077861099082156e-09,1.1904246033367372e-07,1.694270264085418e-07,8.093863690383785e-09,4.5746415544556385e-09
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.564675091729559,3.393051797493154,0.13692416101729787,0.2671579377041302,0.022960709805452284,0.038359140952212656,0.009667301318520227,0.0006347187010784516,0.0045347026454928,0.0019076976858268813,2.0880153753788377e-05,0.0007350499351103656,0.0005639123052166017,3.537361427685681e-05,0.0002504395310508334,0.0019567216900901463,0.0045122630735139335,6.967438080940358e-05,5.684533767702504e-06,0.0003570866706370801,1.3365544687449216e-05,0.00012981197321948468,1.1898210240834928e-05,0.028524251446298388,0.007936268169267902,0.0056021833694341605,0.0012703700962336528
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5398100790798401,0.024442410343541776,0.062098168129800194,0.025133251682354585,0.021308834833885043,0.013874447692357794,0.0007382450047187517,0.002541678867820474,0.0011936125817277599,1.1632608489353657e-05,0.0014106747146227366,0.0003402105412115969,3.110962629071512e-05,0.00029238081002012917,0.011589639409376087,0.037285245723225224,0.00010054511718399217,9.80303611619604e-06,0.0014407666867692348,7.023582614162915e-05,0.00033591536011562395,4.668107029948132e-05,0.007500211966511489,0.004100894741480246,0.0012209823947855747,0.00028881555253801316
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8192489367664517,2.5686282885001424,0.09748451463820851,0.18338680412677275,0.012562338628793746,0.00413733193610355,0.029055139338204666,0.0070346048658063015,5.280859298761875e-05,0.0029373125067120726,0.00227063669631343,0.00011958101651798891,0.0007173123316915608,0.0008994402100368226,0.0004978710616214688,0.0001647995825178189,1.2222039214471181e-05,0.0003371930756646824,3.618221894985396e-06,0.00016215003679541373,2.882015451177722e-06,0.19442223175051884,0.06769818142620113,0.026862111960066354,0.005370339911256461
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09607052889710554,0.01766425181101927,0.006875312555508772,0.0002209831022645936,0.0004588022672669112,0.0012772674893625213,0.00039511897047739275,2.8806255389923763e-06,0.00025417474553868225,0.0001256681141615923,1.1793678173166455e-05,3.620862291431326e-05,0.00012316873976303544,4.921520261169654e-05,3.561438605803602e-06,4.254556780214358e-07,1.2914421288368061e-05,4.6065141012796573e-07,5.402241176288847e-06,6.072506022469781e-07,0.03724313280818714,0.0949374368415834,0.006016292762192399,0.00019136125024288297
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.077012638465747,2.5213655897245415,0.09095053410730114,0.07796253408729537,0.1762936962526453,0.048807413222147406,0.00024085546970731286,0.020344697817068796,0.01361772612877446,0.00029985858319125924,0.004113956824014969,0.005110075571144457,0.002129296044779183,0.0009103570873277012,3.264119434320811e-05,0.0020753454873804478,1.1125150125135264e-05,0.0011510826881281355,1.9894409117648948e-05,2.581232577484342,0.28003447770765577,0.21839668152307906,0.05373105990382421
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07427577593552248,0.0030154906996915365,0.02917281874333444,0.01110047903957545,0.0011915346117105097,0.00012731145563327217,0.005701934321100888,0.0005005158165829471,9.974543503155076e-06,0.0003225790397141104,0.007623746738937398,0.0035544693880280587,0.0006212206028839429,3.720682002716913e-06,0.0005660752575741279,2.15055830210531e-06,0.0006322418300459542,1.729466990996187e-05,0.10696110675915782,0.027525620225050895,0.010069164979980227,0.0007488475091264046
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0342397694727685,2.029147337634937,2.533907397703256,0.26347818776893217,0.00631442228426482,0.19063582949792057,0.050262739442712895,0.00255169686375456,0.03516394264647965,0.014966187997676905,0.0021027457899898128,0.005439767522131156,0.0010966174998985334,0.003925344100309397,0.00015064912353590643,0.002849662158914107,5.050906439940661e-05,0.1912292773516882,0.043498400656675165,0.02330446344629307,0.0014708403076674204
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025118110277599692,0.10142329130258498,0.039641751315585116,0.0001557841273929217,0.011321592426000615,0.008079611263596131,0.00044595734904695483,0.002126375829565097,0.0030301811876028983,0.0015026621879774549,0.0006000105205350437,2.968978728801197e-05,0.0009432026621034595,3.013150981323598e-05,0.0008643913354942079,9.614527965773334e-06,0.025406315446303118,0.005084796392504476,0.0041202350333521265,0.0006486934142952983
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10228651540680955,0.013901882272448152,0.0029168959964274155,0.023580212599054073,0.001187610997758659,0.00010159372127471755,0.003054984249024395,0.0013473364321704429,2.9341243371838743e-05,0.0007232185982408712,0.00012142005135507006,0.00032479436590815425,1.702859727603645e-05,0.00015780202182114067,3.901439250553196e-06,0.015856199096593304,0.0031255807873109553,0.0011281166360080919,0.00011022605149735298
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.107221380383089,0.11968571702061404,3.2054282685622333,0.4991740250288885,0.02576250985062345,0.3455157674474336,0.2301489904646754,0.00795178836151611,0.04053057348231601,0.0038015810368667857,0.07136516054335001,0.0029405897633831835,0.02665725601416513,0.00035679113928388517,0.012836025121849504,0.003470919729852459,0.01278427349976681,0.0012293207939330086
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9026650601528212,0.39591937999869375,3.2757041426160893,0.11240434286833867,0.4492723045136866,0.10831067577827425,0.0007128863802245977,0.07404371178252735,0.0006647812743738601,0.032283359360784705,0.0009730459709915706,0.07580164706602627,0.0008967180102754657,0.00533483910494606,0.0020401081857707587,0.00975778578380214,0.0014568342503497034
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030720447169589882,0.10029711969111732,0.004854205810267631,0.0279004555796023,0.002984495030783796,6.545939551383384e-05,0.0027146367260557636,4.425405282093564e-05,0.0009933555474390676,0.00011435966139505815,0.0009347343777723616,0.00010749645290575316,0.00012491251829493955,2.8346049378069615e-05,0.0005922955319482837,2.7381472898602155e-05
