,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32C,33H,34C,35N,36H,37C,38C,39H,40C,41H,42C,43H,44C,45H,46C,47O,48O,49H
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099902172682246,1.099774982723461,1.5225494181543084,2.1848385416729714,2.189963846956024,2.51875162661385,2.7438241701765542,3.4243187064848417,2.744738359909257,4.506686055403519,4.227598922373992,5.7218634561710715,6.201163694106571,6.707591155092773,6.785001785236862,6.723436075215372,5.735667943668388,7.139667819724964,7.728730346766275,8.994052277499646,9.532194142026931,7.788197270887316,9.746815319871256,10.714089174035436,9.116873268882571,7.071859044083146,6.0883674039336775,9.76020894379877,10.80666798838287,7.8625240880635605,7.618347387596613,9.175733530167312,9.861964101523988,8.044518811250578,8.305120205262558,9.086635077791101,9.885058918751048
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772640905174685,2.161803909863395,3.0871102189212682,2.523354871065901,2.7639311084709512,3.0880731168235576,3.710754985035345,2.563214049876791,5.134416735056566,5.059768669568866,6.301028924330037,6.6348551055318055,7.417429561022298,7.5810022232088645,7.49172686526556,6.538998751820973,7.804231454547315,8.596478879167783,9.839597287247647,10.305981092321177,8.758776362695771,10.66742627559791,11.631516840394527,10.102880004294928,8.099157519375302,7.10367323452775,10.798725718265821,11.846207934707992,8.93236809181741,8.6994110248464,10.247584958498797,10.949634239076897,8.663812013637937,8.789223110107619,9.784142085002387,10.529387702763925
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1559869009311994,2.525195862383401,3.08567605448822,2.7359909963896505,2.531710297191424,3.6873824873524095,3.0505790431714,4.5381881931721795,4.257826483102634,5.618251191557922,6.120809443405848,6.496231918691471,6.6699496681065975,6.269784711815661,5.230821602307194,6.60578900537389,7.2425343994650655,8.437219841489588,8.932340146421916,7.372204450721385,9.202962970684494,10.13937745734,8.652140558468183,6.784033536655937,5.88250209356274,9.343788622333532,10.359524588388782,7.624815360070624,7.492975956614102,8.862948216129354,9.58740855668863,7.854514482920867,8.148609106384534,8.87353507930418,9.681608599868015
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929363397146148,1.0930140199278693,1.5350817661336287,2.128868456602783,2.1468853222497146,2.1305768597270607,5.458673403299419,4.887255755681162,6.743087117012054,7.345226090236907,7.575312523252508,7.460714255564156,7.573557203074655,6.562540684180343,8.13349395373631,8.3795564116529,9.666385643827907,10.323770546097126,8.183830062607651,10.243489455931279,11.202526226165025,9.44454110831061,7.265833516506722,6.321205022044837,9.884750977444563,10.913194537775782,7.8094025457598315,7.379123282741612,9.121162659769702,9.66379043710638,8.990335100024971,9.385916765010219,9.91547422118237,10.770689721196202
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7797018362431742,2.1129072249572207,2.4336766443500406,2.4266898747524333,2.980693822337102,5.278044199429088,4.492783063277021,6.537635872156012,7.258801938522451,7.186134792940345,6.963096036824474,7.116366922819741,6.107475332392603,7.776334767047019,7.762824278657019,9.04422462833418,9.776540537829916,7.419746553308674,9.507699312868077,10.454587523370835,8.62671768841447,6.422930051629878,5.530208855721801,8.97081531751825,9.984702135595045,6.85656082782645,6.382374865290318,8.148955059613737,8.645126975821656,8.655631012123266,9.182850046851364,9.46878746562688,10.366233808598048
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1123305811226865,2.979078088334486,2.4232061158250597,2.4390274548692785,5.8326248520485375,5.293506330773997,7.166195678779953,7.729820141534256,8.061984941220553,7.8757202907912625,8.241482431864815,7.285167143136261,8.843149411497592,9.066962769742817,10.39142976005061,11.0716157208264,8.826937991571842,10.957746353110556,11.932980524965316,10.107974047815079,7.828177136798403,6.845336065711762,10.503783157535452,11.545175882435279,8.31387719782188,7.790805945785423,9.662930401775373,10.159884602088496,9.430659986324295,9.789776702132492,10.36221578286319,11.197674158861657
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0279594915600845,1.0279050753470733,1.0278608736481474,6.801540919639077,6.245260747011417,8.028121256063857,8.610838467251977,8.825496731275617,8.769784162815439,8.636632131281694,7.573956826226448,9.120629276448344,9.389957179703295,10.607607566075467,11.23668173376925,9.193966228211625,11.150756752239747,12.069658755776057,10.377485338139161,8.322994731301367,7.4641697228791,10.774929732893684,11.756527507809814,8.795983973935042,8.368307319115987,10.026156735527652,10.517556473657722,10.257605616519687,10.649116498454498,11.179224266067706,12.042798040514457
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6604723635862588,1.6541785654689611,6.826680017785694,6.266393576515387,7.96555572595075,8.565082219433881,8.679989296316139,8.68812549975595,8.314288599381722,7.226797208858707,8.741295168351767,9.020088110546768,10.1706845754643,10.767532667817385,8.863933906741014,10.707226615979183,11.593148364014764,9.99373112662362,8.090260507162768,7.303646422523872,10.416545082686117,11.36597139759732,8.589320911597321,8.251312482259193,9.75014109725994,10.266280372473057,10.123732836939805,10.54245015860944,11.020885420127454,11.890993567499033
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6609594436979958,7.5264081985366005,6.8587571755323635,8.777681981581681,9.41359431683915,9.501945662680354,9.352435400390632,9.315227639573862,8.256498111002632,9.868517727121931,9.962320212596474,11.180160629005771,11.868825899331629,9.633957374876426,11.621902569818367,12.52748214618482,10.76258338283247,8.670183294562422,7.853290451851897,11.036605376570108,11.993605849118913,8.991680005683005,8.464823584811356,10.193593986571765,10.586899328623437,10.962140878203291,11.418480414236674,11.820354576513887,12.708889953519092
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2326620915104645,6.822659339781857,8.451345667759425,8.937483542548728,9.366502837708016,9.384349151951852,9.227944262083598,8.176559017188747,9.63521856710639,10.086716233489778,11.302675082793062,11.873858349073236,9.991132276326686,11.925400693658629,12.851060868352032,11.210551743492347,9.16995075090454,8.27584096025156,11.67402483105468,12.666721492995865,9.714364692933382,9.311069815864244,10.962561579416574,11.486403276589114,10.746376488657775,11.036146912367034,11.74322532326078,12.570913206414879
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2363143487872996,1.3508404195337846,2.0627056865974254,2.4644919319006777,2.6518050691226,3.24112373209502,2.8351604114972213,3.7776031442999223,4.463838377935953,5.7351059597686955,6.2034484815174125,4.873368895071259,6.679378174018332,7.663433616873069,6.276820040815202,4.5627021094701155,3.6277036369117255,7.226406463528102,8.274912866027698,5.770535208645727,5.949075339881182,6.987554052828509,7.912357289847668,3.6482901219821935,3.968781425396394,4.732822238574528,5.472782357272828
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2723123865901416,3.17664826365049,2.8163612009456904,2.608129976225732,3.3261848684954103,2.73102697165529,4.117011506086811,4.244325006224949,5.604115960127945,6.25682931081469,4.300359789930907,6.345139899099462,7.352233021941754,5.716834086197796,3.696955329730807,2.6598217514384714,6.499376747866888,7.577195647535348,4.78616913052055,4.848586446030405,6.085686570847302,6.948090896836123,4.223780760116672,4.8170555794597725,5.071960961543755,5.9297791247449085
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012893606907282,1.4553007060961611,2.088714107443619,2.5006087910156953,2.545787034676662,2.8564413683680376,3.8219182293033906,4.937322271356177,5.255492442294807,4.541228462979883,6.013626068487162,6.946807985933931,5.849652363447252,4.60270584953568,3.891768841452787,6.954881609997398,7.9385635014845874,5.915172361086086,6.30620774542714,6.95925254910246,7.957465530186286,2.380601788572394,2.6510518563471615,3.577322172469093,4.244696171601892
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1051904678114384,2.878900610109604,3.137988307296551,3.317489164154518,3.18154251993346,4.504024420941576,5.463506259794175,5.6058497808473575,5.381665753972267,6.63323941873439,7.513364601968214,6.622353776278683,5.561418005967361,4.892607015121966,7.787153351372468,8.732410197843047,6.880981279090609,7.296217951953435,7.876445970793951,8.88667041169022,2.405698242843536,2.1766854762454066,3.731516088481246,4.195162004335046
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941559699778725,1.5663799176605084,2.1328168268197087,2.1838089592325227,2.5793047308263817,3.6404124272183034,4.042584742521441,3.3506422990806675,4.6599557670017795,5.5775449822512115,4.5532372159512,3.6829484647793436,3.2632315974832466,5.705123895720205,6.63885486467551,5.0051785696458575,5.5815909441587195,5.8684511037591784,6.899142568704897,1.5213404655359268,2.4177908041205067,2.384302119781404,3.2187527975176526
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17478923371058,2.5743350245608942,3.0630659505828977,2.6874325260183443,3.8412067119769153,4.465579405369315,2.969061923843381,4.583163850610879,5.526820032140965,4.19393803034837,3.0077211123952217,2.5764973962871918,5.163041474978365,6.136436827547375,4.21905799719142,4.7167150995209495,5.14853254519459,6.124386150986519,2.1522097290242144,3.179711228537769,2.579510965710239,3.4970356780703686
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963268974960474,1.097167843891121,1.4972461633218002,2.574981641985103,2.994885227082325,2.6216911011971207,3.7110163387162336,4.6334733254707805,3.7592397358707847,3.305684130241236,3.1224572193644557,5.038056593288868,5.931578899585087,4.675557964301048,5.411627767499139,5.386008818020734,6.464984426308879,2.556146981237678,3.413046961169029,3.0738417805260485,3.905325243289416
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76277776146568,2.1333054954423436,3.321416488316249,3.824353382902986,2.866066768365559,4.309132313126666,5.260495477807809,4.133149374084855,3.192827291877132,2.7860644600866564,5.284958583235957,6.243469128360159,4.552770746692648,5.15446769516641,5.431297589586353,6.47495321865778,3.427995665135014,4.179444931448083,4.084373797065105,4.939949866282615
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151636405989574,2.739337975820544,2.7475464700480625,3.5012389002045725,4.063334751963743,4.86015252264582,4.433717091323369,4.34477029660696,4.200793304421664,5.789017183924972,6.586911240130397,5.692222928429881,6.467499526564927,6.296028560683787,7.381618637349795,2.679326857648202,3.2328158509053777,3.2904820395024186,3.9256673976391454
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3734753044455186,2.225127368749289,1.4444545012210666,2.2551900905023015,3.2218230995692334,2.3059397586194255,2.6236498694590424,2.9600283005439794,3.6471681358552206,4.476646779507065,3.817823140950654,4.745850121139134,4.213131928076526,5.298050560765801,3.2823680125291794,4.34579796177017,3.17021488200157,4.019401900534682
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820955740181204,2.2579721735581235,1.380384083711708,2.1278502105889463,2.2529326324142684,3.651158562507159,4.211402745164598,3.6260746526168526,4.168365745816679,4.59524980318782,5.629792182059182,4.585609683071764,5.6136571623253415,3.8792548103598152,4.849462626074458,3.433601720233718,4.061233496948394
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.322447749947873,2.14271363049439,2.5130174509253216,3.270344453958534,4.698262873407248,5.174758091958896,4.598428697420223,5.00923002784789,5.676633440258239,6.706796740219601,5.636275236430759,6.644276589241126,3.9810762151375303,4.749265478948101,3.561644605330119,3.97673847031491
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2559871458079215,3.2319000875303137,1.421960836750584,1.4077694720655107,2.171455153446368,2.470819216492213,3.458905788357605,2.407492172970308,3.3960833181745307,2.799144253386628,3.8856912184053063,4.232104176465799,5.398296938391986,3.95904278095375,4.862893439086805
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0083234317598588,1.381697893851471,3.580935653597958,4.427398951001389,2.5262548981849733,2.867339838733324,4.127184927621991,5.213374464266529,3.7216010302602305,4.645107898738853,4.946109127413658,6.006337057332957,4.267233032520416,4.877586317083489
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1313495550020334,4.502050976070278,5.3986273468153065,2.887037251632142,2.843167698017285,4.8792154600910935,5.9617437146251495,4.231787638199966,5.017603017849077,5.708037603427444,6.713305971200116,4.9094080868228644,5.383018130745935
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4391489340758215,3.4315860546648236,1.399234792062173,2.173877204276291,2.7671124553312483,3.8540414566185546,2.38411093658561,3.3739511584182553,5.144969220235896,6.311948717006005,4.5560609611077565,5.324066771355793
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087852400619623,2.8537495298280504,3.9408177926971035,1.3902761692663381,2.1470205578494594,2.4411815461055664,3.4159444407411916,4.8217916728619485,5.971978584768494,4.718974794179316,5.6747394232336
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.941582591197997,5.028646480191118,2.160649337744603,2.4861291998359714,3.4299642047822734,4.315421432607574,4.593916402248464,5.650359138844663,4.7718847401443,5.747434204488686
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087069418763318,2.4414570037229075,3.4141916991581396,1.3907424174614655,2.143410610791751,6.343286372998938,7.5404693626043935,5.6829231459947644,6.433194316908062
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4314051506917336,4.314751232071975,2.1634176902023383,2.4850262384754056,7.141864632480203,8.320656785544061,6.357061150844533,7.013115924518786
42C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871701989949691,1.4109590948033994,2.163309731790135,6.055922747610966,7.233102462604941,5.786242363860871,6.701253322086193
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1598571221046177,2.4741993546075918,6.714803424856377,7.853676213111409,6.543576216594033,7.467147087662654
44C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867269174029563,6.713696292210476,7.9244788829351895,6.199849610166914,7.0318703495228165
