 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,N25,H26,H27,C28,O29,O30,H31
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024375785997397426,0.02374383438191696,0.0009513380101442426,0.0008218248806770578,0.0003724431646712212,0.00012736616701758408,6.328178838210796e-05,2.4289881244143885e-05,7.616879896366058e-06,7.809566435756921e-07,2.1212941936354923e-06,2.0805899771936254e-06,1.6346273583600635e-06,1.8249573999540303e-05,2.7389152245982373e-05,6.968883776714563e-07,3.1707680310244513e-06,1.3229180790830242e-06,3.210918432250409e-07,4.454955204735711e-08
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024963689635263187,0.0039087971879459005,0.0003535772634850609,0.0013033252784058202,6.462557623332366e-05,0.00030374785585696173,2.0679824366265365e-06,5.3009160661532384e-05,2.442497719634673e-06,1.6490208364805525e-05,4.114370529828548e-06,2.439554256383758e-06,7.847549903683415e-06,8.53861386440613e-06,1.9081235014262177e-07,2.10334040828819e-05,1.5536312496511329e-06,7.631324052459476e-06,2.6199473530663653e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009476620449042628,0.00036168125774271864,0.00021606988171152253,1.7966824546578053e-05,4.5387939144214684e-05,1.1972239453150735e-06,2.072113634676853e-06,3.159187089707416e-07,6.737357580721692e-07,9.796367472780787e-07,3.7604913627475867e-07,4.190676757609424e-06,4.3358389849590395e-06,1.2525732173696014e-06,9.61098706797614e-06,7.906611484420623e-07,2.764895879914242e-06,8.683740202464207e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.533916865445175,3.775066940732409,0.15052639748436614,0.2820786039231103,0.023268861901698523,0.03475950175327691,0.0008517949549922132,0.004259820045403817,0.0031737075558016248,0.0015915736498763322,0.01868227643536341,0.0321223380892276,0.0005520919264749846,0.03290849611636018,0.005490595422352654,0.005996572594662214,0.0015296957825864377
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5435530894943301,0.023209977126116166,0.059833873807774246,0.03257497834299061,0.010770290560177087,0.0008350028611381344,0.0014453987949191172,0.0069055390766586955,0.003059103464464877,0.0702340818842665,0.19540386992324676,0.0015624612183033904,0.010521369455298468,0.003390762667795935,0.0015785017759671893,0.00043326775797025707
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7924656229917,2.695491764150168,0.09620039131264557,0.1793558923830038,0.009290320346164394,0.026531779679594858,0.008876121660154335,0.0032506974624316315,0.0035532463209504567,0.002104850403020442,0.00010984971929695053,0.1999826519657762,0.046910015784210224,0.027655158097040652,0.005435446534269417
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967154303393083,0.0254531701192231,0.004436404800592153,0.001610971528710925,7.767630766819522e-05,0.0001873613715396294,0.00010774824266168714,0.00031117381249701204,0.00020769269365250587,4.137032352247161e-06,0.022020446346757594,0.046441297137716275,0.0037244052044274056,0.00010641278232981222
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8467743180583895,2.7252914023858876,0.08455636401207234,0.09494433043279682,0.14507794467148763,0.04263831759302368,0.02202554554809691,0.012255535499510528,0.0022688298034269083,2.6390023616476905,0.27613198711754083,0.21711646275020838,0.05392006917649994
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07705906689521991,0.03209781790241539,0.002619622093187113,0.008994607337312832,0.0015977689031749787,0.010734537999401272,0.010135883403619594,0.0003132721456862164,0.10997745076933496,0.026867686589924555,0.011548092417577704,0.0009534184478601215
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9221023268731532,1.6455696670425235,2.6137684958896283,0.32157043286304476,0.21178922207819173,0.007236500094333742,0.046608811514483706,0.20278856203794948,0.04202573348313646,0.03105366689141912,0.0021080022330629555
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027361460404305538,0.1009506752489282,0.019488446106346147,0.024073803309285657,0.0004514470588357078,0.0007735730735567437,0.008348300309076295,0.0015226541573981622,0.000803482191888083,0.00011389115303028774
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11143360149492221,0.02559575065085795,0.020165943646684892,0.00038704847508719276,0.00010230646574593827,0.015289244871871555,0.0029355662981234154,0.015372326627018373,0.00024227102442409
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.887632155564987,3.6580893586433834,0.1323142081039591,0.15158339204451454,0.028812042504458485,0.008150298908130182,0.004697325779123018,0.0004246352731885894
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799991797380061,0.028425089590424557,0.0322238144250524,0.010587575281106792,0.0036435297517572462,0.0017300021611527036,0.00013267254665194628
N25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8506745107805296,1.7686442052726568,0.004476849101411939,0.00148420989994677,0.0008014606746249986,0.00011514187985894875
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04032583000133316,0.0007483930543690231,0.0006193509973879685,0.0002738699093253194,2.0422457137847516e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004790006278095893,0.00023481948858861124,0.00012800469846252494,4.857129359825407e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.132320897484545,3.41019368306027,0.16280639591683554
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517290359487858,0.06275351584501199
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.736346776067982
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
