,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23S,24H,25C,26O,27O,28H
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.366234385545323,5.463334953324696,4.451223005038389,3.8517648894624705,5.83772529388798,6.488903978331351,6.55851637031777,7.605001516644658,6.603718322073474,6.352543718308221,5.175421907115229,6.198088442454381,5.614456839534709,7.531480734575566,7.851535754672709
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2278877968917845,1.367535192850575,2.066809329489441,2.453086471351442,2.603864226024866,3.2499774569636304,4.177637370319456,3.0033455995292875,4.251243494144452,3.5932391037738793,3.656291266022554,3.9687896138819037,4.763580221008373,5.503699207401627
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273745788346116,3.1669238700901063,2.7866288728342012,2.556255512515165,3.270582796358968,4.04216358249734,2.706546635239931,4.591420526122285,4.112517614724332,4.204247572640731,4.78211629989122,5.075242665925862,5.928629678634194
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0122216695349695,1.447952496234608,2.080359347071184,2.5020065686684525,3.424667223095167,2.73097245769115,3.328084160356067,2.8714714519007254,2.400030299394331,2.6820704208895094,3.6034968128097202,4.2745874613518575
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1017429216702457,2.8371789289130485,3.211013851829405,4.09771034047619,3.6127678653029176,3.6348029152522288,3.091047954598658,2.426319526516812,2.2210742116082334,3.760798096787594,4.231230225354597
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1004038020840152,1.5433235939286913,2.1675455943074797,2.150955891593518,2.855325629125934,3.031180986228041,1.5233191932207573,2.4278076628246237,2.3782647637237733,3.2134015234880255
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12858380380568,2.4267627628964785,2.4313322819423893,3.779886926643035,4.0053276969118725,2.139515701337065,3.0923180093724243,2.65534758420255,3.536710811721574
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929321394703502,1.091696793122688,1.8381377828419492,2.400154863899518,2.5506497565535216,3.5475948347192165,2.8900766349491813,3.7780554171682703
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7727146362823327,2.3736458545065493,3.3039602337541103,2.7988464547159944,3.941299218550091,2.5995005933277935,3.497469825555603
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.441986516899645,2.638424101112111,3.4736772771855478,4.4254385061013854,3.883224137330176,4.807774659040544
23S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3503856141558126,3.264144389195752,3.873551305548016,3.6429810605092774,4.242788274555719
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.676499759512994,4.035163771899677,4.4449815163329705,5.044183848914624
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2124957958846097,1.3464586558921074,1.8762779837252985
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2549872882476,2.297076172423117
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764170231527693
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
