 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,S23,H24,C25,O26,O27,H28
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8575299988647873,2.049842391573594,0.01754256564186385,0.004973099570596717,0.008075695395824076,0.00781236948257924,0.0009990982688233285,0.000394938361388375,0.00012162319407088562,1.3366638276446352e-05,2.7244400111925415e-05,0.0002151820423211409,0.000286664729460151,0.00014823299060731654,0.00018691072219739757,4.1791896933665584e-05,2.6625664182322595e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023583806085406334,0.0017551738692280772,0.00030610767561523033,0.0017682106473628778,0.0019357092336453885,0.0002985797761159148,0.00014535171320573248,1.742831024298397e-05,8.057458769084036e-07,4.450997073135454e-07,0.00017292804939617046,3.806458251487399e-05,4.997982033705384e-05,0.00013691677311344908,1.9659131015759e-05,2.0839219194712655e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041853767209436565,0.0008868243378687968,0.0009265145618300163,8.968255552699311e-05,0.00010859337951152348,3.1227834921709885e-05,2.436767771252235e-05,5.935207343377158e-07,2.0574229953052026e-06,5.900671550207459e-05,7.645757181107271e-05,2.5028644797808752e-05,1.639313352541638e-05,7.1832959640527605e-06,9.47535119699694e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.994530157294004,3.480486608561735,0.1347855477752814,0.27170388390279065,0.026752831786163167,0.02972719152991435,0.002488638106541652,0.006163260736914644,0.004661133917623975,0.001296062836982692,0.0296873163343003,0.0068779924431520145,0.005787710545424651,0.0012122059647873273
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5425434162108086,0.024948590702822293,0.07097218108915859,0.03355494650840163,0.02215307377355885,0.0008337895564527464,0.02246003154278231,0.00344025405237601,0.0007519163770937087,0.008598460168026595,0.00431582819955003,0.0013252134925872544,0.00023267954215933084
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.783190062479119,2.886591703883234,0.0991098692272031,0.1778531348678571,0.025584755910644685,0.006907330290731428,0.030661919368244528,0.011246232283199209,0.19325095382601987,0.05912927793731339,0.027162270336814967,0.005086558615724268
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0959986696684133,0.015007971868997272,0.01008969751329647,0.0006324807920330411,0.00017438539902703276,0.0018419660494067847,0.0003107379333542326,0.03497210729866351,0.08141431199624172,0.005535948582533257,0.00018596427457140408
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9657815430789933,2.6517494758082796,0.09409570384406174,0.09714475694341207,0.1865836450242529,0.004856746824579927,2.777748415720735,0.27667716306418333,0.2187684891233505,0.05357035659807474
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885436248091267,0.004865734684157408,0.005306979726749095,0.042450018507162124,0.00032595682540126347,0.11353058838552732,0.03092166610630942,0.010273595188277307,0.00040878111287812047
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.024163211419324,2.099155699001253,2.8008324252744723,0.05255874479941336,0.17520967803716703,0.04313306341864308,0.03196913244963254,0.002276596735527936
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02809976422819771,0.08654526025700582,0.025524431751283494,0.006860422540495792,0.0010911052526519915,0.013694352642930618,0.0003563146212115509
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09070622283395136,0.005144266900037886,0.026374030723451236,0.004492641306108935,0.003976967218126237,0.00029938125575301733
S23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069047864808776,0.0445407806720232,0.008130435044620389,0.00910123531872107,0.0005976308836922462
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000600993317426024,2.427801738735802e-05,0.0008797212757292172,5.192408439436136e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.038747919255332,3.5878609744001912,0.17317285148432648
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509600780169178,0.06430261124807357
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8245869848911864
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
