 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,O34,O35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10081122513258634,0.0059850102245995185,0.0026048948633683455,0.026842985785097806,0.000970027440063248,0.004252996510638152,0.0003387563692974771,1.919194787736167e-05,2.6916057542791805e-05,0.00102121932216237,3.530773169990731e-05,0.00023294452925104459,0.0009914803519655013,0.0007203809892318835,0.0006524897070145919,0.0008191167064273142,8.59482512975962e-05,2.457046227233306e-05,1.4005945250028518e-05,5.691853344202968e-07,3.186084207573714e-07,5.066608466108846e-06,1.2644869396116754e-05,1.127981223647545e-06,4.0172488869893996e-05,0.00017133375892630642,3.85969560645627e-06,1.125795407341812e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117604260584854,2.1146864205267417,2.9009829146649326,0.08474950679557247,0.28259048123874286,0.04114228174724732,0.025510437835641886,0.0023259399918935664,0.04951997783741545,0.0020341648965711556,0.004287559246287653,0.0015356231549400468,0.0006541161428811476,0.0015475256298868867,0.0017195054254482978,0.0002954002258171162,7.692898802724724e-05,5.133246402247438e-05,3.0478763116681407e-06,4.175351641100278e-06,7.63352991342281e-05,0.00041041710692026057,1.7498235808391382e-05,0.002650635901747439,0.01459026080159627,0.0008233434811835277,0.00014254207673392028
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021850834718476486,0.09900893708799474,0.012072403787180441,0.02198221186837057,0.015148334868427149,0.01929466987200046,0.0004296282277747032,0.005123686818768958,8.840880702165599e-05,0.0005382451177529113,0.00016636392098434705,5.0058279913778314e-05,3.485576380146682e-05,3.3083374520348485e-05,1.675685274982186e-05,1.3980782453959506e-06,4.944215871161006e-06,1.3658747777256508e-06,1.0283312046333037e-06,7.983523504728751e-06,4.382910051758948e-05,3.809994869374833e-06,0.0004135261225390874,0.002013071216076412,0.00014423519163353493,1.8296671632223038e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09670432762113257,0.006058488679260732,0.026219273890353945,0.008029904545270306,0.0006963324320587994,3.8908281442484594e-05,0.008523982551220333,0.00015309265716179077,0.00017478126075975986,0.00014188857487273943,4.0669114698466124e-05,0.0004635270422076454,0.000875091552974494,6.430660943368416e-05,2.8060902308668645e-05,5.387972846104816e-06,1.7069216595722025e-07,1.8812856694694347e-07,1.9393221022845353e-05,6.06339142024126e-05,3.63996654162424e-06,0.00011414751582661253,0.0007415290367525085,3.672440553670331e-05,1.625126545623523e-05
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5001749504993533,3.8567391248823846,0.365856457996871,0.009860789151493798,0.02614796382368001,0.4227147736218702,0.01482887121321097,0.03341655659938303,0.0005230227469626147,0.00022160532590913273,0.0011115847362755116,0.0003929586833478771,0.0006063367894268701,0.00011812803102928537,0.00021792574994583536,1.730636381414019e-05,2.3056889738581887e-05,0.0005157826043416525,0.004164667966426269,0.00015390133421191998,0.019687208455819866,0.1531622160009011,0.007406831171365175,0.0010792003719680698
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15887439429876826,0.02283403502053094,0.0010809611526034768,0.0016727851446052266,0.01439605017269896,0.011963707937162393,0.0013629098673715312,0.0014451562920462235,0.0006650407492262422,0.005167810776562365,0.0004493564538883277,0.0009754268457928816,0.0002691372502570122,0.00027197297761150097,4.5937521993000274e-06,1.782784865511644e-05,0.0006569781859423474,0.005568511586834468,0.0003931522515705499,0.03896062322307403,0.3727790195533276,0.012141805073992873,0.000631204106585237
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.495534932014236,0.1407917867183841,0.1483566471836738,3.756006953142419,0.1535161771700504,0.15912430607873784,0.00015111756898797402,7.187112424311692e-05,0.0003067931463621998,3.977398527754694e-05,0.0006625662831072632,2.3694145143027256e-05,0.0002709544686017862,3.4925415315356645e-06,3.381141020208922e-05,0.00036413801323439965,0.002631458125359226,8.130366276073997e-05,0.004637670690881279,0.02592987915641909,0.0009326079551336408,0.0002657657053445339
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.822562532943628,1.917982660457699,0.33962174246295024,0.024430586973576585,0.012379318725885047,4.522535786857795e-05,1.7988555849571264e-05,7.42065800082986e-05,9.322347596985026e-06,0.00021031549364221303,5.974772202987921e-06,6.1949335849798e-05,1.0689229540394862e-06,9.299920882166468e-06,8.041819292778363e-05,0.0004057306696109847,9.239700044183508e-06,0.001344669339238852,0.006390669328422319,0.0002384124997411169,6.581699800889407e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03538594577035781,0.028573218605248307,0.0023124054020395857,0.0005776982563210353,3.1420588739838884e-05,2.2048410903918736e-05,9.18566046415048e-06,2.1109530328189408e-06,8.409907099427016e-05,4.439088057139884e-07,1.8032163942804935e-05,6.72127360434871e-08,1.8953483529315918e-06,5.871129706958023e-06,4.145780187991832e-05,6.071285513220559e-07,0.00015438512309184915,0.0011284849345630787,2.204855864496036e-05,1.2205155663913558e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01329944903188851,0.0009631846024271695,0.0067494555406499845,2.7529200667952836e-06,1.5953037756366584e-06,3.481428650364826e-06,1.2593258036375232e-07,4.4410198248412414e-05,5.297747494026339e-07,1.0783007650227994e-05,1.483547125147311e-07,1.673082314024299e-06,6.710118477304405e-06,5.3972818154557345e-05,1.809710592493019e-06,0.00023750935438404674,0.0016345528111937346,8.495769946537113e-05,1.4543152475621213e-05
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5768390310692781,1.7686255875170505,0.0003439581557302118,0.00016501017388896588,0.00042690957693419795,4.2757535855142415e-05,0.007220515006940556,4.026848186755583e-05,0.0014584873393168885,6.902503532857374e-06,0.0002220530941179355,0.0006059950328265173,0.004986193936654587,8.514779770238401e-05,0.019539485535247175,0.14736916436732111,0.0012596406534078342,0.0008036501964286957
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03978620573633185,0.00029886508946541657,0.00021764320788519864,0.0006559777915934317,5.9568159371803375e-06,0.015781413107097575,4.708237021411321e-05,0.0019104928396985743,9.29301320229392e-06,0.00027298804756026307,0.0007618684804392428,0.006518772130290951,0.00010230240071484875,0.03863068311870532,0.3472263787487918,0.004303513192295605,0.003600206545324225
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9060843193873254e-05,1.4568923993873995e-05,2.429108533252844e-05,4.866789704571772e-07,0.00033889331542513723,4.495200399468047e-06,9.07592796949297e-05,1.2994846576575014e-07,1.2688300503604921e-05,4.239177220766166e-05,0.00030382269418161023,8.718435815624481e-06,0.0009011698802964263,0.003822447662119588,4.9779861134968684e-05,7.6012983749595975e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0338926825965356,3.4918404788542414,0.1396515058521549,0.2617183835692212,0.021228885793739494,0.0326736071748413,0.0031815901318228423,0.001476211697265306,0.002766315661531016,0.00481154095694053,0.0008232992802923722,0.03588207895723494,0.019788865639840114,0.00618298327687461,0.0005299038911273923
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345761273359784,0.026511188696636157,0.0630107863637914,0.03681078836031071,0.007323210524598625,0.0010023838557385867,0.0008811033982791816,0.0022339843030466378,0.0018664776811937178,0.0005599619436206932,0.01159090798748666,0.003649853393265526,0.0025266533764715243,0.000222929919168946
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.938175365863777,2.9011825373987823,0.10385133482344222,0.1834923472952435,0.022239340007111696,0.01537568752523788,0.015915524146312227,0.01575298291786381,0.00366730565110783,0.17490449208329573,0.029413536973902282,0.03164978812274617,0.0019298924293780217
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09693499480447665,0.031620446275907765,0.01203275338113774,0.00045449509007955413,0.0020804195969519323,0.0052757469260728,0.0036802727354938725,0.0006661095904439973,0.003390601549828509,0.0009086800120401417,0.0011026877461731699,7.736268460245554e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097538479200305,2.810555446534404,0.09351848426531328,0.08093484670378626,0.2179754543119755,0.1790589094074705,0.03751555949703543,2.625884054538951,0.2117382833781138,0.21214343861174867,0.024860832287443735
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816990159089217,0.008242310333078207,0.0012348124138426009,0.023493772598406126,0.0207606401022552,0.004555020875242732,0.08264075161284068,0.004681201257389578,0.014093636984553237,0.0003540930426448874
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.005198367621614,1.878302650661722,2.71735298184547,0.24971365669581908,0.2847127671124109,0.20182579400853362,0.030281845586249106,0.023106757570492464,0.002018206973277148
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03011081414645944,0.10481849011982969,0.016744149858509583,0.02989657814779667,0.004289757055824683,0.0009639437898033565,0.00869778420148748,0.0004996444148386292
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0937535054787233,0.021817062275411803,0.014381814684459648,0.025441200614422677,0.004239807498077619,0.0026434507551014175,0.00021467190813040382
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.481190473674281,5.019279054972752,0.2565135439832964,0.037277899831644035,0.02542232913564077,0.002135284803684523
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4967844256177298,2.2657167124758937,0.2395392914877686,0.18437380104418416,0.017560484406382693
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04531161842518691,0.011798448000232789,0.008474988610156484,0.000934658121032661
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9586211926498236,3.064510389941694,0.1485858332100789
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29332556927698006,0.08406308290528142
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.713022513747364
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
