,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34O,35O,36C,37O,38O,39H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14861047459555,2.3891121206379733,2.5587057956615733,3.3747438485410033,3.664154808218284,4.564179737361187,4.968909243826159,4.495050409800114,5.965512252834024,5.663316665994548,5.614071864629543,6.504368958714964,4.143692557512242,5.191157480192713,4.2644969777121124,3.6427133631191047,5.491590499901124,6.220791051167022,6.175427752954988,7.240268751318972,6.176858465418159,5.868083427170241,5.506354173849348,6.268635353681994,5.602878150373087,5.072897265679239,7.011484525889573,7.219463582025087
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1005315699159555,1.0997090934327558,1.4597447374226777,2.205636798210995,2.4817100024541414,2.8880825296543686,2.611568653713121,3.895614081097852,3.675542757074972,3.850171796675672,4.491013520742797,4.454590456603741,5.3228051542425,4.386537932504767,3.9321761244791404,5.174819940614083,5.953598218181908,5.952507766389728,6.898456971062879,6.315713297354198,5.3299911438663115,4.536227043209991,5.81905304958367,4.6751182058931215,3.8676264390939847,5.968977376945056,6.004782204975901
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7752606708832928,2.1067569242676476,2.964418105097417,2.7626160430830065,2.762711335680975,2.15566459565475,3.7087556364282173,4.057731207816067,4.393689894151625,4.700142956071609,5.284189986761242,6.247819329221675,5.025770752224374,4.398963701374541,5.77729235176312,6.661465064810727,6.320604986359046,7.284263340006985,6.6197372799456,5.496912247673121,4.809670826414827,5.761294415317795,5.266139873912158,4.6144857538678306,6.544223435093618,6.66434717934459
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1105581908647286,2.8790248030984333,2.872465875109218,3.0386523628188478,2.7648608864314417,4.01386492712397,4.052309543198987,4.331314026344297,4.872479408687844,5.0010597425908125,5.728897191893092,5.175948917674268,4.833900846766046,5.9912212612258156,6.662561829106947,6.905949117366613,7.825177345043048,7.29420894331323,6.351928927664576,5.476761498180885,6.891353426363507,5.444721398712502,4.462609324238126,6.677336035767596,6.579121101121684
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0566590871692985,1.3259929015740834,2.340072459075631,2.5804218543549795,3.2382398783333315,2.2915391654391386,2.3931346174588186,3.1721814561213395,4.256132667364609,4.967344225253475,4.002854513557655,3.744437801332606,4.402843796775933,5.1661160990708686,5.216132263123516,6.031406562882173,5.801758480553754,4.5196658453719865,3.479780769275237,5.145645838457343,3.551737620932511,2.6585543358750865,4.720832579624083,4.685827008723312
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9865244256656043,3.2401809738433114,3.5960452808285814,4.029269246372804,2.380609945107184,2.0017562150248382,3.321625012234159,3.425256419495037,4.061848812684272,3.133101275324831,3.066751594364316,3.4185530991432453,4.129019611076108,4.368778937033256,5.147121487501428,5.016274967688017,3.8772770721401266,2.822441276088992,4.69547312108235,2.5872161615285725,1.6726403011698356,3.806303109409515,3.801073899285983
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.359542623343799,2.0517449933609053,2.04816132693402,1.3426725622616562,2.000753187087074,2.0340247406046728,5.405459570501722,6.0003640374182,5.046650533912609,4.830163949196273,5.147956423271894,5.896579558298862,5.834062112845147,6.509240788017115,6.550919636698631,4.9240382590093414,3.7330643010545805,5.454702602997625,3.972533730411155,3.094769541957553,4.8632552646791485,4.7132215784678255
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091428906805222,1.0093277566438466,2.343914015626415,3.243661756173702,2.5870835134513164,6.591919919697435,7.248257112148459,6.247341429064107,5.906149422741498,6.434090925722278,7.2267067774241625,7.011204770728119,7.708194547053207,7.668499247983736,5.9622009840260874,4.855422369923174,6.2965644658034705,5.287322674983934,4.454080236417677,6.144316654164073,5.993152407122894
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7131425095571344,3.2359364554597483,4.032890578706079,3.5199170989721753,6.748357971156586,7.526035265895818,6.406602426126198,5.9300340737748,6.770818082991084,7.627561832966821,7.280168838355783,8.068859337042497,7.81672490322644,6.2078490395123,5.242886085646768,6.426420163315633,5.79127051501073,5.020206034464742,6.782013075489569,6.725478638230236
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.546753297905362,3.5697707696447685,2.394396795125744,7.440464181058945,8.042948318325681,7.03207214355207,6.719967067973721,7.0643806276278145,7.841843418521175,7.560091378455429,8.164427005862914,8.279848485801919,6.424020701666055,5.292024436998242,6.6925961235305005,5.793778052356267,5.020503177441378,6.472513777012717,6.274899025820537
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050563419138646,1.0106274973638134,5.61945955157739,6.011246484753454,5.197779691783359,5.1835884584172405,4.937281568320732,5.562987227651426,5.624592316300178,6.09963386906668,6.503599530297314,4.765738472465654,3.4468728639702357,5.410432069562733,3.51011869688828,2.685462064629316,4.0511663319920554,3.756022273541765
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776040433338377,4.852655750950393,5.154945915267492,4.412473593128515,4.546577839182859,4.012462581162537,4.56401002560818,4.796259503169705,5.222142752243611,5.723467455685975,4.131189581269156,2.793249533198818,4.951742362113154,2.5461120482261435,1.7222235974537334,3.067202534759376,2.764719360902983
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.526424061007974,6.910697114759254,5.994559438183191,5.94889054442928,5.58717780062556,6.22320004459498,6.0911224234427115,6.460248847809396,7.006146919375398,5.090944209232402,3.813291661356883,5.598621563410268,4.090449741995805,3.476883866438256,4.394021489896647,4.107272771424545
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2259327690662867,1.3664667851806738,2.047155642678064,2.4760531257959517,2.584431505974666,3.7304587222356034,4.520939150404245,3.869917231626789,4.436503263933308,4.2328049204684906,5.42721270073331,3.3380603011016685,3.2514775706542305,4.436178337370727,4.681699100288926
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2833514044496437,3.1630902251154414,2.8464494063227983,2.4714825076659728,4.24081023811266,4.80031606508009,4.492304291349354,5.131662048856918,4.845839219952094,6.225974304331103,3.6358632795698944,3.498447054465666,4.433720484224991,4.521316012820252
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0113591248107865,1.4557740805731338,2.060629020066859,2.463022306805783,3.3775530900047928,2.6388442511328383,3.1075006288098317,3.1013529968354563,4.075384054923108,2.5131649217156258,2.86300484980192,3.689403360694689,4.174641318407337
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.120239309598501,2.9546861228788015,2.6398772336328027,3.699996085804693,2.636795190755732,2.9009222522165086,3.017337542665755,3.646061227076184,2.9267667551632814,3.247556026517394,4.216332945218749,4.762848362177328
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089345725239214,1.528361639226997,2.166232067274574,2.2237569783050426,2.40369784335604,2.3982263896583618,3.5597748728301823,1.5686003890667455,2.4816609103661103,2.4016122272768876,3.0461246330474965
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.217649692791707,2.4440280340405565,2.8004295738648066,3.3571366147634043,3.332277939063573,4.507533886023223,2.182856393352445,2.945474034025466,2.540926964088564,3.033870186562517
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956101771146136,1.093397259113189,1.5314217749847479,2.349195794994296,2.456899119299599,2.410555307054208,3.6024037396093864,2.8904069226887414,3.7938328337085725
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.774842423522246,2.1412148857577815,2.890265623182381,2.9297124678592814,2.824757213839399,4.111596892633416,2.7443193187489063,3.684421390889151
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.182976346818194,3.224797430827851,2.7203167933136307,3.388892142099979,4.473809889002511,3.968189016883939,4.853428536859892
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34204781389823,1.212393041180228,2.382790739753896,3.439754856039754,2.999013005741347,3.8612698356171222
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2536215081064968,1.5435054496440679,2.3363495223510995,2.3397172988538086,2.9862590481198055
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.550699288475587,4.5161067833385165,4.085057867958342,4.941597969654728
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3044095067110575,1.4159413775817575,1.8962027835148896
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2786960512270373,2.187548799569879
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9707454770348304
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
