,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33H,34C,35O,36O,37H
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016580178652408,1.4408004959234668,2.0470632444257433,2.5038439263524896,2.775517638103003,3.414945238320885,3.0257244323963297,3.890866802295909,4.152838452857798,3.456756800442515,3.4027721337044543,4.879304594844784,5.710381711378513,4.542672481516813,5.194483638685295,5.157848550066831,6.131458403386966,2.4256288228648817,2.763256025619523,3.6060986454010835,4.289787531257193
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1468228197481833,2.9621897349157114,3.0010710857683023,2.89493626387409,3.9418925624710837,3.636805217750953,4.695025713031856,5.039689988982175,3.8021498470837964,3.447564336202529,5.6524070679140115,6.553672226032628,4.936912825172842,5.428832798807483,5.758836036905197,6.717036551862812,2.6614109822410614,2.5553514174708436,3.98610892061848,4.500539117875549
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946751718161556,1.5611036623606125,2.1710279926201497,2.164159901012999,2.565991987640102,3.299207122085511,3.2771482085499195,3.5035220175798876,3.636685702378171,4.5532562386212145,5.309671726123363,4.7063045232132,5.543811797034288,5.13992687733248,6.190728143686933,1.5241254790175045,2.4355778225813265,2.3822294858923203,3.2141762233728515
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1777667914689522,3.0692138956087933,2.4938696320806533,2.8070393570972163,3.0530383696121457,2.771091460320099,3.931461567020837,4.317092498133396,4.268289116056542,4.842842576769653,4.938730211779327,5.871749335902077,5.080033090981538,6.080836449904575,2.149757499166651,3.1912549996888284,2.561862011969059,3.480042776698869
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975400156836237,1.0964273213627054,1.5127226969349807,2.5330484362711316,2.732353268883665,2.5347525530834467,2.7328019843089097,3.8194169722821343,4.684403852225401,3.822752604343981,4.688946232885971,4.328249397942405,5.415284679279784,2.5116338837080985,3.3811024530770744,3.00032239082774,3.8223953900160312
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7649196645993575,2.150221031222556,3.410861794206934,3.756520383851642,2.63888888356433,2.3999631003088746,4.5679819095118726,5.519455325852843,4.025324100409061,4.705631663298106,4.816616839728,5.883374032247125,2.713344220137974,3.2410373255051397,3.374950028310398,4.004040494319544
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1561398967216996,2.7391444074430895,2.5885409713428227,3.341970061283231,3.635290356842384,4.092964189753313,4.805236512031024,4.5214017791432735,5.445854848884314,4.824513136715436,5.891110597402511,2.6909345572600514,3.700092708486262,2.649259223219639,3.4570472474037004
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4018579908362763,2.1568471337548716,1.4008738773774372,2.154128300584907,2.432512305908674,3.413351375800671,2.4338973145374356,3.415030491323301,2.8155643776580974,3.902598704635346,3.879959394232431,4.7318870181063035,4.372808817000904,5.259500561680077
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881103746850684,2.4083638863919123,3.3952753819529704,1.3948028409047968,2.152242311173849,2.7865522130974654,3.873930749753843,2.419587948418564,3.405313866097193,4.641042769134486,5.660326482646517,4.860407775357654,5.813484253790337
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.396337809820563,4.2965769912857485,2.1516680438216684,2.4720998284980196,3.874647349893631,4.962032757931696,3.402789643222639,4.30022824469855,4.4448012604200215,5.57930722998683,4.390633828204959,5.347299197759838
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879407104494874,2.7855884660812302,3.8726095117943595,1.3972125060528178,2.155164257020535,2.4198143206604827,3.406293809198947,4.787494896860485,5.402512680993247,5.502776813015456,6.322189361324662
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8735118122531595,4.960534842960379,2.155233770051508,2.477675766611511,3.4038150444135877,4.302723014924422,4.713591302488698,5.103113035167096,5.580341611975728,6.2919502218769505
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08704100379828,2.413818535838667,3.4017421361301676,1.397145250453274,2.1590230427562886,5.969034481934413,6.940374664919241,6.243848373810596,7.201717665054536
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4010029269990207,4.303257478802438,2.158065890844362,2.4891204675872265,6.687941585233573,7.7274011865402485,6.81964321701801,7.785821730115885
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087415208064557,1.396082379593012,2.158415342061491,6.086416349095425,6.733950852170368,6.759365952117126,7.621549741063533
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1577852861974725,2.489353685705592,6.8747575387827125,7.3956496837338594,7.645890864375669,8.468346808874342
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870364448457859,6.591871457519295,7.409350093553251,7.07792934851911,8.00620542328034
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.659308882953803,8.467617228673733,8.14243663643124,9.077992108642455
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2114276368159989,1.3540390513524068,1.8782791003577515
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254795708034154,2.287415177125622
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765899531214264
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
