 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028768767752080482,0.001710061667038465,0.13162862395999086,0.008537351982538688,0.0035747320146878314,0.0004307510885528387,0.026434641993325902,0.0032857673810685606,0.00020756829855139713,0.00013295912070221405,2.0689589666611496e-05,6.71453573508618e-05,9.60569887076268e-06,1.1458674311182193e-05,6.672250034700511e-07,9.717809161147173e-06,9.328392749363701e-06,2.252863136043004e-06,1.066622364209735e-06,3.621795695796237e-06,2.3266726589810105e-07,9.8128312808754e-07,2.515880541675841e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8867425047740674,0.2912764908729365,0.0039582323073559245,3.715664031657913,0.13156163502735385,0.34753027473837206,0.045218030381535476,0.0038253693689178636,0.008281768959877617,0.007905183968480847,0.0012588568044625686,1.594359607548501e-05,0.00024176345320352233,6.159166768882063e-05,0.0013672704759010723,0.0019389869675785487,0.00014996254382393381,0.00014906091532274068,5.274032218863245e-05,1.4288187135530483e-05,1.6810702207312178e-05,1.0137571678781043e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003522675768455108,0.00041086412583402065,0.12986230369694562,0.008579736982549768,0.026453664034587154,0.0030994255573112417,0.0012954370228548395,0.0015628737798438763,0.00046578882656400644,0.0012642773911797356,1.1402275938987572e-05,0.0004058194882015087,5.170016859823434e-05,0.0018928597823315574,0.0014231237072399594,0.0003103887429600771,0.00016913851644595468,7.734615266530298e-05,1.2593214423262111e-05,3.659387346033327e-05,1.1293038355564278e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8835667609000464,0.31974739549757103,0.02784717043843954,3.3148517541898586,0.3119282490956256,0.03066404682658186,0.0015756594880187436,0.0006564510329099965,0.00016092768300411675,2.0020719991742375e-05,3.7319646784106375e-05,5.869246535117334e-06,9.340270185924371e-05,0.00015254683237131417,2.4519300323433413e-06,8.009140326947772e-06,6.556558463044482e-06,1.420502016347136e-06,2.202564277756225e-06,3.605804599349227e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027438341731725213,0.0019153031840839496,0.12472645259276605,0.012802295690335308,0.017169467976189345,2.4776799059100796e-06,2.637391927962085e-06,3.5633099446652494e-06,1.4314547707172665e-06,5.415386119533849e-07,9.626210206725716e-08,8.779382831836102e-07,5.490128918150816e-07,3.64401544938886e-07,1.107212093121035e-07,4.591831648248501e-08,1.0040375419961833e-08,1.3968629586358361e-08,2.0458750249474633e-09
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7220800291361666,3.472758141272463,0.2998270041593169,0.03364590338025131,0.0009604690621968226,0.0012733251564325115,0.00019635487788752237,7.171594440080753e-06,5.113346265747665e-05,8.33036700509382e-06,0.0002706254577374695,0.00039536469034662236,2.7502830861836358e-05,1.958542257096685e-05,9.273286435435013e-06,2.728055019884934e-06,3.512501031324722e-06,2.1414858486501487e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13443543616617526,0.012573855949693957,0.0012796521335485256,3.020505689610431e-05,6.366132619950449e-06,7.294819729164459e-06,2.7642593325438725e-08,1.6000358387113778e-06,6.236029121975406e-07,9.846723844741945e-06,4.906012002869886e-06,2.884017259674465e-06,1.4352679649221045e-06,3.385203628525346e-07,2.462152384197225e-07,5.15571444426044e-08,4.346494053564243e-09
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2436825833648726,0.1356518452443769,0.0011002564189570296,0.0006081608221426144,0.0001961267389492538,4.7306412120917685e-06,3.226466059730315e-05,1.544162315925135e-05,6.068544832057987e-05,4.0246279272126984e-05,9.529799976926157e-06,1.0548352660455507e-05,3.81654934306086e-06,1.46158103207783e-06,7.401688959796093e-07,1.2462082821240728e-07
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7470289428907284,0.0002694373158904084,0.00012936854434575373,4.845988528114076e-05,1.0911908573385531e-06,8.693571282428203e-06,4.017044217263788e-06,1.1208761058326133e-05,4.303969571406441e-06,2.200668707152964e-06,2.2761349905975337e-06,9.914886289486002e-07,3.5619160800026695e-07,1.6815470159359247e-07,2.8251901484921405e-08
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1291285374510664e-06,7.277062151755942e-07,3.647689292507472e-06,4.349891002952688e-08,5.947763159763753e-07,1.0853219412076953e-07,2.0049809478228653e-06,1.2167158487397245e-06,5.314369979636524e-07,3.0373619064327784e-07,1.179086553948494e-07,1.1192461735198833e-08,3.5257649133590974e-08,3.177455187852729e-09
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.133157947967256,3.3895796313259665,0.13408269551296315,0.2664179802369382,0.025796831686734523,0.03231549493797206,0.005820964217857938,0.0007900082492495741,0.0034866618297026974,0.028760887566493643,0.005774923468380516,0.005744331052110335,0.0012335189365528798
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551589364930649,0.02422817757488238,0.0685264186261449,0.03479368629931712,0.02038722121423306,0.01608546213747397,0.0006782313646085392,0.0013649093494324527,0.008496582863704721,0.0037834077425290547,0.0012687297324560087,0.00023467849521863204
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875009794328157,2.852554679503405,0.10127245909238558,0.18762747110770722,0.006946612864049295,0.008709873754104258,0.02878643641178491,0.18766387662246253,0.05040190353831411,0.026933589650668985,0.005033724778467308
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09556183546172503,0.01670798898512227,0.008800102684516031,0.00019712864054421964,0.0006724935487614214,0.0005249908019717697,0.02942772119486392,0.06542627169650828,0.004731454084635378,0.0001547166391302479
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9121680815724824,2.64842057402292,0.10023125136510291,0.08297317682740268,0.09141641219671692,2.4908398361412276,0.27530431859817145,0.22059646725596865,0.05357685948444402
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08201616960094638,0.006637530032606476,0.03231504089329751,0.004222700119160816,0.1155562049533223,0.03197861404464242,0.010877649616648943,0.0005511257176575857
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7509168328698945,2.007934040382013,2.109044365485082,0.1980006091540652,0.045328634430219006,0.0325933243852657,0.0021961936871914833
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025113069518669873,0.026512115158625393,0.02791903345109703,0.0051719769915308245,0.004615463464893388,0.00024176684555277106
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02488337497214821,0.009502716732501026,0.001408178426533846,0.0007434705215940696,0.00015890177526967086
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075630275680056425,0.0011408946675204312,0.01174105462134667,0.00028883139030999594
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28544960499682,3.5011039766338747,0.16965496137798863
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5086164320063545,0.06822229369764155
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5279839079355897
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
