,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30H,31C,32O,33O,34H
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0876781547796066,2.780865840246976,3.8700433224821986,1.392029921995877,2.1652336614184833,2.413217469637507,3.644032731129394,4.32749295550456,3.4573437541622694,3.453242400997566,4.135242035184736,4.641313957948078,4.880700566886263,5.273295384082206,4.463340212589167,3.6767305565286685,4.403787308887153,5.3961168128190184,6.1941939449360035,6.592179908368505,7.1402226123538535,7.936890376407548
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8685107929409464,4.957691303063528,2.1427928783877856,2.4849467564366865,3.3940862770218807,4.508180094188202,5.278340212418377,3.309334301327014,3.479196667621225,3.6282589010533584,4.102909248427554,4.236555167009628,4.794088083623535,3.6561419421586807,3.00233660083977,3.431502518669789,4.598776872004997,5.452830155419198,5.851137359644368,6.367700355763387,7.130302859914459
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891983504913405,2.4185594193492492,3.396480011166947,1.398701700308366,2.42951464290245,2.4529870412184023,5.040852730214206,4.7250541655419935,6.169923057247517,6.67228042435859,7.050690326410164,7.142983448558509,6.890396767673393,5.98379820884853,7.047200778416734,7.7635181516182445,8.447649440670796,8.831546233748583,9.41070909186345,10.246653582233357
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4071619407535496,4.295907114161581,2.160790680243711,2.6931089175141247,2.2972222353530385,5.907804529621239,5.535203213408728,7.106281026705919,7.597599263935135,8.005625205509515,8.02277096707529,7.906667998556586,6.9845769671528855,8.10870858158257,8.759753502665998,9.408343627887643,9.784564831967813,10.36956338116265,11.211003882936438
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857343612794268,1.398659902917027,2.367046781740006,3.1755082047433754,4.572315133139446,4.257491620112025,5.321343865569817,5.933452727394389,5.871726673103028,6.130082095763091,5.247898104187621,4.305163435961916,5.269687811912253,6.027127530104606,7.261746445591409,7.788016853135228,8.070789668035209,8.922559398603473
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146139865350436,2.5716654230008387,3.5187735569818996,5.19324715023681,4.817547833857994,5.768358469905523,6.427150434512993,6.091893866353308,6.367778011121115,5.210913134550989,4.257667568478126,5.189530337739551,5.851572657273438,7.453204168580973,8.068107959473547,8.126292302313923,8.985878170060095
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3689885131733213,1.91658361383105,5.2603526264217635,4.831684290855688,6.23385188315307,6.838779608522503,6.891139044424381,7.016839663328703,6.43293770705774,5.45196943199696,6.556115428735694,7.209068337478134,8.325893285669991,8.8333190990184,9.166342652373512,10.036094201650432
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9700271419664319,6.485401181642189,5.91961888278581,7.44063674909188,8.10443713307961,7.957958997596551,8.015669633365885,7.357860860322667,6.322790542635249,7.512310716263301,8.015128487880743,9.419941106889558,10.012368064295858,10.155533541315695,11.055086529516297
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98042686622904,6.392674754524707,8.035695293702954,8.681554357792226,8.626497607879191,8.62590150595225,8.138236571753326,7.100182116943297,8.33600029582116,8.815079891026262,10.10111418281362,10.668022030269702,10.869216630381313,11.771978800435217
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227363923449166,1.36207985733477,2.0475074319865456,2.4491436606381316,2.603395713853603,3.237744570426131,2.9924950870768576,3.6607953256742185,4.187393437693818,3.6587927586502174,4.010987433143271,4.749404391699556,5.492570732169215
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2815633112198044,3.161754214415749,2.798888576765834,2.5511316129041464,3.322772217778232,2.7786384692125328,3.9968400787343827,4.111341550021564,4.2084959661929435,4.823674253541629,5.054259046429876,5.909263427098585
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0161485373957886,1.4489543163048693,2.078752855433015,2.489417576351123,2.719970666420547,2.770309086764327,3.429508303645001,2.4053238231609777,2.706820060471677,3.608373727701997,4.2775847275214485
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135736761420939,2.875410605093345,3.197331861879264,3.588992053718149,3.2100340173094373,4.1096140588266765,2.4887766105230424,2.3005073726553276,3.8272467192038753,4.297603658329649
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979011972357866,1.5428300213471764,2.15270803024272,2.185226996946109,2.1855370391918623,1.5202272036970987,2.432823630826906,2.3785392236957525,3.2100042473949766
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148571252714534,2.4580728368769003,3.068199804797838,2.4818792988046026,2.1361229768068717,3.133828992884543,2.60763884296542,3.5008443456873666
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930986030899001,1.0956690378736542,1.0941247358830106,2.5294769117227593,3.4782420885448824,2.934283152117285,3.7979791965755965
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7819554039402157,1.7808076561748982,3.4598797334463898,4.378446508313478,3.913942220575238,4.822212072656335
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7826756224105278,2.7965293585926965,3.4617887876716966,3.3262775841760797,4.015333819219409
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.787736843531381,3.879505164410963,2.6529991876226986,3.519833319218363
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2128578249160429,1.351311034044593,1.8756833646733109
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2530375075698594,2.2844665358832583
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763437481067795
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
