 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,C32,H33,H34,H35,C36,H37,H38,H39,C40,O41,O42,H43
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030904419228653168,0.1014684627684217,0.004845085584883835,0.027790282424632995,0.0030393179441785545,6.423316210457664e-05,0.0027040141370984205,4.534508503306611e-05,0.0009762365711163401,0.00011473257642635737,0.0009400206056993099,0.00010877873150572093,0.00011014095882933006,4.2412213048015346e-05,1.3559902107385113e-05,2.7124413247037182e-05,1.6598441181514545e-06,2.4324331659997256e-08,5.229934836314953e-07,3.71856345715571e-08,4.226697679632352e-07,4.287496135901847e-08,3.7693696608442906e-08,4.856335917846621e-07,7.169652727068154e-08,2.484179928430308e-08,9.836747194569284e-09,1.1790972642700126e-09,2.8580851274551122e-06,6.711114964641496e-06,6.42466010281062e-07,3.3251381870158525e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38691103639959745,0.030926444758777483,3.3225561643020103,3.530627794223666,0.1310625126038809,0.285503055725736,0.02669639962301984,0.34296796463495516,0.02779167284903128,0.23155576142694806,0.003972976775486137,0.0066468892732367,0.0014334967082607342,0.006082868405859615,0.0015324599451803644,0.0018786513161354046,0.00046654179194183243,0.00043661315978293924,2.4861425247602043e-05,5.368790635905396e-05,8.397285102157426e-06,2.2490565121380257e-06,3.524016278744213e-05,9.521023190058042e-05,1.3161252020221781e-05,1.8253163775350245e-05,2.6389618598132714e-05,0.0034943117990776096,0.0028229498821505244,0.00042728558327084776,0.00018476169479653137
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7106090844589166,3.2892550346377347,0.04735234637005899,0.0040929563614895415,0.25420113426360924,0.007267964312605679,0.04992162015035995,0.00044761356438205446,0.06567556680919041,0.003099151346385165,0.0013849439546371467,0.0001940625568950527,0.0008721770819443975,0.0007481145605301442,0.00012674548642704897,9.618184465620683e-05,3.4199523371053475e-05,6.078965625655464e-06,8.132586092696181e-06,6.19841253213238e-07,3.704502813395294e-07,5.914182956923142e-06,6.453548643883811e-06,2.6736704181740123e-06,1.2444195323091378e-06,4.7680568582286753e-07,0.0002580443840449198,0.00034834139432299294,5.518966092241118e-05,5.2386944633942e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11814605421196833,0.003535810928874561,0.0013973481086362316,0.007056461838533923,0.0034096711003503977,0.0005403775837871105,4.18560834463122e-05,0.0005807653471887608,7.04189904514596e-05,1.4677846269739447e-05,9.865521071406036e-06,2.5891975815595103e-06,1.5299885112174394e-06,1.374029499956464e-06,1.3537706833322005e-06,1.722680654792086e-07,1.508680069761681e-09,2.8473863489253404e-08,4.659792329775314e-09,3.835041839650444e-09,1.969506979726532e-08,7.797888890159754e-08,1.1396400712015975e-08,4.9679191871376815e-09,2.38156450116378e-09,2.558343567438115e-06,6.4475504587546695e-06,2.76829049128402e-07,7.732884466093992e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30173467789424624,0.02702169407510313,3.387164607299033,0.1302569513447478,0.22630023420072,0.003945081055573896,0.3546761717578978,0.028145108820444076,0.0006512168462185219,0.000267372968091914,0.0009169993379938013,0.00021150226618327217,0.00030417250815029107,0.0001386136265633109,7.755113371529787e-05,3.4280860643498556e-06,1.2263798263301151e-05,3.256939505646983e-06,6.903199953889327e-07,4.657549208531009e-06,2.6296979320800107e-05,3.959759464988721e-06,9.459658190325015e-06,3.1967659606113585e-06,0.0023280237593739095,0.004548594887907445,0.00041414212075961687,7.261371905142866e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9367933123712082,0.3029083336436725,0.0036030224151801793,3.685151095857141,0.12771307570620527,0.318155080607747,0.02568468059864215,0.00893457054801422,0.009954942136489064,0.0022504522340663358,0.00018070542936843292,0.004711788389795524,0.004862318236021457,0.0005771333696761582,3.0017263314308096e-05,6.923735428085442e-05,1.6490563554238946e-05,5.641703847647506e-06,3.672911465457673e-05,0.00025587163558823955,1.7419972775378767e-05,3.34694036345784e-05,5.289663082819196e-05,0.004507429447597577,0.0010249980247849233,0.000907170695166104,5.6473909230692065e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003488995088422042,0.0007520138195153958,0.12497116895765314,0.008521772513023551,0.0270116402242363,0.0011093630184781933,0.007699113708063976,0.018916491982647332,0.002012557701573714,2.0603889369530393e-05,0.0005655468707768119,0.0010332446593706024,0.00015219632256147086,8.706950436643268e-06,1.667302863062048e-05,9.119042255312237e-06,2.1742395637236456e-06,9.565754613305444e-06,4.496495132788603e-05,8.318044926181045e-06,8.718067601165558e-07,8.414409737200756e-06,3.483098348633362e-05,1.6020877190214833e-05,1.243260648287059e-05,2.7788111160997886e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9493927485255136,0.3273252118037703,0.026149460577626904,3.8648540013235357,0.13214255399546193,0.00041610526480873045,0.00034517701052158567,0.00016652659104458845,5.376912712706794e-05,0.0010197821923923767,0.0005598483445404812,0.0002316018815784332,2.487342731005704e-06,1.1642298253247696e-05,2.913137883586714e-06,2.7974204912517564e-06,2.6257229950310546e-06,3.938406572912001e-05,1.806053798736329e-06,3.469649183962531e-06,8.574062038135821e-06,0.0012437903703568787,0.0016777250180264186,0.00033997266770569023,0.0012112859218464944
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027344959758486498,0.0010797367062116425,0.12373201782992926,0.008378853942276665,6.211721099713685e-06,5.6921802447096326e-06,3.810067275900053e-06,1.7574206978565599e-07,2.0927398678427522e-06,3.4433144002754545e-07,9.386260044763617e-07,3.1045857218359174e-08,4.976837331138739e-08,8.15272094278896e-09,4.1002361506059515e-09,1.0933308258742613e-08,8.674189622137618e-08,2.4994486702567542e-08,2.5369914391504267e-08,3.033000517405071e-09,1.2130698366474846e-05,2.3341278733823856e-05,1.7727033287950889e-06,3.208161477585847e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.020520912219629,3.6299520992156666,0.12118461691698679,0.0009224923102980898,0.0016249405011837942,0.0004443386849398018,0.00010164476604901385,0.0021078435947510243,0.002212553371694015,0.0003791236674410142,1.1435142215354688e-06,2.1770635540332983e-05,7.558583674072139e-06,4.3021741622517595e-06,5.095695790435784e-06,8.965696828434899e-05,4.641706556895997e-06,1.3174912378399739e-05,2.751147294111078e-05,0.0035046354048222927,0.0005558569737757757,0.0020920774480914645,0.0005804835650778939
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12292605639890652,0.008081567335885387,2.899922356958129e-05,3.3894657674449213e-05,9.780048450647172e-06,9.908388851620487e-07,1.3548024526244262e-05,1.88390526694171e-05,2.213749321633429e-06,7.62060354819738e-08,1.5341753123454538e-07,3.985909824422151e-09,3.396815917433571e-08,2.0260167099550586e-08,1.4960279116627007e-06,5.4571341223663694e-08,6.548362097014149e-08,2.950519060185286e-07,1.809316588352594e-05,4.585112361565891e-06,5.922549205961136e-05,1.8974701558871487e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7790064249365858,0.0007022623236082326,0.0003222796597905572,0.0005186741252741628,6.603324489506956e-05,0.00043301459007152876,0.00011644946720779092,5.9707903707684196e-05,9.224832415721806e-07,8.260636632465013e-06,8.088670817585353e-07,5.146952598567012e-07,6.752374015484008e-06,1.67426048704733e-05,3.5503489925758913e-06,2.2945354101189253e-06,2.3008244016686774e-06,0.001017572632996122,0.0003885123178408306,0.0013062118569735076,0.002097145967138947
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2353365723603034e-05,3.56034235612368e-05,2.2596025215371185e-06,4.7052977736328216e-07,2.230003585568241e-06,1.3242299679028235e-07,2.1132725702699418e-07,4.535385422776983e-08,1.2426545825672264e-07,2.4792774722115496e-08,1.9037473153460382e-08,1.1861608495422615e-07,6.710899658202152e-08,8.132132967020311e-09,2.3872585241946354e-08,3.1487235041538497e-09,6.741703475032779e-06,3.4713155429022535e-06,1.9670148274197885e-05,3.77822583770282e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.552373290437135,3.6455263566823795,0.13697652849559272,0.27301910926886486,0.02797939006968897,0.03097696984607526,0.0030536941910550564,0.00897869097905811,0.0006327891902064842,0.0013238205167545036,0.006901669654534981,0.0035927963493108256,0.0012468948584754003,0.0001364821093736701,0.00013018901075478873,0.029917577992335603,0.006567166791561788,0.005648496051937485,0.0013760079995005503
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5270860315370436,0.02669502844368765,0.06546988869698776,0.04257199212201268,0.010389302983604555,0.0009606754157533981,0.01245339204192246,0.0019866783654691744,0.0075104041068218,0.002479767520423115,0.002617675447710306,0.0014009866434909757,8.359989097284082e-05,0.00019557687191840145,0.010423670725242015,0.004249648305087013,0.001523650388319489,0.0004025419223864235
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6939675405852699,2.6432575066777506,0.09477972960308567,0.17156735750175583,0.02507359011152155,0.017201548412445977,0.0013694860497077688,0.0006115473056451659,0.006202345561513667,0.022567157018563794,0.013952820941726563,0.00041408704357492887,0.001641819203276107,0.19371838624247803,0.05462327601270124,0.02704578141195131,0.005408764063781324
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09576460444112789,0.021779523857764493,0.006235707462990403,0.0003208604526940828,0.0005388999221320745,4.758264399806755e-05,0.00011879062745223656,6.519905368884693e-05,0.001663274602185294,0.0013001695826653226,3.2278895359505455e-05,0.00016591566091128662,0.033622277990760674,0.07444447691239142,0.0054737046927519906,0.00017743193644270683
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9672683004718081,2.3510553529219385,0.09622481623269152,0.1658394283169607,0.03003183861634251,0.010032058240460273,0.0067133858137724545,0.15206109803365891,0.007969311768863063,0.007177043109720893,0.0313255647113968,2.711930162162775,0.2738469542739703,0.2162801087747906,0.05368876492481145
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08218229653856146,0.004091455562499791,0.011922453964029356,0.0009113375086793329,0.004894283497747676,0.00019892385003661417,0.02573084879345855,0.0007125720791585355,0.000712042174388472,0.0011374985493479706,0.10824949832080755,0.027802005110169725,0.01134327375114308,0.0008503503531558376
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6755171642627262,2.7902510101135913,0.08985959022038714,0.08443868941068056,0.084141406564884,2.8525774802926147,0.08433669370947361,0.08400589634644784,0.08809626295770179,0.1929704870735966,0.04287522354210144,0.028412131621448095,0.001962890834032227
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08198252173916787,0.005162313481177794,0.0040413762061153324,0.034410592241684634,0.08160626878035293,0.03489914239662606,0.0044776035382088075,0.004400840282112073,0.01062057813066053,0.0017915691582406357,0.012887067462442947,0.0002611160495353815
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7691871662542802,2.0977290205956773,1.7077619800678754,0.1664043336781154,0.009011214292941716,0.03167269907952541,0.01006112436923734,0.031121020608792127,0.007183928339753551,0.004631035726717608,0.0005077047870886142
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024779860486905836,0.0230379042930402,0.00893599816269608,0.00016272266579941963,0.0005717806921579083,0.004277686245525825,0.004880259554401967,0.001664612015537581,0.00042611506643552843,9.090593629967891e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024268000351461927,0.030840004683823308,0.00047629981072616623,0.0028511787860006077,0.0008230362029744143,0.0008712146949381161,0.00035284586570871745,0.00012342648807917023,4.570924739377702e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009659979553104159,0.004387704712015106,0.0005899245322376068,0.00018584240597085966,0.0008525720129277659,0.00011108027951334254,0.00040218937923719444,0.0001354199091743169
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.736811795122326,2.0166517574085456,1.7481355809118768,0.02621365310557386,0.009875600496971032,0.0032792805523127327,0.0002674283524252141
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024229999754687537,0.023228592533461434,0.0009075798209963182,0.00016668774054329205,0.00032187297620511757,3.614979444055422e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024374430579538142,0.01457806840808007,0.006978603190991084,0.0003692433115998206,6.478747430760379e-05
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002500100609424294,0.0003807479476186648,0.00041341484231249837,1.3914142968252108e-05
C40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0806488425646075,3.180467972212437,0.16445912608002766
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5075610635750314,0.06581294666474546
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7551816822790198
H43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
