,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32C,33H,34H,35H,36C,37H,38H,39H,40C,41O,42O,43H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3193142979285817,2.1435967266153417,2.5142993868093586,3.2681947189199,4.696959320025575,5.177107832264718,4.596139874038343,5.004036260779282,5.676608928675156,6.705714343156187,5.636098160409809,6.644561458134671,4.699929831087541,5.686191701214985,4.777718436483569,4.0931846760135295,5.868288835947742,6.225516811529862,7.175870306087453,7.923709344132526,7.835411686217156,8.833179661162523,8.053072498671172,7.368605410997138,7.244572524303997,6.680975660377782,7.095937239246285,8.297431260370907,5.663608456915493,4.925553152859154,6.767310711294393,6.819758351911782
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2551021759622523,3.230761598209286,1.4233258094391439,1.408162230235573,2.171019650635189,2.473855995733356,3.460942054766365,2.4118705706095764,3.398582730553909,2.804986590301251,3.891990035109163,3.412688833885163,3.8947887499507736,3.5468800807647014,3.433165731267873,4.006902573482115,3.858565282279796,5.5634113924979545,6.01139792993105,6.241591140799487,7.315311395386471,6.097693700682071,6.148150171966715,6.26822500185675,6.1408168928601485,6.193680156225622,7.33832137637277,3.816016081729008,3.700482969607827,4.5138418470694734,4.718413011673124
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0079433752410167,1.3791488148659667,3.5777124809321634,4.426112263164961,2.5228506951922114,2.8613457443358024,4.125371054921236,5.211186261665887,3.7197325678097704,4.643848449973316,4.904242759685799,5.7388932899377565,4.700382416096637,4.089700093511391,5.312057348154589,5.544911340202801,6.760594044182375,7.250768728797911,7.684503131987878,8.697265191918186,7.794536040035586,7.512007393410885,7.013808884675512,6.762822400779079,6.672498505035094,8.105761919698706,4.679424935935937,3.956133936683793,5.4843269896587,5.346359800216513
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.128763210242863,4.4978223202324505,5.3961262974383155,2.8825070845357863,2.835139620021218,4.876042109412747,5.958506163467567,4.2281864374310185,5.0145111663804665,5.8037600154700275,6.691193770772801,5.478236287032525,4.765165165420492,6.042281723799127,6.360600818916564,7.425967218928562,7.881592037668249,8.44733039894516,9.42347210615095,8.625098945683046,8.290570578271677,7.535408383555009,7.288768131128732,7.076859791939152,8.610132080462721,5.241920958200914,4.366506432284096,5.993151296754621,5.710152751440601
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436251224980344,3.4288932674244297,1.3995406494416232,2.172988138849601,2.7672205283525817,3.853950447449769,2.3856392832399456,3.3764028778233026,4.571455892012039,5.18738265808905,4.37596832727799,4.006619411300198,4.687212542898799,4.709745955069419,6.204883607525927,6.549969027190504,7.132071829616421,8.158240956461587,7.096612320836669,7.115930479603493,6.7146612917122495,6.645832312632965,6.407289208629661,7.797849391601757,4.025372972636732,3.5942242177205816,4.602343847078456,4.50539429345369
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866273298765476,2.8507427748977663,3.938192021338834,1.3905856621440429,2.1461691079365073,2.441043311617642,3.4163895105003457,3.4737552972818375,3.5182160184962137,3.71027605600961,3.9471244507469563,3.7800103809852774,3.264452901711914,5.288318355253636,5.568399218069416,5.8436145161567135,6.9019744241825345,5.480011681549296,5.919006795402206,6.2916831524916494,6.343633441138123,6.31663520955161,7.292245344901151,3.768624499395661,4.075457637706885,4.146036702771023,4.497399023265536
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9372375380944358,5.02468453452573,2.1564022927401854,2.4788916129574,3.426636468959024,4.3119764833735665,3.044208032173265,2.7631836424134613,3.601500040468726,4.071893844233419,3.726885025299029,3.0296282190926935,5.1249474256781795,5.4615901016428685,5.396908637425916,6.458054629748347,4.900584274605856,5.420251342146152,6.265388527354213,6.283479368201259,6.475371779765018,7.205588086706236,4.1289577828873085,4.621479068349778,4.5368577391980205,5.072607260360565
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874509329608395,2.4406104833164943,3.4145470690173587,1.3908660930427725,2.1452024105247065,5.530318901120708,5.99716021464856,5.1893078863481366,4.905773899819724,5.126419887019471,5.048725059494544,6.576021206983403,6.694972684670192,7.6253380680773315,8.597968515485372,7.526732913747517,7.796420031093666,7.15841247571099,7.287983756794132,6.734295052543299,8.195746218563684,4.202902734339408,3.891037350642922,4.372436781518929,4.075823697542446
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43165001811796,4.317021654544084,2.1643742527285657,2.488386381817951,6.475728765843449,7.017934565629309,6.020072553669395,5.620861778802144,5.928815550339175,5.953405665424796,7.305773197122009,7.375535140907289,8.461806259487194,9.394645188086127,8.432518787116948,8.654794047125804,7.745587807495769,7.8947013192607605,7.192693719709212,8.764524179190753,4.825120392823782,4.344462896780399,4.914684416375812,4.4197220078456985
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868988274813547,1.4113928426332658,2.1639807771930206,4.63011346965086,4.595084884085481,4.609337706999161,4.827015172710653,4.279642628884708,3.6990301729884854,5.693442549348517,5.713834596026557,6.411430415131393,7.394452856550543,6.000138830699144,6.696723802223762,6.741206311131377,6.991239991013887,6.627097656097571,7.696468962677423,3.9252215252166973,4.3104611197131115,3.8586021825359156,4.039767883260155
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1616542132207517,2.477064601848471,5.100372142700672,4.818635441963903,5.137391684827981,5.518247556109583,4.600640451585132,3.8253224518287676,5.859329713647834,5.735344914667185,6.453093563281899,7.375228013627987,5.893409913584237,6.853886144185637,7.063226680217443,7.420507191873062,7.021651472618465,7.933306425187864,4.394953533295967,5.000981193841491,4.074105909335547,4.3471824144095566
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871998555618398,5.532742980214159,5.726913592111961,5.269620344600666,5.244855670339024,4.9252148162995075,4.5859170485269525,6.323431562302817,6.28441072792945,7.279724938668195,8.228021206156376,7.013348347531843,7.589594730064278,7.157086902257807,7.433702375661985,6.828284367715232,8.134673340042168,4.138404512689018,4.225926021699988,3.980910124782857,3.812375719337015
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.490651192264887,6.613482032604435,6.153500041978216,6.153056794781482,5.623978705529922,5.249678953747393,6.90406482065316,6.705430470155548,7.90908572795291,8.792384054853418,7.610267888107567,8.330932017407164,7.751602795341714,8.143319729711234,7.355912665704893,8.670423994167168,4.729416481468889,4.875910798287939,4.280363374070612,3.9755132946732936
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2305405247257288,1.3667429769310988,2.048022753022115,2.4635932588692233,2.5228848422178074,3.482451038154678,4.353230201390784,3.499711679085291,4.561498722519724,3.511077455563421,3.0222888416114966,4.2178640678537205,3.832275037482756,4.71929761291672,5.1207823971052395,3.554952961597868,3.9049257489075284,4.603077572656938,5.314727921671266
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2850923823416673,3.1583846107829636,2.822284054044089,2.419064572713664,3.6765694909185065,4.3947163948127335,3.334757570753868,4.379641696943999,2.9789125266619334,2.9890760738050934,4.736351848312432,4.523766943161675,5.357252070357149,5.516025309614261,4.090791973415842,4.709901856892135,4.873083047714843,5.6901979334129384
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0146144463553781,1.456661404447934,2.071584774259878,2.5300490880100694,3.4199438146766563,3.077302546191932,4.093606375620675,3.3874645666866896,2.8174110253131337,3.0623497872938183,2.7730688633528926,3.4123034898681777,4.070075211460104,2.404580913337786,2.7133033311748602,3.5932731280727683,4.26155510460884
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0936343756211424,2.872453248825678,3.126051481581413,3.982732881815984,3.898111503709492,4.833517278008013,4.336252197403286,3.6007165283828075,3.242407154957589,2.818296690238544,3.3359660163782854,4.305827869114652,2.4342090093248703,2.253993207667436,3.764898221840929,4.2348047420387465
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943986267495904,1.5602988403822913,2.136349727467126,2.5464664323680424,3.5007556983701917,2.764530727009095,2.843559853401703,2.571069555365232,2.8431083329213473,2.8381842465020215,3.5210880070804356,1.522280727612915,2.4305996450424274,2.3813035498325337,3.2129839074258255
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666821488100325,2.448168481484412,2.719491174786472,3.7110923555924225,2.482585684178428,3.1279848682863056,3.4962036363751796,3.822815412821602,3.82990046584801,4.321946239361528,2.1402977937963845,3.1797699239668855,2.5549472024373734,3.462036120146167
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986045961115625,1.5349477025532343,2.171645750598788,2.1896804131308976,2.1824366806159947,1.5359548631104272,2.1803320987023014,2.200609275634932,2.1747258790324135,2.5344803426714226,3.4080110542360393,3.0262551374965034,3.8711914507368657
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148915033624184,2.4809118739187253,2.509898745650308,3.070653958171064,2.153880645336451,3.072624548498151,2.5084449581175465,2.505962872618646,2.68683460150476,3.710042080750877,2.651237663194567,3.4925713038150383
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966230504619177,1.094702154843928,1.0955623683530884,2.534180456785511,2.8091310239162803,3.502331362093134,2.7565887382996075,3.8887440753862057,4.768471769762176,4.361367738628024,5.276854543986601
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7785979687085358,1.772656693706363,2.774701829110859,3.1611763327581515,3.7745320116325494,2.544397361181787,4.69125426517407,5.557770110606677,5.024325490139933,5.9051457223078785
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7660984516005873,3.4962030164066378,3.8124469204978504,4.358649541194485,3.7714045210979408,4.152862245404189,5.164760949836575,4.451147872540649,5.419312042190061
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.793903490942224,2.623289775320121,3.8191688920176383,3.1030465798548184,4.266544536561005,4.9575268213170505,5.001702981510422,5.88195064794309
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966352589728794,1.0963650045666955,1.0960061086209103,3.046026254542517,3.4552704012000928,3.7279005682089004,4.326517172438853
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772429186318076,1.7705488486039878,3.4588435772502577,3.6300010585370366,4.417246177068014,4.991167022521256
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7704217385291552,2.7209005029510664,2.896223778375682,3.3340230282228465,3.715407823569307
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.028656438869068,4.482730717106365,4.506221823625776,5.094553824797842
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2141018063325875,1.3481526061933016,1.8739392723582393
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2533709890534594,2.2870306902806354
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764813369573047
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
